Date,Close,Open,High,Low,Volume,Change
1991-09-13,2.19,2.19,2.6,2.03,720000.0,-0.9152
1991-09-16,2.14,2.14,2.34,2.08,80640.0,-0.022799999999999997
1991-09-17,2.24,2.24,2.29,2.03,103680.0,0.0467
1991-09-18,2.24,2.24,2.24,2.03,44160.0,0.0
1991-09-19,2.12,2.12,2.24,2.03,38400.0,-0.0536
1991-09-20,2.03,2.03,2.24,2.03,24960.0,-0.0425
1991-09-23,1.98,1.98,2.14,1.9,499200.0,-0.0246
1991-09-24,2.08,2.08,2.08,1.87,30720.0,0.050499999999999996
1991-09-26,2.03,2.03,2.03,1.87,36480.0,-0.024
1991-09-27,2.03,2.03,2.03,1.77,46080.0,0.0
1991-09-30,1.93,1.93,1.93,1.72,30720.0,-0.0493
1991-10-01,1.93,1.93,1.93,1.72,120960.0,0.0
1991-10-02,1.93,1.93,1.93,1.77,49920.0,0.0
1991-10-03,1.82,1.82,1.85,1.82,117120.0,-0.057
1991-10-04,1.87,1.87,1.93,1.8,84480.0,0.0275
1991-10-07,1.87,1.87,1.87,1.8,17280.0,0.0
1991-10-08,1.87,1.87,1.87,1.8,113280.0,0.0
1991-10-09,1.8,1.8,1.8,1.8,67200.0,-0.0374
1991-10-10,1.87,1.87,1.87,1.72,3840.0,0.038900000000000004
1991-10-11,1.77,1.77,1.77,1.73,48000.0,-0.0535
1991-10-14,1.87,1.87,1.87,1.72,5760.0,0.0565
1991-10-15,1.72,1.72,1.77,1.61,115200.0,-0.0802
1991-10-16,1.77,1.77,1.77,1.51,26880.0,0.0291
1991-10-17,1.61,1.61,1.77,1.54,11520.0,-0.0904
1991-10-18,1.56,1.56,1.56,1.56,3840.0,-0.0311
1991-10-21,1.56,1.56,1.56,1.56,5760.0,0.0
1991-10-22,1.72,1.72,1.77,1.56,90240.0,0.1026
1991-10-23,1.72,1.72,1.72,1.56,19200.0,0.0
1991-10-24,1.72,1.72,1.72,1.56,13440.0,0.0
1991-10-25,1.67,1.67,1.72,1.56,44160.0,-0.0291
1991-10-28,1.61,1.61,1.67,1.56,19200.0,-0.0359
1991-10-29,1.56,1.56,1.56,1.56,1920.0,-0.0311
1991-10-30,1.61,1.61,1.67,1.56,26880.0,0.0321
1991-10-31,1.67,1.67,1.67,1.57,7680.0,0.0373
1991-11-01,1.67,1.67,1.67,1.56,51840.0,0.0
1991-11-05,1.61,1.61,1.61,1.56,78720.0,-0.0359
1991-11-06,1.61,1.61,1.61,1.56,17280.0,0.0
1991-11-07,1.56,1.56,1.56,1.56,1920.0,-0.0311
1991-11-08,1.64,1.64,1.72,1.56,161280.0,0.0513
1991-11-11,1.59,1.6,1.63,1.59,80640.0,-0.0305
1991-11-13,1.59,1.59,1.61,1.59,17280.0,0.0
