Date,Close,Open,High,Low,Volume,Change
1980-03-17,5.36,5.36,5.44,5.36,94400.0,-0.9412
1980-03-18,5.39,5.39,5.42,5.33,47200.0,0.005600000000000001
1980-03-19,5.36,5.36,5.39,5.33,125600.0,-0.005600000000000001
1980-03-20,5.36,5.36,5.39,5.31,420000.0,0.0
1980-03-21,5.28,5.28,5.39,5.25,21200.0,-0.0149
1980-03-24,5.01,5.01,5.31,5.01,120800.0,-0.051100000000000007
1980-03-25,4.85,4.85,5.09,4.79,236400.0,-0.0319
1980-03-26,4.82,4.82,4.93,4.82,34000.0,-0.0062
1980-03-27,4.71,4.71,4.77,4.69,104800.0,-0.022799999999999997
1980-03-28,4.87,4.87,4.96,4.77,454000.0,0.034
1980-03-31,4.79,4.79,4.87,4.79,70800.0,-0.016399999999999998
1980-04-01,4.87,4.87,4.87,4.77,77600.0,0.0167
1980-04-02,4.96,4.96,4.96,4.82,32800.0,0.018500000000000003
1980-04-03,4.96,4.96,5.01,4.93,223200.0,0.0
1980-04-07,4.87,4.87,4.98,4.87,186800.0,-0.0181
1980-04-08,4.93,4.93,5.04,4.87,160800.0,0.0123
1980-04-09,5.04,5.04,5.04,4.96,27600.0,0.0223
1980-04-10,5.25,5.25,5.31,5.12,46000.0,0.0417
1980-04-11,5.31,5.31,5.39,5.25,44400.0,0.011399999999999999
1980-04-14,5.25,5.25,5.39,5.2,192800.0,-0.0113
1980-04-15,5.12,5.12,5.2,5.12,36000.0,-0.0248
1980-04-16,5.01,5.01,5.17,5.01,34000.0,-0.0215
1980-04-17,4.71,4.71,4.98,4.71,288800.0,-0.0599
1980-04-18,4.85,4.85,4.85,4.74,203600.0,0.0297
1980-04-21,4.74,4.74,4.82,4.74,70400.0,-0.0227
1980-04-22,4.9,4.9,4.9,4.79,152000.0,0.0338
1980-04-23,4.9,4.9,4.93,4.9,91200.0,0.0
1980-04-24,4.93,4.93,4.93,4.9,23200.0,0.0060999999999999995
1980-04-25,4.77,4.77,4.87,4.77,206400.0,-0.0325
1980-04-28,4.77,4.77,4.82,4.71,139200.0,0.0
1980-04-29,4.9,4.9,4.9,4.77,117200.0,0.0273
1980-04-30,4.93,4.93,4.93,4.79,207200.0,0.0060999999999999995
1980-05-01,4.96,4.96,4.98,4.9,210800.0,0.0060999999999999995
1980-05-02,4.87,4.87,4.93,4.87,60400.0,-0.0181
1980-05-05,4.98,4.98,4.98,4.87,119200.0,0.0226
1980-05-06,4.98,4.98,5.06,4.98,41600.0,0.0
1980-05-07,5.04,5.04,5.09,4.98,55600.0,0.012
1980-05-08,5.04,5.04,5.15,4.98,148400.0,0.0
1980-05-09,5.09,5.09,5.15,5.06,65200.0,0.009899999999999999
1980-05-12,5.04,5.04,5.09,5.04,34400.0,-0.0098
1980-05-13,5.12,5.12,5.12,5.01,16400.0,0.0159
1980-05-14,5.06,5.06,5.17,5.06,26800.0,-0.011699999999999999
1980-05-15,5.12,5.12,5.12,5.04,28800.0,0.011899999999999999
1980-05-16,5.2,5.2,5.28,5.17,214400.0,0.015600000000000001
1980-05-19,5.25,5.25,5.25,5.2,18800.0,0.0096
1980-05-20,5.17,5.17,5.25,5.17,121200.0,-0.0152
1980-05-21,4.93,4.93,5.12,4.93,86000.0,-0.0464
1980-05-22,5.04,5.04,5.09,4.9,157200.0,0.0223
1980-05-23,5.2,5.2,5.31,5.09,120800.0,0.0317
1980-05-27,5.2,5.2,5.25,5.2,19600.0,0.0
1980-05-28,5.17,5.17,5.25,5.15,32000.0,-0.0058
1980-05-29,5.12,5.12,5.23,5.09,70000.0,-0.0097
1980-05-30,5.09,5.09,5.09,5.01,35600.0,-0.0059
1980-06-02,5.15,5.15,5.15,5.09,9200.0,0.0118
1980-06-03,5.06,5.06,5.15,5.04,214800.0,-0.0175
1980-06-04,5.15,5.15,5.2,5.06,90000.0,0.0178
1980-06-05,5.31,5.31,5.36,5.25,213600.0,0.0311
1980-06-06,5.2,5.2,5.33,5.2,47600.0,-0.0207
1980-06-09,5.15,5.15,5.28,5.12,67600.0,-0.0096
1980-06-10,5.06,5.06,5.2,5.06,285200.0,-0.0175
1980-06-11,5.2,5.2,5.31,5.04,288400.0,0.0277
