Date,Close,Open,High,Low,Volume,Change
2018-07-27,38.01,37.04,39.02,35.98,1010000.0,0.0123
2018-07-30,40.13,37.69,41.25,36.02,829380.0,0.0558
2018-07-31,40.74,40.21,41.26,39.02,615540.0,0.0152
2018-08-01,40.0,40.62,42.99,39.01,1190000.0,-0.0182
2018-08-02,38.76,39.85,39.95,38.26,458860.0,-0.031
2018-08-03,38.58,38.45,39.26,38.0,211140.0,-0.0046
2018-08-06,39.55,38.36,40.28,38.36,117430.0,0.025099999999999997
2018-08-07,40.01,39.47,40.95,39.25,120100.0,0.0116
2018-08-08,39.83,40.35,41.04,38.68,208780.0,-0.0045000000000000005
2018-08-09,40.6,39.88,40.94,39.33,61130.0,0.019299999999999998
2018-08-10,40.9,39.83,41.78,39.01,160410.0,0.0074
2018-08-13,40.92,41.0,41.32,40.26,122940.0,0.0005
2018-08-14,40.35,41.3,41.56,40.11,68060.0,-0.0139
2018-08-15,39.72,40.5,41.0,39.0,134130.0,-0.015600000000000001
2018-08-16,38.48,39.99,39.99,37.72,144720.0,-0.031200000000000002
2018-08-17,38.5,38.29,38.89,38.2,106230.0,0.0005
2018-08-20,36.95,38.61,38.61,36.27,450960.0,-0.0403
2018-08-21,39.3,37.05,40.0,36.4,204650.0,0.0636
2018-08-22,39.8,39.3,40.95,38.79,150080.0,0.0127
2018-08-23,39.52,39.63,40.7,38.2,101330.0,-0.006999999999999999
2018-08-24,39.34,39.39,39.74,38.22,55090.0,-0.0046
2018-08-27,39.83,39.53,40.45,38.36,171560.0,0.0125
2018-08-28,41.0,39.83,41.2,39.43,370490.0,0.0294
2018-08-29,42.28,41.0,42.82,40.75,705360.0,0.031200000000000002
2018-08-30,42.2,42.24,42.7,41.56,146540.0,-0.0019
2018-08-31,42.09,41.96,42.41,41.52,62490.0,-0.0026
2018-09-04,45.74,42.1,46.1,42.03,558650.0,0.0867
2018-09-05,47.71,45.87,49.52,45.37,381820.0,0.0431
2018-09-06,47.49,47.54,48.0,46.96,325210.0,-0.0046
2018-09-07,46.91,47.28,47.84,46.59,233510.0,-0.012199999999999999
2018-09-10,46.99,47.21,48.43,45.06,294690.0,0.0017000000000000001
2018-09-11,46.33,46.74,47.52,45.82,232080.0,-0.013999999999999999
2018-09-12,46.61,46.21,46.97,45.7,176440.0,0.006
2018-09-13,46.9,46.68,47.1,45.89,154110.0,0.0062
2018-09-14,45.04,46.98,47.22,44.76,238470.0,-0.0397
2018-09-17,46.02,45.13,46.66,44.45,275920.0,0.0218
2018-09-18,46.77,45.91,47.34,44.95,294830.0,0.0163
2018-09-19,46.33,46.77,48.0,46.14,492800.0,-0.009399999999999999
2018-09-20,46.89,46.6,47.19,46.42,295400.0,0.0121
2018-09-21,47.65,46.87,48.95,45.95,3060000.0,0.016200000000000003
2018-09-24,48.4,47.65,48.94,47.3,245340.0,0.015700000000000002
2018-09-25,46.38,48.64,49.25,46.1,204320.0,-0.0417
2018-09-26,47.57,46.26,48.02,45.9,132040.0,0.025699999999999997
2018-09-27,45.71,47.56,47.56,45.64,118570.0,-0.0391
2018-09-28,47.46,46.0,47.91,46.0,417120.0,0.0383
2018-10-01,47.44,47.74,48.37,46.03,366170.0,-0.0004
2018-10-02,46.29,47.54,47.55,46.12,178170.0,-0.0242
2018-10-03,47.02,46.58,47.67,46.38,152020.0,0.0158
2018-10-04,46.13,46.84,47.54,45.55,141460.0,-0.0189
2018-10-05,45.31,46.2,46.72,44.11,143000.0,-0.0178
2018-10-08,44.13,45.18,45.68,43.06,122750.0,-0.026000000000000002
2018-10-09,44.62,43.99,45.28,43.47,121360.0,0.0111
2018-10-10,42.34,44.57,44.57,42.22,121650.0,-0.051100000000000007
2018-10-11,41.25,42.4,43.3,41.23,318480.0,-0.025699999999999997
2018-10-12,40.56,41.88,42.05,39.33,266040.0,-0.0167
2018-10-15,41.23,40.32,41.6,40.02,96240.0,0.0165
2018-10-16,42.51,41.6,43.84,40.6,142020.0,0.031
2018-10-17,42.15,42.39,44.97,42.04,138880.0,-0.0085
2018-10-18,42.09,41.95,42.97,41.07,117780.0,-0.0014000000000000002
2018-10-19,41.84,41.86,42.63,41.08,73690.0,-0.0059
2018-10-22,41.75,41.96,42.16,40.74,90130.0,-0.0022
2018-10-23,40.68,41.28,41.78,39.0,174380.0,-0.0256
2018-10-24,39.0,40.66,41.66,38.98,178290.0,-0.041299999999999996
2018-10-25,40.25,39.21,41.41,37.81,88980.0,0.0321
2018-10-26,40.09,39.69,40.67,37.66,239230.0,-0.004
2018-10-29,39.94,40.64,44.39,39.41,311330.0,-0.0037
2018-10-30,38.7,39.85,39.89,37.45,352600.0,-0.031
2018-10-31,38.2,38.95,39.26,38.02,205790.0,-0.0129
2018-11-01,38.12,38.45,38.9,37.79,118330.0,-0.0021
2018-11-02,38.45,38.34,38.96,37.67,91860.0,0.0087
2018-11-05,38.87,38.45,39.25,38.11,279330.0,0.0109
2018-11-06,38.5,38.65,39.35,38.07,164650.0,-0.0095
2018-11-07,38.94,38.67,40.06,38.32,167310.0,0.011399999999999999
2018-11-08,39.25,38.75,39.58,38.14,176080.0,0.008
2018-11-09,38.2,38.92,39.5,37.77,403110.0,-0.0268
2018-11-12,36.33,38.16,39.47,35.88,426560.0,-0.049
2018-11-13,31.99,35.85,37.3,30.0,1460000.0,-0.1195
2018-11-14,30.4,32.05,32.32,29.45,651390.0,-0.049699999999999994
2018-11-15,31.1,30.3,32.77,29.68,434300.0,0.023
2018-11-16,31.22,30.88,34.75,30.22,253660.0,0.0039000000000000003
2018-11-19,31.17,31.13,32.29,30.97,136560.0,-0.0016
2018-11-20,31.1,30.68,31.42,29.74,192740.0,-0.0022
2018-11-21,30.96,31.24,31.24,30.68,195190.0,-0.0045000000000000005
2018-11-23,30.85,30.71,31.58,30.71,65830.0,-0.0036
2018-11-26,30.93,30.56,31.41,30.53,164380.0,0.0026
2018-11-27,30.39,30.87,31.99,30.35,84000.0,-0.0175
2018-11-28,31.21,30.32,31.7,30.32,172790.0,0.027000000000000003
2018-11-29,30.1,31.25,31.63,30.02,200810.0,-0.0356
2018-11-30,30.92,30.0,31.18,30.0,116550.0,0.027200000000000002
2018-12-03,31.43,31.08,31.83,30.25,105450.0,0.0165
2018-12-04,29.03,31.29,31.5,28.87,184640.0,-0.0764
2018-12-06,27.66,28.47,28.85,26.88,620550.0,-0.0472
2018-12-07,27.45,27.88,28.7,27.39,368220.0,-0.0076
2018-12-10,27.8,27.45,28.16,27.0,245610.0,0.0128
2018-12-11,27.65,28.05,28.79,27.34,147590.0,-0.0054
2018-12-12,28.34,27.98,28.92,27.73,201870.0,0.025
2018-12-13,28.68,28.44,29.09,27.5,243230.0,0.012
2018-12-14,28.65,28.32,29.05,28.0,236840.0,-0.001
2018-12-17,27.86,28.54,28.99,27.67,203190.0,-0.0276
2018-12-18,28.5,28.03,29.23,27.91,363270.0,0.023
2018-12-19,28.0,28.54,28.75,27.21,200170.0,-0.0175
2018-12-20,25.51,27.88,28.18,25.15,365540.0,-0.0889
2018-12-21,24.09,25.52,26.66,23.33,471610.0,-0.0557
2018-12-24,23.25,23.93,25.01,23.1,213880.0,-0.0349
2018-12-26,24.4,23.47,24.42,22.61,333030.0,0.0495
2018-12-27,25.07,24.08,25.14,24.08,110350.0,0.0275
2018-12-28,25.55,25.08,26.52,24.18,155290.0,0.0191
2018-12-31,26.33,26.15,26.57,25.26,138840.0,0.0305
2019-01-02,26.26,25.98,27.15,25.65,240100.0,-0.0027
2019-01-03,24.78,26.11,26.66,24.54,103170.0,-0.0564
2019-01-04,25.31,24.94,25.89,24.84,97310.0,0.021400000000000002
2019-01-07,26.0,25.28,26.48,25.09,128360.00000000001,0.0273
2019-01-08,26.75,26.5,27.0,26.23,233310.0,0.0288
2019-01-09,27.26,26.8,27.71,26.68,173900.0,0.0191
2019-01-10,27.47,27.18,27.83,26.8,38050.0,0.0077
2019-01-11,26.73,27.09,27.21,26.2,201170.0,-0.0269
2019-01-14,26.38,26.47,27.12,26.09,155420.0,-0.0131
2019-01-15,26.52,26.41,26.66,26.13,101790.0,0.0053
2019-01-16,27.6,26.6,27.83,26.5,119120.0,0.0407
2019-01-17,27.36,27.19,28.57,26.63,123080.0,-0.0087
2019-01-18,27.36,27.28,28.25,27.16,98080.0,0.0
2019-01-22,27.87,27.13,28.7,27.13,122080.0,0.018600000000000002
2019-01-23,27.48,27.95,28.74,26.9,155830.0,-0.013999999999999999
2019-01-24,27.79,27.52,28.38,27.1,51650.0,0.0113
2019-01-25,28.39,28.13,28.9,27.88,65180.00000000001,0.0216
