Date,Close,Open,High,Low,Volume,Change
2003-06-12,17.58,19.2,21.0,17.0,7080000.0,1.7213999999999998
2003-06-13,16.65,17.59,17.72,16.31,963650.0,-0.0529
2003-06-16,17.12,16.75,17.5,16.21,585410.0,0.0282
2003-06-17,17.2,17.3,17.65,16.85,384160.0,0.004699999999999999
2003-06-18,18.0,17.15,18.1,17.0,439480.0,0.04650000000000001
2003-06-19,17.27,18.0,18.12,17.1,297640.0,-0.0406
2003-06-20,17.7,17.39,17.82,17.14,167550.0,0.024900000000000002
2003-06-23,17.0,17.72,17.76,16.6,248820.0,-0.0395
2003-06-24,16.71,17.05,17.09,16.53,115010.0,-0.0171
2003-06-25,17.36,16.71,17.84,16.71,263900.0,0.038900000000000004
2003-06-26,17.15,17.53,17.68,16.98,122100.0,-0.0121
2003-06-27,17.45,17.13,18.18,16.95,322900.0,0.0175
2003-06-30,17.7,17.64,17.7,17.2,302200.0,0.0143
2003-07-01,17.95,17.5,18.33,17.0,192100.0,0.0141
2003-07-02,18.42,18.35,18.54,17.9,365180.0,0.0262
2003-07-03,18.15,18.4,18.4,18.04,51500.0,-0.0147
2003-07-07,18.23,18.2,19.13,18.01,159700.0,0.0044
2003-07-08,18.81,18.09,19.06,17.96,208900.0,0.0318
2003-07-09,18.96,19.13,19.7,18.25,257600.00000000003,0.008
2003-07-10,19.5,18.79,19.8,18.67,183800.0,0.0285
2003-07-11,19.35,19.45,19.45,18.91,295430.0,-0.0077
2003-07-14,19.25,19.5,19.93,19.05,398130.0,-0.0052
2003-07-15,18.45,19.45,19.5,17.92,483540.0,-0.0416
2003-07-16,18.25,18.42,18.62,17.68,194100.0,-0.0108
2003-07-17,17.73,17.89,18.04,17.0,199080.0,-0.0285
2003-07-18,17.4,17.68,18.2,17.17,117000.0,-0.018600000000000002
2003-07-21,17.61,17.37,18.2,17.22,54690.0,0.0121
2003-07-22,18.09,17.95,18.36,17.34,268540.0,0.0273
2003-07-23,18.8,18.05,18.85,17.7,287600.0,0.0392
2003-07-24,18.72,18.87,19.0,18.39,113500.0,-0.0043
