Date,Close,Open,High,Low,Volume,Change
1985-09-03,2.7,2.7,2.82,2.7,14690.0,-0.7761
1985-09-04,2.7,2.7,2.82,2.7,1480.0,0.0
1985-09-06,2.71,2.71,2.82,2.71,26470.0,0.0037
1985-09-09,2.82,2.82,2.92,2.82,14690.0,0.0406
1985-09-10,2.82,2.82,2.92,2.82,4420.0,0.0
1985-09-11,2.85,2.85,2.99,2.85,1480.0,0.0106
1985-09-12,2.88,2.88,2.99,2.88,2940.0,0.0105
1985-09-13,2.88,2.88,2.99,2.88,4420.0,0.0
1985-09-17,2.88,2.88,2.99,2.88,27930.0,0.0
1985-09-18,2.88,2.88,2.99,2.88,66140.0,0.0
1985-09-19,2.92,2.92,2.99,2.92,10290.0,0.0139
1985-09-20,2.92,2.92,2.99,2.92,5890.0,0.0
1985-09-23,2.92,2.92,3.02,2.92,7350.0,0.0
1985-09-24,2.92,2.92,3.02,2.92,23510.0,0.0
1985-09-25,2.92,2.92,3.02,2.92,2940.0,0.0
1985-09-26,2.92,2.92,3.02,2.92,11770.0,0.0
1985-09-30,2.92,2.92,3.02,2.92,25000.0,0.0
1985-10-01,2.92,2.92,3.05,2.92,17630.0,0.0
1985-10-02,2.95,2.95,3.05,2.95,16160.0,0.0103
1985-10-03,2.95,2.95,3.05,2.95,41160.0,0.0
1985-10-04,2.99,2.99,3.05,2.99,14690.0,0.013600000000000001
1985-10-07,2.99,2.99,3.05,2.99,740.0,0.0
1985-10-08,2.99,2.99,3.05,2.99,4420.0,0.0
1985-10-09,2.99,2.99,3.12,2.99,20590.0,0.0
1985-10-10,3.05,3.05,3.15,3.05,35280.0,0.020099999999999996
1985-10-14,3.09,3.09,3.15,3.09,2940.0,0.0131
1985-10-15,3.12,3.12,3.19,3.12,33810.0,0.0097
1985-10-16,3.12,3.12,3.19,3.12,1480.0,0.0
1985-10-17,3.12,3.12,3.19,3.12,14690.0,0.0
1985-10-18,3.12,3.12,3.19,3.12,41160.0,0.0
1985-10-21,3.09,3.09,3.19,3.09,2940.0,-0.0096
1985-10-22,3.09,3.09,3.19,3.09,1480.0,0.0
1985-10-23,3.12,3.12,3.19,3.12,33810.0,0.0097
1985-10-24,3.12,3.12,3.19,3.12,5890.0,0.0
1985-10-25,3.09,3.09,3.19,3.09,4420.0,-0.0096
1985-10-29,3.05,3.05,3.19,3.05,2940.0,-0.0129
1985-10-30,3.05,3.05,3.19,3.05,16160.0,0.0
1985-10-31,3.05,3.05,3.15,3.05,5890.0,0.0
1985-11-01,3.05,3.05,3.19,3.05,2940.0,0.0
1985-11-04,3.05,3.05,3.19,3.05,5890.0,0.0
1985-11-05,3.05,3.05,3.19,3.05,4420.0,0.0
1985-11-06,3.05,3.05,3.19,3.05,47020.0,0.0
1985-11-07,3.05,3.05,3.19,3.05,1480.0,0.0
1985-11-08,3.05,3.05,3.19,3.05,1480.0,0.0
1985-11-11,3.05,3.05,3.19,3.05,1180.0,0.0
1985-11-12,3.05,3.05,3.19,3.05,5890.0,0.0
1985-11-13,3.05,3.05,3.19,3.05,8830.0,0.0
1985-11-14,3.05,3.05,3.19,3.05,4420.0,0.0
1985-11-15,3.05,3.05,3.19,3.05,10290.0,0.0
1985-11-18,3.05,3.05,3.19,3.05,600.0,0.0
1985-11-19,3.19,3.19,3.19,3.19,1480.0,0.045899999999999996
1985-11-20,3.15,3.15,3.15,3.15,2940.0,-0.0125
1985-11-21,3.05,3.05,3.05,3.05,17630.0,-0.0317
1985-11-22,3.15,3.15,3.15,3.05,11770.0,0.032799999999999996
1985-11-26,3.02,3.02,3.09,3.02,25000.0,-0.041299999999999996
1985-11-27,3.02,3.02,3.12,3.02,4420.0,0.0
1985-11-29,3.02,3.02,3.02,3.02,1480.0,0.0
1985-12-02,3.02,3.02,3.02,3.02,1480.0,0.0
1985-12-03,2.99,2.99,3.09,2.99,8830.0,-0.009899999999999999
1985-12-04,2.99,2.99,3.04,2.99,69060.0,0.0
1985-12-05,3.04,3.04,3.07,3.0,86710.0,0.0167
1985-12-06,2.99,2.99,2.99,2.99,2940.0,-0.016399999999999998
1985-12-10,3.09,3.09,3.09,3.09,2940.0,0.0334
1985-12-11,3.07,3.07,3.07,3.0,5890.0,-0.006500000000000001
1985-12-13,3.0,3.0,3.09,3.0,5890.0,-0.022799999999999997
1985-12-16,3.05,3.05,3.09,3.05,13240.0,0.0167
1985-12-17,3.07,3.07,3.07,3.07,1480.0,0.0066
