Date,Close,Open,High,Low,Volume,Change
2019-03-11,16.8,16.5,17.7,16.19,2890000.0,0.0966
2019-03-12,16.4,17.0,17.52,16.1,1670000.0,-0.023799999999999998
2019-03-13,15.77,16.16,16.85,15.77,942830.0,-0.0384
2019-03-14,17.5,15.81,17.55,15.8,1490000.0,0.1097
2019-03-15,18.0,18.37,19.18,17.76,1570000.0,0.0286
2019-03-18,18.57,18.38,19.28,17.89,1710000.0,0.0317
2019-03-19,18.3,18.66,19.01,18.25,715320.0,-0.014499999999999999
2019-03-20,17.12,18.27,18.27,17.0,1360000.0,-0.0645
2019-03-21,17.45,17.21,17.89,17.19,576930.0,0.019299999999999998
2019-03-22,17.19,17.53,17.66,16.8,499970.0,-0.0149
2019-03-25,16.87,17.0,17.18,16.63,436750.0,-0.018600000000000002
2019-03-26,17.02,17.1,17.38,16.7,513600.0,0.0089
2019-03-27,18.27,17.17,18.35,17.12,987290.0,0.07339999999999999
2019-03-28,17.91,18.4,18.59,17.78,496360.0,-0.0197
2019-03-29,18.52,18.36,18.55,17.93,593380.0,0.0341
2019-04-01,18.62,19.22,19.27,18.11,945330.0,0.0054
2019-04-02,17.62,18.5,18.58,17.53,733840.0,-0.0537
2019-04-03,17.78,17.91,18.42,17.67,564710.0,0.0091
2019-04-04,17.11,17.95,17.95,17.0,603930.0,-0.0377
2019-04-05,17.13,17.17,17.9,17.1,296440.0,0.0012
2019-04-08,16.8,17.13,17.18,16.71,295280.0,-0.019299999999999998
2019-04-09,16.58,16.96,16.96,16.5,288680.0,-0.0131
2019-04-10,16.0,16.5,16.6,15.97,554670.0,-0.035
2019-04-11,16.78,16.07,16.88,15.71,504320.0,0.048799999999999996
2019-04-12,16.26,17.29,17.47,16.22,558860.0,-0.031
2019-04-15,16.26,16.54,16.6,15.95,290390.0,0.0
2019-04-16,16.84,16.58,17.52,16.5,1040000.0,0.035699999999999996
2019-04-17,15.8,17.3,17.42,15.78,1140000.0,-0.061799999999999994
2019-04-18,15.6,15.88,16.06,15.54,538350.0,-0.0127
2019-04-22,15.03,15.63,15.67,15.0,538020.0,-0.0365
2019-04-23,15.1,15.2,15.29,14.93,471680.0,0.004699999999999999
2019-04-24,14.7,15.1,15.24,14.68,358010.0,-0.0265
2019-04-25,13.76,14.7,14.7,13.76,882780.0,-0.0639
2019-04-26,14.64,13.89,14.68,13.7,522490.0,0.064
2019-04-29,14.31,14.68,15.2,14.26,497500.0,-0.0225
2019-04-30,13.95,14.43,14.66,13.91,284420.0,-0.0252
2019-05-01,13.75,14.04,14.33,13.68,430430.0,-0.0143
2019-05-02,13.65,13.94,14.24,13.6,447050.0,-0.0073
2019-05-03,14.24,13.71,14.3,13.66,371370.0,0.0432
2019-05-06,13.87,13.6,14.08,13.44,315760.0,-0.026000000000000002
2019-05-07,13.71,13.77,13.9,13.51,280410.0,-0.0115
2019-05-08,13.83,13.61,14.28,13.58,285540.0,0.0088
2019-05-09,13.41,13.63,13.65,13.3,262210.0,-0.0304
2019-05-10,13.42,13.58,13.61,13.31,181280.0,0.0007000000000000001
2019-05-13,12.51,13.08,13.08,12.5,407690.0,-0.0678
2019-05-14,12.08,12.78,12.87,12.02,380850.0,-0.0344
2019-05-15,12.77,12.0,12.88,12.0,366940.0,0.0571
2019-05-16,12.21,12.97,13.1,12.15,477790.0,-0.043899999999999995
2019-05-17,11.12,12.1,12.14,11.09,793340.0,-0.08929999999999999
2019-05-20,11.85,11.03,11.91,10.29,917720.0,0.06559999999999999
2019-05-21,12.33,12.19,12.51,12.08,457100.0,0.0405
2019-05-22,11.28,12.25,12.25,11.17,553860.0,-0.0852
2019-05-23,11.47,11.08,12.2,10.84,1050000.0,0.0168
2019-05-24,11.53,11.87,12.08,10.88,1170000.0,0.0052
2019-05-28,11.07,11.53,11.61,10.88,622150.0,-0.039900000000000005
2019-05-29,11.58,11.15,12.06,10.9,913560.0,0.0461
2019-05-30,11.52,11.69,11.88,11.36,156260.0,-0.0052
2019-05-31,10.98,11.37,11.37,10.91,417020.0,-0.046900000000000004
2019-06-03,10.23,11.22,11.36,10.15,538490.0,-0.0683
2019-06-04,10.56,10.29,10.77,10.29,266900.0,0.0323
2019-06-05,9.75,10.57,10.66,9.64,518470.0,-0.0767
2019-06-06,9.63,9.83,10.19,9.53,372720.0,-0.0123
2019-06-07,9.58,9.63,9.86,9.53,252930.0,-0.0052
2019-06-10,10.05,9.8,10.22,9.72,349590.0,0.049100000000000005
2019-06-11,10.14,10.16,10.6,10.0,312200.0,0.009000000000000001
2019-06-12,9.62,9.98,9.98,9.6,296980.0,-0.0513
2019-06-13,9.65,9.7,9.83,9.65,163050.0,0.0031
2019-06-14,9.55,9.64,9.71,9.41,137620.0,-0.0104
2019-06-17,9.87,9.55,10.15,9.48,273370.0,0.0335
2019-06-18,10.23,10.09,10.65,10.02,503580.0,0.0365
2019-06-19,10.01,10.25,10.49,9.96,317840.0,-0.0215
2019-06-20,10.05,10.36,10.43,9.99,476680.0,0.004
2019-06-21,10.45,10.2,10.45,9.95,299050.0,0.0398
2019-06-24,9.92,10.37,10.37,9.92,370920.0,-0.0507
2019-06-25,9.94,9.98,10.2,9.93,184310.0,0.002
2019-06-26,10.18,10.05,10.38,10.05,168260.0,0.0241
2019-06-27,10.37,10.16,10.39,10.14,188710.0,0.0187
2019-06-28,10.57,10.43,10.64,10.28,199220.0,0.019299999999999998
2019-07-01,10.54,10.99,11.03,10.51,327550.0,-0.0028000000000000004
2019-07-02,10.78,10.68,10.84,10.55,184100.0,0.022799999999999997
2019-07-03,11.0,10.69,11.05,10.62,140180.0,0.0204
2019-07-05,10.79,10.94,11.07,10.71,229120.0,-0.0191
2019-07-08,10.62,10.62,10.86,10.39,200790.0,-0.0158
2019-07-09,11.36,10.5,11.5,10.5,209220.0,0.0697
2019-07-10,10.94,11.46,11.74,10.7,402110.0,-0.037000000000000005
2019-07-11,10.79,11.07,11.22,10.74,124640.0,-0.0137
2019-07-12,10.9,10.78,11.09,10.71,113610.0,0.0102
2019-07-15,10.97,10.94,11.15,10.85,85030.0,0.0064
2019-07-16,11.25,11.07,11.44,11.06,103890.0,0.0255
2019-07-17,11.35,11.33,11.42,11.2,139050.0,0.0089
2019-07-18,11.03,11.4,11.4,10.88,86430.0,-0.0282
2019-07-19,11.17,11.28,11.28,11.1,47610.0,0.0127
2019-07-22,11.18,11.2,11.35,11.01,65600.0,0.0009
2019-07-23,11.31,11.2,11.39,11.19,52820.0,0.0116
2019-07-24,11.37,11.31,11.45,11.13,50680.0,0.0053
2019-07-25,11.24,11.28,11.37,11.13,77030.0,-0.011399999999999999
2019-07-26,11.4,11.18,11.4,11.15,69930.0,0.014199999999999999
2019-07-29,11.36,11.3,11.48,11.25,93820.0,-0.0034999999999999996
2019-07-30,11.35,11.26,11.35,11.25,90870.0,-0.0009
2019-07-31,11.33,11.43,11.43,11.25,45690.0,-0.0018
2019-08-01,11.0,11.25,11.36,10.71,112340.0,-0.0291
2019-08-02,10.67,10.86,10.91,10.5,124340.0,-0.03
2019-08-05,9.9,10.26,10.41,9.77,200560.0,-0.0722
2019-08-06,10.11,10.1,10.3,9.96,101670.0,0.0212
2019-08-07,10.2,10.04,10.21,9.98,100110.0,0.0089
2019-08-08,10.35,10.28,10.35,10.16,56260.0,0.0147
2019-08-09,10.1,10.28,10.28,10.03,56670.0,-0.0242
2019-08-12,10.02,10.08,10.21,9.96,88900.0,-0.0079
2019-08-13,10.37,10.16,10.67,9.98,98020.0,0.0349
2019-08-14,10.0,10.13,10.29,10.0,84860.0,-0.035699999999999996
2019-08-15,10.07,10.14,10.15,10.01,66360.0,0.006999999999999999
2019-08-16,10.69,10.13,10.69,10.13,100580.0,0.0616
2019-08-19,10.68,11.08,11.13,10.66,151760.0,-0.0009
2019-08-20,10.98,10.66,10.98,10.64,83430.0,0.0281
2019-08-21,11.2,10.91,11.32,10.91,132060.0,0.02
2019-08-22,11.15,11.31,11.44,11.15,80590.0,-0.0045000000000000005
2019-08-23,11.32,11.22,11.65,11.22,326120.0,0.0152
2019-08-26,10.59,12.0,12.0,10.59,510730.0,-0.0645
2019-08-27,10.92,10.7,10.92,10.63,154920.0,0.031200000000000002
2019-08-28,11.09,10.87,11.09,10.65,91180.0,0.015600000000000001
2019-08-29,11.0,11.13,11.33,10.9,191550.0,-0.008100000000000001
2019-08-30,10.8,11.02,11.02,10.74,64250.0,-0.0182
2019-09-03,10.63,10.7,10.76,10.6,70000.0,-0.015700000000000002
2019-09-04,11.27,10.75,11.27,10.75,213600.0,0.0602
2019-09-05,11.15,11.41,11.41,11.1,141880.0,-0.0106
2019-09-06,11.19,11.18,11.3,11.1,49270.0,0.0036
2019-09-09,11.49,11.12,11.72,11.08,142060.0,0.0268
2019-09-10,11.65,11.38,11.7,11.3,154400.0,0.0139
2019-09-11,11.97,11.74,12.0,11.59,187040.0,0.0275
2019-09-12,11.87,11.92,11.92,11.72,99170.0,-0.0084
2019-09-13,11.99,11.85,12.19,11.85,186470.0,0.0101
2019-09-16,12.2,12.05,12.23,11.97,103390.0,0.0175
2019-09-17,12.42,12.19,12.43,12.0,99600.0,0.018000000000000002
2019-09-18,12.17,12.4,12.61,12.06,164650.0,-0.020099999999999996
2019-09-19,12.37,12.17,12.55,12.17,105310.0,0.016399999999999998
2019-09-20,12.28,12.31,12.5,12.03,94640.0,-0.0073
2019-09-23,12.11,12.1,12.27,12.01,48570.0,-0.0138
2019-09-24,11.44,12.16,12.19,11.35,171470.0,-0.0553
2019-09-25,11.22,11.36,11.59,11.13,77800.0,-0.0192
2019-09-26,11.19,11.17,11.35,11.15,38980.0,-0.0027
2019-09-27,10.77,11.19,11.29,10.74,89450.0,-0.0375
2019-09-30,10.97,10.92,11.17,10.7,113410.0,0.018600000000000002
2019-10-01,10.59,10.99,11.04,10.45,92220.0,-0.0346
2019-10-02,10.4,10.5,10.5,10.14,104850.0,-0.0179
2019-10-03,10.46,10.49,10.5,10.32,41500.0,0.0058
2019-10-04,10.53,10.49,10.7,10.34,74070.0,0.0067
2019-10-07,10.48,10.4,10.8,10.4,21910.0,-0.004699999999999999
2019-10-08,10.46,10.36,10.59,10.3,87210.0,-0.0019
2019-10-09,10.63,10.53,10.83,10.53,76270.0,0.0163
2019-10-10,10.74,10.78,10.94,10.7,87780.0,0.0103
2019-10-11,10.76,11.1,11.1,10.71,99940.0,0.0019
2019-10-14,10.72,10.84,10.89,10.69,28290.0,-0.0037
2019-10-15,10.81,10.7,10.89,10.7,65230.00000000001,0.0084
2019-10-16,10.73,10.86,10.88,10.68,36720.0,-0.0074
2019-10-17,10.68,10.76,10.8,10.67,21450.0,-0.004699999999999999
2019-10-18,10.74,10.65,10.81,10.58,31010.0,0.005600000000000001
2019-10-21,10.78,11.0,11.0,10.6,55020.0,0.0037
2019-10-22,10.74,10.65,10.76,10.65,20390.0,-0.0037
2019-10-23,10.85,10.58,10.87,10.58,26810.0,0.0102
2019-10-24,10.73,10.86,10.86,10.71,26990.0,-0.0111
2019-10-25,10.74,10.64,10.82,10.53,55960.0,0.0009
2019-10-28,10.87,10.8,10.95,10.71,67210.0,0.0121
2019-10-29,10.81,10.82,10.86,10.79,41730.0,-0.0055000000000000005
2019-10-30,10.79,10.62,10.86,10.62,165950.0,-0.0019
2019-10-31,10.77,10.88,10.88,10.76,12250.0,-0.0019
2019-11-01,10.75,10.86,10.95,10.74,56530.0,-0.0019
2019-11-04,10.89,10.81,10.9,10.77,45500.0,0.013000000000000001
2019-11-05,11.2,11.0,11.35,10.93,105250.0,0.0285
2019-11-06,11.29,11.4,11.48,11.18,65160.0,0.008
2019-11-07,11.56,11.37,11.6,11.35,66090.0,0.0239
2019-11-08,11.31,11.64,11.64,11.31,39040.0,-0.0216
2019-11-11,11.05,11.05,11.14,11.02,38750.0,-0.023
2019-11-12,11.1,11.02,11.13,10.94,34950.0,0.0045000000000000005
2019-11-13,10.95,10.99,11.08,10.92,27900.0,-0.013500000000000002
2019-11-14,11.03,10.97,11.05,10.97,16090.0,0.0073
2019-11-15,11.12,10.94,11.35,10.94,59680.0,0.008199999999999999
2019-11-18,11.05,11.13,11.25,11.02,45360.0,-0.0063
2019-11-19,11.0,11.16,11.31,11.0,55740.0,-0.0045000000000000005
2019-11-20,10.93,10.97,11.29,10.84,90890.0,-0.0064
2019-11-21,11.14,10.91,11.17,10.91,81120.0,0.0192
2019-11-22,10.66,10.9,10.97,10.61,203880.0,-0.0431
2019-11-25,10.66,10.62,10.68,10.46,87870.0,0.0
2019-11-26,10.56,10.6,10.7,10.51,76560.0,-0.009399999999999999
2019-11-27,10.53,10.54,10.61,10.45,50870.0,-0.0028000000000000004
2019-11-29,10.45,10.56,10.56,10.45,20230.0,-0.0076
2019-12-02,10.13,10.44,10.44,10.12,82650.0,-0.030600000000000002
2019-12-03,10.14,10.14,10.19,10.06,56180.0,0.001
2019-12-04,10.2,10.2,10.23,10.18,35550.0,0.0059
2019-12-05,10.27,10.42,10.43,10.23,21750.0,0.0069
2019-12-06,10.31,10.33,10.44,10.3,18410.0,0.0039000000000000003
2019-12-09,10.1,10.39,10.39,10.1,47790.0,-0.0204
2019-12-10,10.11,10.25,10.26,10.04,65150.00000000001,0.001
2019-12-11,10.12,10.14,10.15,10.05,34830.0,0.001
2019-12-12,10.08,10.19,10.19,10.07,53940.0,-0.004
2019-12-13,10.15,10.17,10.38,10.15,78380.0,0.0069
2019-12-16,10.05,10.3,10.3,10.05,84880.0,-0.009899999999999999
2019-12-17,10.1,10.12,10.16,10.07,93570.0,0.005
2019-12-18,10.02,10.08,10.13,10.0,153830.0,-0.0079
2019-12-19,10.1,10.05,10.14,10.0,68250.0,0.008
2019-12-20,10.0,10.1,10.11,10.0,105900.0,-0.009899999999999999
2019-12-23,9.92,10.07,10.07,9.85,117150.0,-0.008
2019-12-24,9.98,9.95,10.01,9.88,191140.0,0.006
2019-12-26,9.94,10.09,10.09,9.91,48110.0,-0.004
2019-12-27,9.93,9.94,10.02,9.92,43980.0,-0.001
2019-12-30,9.97,9.93,10.03,9.92,138380.0,0.004
2019-12-31,10.32,9.99,10.37,9.94,154210.0,0.0351
2020-01-02,10.68,10.47,10.88,10.43,243120.0,0.0349
2020-01-03,10.17,10.48,10.7,10.15,99570.0,-0.0478
2020-01-06,10.35,10.26,10.46,10.2,111300.0,0.0177
2020-01-07,10.41,10.37,10.48,10.37,80180.0,0.0058
2020-01-08,10.48,10.4,10.55,10.36,56770.0,0.0067
2020-01-09,10.58,10.58,10.7,10.58,95320.0,0.0095
2020-01-10,10.34,10.5,10.58,10.31,86130.0,-0.0227
2020-01-13,10.57,10.4,10.57,10.35,230500.0,0.0222
2020-01-14,10.63,10.56,10.79,10.46,83440.0,0.005699999999999999
2020-01-15,11.25,10.64,11.33,10.63,254180.0,0.0583
2020-01-16,12.01,11.5,12.12,11.43,646630.0,0.0676
2020-01-17,12.18,12.13,12.8,11.86,463050.0,0.014199999999999999
2020-01-21,11.5,11.67,11.99,11.45,221890.0,-0.0558
2020-01-22,11.71,11.72,12.07,11.57,190560.0,0.0183
2020-01-23,11.2,11.46,11.46,11.13,136710.0,-0.0436
2020-01-24,11.05,11.22,11.47,10.88,109130.0,-0.0134
2020-01-27,10.83,10.68,10.86,10.5,125990.0,-0.0199
2020-01-28,10.96,10.86,11.06,10.84,69760.0,0.012
2020-01-29,11.56,10.98,11.6,10.98,128190.0,0.0547
2020-01-30,11.11,11.28,12.23,11.1,646930.0,-0.038900000000000004
2020-01-31,11.11,11.18,11.32,11.01,87670.0,0.0
2020-02-03,10.91,11.16,11.28,10.9,121630.0,-0.018000000000000002
2020-02-04,11.02,11.19,11.34,11.01,128669.99999999999,0.0101
2020-02-05,11.11,11.09,11.24,10.85,116670.0,0.008199999999999999
2020-02-06,11.21,11.21,11.22,11.12,70970.0,0.009000000000000001
2020-02-07,11.36,11.11,11.4,11.11,44770.0,0.0134
2020-02-10,11.61,11.6,11.65,11.42,97210.0,0.022000000000000002
2020-02-11,13.37,11.6,13.39,11.59,1160000.0,0.1516
2020-02-12,12.82,13.4,13.45,12.8,230660.0,-0.041100000000000005
2020-02-13,12.65,12.7,12.76,12.51,97200.0,-0.013300000000000001
2020-02-14,12.78,12.75,13.19,12.7,166170.0,0.0103
2020-02-18,13.18,12.9,13.39,12.86,163220.0,0.0313
2020-02-19,13.41,13.4,13.79,13.32,288260.0,0.0175
2020-02-20,12.75,13.43,14.2,12.74,485780.0,-0.0492
2020-02-21,12.74,13.01,13.22,12.61,244080.0,-0.0008
2020-02-24,12.0,12.13,12.59,12.0,302970.0,-0.0581
2020-02-25,12.2,12.28,12.54,12.12,163840.0,0.0167
2020-02-26,12.3,12.26,12.64,12.26,97370.0,0.008199999999999999
2020-02-27,12.2,12.13,12.28,11.78,321000.0,-0.008100000000000001
2020-02-28,11.57,11.87,12.04,11.51,219440.0,-0.0516
2020-03-02,12.2,12.0,12.2,12.0,179370.0,0.0545
2020-03-03,12.09,12.22,12.4,12.0,120370.0,-0.009000000000000001
2020-03-04,12.38,12.36,12.4,12.2,89310.0,0.024
2020-03-05,12.62,12.31,12.76,12.15,164580.0,0.0194
2020-03-06,13.0,12.33,13.36,12.33,301730.0,0.0301
2020-03-09,10.82,12.4,12.4,10.79,594330.0,-0.1677
2020-03-10,11.74,11.59,11.84,11.13,286340.0,0.085
2020-03-11,11.52,11.33,11.75,11.17,157750.0,-0.0187
2020-03-12,10.42,10.88,10.99,10.4,329200.0,-0.0955
2020-03-13,10.5,11.39,11.39,10.4,332890.0,0.0077
2020-03-16,10.84,9.79,10.99,9.51,289010.0,0.032400000000000005
2020-03-17,11.36,10.9,11.53,10.61,231340.0,0.048
2020-03-18,8.89,10.6,10.6,8.85,830290.0,-0.21739999999999998
2020-03-19,8.77,8.7,9.25,8.45,409240.0,-0.013500000000000002
2020-03-20,8.67,9.01,9.2,8.51,245300.0,-0.011399999999999999
2020-03-23,8.34,8.79,8.81,8.16,314290.0,-0.0381
2020-03-24,8.9,8.79,9.04,8.73,357780.0,0.06709999999999999
2020-03-25,9.5,9.24,9.67,9.03,249320.0,0.0674
2020-03-26,9.8,9.49,9.98,9.49,200610.0,0.0316
2020-03-27,9.43,9.39,9.55,9.27,94690.0,-0.0378
2020-03-30,9.24,9.4,9.4,9.01,79150.0,-0.020099999999999996
2020-03-31,9.47,9.21,9.74,9.21,64349.99999999999,0.024900000000000002
2020-04-01,9.9,9.31,9.9,9.3,207000.0,0.0454
2020-04-02,10.14,9.84,10.14,9.8,101210.0,0.0242
2020-04-03,10.54,9.93,10.54,9.93,148360.0,0.0394
2020-04-06,10.8,10.68,10.88,10.54,126230.0,0.024700000000000003
2020-04-07,10.54,11.19,11.19,10.54,150990.0,-0.0241
2020-04-08,10.62,10.4,10.69,10.33,45570.0,0.0076
2020-04-09,10.6,10.8,10.86,10.41,74450.0,-0.0019
2020-04-13,10.42,10.53,10.75,10.38,69080.0,-0.017
2020-04-14,10.6,10.76,10.78,10.52,60140.0,0.0173
2020-04-15,10.5,10.39,10.5,10.25,37830.0,-0.009399999999999999
2020-04-16,10.67,10.49,10.67,10.45,65330.0,0.016200000000000003
2020-04-17,10.7,10.8,10.92,10.7,73120.0,0.0028000000000000004
2020-04-20,10.51,10.6,10.65,10.32,68400.0,-0.0178
2020-04-21,10.14,10.21,10.37,10.0,116870.0,-0.0352
2020-04-22,10.68,10.34,10.78,10.3,150780.0,0.0533
2020-04-23,10.32,10.75,10.79,10.3,74280.0,-0.0337
2020-04-24,10.49,10.34,10.49,10.32,20170.0,0.0165
2020-04-27,10.47,10.54,10.6,10.4,82710.0,-0.0019
2020-04-28,10.47,10.51,10.65,10.31,58050.0,0.0
2020-04-29,10.75,10.48,10.85,10.48,165200.0,0.026699999999999998
2020-04-30,11.15,10.75,11.21,10.66,149750.0,0.037200000000000004
2020-05-01,10.44,10.88,10.95,10.41,67530.0,-0.0637
2020-05-04,10.42,10.31,10.6,10.21,30960.0,-0.0019
2020-05-05,10.71,10.52,10.85,10.52,48010.0,0.0278
2020-05-06,11.05,10.86,11.14,10.74,60920.0,0.0317
2020-05-07,11.37,11.24,11.5,11.06,87300.0,0.028999999999999998
2020-05-08,11.98,11.5,11.98,11.5,67890.0,0.0536
2020-05-11,12.3,12.0,12.68,11.85,249570.0,0.026699999999999998
2020-05-12,12.4,12.34,12.67,12.34,192840.0,0.008100000000000001
2020-05-13,12.28,12.45,12.68,12.22,236110.0,-0.0097
2020-05-14,12.76,13.44,14.16,12.68,1490000.0,0.0391
2020-05-15,13.11,12.96,13.25,12.7,195190.0,0.0274
2020-05-18,12.71,13.2,13.2,12.68,247370.0,-0.0305
2020-05-19,14.12,12.87,14.53,12.84,451370.0,0.1109
2020-05-20,15.16,14.01,15.8,13.5,2049999.9999999998,0.0737
2020-05-21,14.0,14.76,15.2,14.0,802420.0,-0.0765
2020-05-22,13.82,13.88,14.53,13.42,807210.0,-0.0129
2020-05-26,14.7,14.41,14.96,14.2,419730.0,0.0637
2020-05-27,14.55,15.02,15.5,13.82,495000.0,-0.0102
2020-05-28,14.88,14.43,14.91,14.37,125220.0,0.0227
2020-05-29,15.99,14.68,16.0,14.67,651960.0,0.0746
2020-06-01,16.84,16.39,16.9,16.04,832730.0,0.053200000000000004
2020-06-02,18.95,16.98,19.0,16.98,944170.0,0.1253
2020-06-03,20.05,19.5,20.1,19.0,1180000.0,0.057999999999999996
2020-06-04,18.19,19.52,19.75,18.01,1480000.0,-0.0928
2020-06-05,18.0,18.61,18.66,17.77,886790.0,-0.0104
2020-06-08,19.82,18.25,19.9,17.73,888040.0,0.1011
2020-06-09,19.87,19.23,20.46,19.12,583850.0,0.0025
2020-06-10,19.66,20.02,20.15,19.2,385250.0,-0.0106
2020-06-11,18.16,18.72,19.41,18.13,432910.0,-0.07629999999999999
2020-06-12,18.79,18.99,19.54,18.16,499280.0,0.0347
2020-06-15,20.65,18.38,20.95,18.38,920350.0,0.099
2020-06-16,21.94,21.6,22.0,20.79,753700.0,0.0625
2020-06-17,21.74,22.0,22.15,21.44,345450.0,-0.0091
2020-06-18,21.65,21.89,21.89,21.03,595270.0,-0.0040999999999999995
2020-06-19,22.15,21.92,22.15,21.51,798550.0,0.0231
2020-06-22,22.44,22.78,24.19,22.2,1590000.0,0.0131
2020-06-23,24.31,23.18,24.92,23.18,1650000.0,0.0833
2020-06-24,24.07,24.58,24.85,23.71,1080000.0,-0.009899999999999999
2020-06-25,24.96,24.27,25.2,24.22,838080.0,0.037000000000000005
2020-06-26,24.31,25.2,25.54,23.51,1160000.0,-0.026000000000000002
2020-06-29,23.15,24.23,24.29,22.75,1210000.0,-0.04769999999999999
2020-06-30,23.67,23.49,24.43,23.29,647740.0,0.0225
2020-07-01,23.24,24.34,24.66,22.94,518720.0,-0.0182
2020-07-02,26.66,25.0,26.79,24.81,1500000.0,0.1472
2020-07-06,29.36,31.73,32.63,28.6,4170000.0,0.1013
2020-07-07,30.78,29.28,30.96,28.5,1600000.0,0.0484
2020-07-08,30.83,32.46,33.77,30.3,1960000.0,0.0016
2020-07-09,31.51,31.98,32.65,30.11,1700000.0,0.022099999999999998
2020-07-10,30.32,31.05,31.3,30.15,924540.0,-0.0378
2020-07-13,30.0,31.04,32.3,29.67,1350000.0,-0.0106
2020-07-14,29.57,28.56,30.25,27.7,1440000.0,-0.0143
2020-07-15,29.77,30.32,30.32,28.66,740930.0,0.0068000000000000005
2020-07-16,29.39,27.56,29.65,26.69,1740000.0,-0.0128
2020-07-17,27.94,29.06,29.06,27.87,597300.0,-0.0493
2020-07-20,28.95,29.52,30.26,28.81,1350000.0,0.0361
2020-07-21,29.71,30.03,30.18,29.6,925610.0,0.0263
2020-07-22,28.42,28.93,29.33,27.73,681890.0,-0.0434
2020-07-23,27.32,28.85,28.85,27.0,564350.0,-0.0387
2020-07-24,28.68,27.59,29.1,26.41,1580000.0,0.049800000000000004
2020-07-27,29.74,28.97,30.0,27.61,1050000.0,0.037000000000000005
2020-07-28,29.7,29.65,30.24,29.43,693390.0,-0.0013
2020-07-29,31.96,31.09,32.46,30.91,1450000.0,0.0761
2020-07-30,33.8,31.52,35.56,31.37,1720000.0,0.0576
2020-07-31,34.37,34.83,34.94,33.13,955880.0,0.0169
2020-08-03,35.68,35.0,36.15,34.43,1090000.0,0.0381
2020-08-04,36.61,36.17,37.29,35.81,845950.0,0.026099999999999998
2020-08-05,40.3,37.63,40.45,37.4,1440000.0,0.1008
2020-08-06,37.46,40.52,40.52,37.37,2150000.0,-0.0705
2020-08-07,35.99,36.7,37.45,35.01,1510000.0,-0.0392
2020-08-10,34.97,36.2,36.2,34.49,1100000.0,-0.028300000000000002
2020-08-11,34.0,35.0,35.0,33.85,1040000.0,-0.0277
2020-08-12,35.56,34.83,35.62,34.14,1690000.0,0.045899999999999996
2020-08-13,33.68,37.0,37.38,33.1,3710000.0,-0.0529
2020-08-14,33.23,34.0,34.72,32.8,860680.0,-0.0134
2020-08-17,33.91,33.97,35.92,33.82,1720000.0,0.020499999999999997
2020-08-18,35.4,33.72,36.58,33.3,3020000.0,0.043899999999999995
2020-08-19,32.22,33.92,34.01,32.17,7230000.0,-0.0898
2020-08-20,31.92,32.53,33.1,31.25,2320000.0,-0.009300000000000001
2020-08-21,31.61,32.14,32.44,31.52,1530000.0,-0.0097
2020-08-24,32.64,32.36,32.74,31.68,2390000.0,0.0326
2020-08-25,33.0,32.52,33.7,32.27,2730000.0,0.011000000000000001
2020-08-26,32.44,33.19,33.19,31.91,1930000.0,-0.017
2020-08-27,31.7,32.53,32.53,30.81,1850000.0,-0.022799999999999997
2020-08-28,31.96,32.0,32.78,31.51,1420000.0,0.008199999999999999
2020-08-31,32.17,32.46,33.36,31.83,2660000.0,0.0066
2020-09-01,33.05,32.35,33.66,32.1,1770000.0,0.0274
2020-09-02,31.96,33.47,33.83,31.7,1990000.0,-0.033
2020-09-03,29.87,31.56,31.56,29.61,2710000.0,-0.0654
2020-09-04,29.9,29.81,30.48,28.04,1990000.0,0.001
2020-09-08,30.52,29.1,30.79,28.55,1750000.0,0.0207
2020-09-09,31.1,30.8,31.22,30.21,734150.0,0.019
2020-09-10,31.08,31.45,31.75,30.82,876010.0,-0.0006
2020-09-11,30.74,31.09,31.73,30.26,641220.0,-0.0109
2020-09-14,32.2,31.0,32.8,30.9,1280000.0,0.0475
2020-09-15,32.79,32.67,33.28,32.35,1040000.0,0.0183
2020-09-16,32.36,32.77,33.01,31.9,1050000.0,-0.0131
2020-09-17,30.59,31.01,32.35,30.26,1340000.0,-0.0547
2020-09-18,30.28,31.0,31.19,29.69,937880.0,-0.0101
2020-09-21,30.18,29.34,30.24,28.48,931720.0,-0.0033
2020-09-22,29.74,30.07,30.07,28.96,648510.0,-0.0146
2020-09-23,29.65,29.88,31.35,29.48,868410.0,-0.003
2020-09-24,29.57,29.41,30.07,28.9,829500.0,-0.0027
2020-09-25,29.96,29.57,30.15,29.0,1040000.0,0.0132
2020-09-28,29.42,30.36,30.36,29.28,670950.0,-0.018000000000000002
2020-09-29,28.5,29.53,29.53,28.19,944770.0,-0.0313
2020-09-30,28.62,29.1,29.62,28.62,602060.0,0.0042
2020-10-01,29.02,28.93,29.21,28.41,709770.0,0.013999999999999999
2020-10-02,27.62,28.22,28.79,27.52,1040000.0,-0.0482
2020-10-05,27.52,28.0,28.65,27.15,928550.0,-0.0036
2020-10-06,28.61,28.08,30.2,28.01,1980000.0,0.039599999999999996
2020-10-07,32.04,29.54,32.05,29.54,2340000.0,0.1199
