Date,Close,Open,High,Low,Volume,Change
2021-05-05,26.0,25.81,26.26,25.0,1530000.0,-0.0353
2021-05-06,25.97,25.47,26.02,25.1,698910.0,-0.0012
2021-05-07,25.91,25.41,26.4,25.05,921620.0,-0.0023
2021-05-10,26.5,25.6,26.7,25.43,1210000.0,0.022799999999999997
2021-05-11,25.79,25.52,26.69,25.4,1910000.0,-0.0268
2021-05-12,25.23,25.39,25.79,24.95,763870.0,-0.0217
2021-05-13,25.1,24.44,25.23,23.91,546260.0,-0.0052
2021-05-14,24.75,25.0,25.25,24.63,2009999.9999999998,-0.0139
2021-05-17,24.22,24.51,24.86,23.84,1200000.0,-0.021400000000000002
2021-05-18,24.19,23.51,24.76,23.24,1660000.0,-0.0012
2021-05-19,24.45,23.71,24.47,23.65,949960.0,0.010700000000000001
2021-05-20,25.12,24.65,25.34,24.0,1130000.0,0.0274
2021-05-21,25.34,25.3,25.5,25.13,721070.0,0.0088
2021-05-24,25.46,25.35,25.5,25.21,953850.0,0.004699999999999999
2021-05-25,25.0,25.26,25.38,24.5,366400.0,-0.0181
2021-05-26,24.57,25.01,25.07,24.37,575090.0,-0.0172
2021-05-27,24.54,24.51,24.83,24.12,421070.0,-0.0012
2021-05-28,24.98,24.5,25.09,24.2,529390.0,0.0179
2021-06-01,25.13,24.79,25.25,24.79,972310.0,0.006
2021-06-02,25.13,24.95,25.29,24.9,1350000.0,0.0
2021-06-03,25.41,25.0,25.55,24.98,1560000.0,0.0111
2021-06-04,25.97,25.54,26.28,25.07,3520000.0,0.022000000000000002
2021-06-07,24.53,25.53,25.68,23.92,3230000.0,-0.0554
2021-06-08,25.5,24.7,25.62,24.5,2009999.9999999998,0.0395
2021-06-09,24.98,25.5,25.6,24.52,709330.0,-0.0204
2021-06-10,24.95,25.09,25.13,24.6,655760.0,-0.0012
2021-06-11,25.45,25.05,25.53,24.87,693320.0,0.02
2021-06-14,24.51,25.16,25.34,24.4,1090000.0,-0.0369
2021-06-15,24.99,24.61,25.05,24.48,1580000.0,0.0196
2021-06-16,24.96,25.02,25.29,24.83,868460.0,-0.0012
2021-06-17,24.99,24.8,25.11,24.62,401660.0,0.0012
2021-06-18,25.08,24.72,25.21,24.7,815200.0,0.0036
2021-06-21,24.97,24.85,25.15,24.75,1610000.0,-0.0044
2021-06-22,24.75,24.81,24.93,24.6,318240.0,-0.0088
2021-06-23,24.49,24.61,24.68,24.45,378330.0,-0.0105
2021-06-24,24.56,24.41,24.59,24.04,625350.0,0.0029
2021-06-25,24.64,24.5,25.35,24.2,1460000.0,0.0033
2021-06-28,25.52,24.77,25.81,24.49,5280000.0,0.035699999999999996
2021-06-29,25.81,25.5,26.46,25.22,2680000.0,0.011399999999999999
2021-06-30,26.4,25.57,26.54,25.17,2870000.0,0.0229
2021-07-01,26.9,26.4,27.39,26.14,2240000.0,0.0189
2021-07-02,28.0,26.88,28.05,26.84,1350000.0,0.0409
2021-07-06,29.48,28.9,29.96,28.9,4630000.0,0.0529
2021-07-07,29.74,29.6,29.87,29.17,1030000.0,0.0088
2021-07-08,29.6,28.95,30.1,28.91,1630000.0,-0.004699999999999999
2021-07-09,29.95,29.56,30.16,29.46,1590000.0,0.0118
2021-07-12,29.98,30.0,30.59,29.6,911090.0,0.001
2021-07-13,29.81,30.0,30.0,29.68,1330000.0,-0.005699999999999999
2021-07-14,29.74,29.71,30.0,29.45,1240000.0,-0.0023
2021-07-15,29.53,29.6,29.85,29.0,850260.0,-0.0070999999999999995
2021-07-16,29.57,29.54,29.7,29.2,710850.0,0.0014000000000000002
2021-07-19,28.27,29.54,29.72,28.1,1520000.0,-0.044000000000000004
2021-07-20,28.71,28.27,29.02,28.03,715510.0,0.015600000000000001
2021-07-21,29.53,29.01,29.69,28.87,1620000.0,0.0286
2021-07-22,29.38,29.45,29.89,29.32,838380.0,-0.0051
2021-07-23,29.26,29.41,29.51,28.92,898690.0,-0.0040999999999999995
2021-07-26,29.03,29.4,29.4,28.98,459900.0,-0.0079
2021-07-27,28.98,29.01,29.25,28.67,434680.0,-0.0017000000000000001
2021-07-28,29.24,28.92,29.36,28.75,1450000.0,0.009000000000000001
