Date,Close,Open,High,Low,Volume,Change
2001-02-23,5.45,5.35,5.55,5.35,24800.0,0.0187
2001-02-26,5.4,5.5,5.5,5.4,4600.0,-0.0092
2001-02-27,5.39,5.4,5.4,5.38,6400.0,-0.0019
2001-02-28,5.3,5.4,5.41,5.3,12200.0,-0.0167
2001-03-01,5.6,5.3,5.7,5.3,11600.0,0.056600000000000004
2001-03-02,5.55,5.64,5.64,5.55,6500.0,-0.0089
2001-03-05,5.58,5.6,5.75,5.5,19900.0,0.0054
2001-03-06,5.7,5.65,5.7,5.6,8000.0,0.0215
2001-03-07,5.72,5.73,5.73,5.6,2100.0,0.0034999999999999996
2001-03-08,5.65,5.5,5.75,5.5,8700.0,-0.012199999999999999
2001-03-09,5.63,5.6,5.75,5.6,10000.0,-0.0034999999999999996
2001-03-12,5.9,5.85,6.0,5.84,8700.0,0.048
2001-03-13,5.9,5.9,5.92,5.9,4000.0,0.0
2001-03-14,5.72,5.82,5.82,5.62,5600.0,-0.0305
2001-03-15,5.6,5.6,5.6,5.6,4000.0,-0.021
2001-03-16,6.21,5.5,6.25,5.4,83100.0,0.10890000000000001
2001-03-19,6.35,6.25,6.7,6.23,60600.0,0.0225
2001-03-20,6.25,6.4,6.4,6.25,8500.0,-0.015700000000000002
2001-03-21,6.0,6.15,6.15,5.9,20700.0,-0.04
2001-03-22,5.7,5.95,5.95,5.6,27900.0,-0.05
2001-03-23,5.75,5.75,5.75,5.75,2600.0,0.0088
2001-03-26,5.93,5.9,5.95,5.9,5200.0,0.0313
2001-03-27,6.03,5.95,6.2,5.95,30300.0,0.0169
2001-03-28,5.96,6.0,6.0,5.95,14200.0,-0.0116
2001-03-29,6.15,6.0,6.15,5.97,19300.0,0.0319
2001-03-30,6.5,6.2,6.5,6.1,85800.0,0.056900000000000006
2001-04-02,6.3,6.4,6.4,6.3,4400.0,-0.0308
2001-04-03,6.2,6.25,6.25,6.2,500.0,-0.0159
2001-04-04,6.15,6.25,6.25,6.1,3000.0,-0.008100000000000001
2001-04-06,6.2,6.05,6.2,6.05,700.0,0.008100000000000001
2001-04-09,6.0,6.23,6.24,6.0,2300.0,-0.0323
2001-04-10,5.95,6.06,6.1,5.95,5100.0,-0.0083
2001-04-11,6.0,5.99,6.1,5.99,7100.0,0.0084
2001-04-12,6.12,6.1,6.15,6.02,2100.0,0.02
2001-04-16,6.38,6.15,6.45,6.15,13700.0,0.0425
2001-04-17,6.3,6.3,6.35,6.3,3300.0,-0.0125
2001-04-18,6.29,6.4,6.4,6.29,6200.0,-0.0016
2001-04-19,6.75,6.4,6.75,6.32,27900.0,0.0731
2001-04-20,6.4,6.75,6.75,6.4,26300.0,-0.0519
2001-04-23,6.4,6.35,6.45,6.35,8800.0,0.0
2001-04-24,6.5,6.47,6.54,6.47,25600.0,0.015600000000000001
2001-04-25,6.42,6.34,6.5,6.34,2500.0,-0.0123
2001-04-26,6.45,6.5,6.7,6.45,29400.0,0.004699999999999999
2001-04-27,6.45,6.5,6.5,6.4,11300.0,0.0
2001-04-30,6.25,6.45,6.5,6.25,8100.0,-0.031
2001-05-01,6.25,6.2,6.35,6.0,29600.0,0.0
2001-05-02,6.06,6.35,6.35,6.06,10600.0,-0.0304
2001-05-03,6.0,6.05,6.2,5.9,38000.0,-0.009899999999999999
2001-05-04,6.0,5.9,6.05,5.9,13500.0,0.0
2001-05-07,6.01,6.2,6.2,6.01,27400.0,0.0017000000000000001
2001-05-08,6.03,6.11,6.11,6.0,25300.0,0.0033
2001-05-09,6.1,6.11,6.11,6.06,4500.0,0.0116
2001-05-10,6.05,6.2,6.2,6.01,3600.0,-0.008199999999999999
2001-05-11,6.04,6.02,6.07,6.0,2300.0,-0.0017000000000000001
2001-05-14,6.09,6.1,6.1,6.07,9000.0,0.0083
2001-05-15,6.2,6.04,6.2,6.01,28100.0,0.0181
2001-05-16,6.07,6.15,6.15,6.07,11500.0,-0.021
2001-05-17,6.03,6.05,6.1,5.95,33800.0,-0.0066
2001-05-18,5.85,5.97,6.0,5.5,383000.0,-0.029900000000000003
2001-05-21,5.99,5.98,6.0,5.9,31000.0,0.0239
2001-05-22,6.1,6.0,6.19,6.0,38400.0,0.0184
2001-05-23,6.15,6.11,6.15,6.1,16700.0,0.008199999999999999
2001-05-24,6.06,6.15,6.15,6.06,2900.0,-0.0146
2001-05-25,6.19,6.1,6.19,6.07,10500.0,0.0215
2001-05-29,6.2,6.14,6.25,6.14,17900.0,0.0016
2001-05-30,6.2,6.15,6.2,6.13,3200.0,0.0
2001-05-31,6.23,6.25,6.25,6.13,17200.0,0.0048
2001-06-01,6.19,6.18,6.19,6.11,2800.0,-0.0064
2001-06-04,6.05,6.23,6.23,6.05,3100.0,-0.0226
2001-06-05,6.06,6.06,6.06,6.0,6900.0,0.0017000000000000001
2001-06-06,6.15,6.1,6.2,6.1,24100.0,0.0149
2001-06-07,6.07,6.2,6.2,6.01,6600.0,-0.013000000000000001
2001-06-08,6.01,6.02,6.1,6.01,3400.0,-0.009899999999999999
2001-06-11,6.1,6.1,6.15,6.05,8000.0,0.015
2001-06-12,6.04,6.09,6.1,6.01,5300.0,-0.0098
2001-06-13,6.05,6.01,6.05,6.01,8400.0,0.0017000000000000001
2001-06-14,5.95,6.05,6.05,5.9,20400.0,-0.0165
2001-06-15,5.97,6.01,6.01,5.91,5400.0,0.0034000000000000002
2001-06-18,6.0,5.98,6.03,5.97,7200.0,0.005
2001-06-19,5.96,5.96,6.0,5.96,11400.0,-0.0067
2001-06-20,6.11,5.95,6.2,5.95,25000.0,0.0252
2001-06-21,6.1,6.25,6.35,5.98,13700.0,-0.0016
2001-06-22,6.17,6.2,6.2,6.0,2600.0,0.0115
2001-06-25,6.0,6.0,6.08,6.0,8500.0,-0.0276
2001-06-26,5.81,6.0,6.01,5.81,13500.0,-0.0317
2001-06-27,5.9,5.9,5.9,5.83,5700.0,0.0155
2001-06-28,5.8,6.0,6.0,5.8,12700.0,-0.0169
2001-06-29,5.82,5.8,5.85,5.8,3100.0,0.0034000000000000002
2001-07-02,5.83,5.82,5.83,5.76,7900.0,0.0017000000000000001
2001-07-03,5.77,5.8,5.97,5.76,64700.0,-0.0103
2001-07-05,5.7,5.75,5.75,5.69,18400.0,-0.0121
2001-07-06,5.69,5.68,5.69,5.68,1100.0,-0.0018
2001-07-09,5.56,5.6,5.6,5.56,13200.0,-0.022799999999999997
2001-07-10,5.65,5.57,5.65,5.57,9900.0,0.016200000000000003
2001-07-11,5.6,5.6,5.6,5.59,2000.0,-0.0088
2001-07-12,5.6,5.6,5.7,5.58,6600.0,0.0
2001-07-13,5.59,5.65,5.65,5.59,31800.0,-0.0018
2001-07-16,5.53,5.59,5.6,5.51,43200.0,-0.010700000000000001
2001-07-17,5.6,5.6,5.6,5.6,12100.0,0.0127
2001-07-18,5.41,5.55,5.6,5.4,44100.0,-0.0339
2001-07-19,5.04,5.41,5.41,5.0,61100.0,-0.0684
2001-07-20,4.9,5.0,5.0,4.76,7600.0,-0.0278
2001-07-23,5.14,4.9,5.14,4.8,256000.0,0.049
2001-07-24,5.1,5.15,5.2,5.1,7100.0,-0.0078000000000000005
2001-07-25,5.1,5.15,5.15,5.0,54200.0,0.0
2001-07-26,5.04,5.1,5.1,5.02,32500.0,-0.0118
2001-07-27,5.05,5.1,5.1,5.05,82100.0,0.002
2001-07-30,4.91,5.1,5.1,4.9,5200.0,-0.0277
2001-07-31,4.9,4.9,4.91,4.9,3900.0,-0.002
2001-08-01,5.0,4.9,5.1,4.9,18200.0,0.0204
2001-08-02,5.2,5.1,5.2,5.02,16200.0,0.04
2001-08-03,5.2,5.16,5.2,5.1,17000.0,0.0
2001-08-06,5.29,5.15,5.45,5.15,15800.0,0.0173
2001-08-07,5.3,5.2,5.3,5.17,23000.0,0.0019
2001-08-08,5.33,5.23,5.35,5.23,17100.0,0.005699999999999999
2001-08-09,5.39,5.23,5.7,5.23,62700.0,0.0113
2001-08-10,5.4,5.48,5.5,5.4,24800.0,0.0019
2001-08-13,5.4,5.5,5.55,5.4,7800.0,0.0
2001-08-14,5.33,5.4,5.4,5.25,18500.0,-0.013000000000000001
2001-08-15,5.57,5.3,5.74,5.26,17000.0,0.045
2001-08-16,5.65,5.63,5.74,5.57,35400.0,0.0144
2001-08-17,5.65,5.75,5.75,5.58,22400.0,0.0
2001-08-20,5.42,5.5,5.5,5.4,10600.0,-0.0407
2001-08-21,5.3,5.38,5.38,5.3,10700.0,-0.022099999999999998
2001-08-22,5.24,5.05,5.24,5.01,40100.0,-0.0113
2001-08-23,5.6,5.25,5.65,5.25,24200.0,0.0687
2001-08-24,5.6,5.51,5.6,5.36,17500.0,0.0
2001-08-27,5.4,5.7,5.7,5.4,15400.0,-0.035699999999999996
2001-08-28,5.5,5.5,5.6,5.4,9300.0,0.018500000000000003
2001-08-29,5.58,5.6,5.6,5.5,13100.0,0.014499999999999999
2001-08-30,5.53,5.5,5.55,5.48,19100.0,-0.009000000000000001
2001-08-31,5.59,5.43,5.59,5.43,20100.0,0.0108
2001-09-04,5.58,5.6,5.9,5.58,37100.0,-0.0018
2001-09-05,5.53,5.45,5.53,5.43,18200.0,-0.009000000000000001
2001-09-06,5.35,5.53,5.53,5.3,34100.0,-0.0325
2001-09-07,5.47,5.3,5.47,5.3,6900.0,0.022400000000000003
2001-09-10,5.49,5.47,5.5,5.47,11000.0,0.0037
2001-09-17,5.25,5.5,5.5,5.22,21500.0,-0.0437
2001-09-18,5.31,5.3,5.31,5.3,1000.0,0.011399999999999999
2001-09-19,5.05,5.27,5.3,5.05,58500.0,-0.049
2001-09-20,5.0,5.05,5.05,5.0,10000.0,-0.009899999999999999
