Date,Close,Open,High,Low,Volume,Change
2006-04-27,20.1,20.05,20.1,20.0,174300.0,0.0034999999999999996
2006-04-28,20.18,20.1,20.33,20.1,139400.0,0.004
2006-05-01,20.1,20.2,20.25,20.04,133700.0,-0.004
2006-05-02,20.15,20.14,20.25,20.1,129100.0,0.0025
2006-05-03,20.17,20.15,20.28,20.15,91700.0,0.001
2006-05-04,20.23,20.2,20.24,20.18,63300.0,0.003
2006-05-05,20.25,20.21,20.28,20.13,79200.0,0.001
2006-05-08,20.23,20.25,20.3,20.15,77200.0,-0.001
2006-05-09,20.13,20.23,20.23,20.05,170700.0,-0.0049
2006-05-10,20.23,20.19,20.25,20.14,77700.0,0.005
2006-05-11,20.3,20.25,20.3,20.2,128400.0,0.0034999999999999996
2006-05-12,20.31,20.25,20.35,20.2,84200.0,0.0005
2006-05-15,20.24,20.3,20.3,20.15,97600.0,-0.0034000000000000002
2006-05-16,20.22,20.24,20.25,20.12,90700.0,-0.001
2006-05-17,20.17,20.28,20.3,20.1,113900.0,-0.0025
2006-05-18,20.12,20.18,20.23,20.1,110600.0,-0.0025
2006-05-19,20.03,20.05,20.1,20.0,332100.0,-0.0045000000000000005
2006-05-22,20.0,20.01,20.01,20.0,162300.0,-0.0015
2006-05-23,20.05,20.01,20.15,20.0,87000.0,0.0025
2006-05-24,20.04,20.0,20.09,20.0,69600.0,-0.0005
2006-05-25,20.0,20.0,20.1,20.0,82400.0,-0.002
2006-05-26,20.08,20.02,20.09,20.0,56300.0,0.004
2006-05-30,20.06,20.02,20.15,20.0,225200.0,-0.001
2006-05-31,20.0,20.02,20.25,20.0,129100.0,-0.003
2006-06-01,20.25,20.02,20.3,20.0,221200.0,0.0125
2006-06-02,20.25,20.25,20.3,20.14,67100.0,0.0
2006-06-05,20.01,20.36,20.36,20.0,56000.0,-0.011899999999999999
2006-06-06,20.01,20.01,20.05,20.0,62500.0,0.0
2006-06-07,20.0,20.01,20.05,20.0,56200.0,-0.0005
2006-06-08,19.2,20.0,20.01,19.05,213700.0,-0.04
2006-06-09,18.87,19.05,19.08,18.85,51900.0,-0.0172
2006-06-12,18.51,18.87,18.9,18.47,67300.0,-0.0191
2006-06-13,18.15,18.56,18.6,17.95,94400.0,-0.0194
2006-06-14,18.9,18.05,18.95,18.0,90600.0,0.041299999999999996
2006-06-15,19.7,19.05,19.75,18.99,79300.0,0.042300000000000004
2006-06-16,19.77,19.71,19.77,19.6,27100.0,0.0036
2006-06-19,19.3,19.75,19.75,19.25,31300.0,-0.023799999999999998
2006-06-20,19.33,19.2,19.45,19.15,69000.0,0.0016
2006-06-21,19.2,19.3,19.6,19.05,79600.0,-0.0067
2006-06-22,19.01,19.2,19.2,19.01,51500.0,-0.009899999999999999
2006-06-23,19.07,19.02,19.34,18.9,64700.0,0.0032
2006-06-26,18.75,19.1,19.1,18.61,83400.0,-0.0168
2006-06-27,18.85,18.76,18.97,18.6,100700.0,0.0053
2006-06-28,19.22,18.84,19.35,18.84,43100.0,0.0196
2006-06-29,19.4,19.05,19.5,19.05,68700.0,0.009399999999999999
2006-06-30,19.24,19.35,19.45,19.12,40200.0,-0.008199999999999999
2006-07-03,19.1,19.29,19.3,19.1,19300.0,-0.0073
2006-07-05,19.28,19.1,19.3,18.85,44400.0,0.009399999999999999
2006-07-06,19.4,19.44,19.45,19.1,39100.0,0.0062
2006-07-07,19.35,19.3,19.45,19.05,37000.0,-0.0026
2006-07-10,19.25,19.25,19.43,19.15,40500.0,-0.0052
2006-07-11,19.44,19.22,19.44,19.05,29000.0,0.009899999999999999
2006-07-12,18.75,19.11,19.2,18.65,76300.0,-0.0355
2006-07-13,18.45,18.65,18.7,18.28,83000.0,-0.016
2006-07-14,18.35,18.2,18.42,18.01,105400.0,-0.0054
2006-07-17,18.25,18.34,18.43,18.2,76700.0,-0.0054
2006-07-18,18.3,18.25,18.35,18.05,60600.0,0.0027
2006-07-19,18.47,18.3,18.48,18.25,80900.0,0.009300000000000001
2006-07-20,18.3,18.6,18.69,18.16,61600.0,-0.0092
2006-07-21,18.2,18.28,18.28,17.96,63600.0,-0.0055000000000000005
2006-07-24,18.3,18.24,18.38,18.1,75600.0,0.0055000000000000005
2006-07-25,18.16,18.35,18.35,18.05,68200.0,-0.0077
2006-07-26,18.11,18.05,18.2,18.03,111200.0,-0.0028000000000000004
2006-07-27,18.4,18.11,18.4,18.02,91900.0,0.016
2006-07-28,18.41,18.34,18.45,18.08,66100.0,0.0005
2006-07-31,18.25,18.28,18.32,18.16,64200.0,-0.0087
2006-08-01,18.47,18.29,18.47,18.18,99500.0,0.0121
2006-08-02,18.35,18.6,18.65,18.31,65500.0,-0.006500000000000001
2006-08-03,18.75,18.4,18.75,18.2,46700.0,0.0218
2006-08-04,18.48,18.74,18.83,18.3,50700.0,-0.0144
2006-08-07,18.35,18.48,18.58,18.32,18600.0,-0.006999999999999999
2006-08-08,18.2,18.3,18.5,18.16,68000.0,-0.008199999999999999
2006-08-09,18.07,18.18,18.4,18.07,116800.0,-0.0070999999999999995
2006-08-10,18.0,18.07,18.16,17.95,67600.0,-0.0039000000000000003
2006-08-11,18.04,18.0,18.04,17.95,62800.0,0.0022
2006-08-14,17.95,18.06,18.16,17.9,95000.0,-0.005
2006-08-15,17.91,17.92,18.05,17.8,124400.0,-0.0022
2006-08-16,18.0,17.95,18.04,17.94,102800.0,0.005
2006-08-17,17.98,18.03,18.2,17.85,94100.0,-0.0011
2006-08-18,18.05,18.0,18.05,18.0,71000.0,0.0039000000000000003
2006-08-21,18.16,18.01,18.2,18.01,135200.0,0.0060999999999999995
2006-08-22,18.34,18.14,18.42,18.14,114500.0,0.009899999999999999
2006-08-23,18.43,18.31,18.64,18.31,115900.0,0.0049
2006-08-24,18.52,18.5,18.69,18.41,88700.0,0.0049
2006-08-25,18.53,18.45,18.62,18.45,67300.0,0.0005
2006-08-28,18.45,18.58,18.62,18.45,81000.0,-0.0043
2006-08-29,18.45,18.49,18.5,18.31,90800.0,0.0
2006-08-30,18.37,18.48,18.54,18.16,120400.0,-0.0043
2006-08-31,18.46,18.25,18.46,18.2,80400.0,0.0049
2006-09-01,18.61,18.32,18.62,18.32,47800.0,0.008100000000000001
2006-09-05,18.66,18.61,18.66,18.46,57600.0,0.0027
2006-09-06,18.51,18.61,18.8,18.42,122500.0,-0.008
2006-09-07,18.17,18.45,18.45,18.03,133500.0,-0.0184
2006-09-08,18.29,18.2,18.35,18.2,67400.0,0.0066
2006-09-11,18.3,18.2,18.32,18.06,89600.0,0.0005
2006-09-12,18.2,18.3,18.34,18.1,85500.0,-0.0055000000000000005
2006-09-13,18.0,18.2,18.24,17.95,115200.0,-0.011000000000000001
2006-09-14,17.69,17.85,17.96,17.48,218300.0,-0.0172
2006-09-15,17.5,17.54,17.75,17.37,166300.0,-0.010700000000000001
2006-09-18,17.28,17.41,17.53,17.16,229600.0,-0.0126
2006-09-19,17.12,17.22,17.3,16.94,245400.0,-0.009300000000000001
2006-09-20,17.37,17.02,17.48,16.94,271300.0,0.0146
2006-09-21,17.43,17.2,17.45,17.12,200800.0,0.0034999999999999996
2006-09-22,17.26,17.33,17.39,17.15,184700.0,-0.0098
2006-09-25,17.26,17.32,17.32,17.12,256000.0,0.0
2006-09-26,17.0,17.15,17.26,16.8,419400.0,-0.0151
2006-09-27,17.06,16.95,17.15,16.95,205200.0,0.0034999999999999996
2006-09-28,17.29,17.14,17.43,17.03,196900.0,0.013500000000000002
2006-09-29,17.54,17.3,17.54,17.25,135700.0,0.014499999999999999
2006-10-02,17.73,17.54,17.73,17.37,124000.0,0.0108
2006-10-03,17.55,17.7,17.79,17.48,156900.0,-0.0102
2006-10-04,17.6,17.58,17.65,17.48,151700.0,0.0028000000000000004
2006-10-05,17.68,17.59,17.68,17.56,112400.0,0.0045000000000000005
2006-10-06,17.5,17.58,17.61,17.25,174200.0,-0.0102
2006-10-09,17.3,17.56,17.56,17.24,208800.0,-0.011399999999999999
2006-10-10,17.47,17.25,17.48,17.22,237000.0,0.0098
2006-10-11,17.37,17.05,17.45,17.03,178600.0,-0.005699999999999999
2006-10-12,17.25,17.32,17.57,17.13,263800.0,-0.0069
2006-10-13,17.07,17.25,17.31,17.07,214300.0,-0.0104
2006-10-16,17.24,17.15,17.28,17.07,167400.0,0.01
2006-10-17,17.08,17.25,17.3,16.9,225100.0,-0.009300000000000001
2006-10-18,17.05,17.12,17.27,16.92,259000.0,-0.0018
2006-10-19,17.39,16.97,17.39,16.9,220200.0,0.0199
2006-10-20,17.32,17.4,17.4,17.16,209500.0,-0.004
2006-10-23,17.49,17.2,17.5,17.2,178800.0,0.0098
2006-10-24,17.26,17.38,17.4,17.2,202500.0,-0.0132
2006-10-25,17.2,17.2,17.5,17.16,200200.0,-0.0034999999999999996
2006-10-26,17.22,17.24,17.39,17.1,358700.0,0.0012
2006-10-27,17.19,17.22,17.23,17.11,198300.0,-0.0017000000000000001
2006-10-30,16.91,17.0,17.15,16.87,467000.0,-0.0163
2006-10-31,16.87,16.91,16.97,16.74,370900.0,-0.0024
2006-11-01,17.19,17.05,17.29,16.95,323100.0,0.019
2006-11-02,17.27,17.15,17.3,17.13,339500.0,0.004699999999999999
2006-11-03,17.46,17.2,17.47,17.2,311000.0,0.011000000000000001
2006-11-06,17.7,17.41,17.8,17.41,349800.0,0.0137
2006-11-07,17.88,17.79,17.88,17.63,395600.0,0.0102
2006-11-08,17.88,17.8,17.98,17.61,229800.0,0.0
2006-11-09,17.86,17.88,17.97,17.75,210900.0,-0.0011
2006-11-10,17.7,17.87,17.97,17.66,176100.0,-0.009000000000000001
2006-11-13,17.5,17.65,17.73,17.47,236200.0,-0.0113
2006-11-14,17.31,17.41,17.51,17.16,325900.0,-0.0109
2006-11-15,17.37,17.28,17.49,17.28,272800.0,0.0034999999999999996
2006-11-16,17.19,17.33,17.4,17.17,326200.0,-0.0104
2006-11-17,17.18,17.1,17.24,17.05,312200.0,-0.0006
2006-11-20,17.12,17.22,17.25,17.02,419900.0,-0.0034999999999999996
2006-11-21,17.34,17.17,17.37,17.07,359400.0,0.0129
2006-11-22,17.57,17.34,17.57,17.34,390000.0,0.013300000000000001
2006-11-24,17.6,17.57,17.6,17.48,91400.0,0.0017000000000000001
2006-11-27,17.25,17.51,17.59,17.15,452300.0,-0.0199
2006-11-28,17.35,17.25,17.42,17.05,542200.0,0.0058
2006-11-29,17.61,17.4,17.61,17.36,423100.0,0.015
2006-11-30,17.89,17.7,17.92,17.65,445700.0,0.0159
2006-12-01,17.99,17.88,18.0,17.71,266700.0,0.005600000000000001
2006-12-04,18.09,18.0,18.21,17.98,356200.0,0.005600000000000001
2006-12-05,18.1,18.22,18.28,18.01,378900.0,0.0006
2006-12-06,18.14,18.14,18.28,18.06,335700.0,0.0022
2006-12-07,18.13,18.11,18.18,17.96,364200.0,-0.0006
2006-12-08,18.44,18.09,18.44,18.09,254200.0,0.0171
2006-12-11,18.35,18.24,18.5,18.2,278600.0,-0.0049
2006-12-12,18.16,18.45,18.45,18.02,364700.0,-0.0104
2006-12-13,18.1,18.21,18.23,18.01,327500.0,-0.0033
2006-12-14,18.14,18.13,18.25,18.06,403400.0,0.0022
