Date,Close,Open,High,Low,Volume,Change
2009-06-02,20.7,20.21,20.7,20.21,700.0,0.09759999999999999
2009-06-04,20.0,18.95,20.0,18.95,1200.0,-0.0338
2009-06-08,19.45,19.45,19.45,19.45,500.0,-0.0275
2009-06-19,17.2,17.05,17.2,17.05,800.0,-0.1157
2009-06-30,17.55,17.25,17.55,17.25,200.0,0.0203
2009-07-07,16.65,16.65,16.65,16.65,100.0,-0.0513
2009-07-09,16.4,16.4,16.4,16.4,400.0,-0.015
2009-07-24,19.85,19.75,19.85,19.75,1200.0,0.2104
2009-07-27,19.7,19.7,19.7,19.7,220.0,-0.0076
2009-08-19,13.45,13.45,13.45,13.45,600.0,-0.3173
2009-08-21,13.15,12.95,13.15,12.95,600.0,-0.0223
2009-08-26,17.0,17.0,17.0,17.0,200.0,0.2928
2009-08-27,14.35,14.4,14.4,14.35,2000.0,-0.1559
2009-09-02,13.15,13.15,13.15,13.15,320.0,-0.0836
2009-10-15,14.65,14.65,14.65,14.65,100.0,0.11410000000000001
2009-11-25,7.35,7.5,7.5,7.35,800.0,-0.49829999999999997
2009-12-11,7.55,7.25,7.55,7.25,1500.0,0.027200000000000002
2010-01-04,8.35,8.35,8.35,8.35,500.0,0.106
2010-01-06,8.56,8.56,8.56,8.56,10000.0,0.025099999999999997
2010-01-12,8.9,8.9,8.9,8.9,1000.0,0.0397
2010-03-10,5.55,5.55,5.55,5.55,1500.0,-0.3764
2010-03-15,6.85,6.85,6.85,6.85,100.0,0.23420000000000002
2010-05-04,5.44,5.44,5.44,5.44,500.0,-0.20579999999999998
2010-05-06,4.8,4.8,4.8,4.8,1000.0,-0.1176
2010-05-11,4.75,4.75,4.75,4.75,1000.0,-0.0104
2010-05-18,4.45,4.45,4.45,4.45,500.0,-0.0632
2010-05-19,4.23,4.23,4.23,4.23,500.0,-0.049400000000000006
2010-05-26,4.05,4.05,4.05,4.05,100.0,-0.0426
2010-05-28,4.1,4.1,4.1,4.1,1000.0,0.0123
2010-06-07,3.9,3.9,3.9,3.9,1000.0,-0.048799999999999996
2010-06-08,3.9,3.9,3.9,3.9,1500.0,0.0
2010-06-16,4.52,4.85,4.85,4.51,2500.0,0.159
2010-06-18,5.0,5.0,5.05,5.0,3500.0,0.10619999999999999
2010-07-01,3.65,3.65,3.65,3.65,42000.0,-0.27
2010-07-07,5.51,5.51,5.51,5.51,1280.0,0.5096
2010-09-20,5.6,5.6,5.6,5.6,130.0,0.0163
2010-09-27,5.75,5.75,5.75,5.75,500.0,0.0268
2010-10-05,5.85,5.85,5.85,5.85,370.0,0.0174
2010-10-25,6.75,6.75,6.75,6.75,130.0,0.15380000000000002
2011-08-08,3.27,3.27,3.27,3.27,1700.0,-0.5156000000000001
2012-07-24,5.15,5.15,5.15,5.15,500.0,0.5749
2012-07-25,5.15,5.15,5.15,5.15,500.0,0.0
2012-07-30,5.1,5.1,5.1,5.1,500.0,-0.0097
2012-08-14,5.05,5.35,5.35,5.05,3000.0,-0.0098
2012-08-15,5.28,5.28,5.28,5.28,500.0,0.0455
2012-12-05,7.11,7.11,7.11,7.11,1600.0,0.34659999999999996
2012-12-24,7.0,7.0,7.0,7.0,1000.0,-0.0155
2013-02-05,8.84,8.84,8.84,8.84,1000.0,0.26289999999999997
2013-02-11,8.6,8.6,8.6,8.6,1000.0,-0.0271
