Date,Close,Open,High,Low,Volume,Change
2021-03-10,4.79,3.72,4.79,3.7,5120000.0,0.33799999999999997
2021-03-11,4.72,4.9,4.95,4.6,1190000.0,-0.0146
2021-03-12,5.0,4.8,5.0,4.73,633310.0,0.0593
2021-03-15,4.97,5.2,5.2,4.75,691610.0,-0.006
2021-03-16,4.845,4.98,4.99,4.77,504780.0,-0.0252
2021-03-17,4.89,4.8,4.89,4.75,335920.0,0.009300000000000001
2021-03-18,4.76,4.82,4.85,4.73,202930.0,-0.026600000000000002
2021-03-19,4.72,4.8,4.8,4.7,143690.0,-0.0084
2021-03-22,4.75,4.75,4.84,4.7,164810.0,0.0064
2021-03-23,4.56,4.75,4.78,4.53,263180.0,-0.04
2021-03-24,4.55,4.55,4.58,4.52,137780.0,-0.0022
2021-03-25,4.57,4.6,4.7,4.52,97150.0,0.0044
2021-03-26,4.54,4.52,4.6,4.51,146560.0,-0.0066
2021-03-29,4.5,4.58,4.58,4.5,313470.0,-0.0088
2021-03-30,4.51,4.51,4.53,4.47,171440.0,0.0022
2021-03-31,4.5,4.55,4.598,4.47,173770.0,-0.0022
2021-04-01,4.47,4.5,4.62,4.45,219800.0,-0.0067
2021-04-05,4.58,4.69,4.69,4.57,225850.0,0.0246
2021-04-06,4.59,4.65,4.65,4.55,98920.0,0.0022
2021-04-07,4.52,4.56,4.584,4.5,77860.0,-0.015300000000000001
2021-04-08,4.55,4.53,4.6,4.52,84520.0,0.0066
2021-04-09,4.63,4.59,4.63,4.59,55180.0,0.0176
2021-04-12,4.5,4.63,4.68,4.5,121790.0,-0.0281
2021-04-13,4.63,4.55,4.63,4.5,93760.0,0.028900000000000002
2021-04-14,4.7,4.63,4.7,4.5,42510.0,0.0151
2021-04-15,4.65,4.73,4.73,4.65,61630.0,-0.0106
2021-04-16,4.62,4.6,4.66,4.5,78230.0,-0.006500000000000001
2021-04-19,4.6,4.6,4.6,4.56,55290.0,-0.0043
2021-04-20,4.55,4.59,4.6,4.53,40340.0,-0.0109
2021-04-21,4.74,4.61,4.74,4.61,97570.0,0.0418
2021-04-22,4.63,4.71,4.75,4.55,48130.0,-0.0232
2021-04-23,4.521,4.65,4.69,4.52,55040.0,-0.023700000000000002
2021-04-26,4.66,4.55,4.7,4.52,51040.0,0.030899999999999997
2021-04-27,4.66,4.7,4.7,4.63,23900.0,0.0
2021-04-28,4.665,4.66,4.68,4.56,46500.0,0.0011
2021-04-29,4.84,4.7,4.85,4.55,141600.0,0.0375
2021-04-30,4.83,4.88,5.0,4.83,145780.0,-0.0021
2021-05-03,4.76,4.86,4.91,4.72,77140.0,-0.014499999999999999
2021-05-04,4.83,4.73,4.85,4.69,112180.0,0.0147
2021-05-05,4.97,4.78,5.0,4.85,100590.0,0.028999999999999998
2021-05-06,4.91,4.99,4.99,4.88,92150.0,-0.0121
2021-05-07,5.0,5.0,5.04,4.8919999999999995,282910.0,0.0183
2021-05-10,5.0,5.1,5.35,4.96,246120.0,0.0
2021-05-11,4.76,5.0,5.0,4.7,174920.0,-0.048
2021-05-12,4.58,4.74,4.87,4.57,80680.0,-0.0378
2021-05-13,4.52,4.6,4.62,4.5,92240.0,-0.0131
2021-05-14,4.72,4.61,4.75,4.58,81710.0,0.044199999999999996
2021-05-17,4.84,4.9,5.11,4.8,255480.0,0.0254
2021-05-18,4.75,4.95,5.03,4.69,66830.0,-0.018600000000000002
2021-05-19,4.72,4.76,4.84,4.71,61430.0,-0.0063
2021-05-20,4.78,4.85,4.94,4.74,137290.0,0.0127
2021-05-21,4.93,4.88,5.0,4.8,155370.0,0.031400000000000004
2021-05-24,5.07,5.0,5.12,4.95,84800.0,0.028399999999999998
2021-05-25,4.89,5.07,5.12,4.85,164420.0,-0.0355
2021-05-26,4.88,4.93,5.05,4.85,130840.0,-0.002
2021-05-27,5.0,4.95,5.0,4.93,66350.0,0.0246
2021-05-28,4.98,5.0,5.0,4.93,39110.0,-0.004
2021-06-01,4.86,5.0,5.0,4.83,79130.0,-0.0241
2021-06-02,4.79,4.88,4.92,4.76,72370.0,-0.0144
2021-06-03,4.78,4.78,4.8,4.75,64040.00000000001,-0.0021
2021-06-04,4.87,4.8,4.87,4.75,52310.0,0.018799999999999997
2021-06-07,4.7,4.83,4.92,4.7,74340.0,-0.0349
2021-06-08,4.69,4.7,4.75,4.68,42860.0,-0.0021
2021-06-09,4.84,4.68,4.88,4.68,74250.0,0.032
2021-06-10,4.91,4.89,4.94,4.76,112710.0,0.014499999999999999
2021-06-11,4.91,4.93,4.95,4.81,46810.0,0.0
2021-06-14,5.51,4.94,5.55,4.85,836540.0,0.1222
2021-06-15,5.41,5.5,5.55,5.355,301420.0,-0.0181
2021-06-16,5.41,5.42,5.6,5.35,331620.0,0.0
2021-06-17,5.15,5.12,5.31,5.11,669450.0,-0.0481
2021-06-18,4.8,5.18,5.25,4.7,1720000.0,-0.068
2021-06-21,4.52,4.79,4.94,4.29,827710.0,-0.0583
2021-06-22,5.53,5.21,5.87,5.16,1600000.0,0.2235
2021-06-23,5.65,5.75,5.78,5.56,388360.0,0.0217
2021-06-24,6.66,5.68,6.7,5.68,490040.0,0.1788
2021-06-25,5.85,7.0,7.08,5.84,532470.0,-0.1216
2021-06-28,5.51,5.86,5.98,5.5,199040.0,-0.0581
2021-06-29,5.4,5.58,5.7,5.37,165590.0,-0.02
2021-06-30,5.35,5.36,5.45,5.3,195040.0,-0.009300000000000001
2021-07-01,5.99,5.4,5.99,5.35,189230.0,0.11960000000000001
2021-07-02,5.99,5.86,6.061,5.8,139660.0,0.0
2021-07-06,5.58,5.99,6.0,5.48,125380.0,-0.0684
2021-07-07,5.35,5.45,5.553,5.3229999999999995,96280.0,-0.0412
2021-07-08,5.25,5.3,5.317,5.2,169100.0,-0.0187
2021-07-09,5.27,5.21,5.34,5.15,189740.0,0.0038
2021-07-12,5.14,5.28,5.28,5.06,243240.0,-0.024700000000000003
