Date,Close,Open,High,Low,Volume,Change
2014-04-04,34.0,40.0,40.8,34.0,10970000.0,-0.4619
2014-04-07,34.8,33.98,35.87,33.06,1150000.0,0.0235
2014-04-08,35.99,35.25,36.62,34.6,510620.0,0.0342
2014-04-09,35.31,36.1,36.5,34.61,455260.0,-0.0189
2014-04-10,30.91,35.37,35.37,30.82,754060.0,-0.1246
2014-04-11,33.64,30.78,34.47,29.86,1190000.0,0.0883
2014-04-14,35.16,34.08,36.56,32.88,856220.0,0.0452
2014-04-15,35.0,35.58,35.58,31.34,729630.0,-0.0046
2014-04-16,37.52,33.9,37.7,33.62,869730.0,0.07200000000000001
2014-04-17,35.95,37.3,37.75,35.23,560320.0,-0.0418
2014-04-21,33.19,35.85,36.12,32.55,559580.0,-0.0768
2014-04-22,32.86,33.6,33.95,31.95,551630.0,-0.009899999999999999
2014-04-23,32.39,32.78,34.03,32.17,398450.0,-0.0143
2014-04-24,32.38,33.09,33.18,32.13,210430.0,-0.0003
2014-04-25,31.26,31.62,33.12,30.82,806160.0,-0.0346
2014-04-28,32.64,31.94,33.2,30.3,674400.0,0.0441
2014-04-29,32.79,32.74,33.04,30.84,899240.0,0.0046
2014-04-30,30.95,32.7,32.7,30.67,408090.0,-0.056100000000000004
2014-05-01,31.01,31.0,32.89,30.72,432740.0,0.0019
2014-05-02,31.05,31.27,31.89,30.73,401500.0,0.0013
2014-05-05,31.63,30.69,32.0,30.35,277520.0,0.0187
2014-05-06,31.98,32.4,32.72,31.52,320660.0,0.0111
2014-05-07,30.69,32.18,32.69,30.0,900430.0,-0.0403
2014-05-08,31.38,30.6,31.5,30.36,394170.0,0.0225
2014-05-09,31.22,32.64,35.0,30.36,1360000.0,-0.0051
2014-05-12,30.93,31.48,32.0,30.56,442710.0,-0.009300000000000001
2014-05-13,31.04,31.0,31.39,30.68,176200.0,0.0036
2014-05-14,31.1,30.9,31.41,30.55,126110.0,0.0019
2014-05-15,31.95,31.18,32.68,30.58,515590.00000000006,0.0273
2014-05-16,32.07,31.87,32.21,31.25,109590.0,0.0038
2014-05-19,31.21,32.4,32.43,31.0,242940.0,-0.0268
