Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.0,4.640625,4.5625,4.5625,2.4923083782196045,8000
1980-01-03,0.0,4.609375,4.546875,4.546875,2.483772039413452,5600
1980-01-04,0.0,4.546875,4.5,4.5,2.4581689834594727,6400
1980-01-07,0.0,4.5,4.4375,4.5,2.4581689834594727,107200
1980-01-08,0.0,4.546875,4.484375,4.5,2.4581689834594727,88800
1980-01-09,0.0,4.5625,4.5,4.5625,2.4923083782196045,21600
1980-01-10,0.0,4.59375,4.453125,4.59375,2.5093801021575928,156800
1980-01-11,0.0,4.5625,4.53125,4.5625,2.4923083782196045,192000
1980-01-14,0.0,4.5625,4.5625,4.5625,2.4923083782196045,4800
1980-01-15,0.0,4.703125,4.578125,4.640625,2.534985303878784,131200
1980-01-16,0.0,4.6875,4.640625,4.6875,2.560591220855713,64000
1980-01-17,0.0,4.71875,4.671875,4.671875,2.5520565509796143,49600
1980-01-18,0.0,4.75,4.59375,4.59375,2.5093801021575928,204000
1980-01-21,0.0,4.671875,4.609375,4.671875,2.5520565509796143,64000
1980-01-22,0.0,4.671875,4.609375,4.65625,2.5435214042663574,50400
1980-01-23,0.0,4.6875,4.65625,4.6875,2.560591220855713,12000
1980-01-24,0.0,4.796875,4.75,4.796875,2.6203386783599854,58400
1980-01-25,0.0,4.84375,4.796875,4.828125,2.6374094486236572,93600
1980-01-28,0.0,5.03125,4.921875,4.984375,2.7227632999420166,148000
1980-01-29,0.0,4.984375,4.953125,4.953125,2.705691337585449,87200
1980-01-30,0.0,4.984375,4.875,4.921875,2.6886210441589355,123200
1980-01-31,0.0,4.953125,4.875,4.921875,2.6886210441589355,44800
1980-02-01,0.0,4.953125,4.90625,4.921875,2.6886210441589355,32800
1980-02-04,0.0,4.921875,4.875,4.875,2.6630148887634277,94400
1980-02-05,0.0,4.90625,4.875,4.875,2.6630148887634277,84800
1980-02-06,0.0,4.875,4.828125,4.828125,2.6374094486236572,116000
1980-02-07,0.0,4.921875,4.78125,4.875,2.6630148887634277,241600
1980-02-08,0.0,4.875,4.828125,4.875,2.6630148887634277,92800
1980-02-11,0.0,4.953125,4.859375,4.875,2.6630148887634277,32000
1980-02-12,0.0,4.875,4.84375,4.875,2.6630148887634277,11200
1980-02-13,0.0,4.953125,4.875,4.953125,2.705691337585449,69600
1980-02-14,0.0,4.953125,4.765625,4.765625,2.6032674312591553,496800
1980-02-15,0.0,4.765625,4.59375,4.59375,2.5093801021575928,283200
1980-02-19,0.0,4.59375,4.453125,4.5,2.4581689834594727,397600
1980-02-20,0.0,4.5,4.484375,4.5,2.4581689834594727,66400
1980-02-21,0.0,4.46875,4.375,4.375,2.389885663986206,552000
1980-02-22,0.0,4.4375,4.359375,4.421875,2.4154908657073975,48000
1980-02-25,0.0,4.4375,4.390625,4.390625,2.3984203338623047,64000
