Date,Close,Open,High,Low,Volume,Change
2004-03-15,4.52,4.55,4.75,4.12,346160.0,0.0892
2004-03-16,4.25,4.25,4.26,4.18,70830.0,-0.059699999999999996
2004-03-17,4.23,4.26,4.34,4.2,91600.0,-0.004699999999999999
2004-03-18,4.09,4.25,4.28,4.09,29600.0,-0.0331
2004-03-19,4.35,4.1,4.35,4.1,20900.0,0.0636
2004-03-22,4.35,4.3,4.35,4.28,14000.0,0.0
2004-03-23,4.35,4.47,4.47,4.27,16700.0,0.0
2004-03-24,4.4,4.39,4.41,4.35,42860.0,0.0115
2004-03-25,4.4,4.4,4.4,4.39,54000.0,0.0
2004-03-26,4.4,4.4,4.4,4.4,9150.0,0.0
2004-03-29,4.4,4.4,4.45,4.39,35800.0,0.0
2004-03-30,4.45,4.45,4.45,4.4,32700.000000000004,0.011399999999999999
2004-03-31,4.35,4.45,4.45,4.3,17000.0,-0.0225
2004-04-01,4.35,4.3,4.35,4.2,7700.0,0.0
2004-04-02,4.25,4.35,4.35,4.25,3900.0,-0.023
2004-04-05,4.2,4.35,4.35,4.2,23440.0,-0.0118
2004-04-06,4.25,4.25,4.25,4.25,750.0,0.011899999999999999
2004-04-07,4.24,4.24,4.24,4.24,2000.0,-0.0024
2004-04-08,4.25,4.15,4.25,4.15,1990.0,0.0024
2004-04-12,4.25,4.2,4.25,4.2,21450.0,0.0
2004-04-13,4.25,4.25,4.25,4.25,6010.0,0.0
2004-04-14,4.2,4.2,4.2,4.2,1800.0,-0.0118
2004-04-15,4.23,4.2,4.25,4.2,102800.0,0.0070999999999999995
2004-04-16,4.25,4.25,4.25,4.23,11300.0,0.004699999999999999
2004-04-19,4.2,4.25,4.25,4.18,74900.0,-0.0118
2004-04-20,4.18,4.15,4.18,4.1,4600.0,-0.0048
2004-04-21,4.2,4.1,4.2,4.1,89900.0,0.0048
2004-04-22,4.16,4.23,4.23,4.16,19200.0,-0.0095
2004-04-23,4.23,4.2,4.23,4.18,38500.0,0.0168
2004-04-26,4.5,4.25,4.55,4.25,172200.0,0.0638
2004-04-27,4.63,4.55,4.63,4.5,242000.0,0.028900000000000002
2004-04-28,4.59,4.65,4.68,4.5,38370.0,-0.0086
2004-04-29,4.48,4.6,4.6,4.48,35350.0,-0.024
2004-04-30,4.45,4.5,4.5,4.4,12550.0,-0.0067
2004-05-03,4.2,4.4,4.4,4.2,28900.0,-0.0562
2004-05-04,4.24,4.24,4.24,4.24,600.0,0.0095
2004-05-05,4.25,4.25,4.25,4.25,750.0,0.0024
2004-05-06,4.24,4.25,4.25,4.24,10000.0,-0.0024
2004-05-07,4.0,4.2,4.2,4.0,12750.0,-0.056600000000000004
2004-05-10,4.0,4.05,4.05,4.0,2000.0,0.0
2004-05-11,4.1,4.1,4.1,4.1,400.0,0.025
2004-05-12,4.1,4.05,4.1,3.95,12300.0,0.0
2004-05-13,4.22,4.0,4.45,4.0,19350.0,0.029300000000000003
2004-05-14,4.26,4.22,4.6,4.2,46000.0,0.0095
2004-05-17,4.15,4.3,4.3,4.15,6100.0,-0.0258
2004-05-18,4.2,4.2,4.2,4.2,1300.0,0.012
2004-05-19,4.1,4.15,4.15,4.05,4300.0,-0.023799999999999998
2004-05-20,4.1,4.05,4.1,4.05,4350.0,0.0
2004-05-24,4.1,4.0,4.1,3.95,1760.0,0.0
2004-05-25,4.1,4.1,4.1,4.1,2000.0,0.0
2004-05-26,4.0,3.95,4.0,3.95,54000.0,-0.024399999999999998
2004-05-27,4.0,4.05,4.05,4.0,2000.0,0.0
2004-05-28,4.12,4.0,4.12,3.97,25740.0,0.03
2004-06-01,4.1,4.2,4.3,4.1,171820.0,-0.0049
2004-06-02,4.3,4.15,4.3,4.1,11900.0,0.048799999999999996
2004-06-03,4.4,4.25,4.4,4.2,76700.0,0.0233
2004-06-04,4.35,4.35,4.4,4.35,8500.0,-0.011399999999999999
2004-06-07,4.3,4.35,4.4,4.3,79000.0,-0.0115
2004-06-08,4.2,4.4,4.4,4.2,7000.0,-0.0233
2004-06-09,4.2,4.3,4.3,4.2,11000.0,0.0
2004-06-10,3.8,4.2,4.2,3.8,43200.0,-0.09519999999999999
2004-06-14,2.8,3.7,3.7,2.6,177130.0,-0.2632
2004-06-15,2.75,2.9,3.25,2.55,142300.0,-0.0179
2004-06-16,2.7,2.75,2.75,2.55,31950.0,-0.0182
2004-06-17,2.95,2.8,3.0,2.75,56280.0,0.0926
2004-06-18,2.97,2.97,3.05,2.97,23500.0,0.0068000000000000005
2004-06-21,3.0,3.0,3.1,3.0,30600.0,0.0101
2004-06-22,2.99,2.9,2.99,2.9,1200.0,-0.0033
2004-06-24,3.1,3.0,3.1,3.0,1100.0,0.0368
2004-06-25,3.0,3.1,3.1,2.8,7980.0,-0.0323
2004-06-28,2.9,2.9,2.9,2.8,11600.0,-0.0333
2004-06-29,3.0,2.8,3.0,2.75,2350.0,0.0345
2004-06-30,3.2,3.1,3.2,3.0,29250.0,0.0667
2004-07-01,3.0,3.15,3.15,3.0,2000.0,-0.0625
2004-07-06,3.0,3.05,3.15,2.95,25500.0,0.0
2004-07-07,3.25,3.0,3.3,2.95,110600.0,0.0833
2004-07-08,3.3,3.3,3.33,3.25,85110.0,0.0154
2004-07-09,3.35,3.35,3.35,3.3,38100.0,0.0152
2004-07-12,3.05,3.05,3.1,3.0,11200.0,-0.08960000000000001
2004-07-13,3.05,3.05,3.05,3.05,2640.0,0.0
2004-07-14,2.9,2.9,2.9,2.9,2000.0,-0.0492
2004-07-15,2.95,2.95,2.95,2.95,1000.0,0.0172
2004-07-16,3.02,2.77,3.02,2.77,4740.0,0.023700000000000002
2004-07-19,3.05,3.0,3.1,2.95,25000.0,0.009899999999999999
2004-07-20,3.0,3.0,3.0,3.0,2500.0,-0.016399999999999998
2004-07-21,2.85,3.0,3.0,2.85,4970.0,-0.05
2004-07-22,2.85,2.9,3.0,2.85,3700.0,0.0
2004-07-23,3.0,3.0,3.0,3.0,3000.0,0.0526
2004-07-26,2.85,2.98,2.98,2.85,5800.0,-0.05
2004-07-29,2.85,2.85,2.85,2.85,350.0,0.0
2004-07-30,2.7,2.7,2.85,2.7,12700.0,-0.0526
2004-08-02,2.7,2.7,2.7,2.7,100.0,0.0
2004-08-03,2.65,2.6,2.7,2.6,40000.0,-0.018500000000000003
2004-08-04,2.6,2.6,2.6,2.3,3000.0,-0.0189
2004-08-05,2.5,2.5,2.5,2.5,25000.0,-0.0385
2004-08-06,2.15,2.6,2.6,2.15,68300.0,-0.14
2004-08-09,1.9,2.15,2.15,1.9,112600.0,-0.11630000000000001
2004-08-10,2.0,1.9,2.08,1.9,158900.0,0.0526
2004-08-11,2.0,2.0,2.07,1.95,55400.0,0.0
2004-08-12,2.06,2.08,2.08,2.06,2500.0,0.03
2004-08-13,2.1,2.1,2.15,2.1,17400.0,0.0194
2004-08-16,1.9,2.15,2.2,1.85,279450.0,-0.09519999999999999
2004-08-17,1.43,1.95,1.95,1.41,708660.0,-0.24739999999999998
2004-08-18,1.61,1.45,1.7,1.45,676360.0,0.1259
2004-08-19,1.65,1.61,1.7,1.6,499000.0,0.0248
2004-08-20,1.87,1.69,1.95,1.68,694960.0,0.1333
2004-08-23,1.83,1.95,2.0,1.83,397580.0,-0.021400000000000002
2004-08-24,1.95,1.9,1.99,1.83,246980.0,0.06559999999999999
2004-08-25,2.0,1.9,2.0,1.9,173250.0,0.0256
2004-08-26,2.01,2.02,2.03,1.93,319210.0,0.005
2004-08-27,2.05,2.03,2.05,1.93,234850.0,0.0199
2004-08-30,2.0,2.05,2.05,1.9,132910.0,-0.024399999999999998
2004-08-31,2.02,1.95,2.02,1.95,91200.0,0.01
2004-09-01,1.99,1.99,2.0,1.96,60800.0,-0.0149
2004-09-02,1.95,1.99,1.99,1.94,37400.0,-0.020099999999999996
2004-09-03,1.99,1.95,2.01,1.95,52600.0,0.020499999999999997
2004-09-07,1.95,1.98,1.99,1.95,70500.0,-0.020099999999999996
2004-09-08,1.9,1.93,1.93,1.9,13430.0,-0.0256
2004-09-09,1.76,1.9,1.9,1.75,88700.0,-0.0737
2004-09-10,1.77,1.7,1.82,1.7,149780.0,0.005699999999999999
2004-09-13,1.8,1.85,1.85,1.74,59680.0,0.0169
2004-09-14,1.89,1.8,1.94,1.8,155110.0,0.05
2004-09-15,1.95,1.9,1.95,1.87,76800.0,0.0317
2004-09-16,1.93,1.97,2.02,1.93,254810.0,-0.0103
2004-09-17,1.9,1.97,2.0,1.9,70730.0,-0.0155
2004-09-20,1.83,1.9,1.9,1.81,37690.0,-0.0368
2004-09-21,1.77,1.8,1.81,1.7,135860.0,-0.032799999999999996
2004-09-22,1.9,1.77,1.95,1.77,166500.0,0.07339999999999999
2004-09-23,1.94,1.87,1.95,1.87,152690.0,0.021099999999999997
2004-09-24,2.1,1.95,2.1,1.95,51900.0,0.0825
2004-09-27,2.33,2.1,2.4,2.05,209910.0,0.10949999999999999
2004-09-28,2.51,2.35,2.7,2.32,632590.0,0.07730000000000001
2004-09-29,2.35,2.49,2.5,2.31,42400.0,-0.0637
2004-09-30,2.25,2.35,2.35,2.25,42180.0,-0.0426
2004-10-01,2.2,2.25,2.27,2.2,47400.0,-0.0222
2004-10-04,2.15,2.2,2.23,2.15,53830.0,-0.0227
2004-10-05,2.2,2.2,2.2,2.2,21000.0,0.0233
2004-10-06,2.15,2.18,2.19,2.12,24760.0,-0.0227
2004-10-07,2.09,2.15,2.15,2.09,49150.0,-0.0279
2004-10-08,2.05,2.11,2.11,2.05,45450.0,-0.0191
2004-10-11,2.06,2.08,2.09,2.05,26960.0,0.0049
2004-10-12,1.94,2.05,2.05,1.94,29540.0,-0.0583
2004-10-13,2.05,2.05,2.05,2.0,120760.0,0.0567
2004-10-14,2.1,2.05,2.1,2.04,38900.0,0.024399999999999998
2004-10-15,2.12,2.11,2.12,2.07,43800.0,0.0095
2004-10-18,2.1,2.12,2.12,2.07,5200.0,-0.009399999999999999
2004-10-19,2.15,2.15,2.2,2.13,42220.0,0.023799999999999998
2004-10-20,2.2,2.17,2.2,2.17,4100.0,0.0233
2004-10-21,2.14,2.2,2.2,2.08,42880.0,-0.0273
2004-10-22,2.4,2.08,2.4,2.08,84260.0,0.1215
2004-10-25,2.31,2.4,2.44,2.2,65330.0,-0.0375
2004-10-26,2.5,2.34,2.5,2.33,61620.0,0.0823
2004-10-27,2.47,2.5,2.5,2.35,63450.0,-0.012
2004-10-28,2.44,2.45,2.48,2.42,19250.0,-0.0121
2004-10-29,2.63,2.48,2.63,2.45,44740.0,0.0779
2004-11-01,2.8,2.73,3.1,2.73,78700.0,0.0646
2004-11-02,2.81,2.9,2.98,2.8,42700.0,0.0036
2004-11-03,2.74,2.83,2.83,2.6,18500.0,-0.024900000000000002
2004-11-04,2.48,2.65,2.7,2.48,69600.0,-0.0949
2004-11-05,2.45,2.38,2.5,2.3,27900.0,-0.0121
2004-11-08,2.25,2.31,2.39,2.2,68600.0,-0.0816
2004-11-09,2.36,2.23,2.5,2.23,55600.0,0.0489
2004-11-10,2.1,2.3,2.35,1.91,407100.0,-0.11019999999999999
2004-11-11,2.19,2.04,2.25,2.04,60600.0,0.0429
2004-11-12,2.45,2.1,2.79,2.1,82200.0,0.11869999999999999
2004-11-15,2.31,2.22,2.39,2.15,25400.0,-0.0571
2004-11-16,2.25,2.3,2.45,2.16,39300.0,-0.026000000000000002
2004-11-17,2.27,2.22,2.27,2.22,7100.0,0.0089
2004-11-18,2.29,2.21,2.3,2.21,21600.0,0.0088
2004-11-19,2.25,2.25,2.25,2.2,21300.0,-0.0175
2004-11-22,2.3,2.23,2.3,2.19,41400.0,0.0222
2004-11-23,2.25,2.2,2.31,2.2,12000.0,-0.0217
2004-11-24,2.48,2.2,2.48,2.2,11000.0,0.10220000000000001
2004-11-26,2.3,2.36,2.4,2.3,6500.0,-0.0726
2004-11-29,2.25,2.22,2.3,2.2,13300.0,-0.0217
2004-11-30,2.24,2.15,2.28,2.15,29700.0,-0.0044
2004-12-01,2.2,2.14,2.2,2.13,13300.0,-0.0179
2004-12-02,2.19,2.1,2.19,2.1,6800.0,-0.0045000000000000005
2004-12-03,2.1,2.05,2.33,2.05,83100.0,-0.041100000000000005
2004-12-06,2.02,2.05,2.25,2.02,17200.0,-0.0381
2004-12-07,1.96,2.01,2.11,1.95,58400.0,-0.0297
2004-12-08,2.02,1.95,2.06,1.95,20000.0,0.030600000000000002
2004-12-09,1.98,1.97,1.99,1.97,14000.0,-0.019799999999999998
2004-12-10,1.98,1.95,2.0,1.95,18500.0,0.0
2004-12-13,1.91,1.97,1.97,1.91,98000.0,-0.0354
2004-12-14,1.88,1.8,2.0,1.8,36900.0,-0.015700000000000002
2004-12-15,1.95,1.8,2.0,1.8,42600.0,0.037200000000000004
2004-12-16,1.95,1.85,1.97,1.85,34100.0,0.0
2004-12-17,2.15,1.88,2.15,1.85,70800.0,0.1026
2004-12-20,2.0,2.1,2.1,1.95,36500.0,-0.0698
2004-12-21,2.2,2.0,2.26,2.0,102200.0,0.1
2004-12-22,2.1,2.1,2.1,2.1,8800.0,-0.0455
2004-12-23,2.09,1.99,2.1,1.99,52500.0,-0.0048
2004-12-27,2.05,1.95,2.05,1.95,8700.0,-0.0191
2004-12-28,2.2,1.95,2.24,1.95,24100.0,0.0732
2004-12-29,2.25,2.25,2.27,2.02,25000.0,0.0227
2004-12-30,2.2,2.05,2.2,2.05,11700.0,-0.0222
2004-12-31,2.2,2.05,2.21,2.05,19100.0,0.0
2005-01-03,2.07,2.1,2.1,2.06,22300.0,-0.0591
2005-01-04,2.02,2.07,2.08,2.02,18800.0,-0.0242
2005-01-05,1.99,1.95,2.01,1.95,13000.0,-0.0149
2005-01-06,1.95,1.97,1.98,1.95,44500.0,-0.020099999999999996
2005-01-07,1.94,1.95,2.0,1.85,54300.0,-0.0051
2005-01-10,1.9,1.9,1.94,1.8,69700.0,-0.0206
2005-01-11,1.97,1.93,1.97,1.8,77300.0,0.0368
2005-01-12,1.84,1.8,1.89,1.8,54400.0,-0.066
2005-01-13,1.83,1.84,1.84,1.8,46400.0,-0.0054
2005-01-14,1.89,1.93,1.93,1.85,25400.0,0.032799999999999996
2005-01-18,1.79,1.95,1.95,1.62,134500.0,-0.0529
2005-01-19,1.78,1.75,1.95,1.75,133800.0,-0.005600000000000001
2005-01-20,1.85,1.85,1.93,1.78,116800.0,0.0393
2005-01-21,1.85,1.92,1.92,1.83,94700.0,0.0
2005-01-24,1.9,1.92,2.02,1.9,41000.0,0.027000000000000003
2005-01-25,1.89,1.9,1.95,1.85,74100.0,-0.0053
2005-01-26,1.95,1.9,1.95,1.9,43800.0,0.0317
2005-01-27,2.05,1.9,2.1,1.88,65900.0,0.0513
2005-01-28,2.05,1.9,2.14,1.9,67000.0,0.0
2005-01-31,1.96,1.95,2.1,1.9,67600.0,-0.043899999999999995
2005-02-01,2.0,1.89,2.15,1.85,17700.0,0.0204
2005-02-02,2.1,2.05,2.15,2.05,35200.0,0.05
2005-02-03,2.15,2.11,2.24,2.09,39500.0,0.023799999999999998
2005-02-04,2.16,2.15,2.16,2.06,33600.0,0.004699999999999999
2005-02-07,2.11,2.15,2.15,2.1,89900.0,-0.0231
2005-02-08,2.1,2.15,2.15,2.1,45500.0,-0.004699999999999999
2005-02-09,2.12,2.1,2.19,2.1,59500.0,0.0095
2005-02-10,2.15,2.1,2.18,2.1,40700.0,0.014199999999999999
2005-02-11,2.09,2.1,2.14,2.0,313200.0,-0.0279
2005-02-14,1.95,2.1,2.1,1.85,49800.0,-0.067
2005-02-15,2.0,1.99,2.1,1.99,13600.0,0.0256
2005-02-16,1.9,2.04,2.04,1.86,29100.0,-0.05
2005-02-17,1.99,1.95,2.05,1.95,294500.0,0.047400000000000005
2005-02-18,1.9,2.03,2.09,1.9,12100.0,-0.0452
2005-02-22,1.85,1.98,1.98,1.8,54900.0,-0.0263
2005-02-23,1.82,1.93,2.04,1.75,39000.0,-0.016200000000000003
2005-02-24,1.78,1.82,1.82,1.7,99600.0,-0.022000000000000002
2005-02-25,1.74,1.72,1.83,1.7,49700.0,-0.0225
2005-02-28,1.67,1.73,1.77,1.67,123200.0,-0.04019999999999999
2005-03-01,1.8,1.77,1.95,1.76,453200.0,0.07780000000000001
2005-03-02,1.92,1.85,1.92,1.81,6770000.0,0.0667
2005-03-03,1.82,1.95,1.99,1.72,234400.0,-0.0521
2005-03-04,1.85,1.87,1.87,1.8,26300.0,0.0165
2005-03-07,1.94,1.85,1.95,1.85,14900.0,0.048600000000000004
2005-03-08,1.92,1.95,1.99,1.9,23200.0,-0.0103
2005-03-09,1.84,1.91,2.02,1.76,434900.0,-0.0417
2005-03-10,1.85,1.84,1.88,1.8,36300.0,0.0054
2005-03-11,1.77,1.85,1.85,1.77,20500.0,-0.0432
2005-03-14,1.81,1.78,1.81,1.76,9000.0,0.0226
2005-03-15,1.85,1.82,1.92,1.82,5500.0,0.022099999999999998
2005-03-16,1.9,2.0,2.0,1.9,46700.0,0.027000000000000003
2005-03-17,1.8,1.85,1.85,1.8,50800.0,-0.0526
2005-03-18,1.83,1.77,1.83,1.75,21700.0,0.0167
2005-03-21,1.69,1.77,1.77,1.67,72800.0,-0.0765
2005-03-22,1.69,1.7,1.7,1.5,65800.0,0.0
2005-03-23,1.66,1.7,1.7,1.66,23400.0,-0.0178
2005-03-24,1.6,1.6,1.7,1.5,48200.0,-0.0361
2005-03-28,1.7,1.62,1.8,1.61,80800.0,0.0625
2005-03-29,1.69,1.7,1.82,1.65,34300.0,-0.0059
2005-03-30,1.75,1.71,1.75,1.71,10800.0,0.0355
2005-03-31,1.64,1.75,1.75,1.63,25700.0,-0.0629
2005-04-01,1.73,1.65,1.79,1.63,85900.0,0.054900000000000004
2005-04-04,1.67,1.65,1.72,1.65,33900.0,-0.0347
2005-04-05,1.74,1.72,1.74,1.72,6100.0,0.04190000000000001
