Date,Close,Open,High,Low,Volume,Change
2006-12-28,3843.8,3843.8,3843.8,3843.8,421860.0,0.0
2006-12-29,3657.2,3843.8,3843.8,3657.2,148710.0,-0.048499999999999995
2007-01-02,3489.2,3657.2,3657.2,3489.2,58650.0,-0.045899999999999996
2007-01-03,3321.3,3321.3,3321.3,3321.3,120280.0,-0.0481
2007-01-04,3172.0,3172.0,3172.0,3172.0,557850.0,-0.045
2007-01-05,3321.3,3022.8,3321.3,3022.8,729020.0,0.0471
2007-01-08,3470.6,3470.6,3470.6,3470.6,220470.0,0.045
2007-01-09,3638.5,3638.5,3638.5,3619.9,819670.0,0.0484
2007-01-10,3470.6,3507.9,3507.9,3470.6,584090.0,-0.0461
2007-01-11,3302.7,3321.3,3321.3,3302.7,301790.0,-0.0484
2007-01-12,3451.9,3153.4,3451.9,3153.4,290060.0,0.0452
2007-01-15,3470.6,3451.9,3470.6,3451.9,374550.0,0.0054
2007-01-16,3358.6,3470.6,3470.6,3358.6,295620.0,-0.0323
2007-01-17,3284.0,3358.6,3358.6,3209.4,168790.0,-0.0222
2007-01-18,3358.6,3134.7,3358.6,3134.7,185880.0,0.0227
2007-01-19,3358.6,3321.3,3358.6,3321.3,360630.0,0.0
2007-01-22,3209.4,3209.4,3209.4,3190.7,214710.0,-0.0444
2007-01-23,3321.3,3358.6,3358.6,3321.3,80910.0,0.0349
2007-01-24,3321.3,3321.3,3321.3,3321.3,178530.0,0.0
2007-01-25,3246.7,3190.7,3246.7,3190.7,173760.0,-0.0225
2007-01-26,3097.4,3246.7,3246.7,3097.4,80520.0,-0.046
2007-01-29,3172.0,3097.4,3172.0,3097.4,202780.0,0.0241
2007-01-30,3321.3,3209.4,3321.3,3209.4,266000.0,0.0471
2007-01-31,3321.3,3321.3,3321.3,3321.3,339160.0,0.0
2007-02-01,3358.6,3358.6,3358.6,3321.3,541940.0,0.011200000000000002
2007-02-02,3526.6,3526.6,3526.6,3526.6,429220.0,0.05
2007-02-05,3694.5,3694.5,3694.5,3694.5,1210000.0,0.047599999999999996
2007-02-06,3843.8,3843.8,3843.8,3843.8,1090000.0,0.0404
2007-02-07,3731.8,3731.8,3731.8,3657.2,498800.0,-0.0291
2007-02-08,3545.2,3731.8,3731.8,3545.2,64209.99999999999,-0.05
2007-02-09,3377.3,3377.3,3377.3,3377.3,146520.0,-0.047400000000000005
2007-02-12,3433.3,3545.2,3545.2,3433.3,307150.0,0.0166
2007-02-13,3601.2,3601.2,3601.2,3601.2,864800.0,0.0489
2007-02-14,3601.2,3601.2,3601.2,3601.2,120080.0,0.0
2007-02-15,3769.1,3601.2,3769.1,3601.2,329220.0,0.0466
2007-02-26,3918.4,3955.7,3955.7,3918.4,473550.0,0.039599999999999996
2007-02-27,3769.1,3769.1,3769.1,3769.1,428820.0,-0.0381
2007-02-28,3657.2,3769.1,3769.1,3657.2,214910.0,-0.0297
2007-03-01,3657.2,3657.2,3657.2,3657.2,67390.0,0.0
2007-03-02,3657.2,3657.2,3657.2,3657.2,170970.0,0.0
2007-03-05,3657.2,3545.2,3657.2,3545.2,244930.0,0.0
2007-03-06,3582.5,3657.2,3657.2,3582.5,159040.0,-0.0204
2007-03-07,3582.5,3657.2,3657.2,3582.5,274550.0,0.0
2007-03-08,3414.6,3582.5,3582.5,3414.6,159240.0,-0.046900000000000004
2007-03-09,3545.2,3414.6,3545.2,3414.6,238170.0,0.0382
2007-03-12,3694.5,3545.2,3694.5,3545.2,266000.0,0.0421
2007-03-13,3526.6,3694.5,3694.5,3526.6,115700.0,-0.0454
2007-03-14,3526.6,3526.6,3526.6,3526.6,259839.99999999997,0.0
2007-03-15,3470.6,3358.6,3470.6,3358.6,140750.0,-0.0159
2007-03-16,3545.2,3470.6,3545.2,3358.6,190850.0,0.0215
2007-03-19,3545.2,3694.5,3694.5,3507.9,154070.0,0.0
