Date,Close,Open,High,Low,Volume,Change
2011-07-15,39.96,40.13,40.13,39.96,2510.0,-0.0027
2011-07-18,39.93,39.96,39.96,39.9,2570.0,-0.0008
2011-07-19,40.13,40.08,40.13,40.08,300.0,0.005
2011-07-20,40.18,40.18,40.18,40.18,200.0,0.0012
2011-07-21,40.36,40.19,40.37,40.19,7200.0,0.0045000000000000005
2011-07-22,40.31,40.31,40.39,40.11,167780.0,-0.0012
2011-07-25,40.32,40.31,40.32,40.31,6400.0,0.0002
2011-07-26,40.29,40.37,40.37,40.22,3100.0,-0.0007000000000000001
2011-07-27,40.0,40.1,40.1,40.0,4540.0,-0.0072
2011-07-28,39.98,39.94,40.06,39.94,2600.0,-0.0005
2011-07-29,39.94,39.94,39.94,39.94,100.0,-0.001
2011-08-01,39.93,40.12,40.12,39.93,770.0,-0.0003
2011-08-02,39.6,39.75,39.75,39.6,1820.0,-0.0083
2011-08-03,39.44,39.46,39.46,39.44,10130.0,-0.004
2011-08-04,39.01,39.16,39.16,39.01,2000.0,-0.0109
2011-08-05,38.79,39.01,39.01,38.63,27620.0,-0.005600000000000001
2011-08-08,37.94,38.2,38.2,37.88,550.0,-0.0219
2011-08-09,38.3,38.19,38.3,38.19,4170.0,0.0095
2011-08-10,38.05,38.16,38.16,38.05,2240.0,-0.006500000000000001
2011-08-11,38.28,38.34,38.34,38.28,3890.0,0.006
2011-08-12,38.5,38.66,38.66,38.5,880.0,0.005699999999999999
2011-08-16,38.66,38.67,38.69,38.66,370.0,0.0042
2011-08-17,38.75,38.83,38.95,38.75,28550.0,0.0023
2011-08-18,38.12,38.75,38.75,38.12,2390.0,-0.0163
2011-08-19,37.97,38.59,38.6,37.97,110550.0,-0.0039000000000000003
2011-08-22,39.1,39.1,39.1,39.1,300.0,0.0298
2011-08-23,38.6,38.6,38.6,38.6,100.0,-0.0128
2011-08-25,38.26,39.09,39.09,38.24,1090.0,-0.0088
2011-08-26,38.36,38.36,38.36,38.36,150.0,0.0026
2011-08-30,38.82,38.55,38.82,38.55,2610.0,0.012
2011-08-31,38.86,44.26,44.26,38.86,1310.0,0.001
2011-09-01,38.8,38.94,38.94,38.8,1500.0,-0.0015
2011-09-02,38.47,38.47,38.47,38.47,100.0,-0.0085
2011-09-06,38.02,38.08,38.08,37.93,3400.0,-0.011699999999999999
2011-09-07,38.53,38.53,38.53,38.53,300.0,0.0134
2011-09-08,38.62,37.86,38.62,37.86,900.0,0.0023
2011-09-09,38.23,38.23,38.23,38.23,1000.0,-0.0101
2011-09-12,37.97,38.01,38.01,37.84,300.0,-0.0068000000000000005
