Date,Close,Open,High,Low,Volume,Change
2019-05-10,16.75,15.59,16.95,15.46,1160000.0,0.0635
2019-05-13,15.54,16.29,16.29,15.32,442440.0,-0.0722
2019-05-14,16.0,15.87,16.24,15.5,282490.0,0.0296
2019-05-15,15.85,16.0,16.2,15.5,489660.0,-0.009399999999999999
2019-05-16,15.6,15.83,16.0,15.11,409450.0,-0.0158
2019-05-17,15.8,15.55,15.99,15.4,334650.0,0.0128
2019-05-20,15.93,15.47,16.0,15.45,319300.0,0.008199999999999999
2019-05-21,16.45,15.88,16.73,15.88,512630.0,0.0326
2019-05-22,16.54,16.4,16.62,16.28,267320.0,0.0055000000000000005
2019-05-23,16.2,16.37,16.56,16.2,47550.0,-0.0206
2019-05-24,16.32,16.28,16.49,15.9,307550.0,0.0074
2019-05-28,16.5,16.49,16.72,16.25,88950.0,0.011000000000000001
2019-05-29,16.6,16.39,16.66,16.25,59050.0,0.0060999999999999995
2019-05-30,16.66,16.43,16.75,16.43,54600.0,0.0036
2019-05-31,17.26,16.42,17.56,16.24,280780.0,0.036000000000000004
2019-06-03,17.14,17.27,17.56,16.74,224060.0,-0.006999999999999999
2019-06-04,17.56,17.33,17.56,15.98,279020.0,0.0245
2019-06-05,16.6,17.56,18.0,16.31,274390.0,-0.0547
2019-06-06,16.75,16.7,17.22,16.54,184320.0,0.009000000000000001
2019-06-07,16.31,16.75,17.08,15.96,325400.0,-0.0263
2019-06-10,15.5,16.22,16.22,14.75,293550.0,-0.049699999999999994
2019-06-11,15.33,15.75,15.98,15.07,421930.0,-0.011000000000000001
2019-06-12,16.44,15.42,16.69,15.42,267640.0,0.0724
2019-06-13,16.68,16.02,16.75,16.02,44770.0,0.0146
2019-06-14,16.93,16.7,16.97,16.57,44350.0,0.015
2019-06-17,17.17,17.07,17.25,16.56,15960.0,0.014199999999999999
2019-06-18,17.04,17.17,17.45,16.83,21030.0,-0.0076
2019-06-19,16.89,17.29,17.29,16.89,40610.0,-0.0088
2019-06-20,17.14,17.07,17.47,16.53,41040.0,0.0148
2019-06-21,16.66,17.07,17.16,16.24,371070.0,-0.027999999999999997
2019-06-24,16.0,16.77,16.9,15.11,85530.0,-0.039599999999999996
2019-06-25,15.91,16.05,16.67,15.77,44650.0,-0.005600000000000001
2019-06-26,16.06,15.85,16.27,15.8,118270.0,0.009399999999999999
2019-06-27,16.04,16.01,16.62,15.4,114770.0,-0.0012
2019-06-28,16.25,16.01,16.42,15.75,104150.0,0.0131
2019-07-01,16.42,16.37,16.46,15.6,95250.0,0.0105
2019-07-02,16.53,16.37,16.57,15.93,41210.0,0.0067
2019-07-03,16.4,16.4,16.49,16.0,11760.0,-0.0079
2019-07-05,17.1,16.21,17.15,16.21,16010.000000000002,0.042699999999999995
2019-07-08,17.38,17.08,17.5,16.08,14940.0,0.016399999999999998
2019-07-09,17.39,17.04,17.64,17.04,109590.0,0.0006
2019-07-10,18.01,17.44,18.49,16.91,183800.0,0.035699999999999996
2019-07-11,18.0,18.05,19.75,17.53,21660.0,-0.0006
2019-07-12,17.95,17.85,18.0,17.16,3230.0,-0.0028000000000000004
2019-07-15,17.99,17.82,18.35,17.63,9390.0,0.0022
