Date,Close,Open,High,Low,Volume,Change
2011-12-19,22.0,22.0,20.0,20.0,3880.0,0.0
2012-01-25,22.0,22.0,21.0,21.0,5000.0,0.0
2012-03-05,27.0,26.5,30.0,27.0,69950.0,0.2273
2012-03-06,25.5,27.0,28.0,25.0,26750.0,-0.0556
2012-03-07,25.5,25.5,26.25,26.25,1490.0,0.0
2012-03-08,25.5,25.5,26.25,26.25,7540.0,0.0
2012-03-09,25.5,25.5,28.0,28.0,3520.0,0.0
2012-03-12,25.5,25.5,26.25,26.25,630.0,0.0
2012-03-13,25.5,25.5,26.25,26.25,500.0,0.0
2012-03-14,26.5,25.5,26.25,26.25,17040.0,0.0392
2012-03-15,26.5,26.5,28.5,27.25,4140.0,0.0
2012-03-16,27.5,26.5,29.5,26.0,130169.99999999999,0.0377
2012-03-19,27.5,27.5,29.5,26.5,42960.0,0.0
2012-03-20,27.5,27.5,28.82,28.82,5400.0,0.0
2012-03-21,26.5,27.5,28.0,26.25,73230.0,-0.0364
2012-03-22,26.5,26.5,26.0,26.0,16500.0,0.0
2012-03-23,26.5,26.5,27.7,27.7,2000.0,0.0
2012-03-29,26.5,26.5,27.7,27.7,10740.0,0.0
2012-03-30,26.5,26.5,27.7,27.7,500.0,0.0
2012-04-02,26.5,26.5,26.0,26.0,1500.0,0.0
2012-04-03,26.0,26.5,26.5,25.0,41790.0,-0.0189
2012-04-04,26.0,26.0,26.6,26.6,1850.0,0.0
2012-04-05,26.0,25.5,26.6,25.0,18730.0,0.0
2012-04-10,26.0,26.0,26.6,26.0,13820.0,0.0
2012-04-11,24.5,25.5,26.5,24.0,16820.0,-0.057699999999999994
2012-04-12,23.5,24.5,24.5,22.0,23460.0,-0.0408
2012-04-13,23.5,23.5,24.4,24.4,4560.0,0.0
2012-04-16,23.5,23.5,24.4,24.4,800.0,0.0
2012-04-17,23.0,23.5,24.82,24.82,720.0,-0.0213
2012-04-23,23.0,23.0,23.88,23.88,5000.0,0.0
2012-04-26,23.0,23.0,23.98,23.98,2029.9999999999998,0.0
2012-04-27,23.0,23.0,23.98,23.98,4170.0,0.0
2012-05-01,23.0,23.0,24.0,24.0,790.0,0.0
2012-05-03,23.0,23.0,24.0,24.0,2040.0,0.0
2012-05-04,23.0,23.0,22.1,22.1,10000.0,0.0
2012-05-10,23.0,23.0,23.98,23.98,1200.0,0.0
2012-05-22,22.0,21.5,22.88,22.88,4290.0,0.0
2012-05-24,21.5,22.0,21.0,21.0,6500.0,-0.0227
2012-05-25,21.0,21.5,22.82,21.5,16640.0,-0.0233
2012-05-28,21.0,21.0,21.48,21.48,230.0,0.0
2012-05-30,21.0,21.0,20.48,20.0,5160.0,0.0
2012-06-07,21.0,21.0,20.04,20.04,1900.0,0.0
2012-06-11,21.0,21.0,21.6,21.6,10000.0,0.0
2012-06-15,21.0,21.0,21.6,21.6,15130.0,0.0
2012-06-19,21.0,21.0,21.6,21.6,2310.0,0.0
2012-06-22,22.0,22.0,22.5,22.5,1620.0,0.047599999999999996
2012-06-26,22.0,22.0,21.04,21.04,340.0,0.0
2012-07-06,23.0,22.0,22.5,22.5,8790.0,0.0455
2012-07-10,23.5,23.5,22.06,22.06,2000.0,0.0
2012-07-19,24.5,24.5,23.03,23.03,1000.0,0.0
2012-07-31,24.5,24.5,23.75,23.0,12150.0,0.0
2012-08-08,24.5,24.5,23.0,23.0,3000.0,0.0
2012-08-21,24.5,24.5,23.0,23.0,5000.0,0.0
2012-08-28,24.5,24.5,23.0,23.0,2200.0,0.0
2012-09-04,24.5,24.5,23.75,23.75,1640.0,0.0
2012-09-13,24.5,24.5,23.75,23.75,9180.0,0.0
2012-09-14,24.5,24.5,23.75,23.75,18460.0,0.0
2012-09-17,24.5,24.5,25.0,25.0,2130.0,0.0
2012-09-18,24.5,24.5,25.0,23.75,2950.0,0.0
2012-09-21,24.5,24.5,23.0,23.0,1000.0,0.0
2012-09-26,24.5,24.5,24.0,24.0,50000.0,0.0
2012-09-27,24.5,24.5,24.0,23.0,30000.0,0.0
2012-09-28,24.5,24.5,25.0,23.04,5580.0,0.0
