Date,Close,Open,High,Low,Volume,Change
2006-06-26,8.92,8.71,9.04,8.52,816350.0,0.0594
2006-06-27,9.22,9.05,9.45,8.78,700060.0,0.0336
2006-06-28,9.42,9.39,9.53,9.26,307880.0,0.0217
2006-06-29,9.47,9.5,9.57,9.14,155370.0,0.0053
2006-06-30,9.55,9.49,9.55,9.39,90610.0,0.0084
2006-07-03,9.68,9.55,9.68,9.47,27310.0,0.013600000000000001
2006-07-05,9.38,9.95,9.95,9.26,156130.0,-0.031
2006-07-06,9.09,9.66,9.68,9.09,148530.0,-0.030899999999999997
2006-07-07,9.36,9.08,9.63,9.08,193540.0,0.0297
2006-07-10,9.28,9.56,9.56,9.26,41620.0,-0.0085
2006-07-11,9.36,9.47,9.47,9.32,46770.0,0.0086
2006-07-12,9.25,9.36,9.47,9.15,124610.0,-0.0118
2006-07-13,9.18,9.32,9.32,9.05,75280.0,-0.0076
2006-07-14,9.07,9.26,9.26,9.05,21590.0,-0.012
2006-07-17,9.12,9.29,9.34,9.05,42680.0,0.0055000000000000005
2006-07-18,9.2,9.11,9.26,9.05,33920.0,0.0088
2006-07-19,9.2,9.23,9.23,9.14,58500.0,0.0
2006-07-20,9.01,9.44,9.44,8.84,84880.0,-0.0207
2006-07-21,9.05,9.15,9.68,9.04,105690.0,0.0044
2006-07-24,9.12,9.15,9.2,9.05,14780.0,0.0077
2006-07-25,9.03,9.16,9.17,8.85,77900.0,-0.009899999999999999
2006-07-26,8.93,9.15,9.15,8.84,46520.0,-0.0111
2006-07-27,9.02,8.88,9.09,8.88,31550.0,0.0101
2006-07-28,9.09,9.03,9.16,8.88,30490.0,0.0078000000000000005
2006-07-31,9.18,9.09,9.26,9.04,48330.0,0.009899999999999999
2006-08-01,9.05,8.84,9.2,8.84,33550.0,-0.014199999999999999
2006-08-02,8.99,9.05,9.05,8.84,339370.0,-0.0066
2006-08-03,9.2,9.2,9.2,8.89,46860.0,0.023399999999999997
2006-08-04,9.46,9.26,9.57,9.22,49530.0,0.028300000000000002
2006-08-07,9.43,9.33,9.45,9.33,18100.0,-0.0032
2006-08-08,9.31,9.39,9.43,9.26,49010.0,-0.0127
2006-08-09,9.12,9.26,9.26,9.09,27660.0,-0.0204
2006-08-10,8.96,9.2,9.2,8.84,61040.0,-0.0175
2006-08-11,8.91,9.07,9.09,8.89,53860.0,-0.005600000000000001
2006-08-14,8.78,8.92,8.92,8.78,116980.0,-0.0146
2006-08-15,8.82,8.83,8.84,8.75,23790.0,0.0046
2006-08-16,8.82,8.84,8.84,8.73,187720.0,0.0
2006-08-17,8.83,8.84,8.84,8.73,22820.0,0.0011
2006-08-18,8.73,8.82,8.82,8.65,7280.0,-0.0113
2006-08-21,8.72,8.81,8.81,8.72,6480.0,-0.0011
2006-08-22,8.71,8.7,8.71,8.69,8710.0,-0.0011
2006-08-23,8.69,8.65,8.8,8.63,12280.0,-0.0023
2006-08-24,8.64,8.77,8.83,8.63,25710.0,-0.0058
2006-08-25,8.69,8.67,8.78,8.63,41790.0,0.0058
2006-08-28,8.67,8.69,8.71,8.63,23010.0,-0.0023
2006-08-29,8.75,8.8,8.84,8.74,142580.0,0.0092
2006-08-30,8.84,8.75,8.86,8.75,229670.0,0.0103
2006-08-31,8.9,8.78,9.05,8.78,120000.0,0.0068000000000000005
2006-09-01,8.85,9.02,9.03,8.83,57750.0,-0.005600000000000001
2006-09-05,8.86,8.84,8.95,8.84,8390.0,0.0011
2006-09-06,8.91,8.88,9.0,8.88,41000.0,0.005600000000000001
2006-09-07,9.08,8.88,9.08,8.88,14140.0,0.0191
