Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.88,0.88,0.88,0.85,2530000.0,0.0353
1980-03-19,0.89,0.89,0.9,0.88,1320000.0,0.011399999999999999
1980-03-20,0.87,0.87,0.89,0.87,2600000.0,-0.0225
1980-03-21,0.86,0.86,0.87,0.85,4250000.0,-0.0115
1980-03-24,0.84,0.84,0.85,0.84,1820000.0,-0.0233
1980-03-25,0.85,0.85,0.86,0.84,1750000.0,0.011899999999999999
1980-03-26,0.85,0.85,0.87,0.85,1990000.0,0.0
1980-03-27,0.84,0.84,0.84,0.8,6540000.0,-0.0118
1980-03-28,0.86,0.86,0.87,0.83,2790000.0,0.023799999999999998
1980-03-31,0.89,0.89,0.89,0.87,1480000.0,0.0349
1980-04-01,0.89,0.89,0.89,0.87,3900000.0,0.0
1980-04-02,0.88,0.88,0.9,0.88,1890000.0,-0.011200000000000002
1980-04-03,0.87,0.87,0.88,0.86,2280000.0,-0.011399999999999999
1980-04-07,0.85,0.85,0.87,0.84,1280000.0,-0.023
1980-04-08,0.86,0.86,0.87,0.83,5260000.0,0.0118
1980-04-09,0.87,0.87,0.87,0.85,3320000.0,0.0116
1980-04-10,0.85,0.85,0.86,0.85,3560000.0,-0.023
1980-04-11,0.84,0.84,0.86,0.84,1660000.0,-0.0118
1980-04-14,0.81,0.81,0.83,0.81,2370000.0,-0.035699999999999996
1980-04-15,0.8,0.8,0.82,0.8,4520000.0,-0.0123
1980-04-16,0.76,0.76,0.81,0.76,6670000.0,-0.05
1980-04-17,0.77,0.77,0.77,0.74,6170000.0,0.0132
1980-04-18,0.76,0.76,0.78,0.76,2680000.0,-0.013000000000000001
1980-04-21,0.74,0.74,0.76,0.73,2920000.0,-0.0263
1980-04-22,0.79,0.79,0.8,0.74,11500000.0,0.0676
1980-04-23,0.8,0.8,0.82,0.79,3430000.0,0.0127
1980-04-24,0.82,0.82,0.82,0.79,2060000.0,0.025
1980-04-25,0.81,0.81,0.82,0.8,2480000.0,-0.012199999999999999
1980-04-28,0.83,0.83,0.84,0.82,2480000.0,0.024700000000000003
1980-04-29,0.82,0.82,0.83,0.82,1630000.0,-0.012
1980-04-30,0.82,0.82,0.82,0.81,1080000.0,0.0
1980-05-01,0.8,0.8,0.82,0.8,1400000.0,-0.024399999999999998
1980-05-02,0.81,0.81,0.81,0.8,1370000.0,0.0125
1980-05-05,0.83,0.83,0.83,0.81,1370000.0,0.024700000000000003
1980-05-06,0.82,0.82,0.84,0.82,2620000.0,-0.012
1980-05-07,0.82,0.82,0.82,0.81,2120000.0,0.0
1980-05-08,0.81,0.81,0.82,0.8,2600000.0,-0.012199999999999999
1980-05-09,0.8,0.8,0.81,0.8,512000.0,-0.0123
1980-05-12,0.8,0.8,0.8,0.79,1480000.0,0.0
1980-05-13,0.79,0.79,0.8,0.79,2460000.0,-0.0125
1980-05-14,0.8,0.8,0.8,0.8,4310000.0,0.0127
1980-05-15,0.8,0.8,0.81,0.8,1950000.0,0.0
1980-05-16,0.8,0.8,0.81,0.8,1500000.0,0.0
1980-05-19,0.81,0.81,0.82,0.8,2690000.0,0.0125
1980-05-20,0.81,0.81,0.82,0.81,3920000.0,0.0
1980-05-21,0.82,0.82,0.82,0.81,3270000.0,0.0123
1980-05-22,0.83,0.83,0.83,0.81,5350000.0,0.012199999999999999
1980-05-23,0.86,0.86,0.86,0.85,6210000.0,0.0361
1980-05-27,0.86,0.86,0.88,0.86,3540000.0,0.0
1980-05-28,0.87,0.87,0.87,0.86,1860000.0,0.0116
1980-05-29,0.87,0.87,0.88,0.87,2290000.0,0.0
1980-05-30,0.87,0.87,0.88,0.86,1280000.0,0.0
1980-06-02,0.87,0.87,0.88,0.87,1610000.0,0.0
1980-06-03,0.88,0.88,0.88,0.87,2320000.0,0.0115
1980-06-04,0.9,0.9,0.9,0.87,2540000.0,0.0227
1980-06-05,0.91,0.91,0.91,0.89,2970000.0,0.0111
1980-06-06,0.92,0.92,0.92,0.89,3870000.0,0.011000000000000001
1980-06-09,0.91,0.91,0.92,0.91,1360000.0,-0.0109
1980-06-10,0.89,0.89,0.92,0.89,2800000.0,-0.022000000000000002
1980-06-11,0.91,0.91,0.91,0.89,1110000.0,0.0225
1980-06-12,0.92,0.92,0.93,0.91,5160000.0,0.011000000000000001
1980-06-13,0.91,0.91,0.92,0.91,2840000.0,-0.0109
1980-06-16,0.91,0.91,0.91,0.9,2370000.0,0.0
1980-06-17,0.9,0.9,0.92,0.9,1990000.0,-0.011000000000000001
1980-06-18,0.89,0.89,0.92,0.89,5070000.0,-0.0111
1980-06-19,0.87,0.87,0.89,0.87,1630000.0,-0.0225
1980-06-20,0.87,0.87,0.88,0.86,2590000.0,0.0
1980-06-23,0.87,0.87,0.88,0.87,1920000.0,0.0
1980-06-24,0.88,0.88,0.88,0.86,2920000.0,0.0115
1980-06-25,0.9,0.9,0.91,0.88,3030000.0,0.0227
1980-06-26,0.9,0.9,0.92,0.9,2020000.0,0.0
1980-06-27,0.9,0.9,0.9,0.89,768000.0,0.0
1980-06-30,0.88,0.88,0.9,0.88,3060000.0,-0.0222
1980-07-01,0.89,0.89,0.89,0.88,1360000.0,0.011399999999999999
1980-07-02,0.91,0.91,0.91,0.9,2370000.0,0.0225
1980-07-03,0.92,0.92,0.92,0.91,4030000.0000000005,0.011000000000000001
1980-07-07,0.93,0.93,0.94,0.93,4660000.0,0.0109
1980-07-08,0.93,0.93,0.94,0.92,3500000.0,0.0
1980-07-09,0.97,0.97,0.98,0.93,3300000.0,0.043
1980-07-10,0.95,0.95,0.97,0.95,2089999.9999999998,-0.0206
1980-07-11,0.95,0.95,0.96,0.94,2520000.0,0.0
1980-07-14,1.01,1.01,1.01,0.96,2430000.0,0.0632
1980-07-15,1.0,1.0,1.02,1.0,2290000.0,-0.009899999999999999
1980-07-16,1.0,1.0,1.01,0.99,1420000.0,0.0
1980-07-17,1.03,1.03,1.03,1.0,2430000.0,0.03
1980-07-18,1.04,1.04,1.05,1.03,3470000.0,0.0097
1980-07-21,1.07,1.07,1.07,1.04,3340000.0,0.0288
1980-07-22,1.06,1.06,1.08,1.06,2240000.0,-0.009300000000000001
1980-07-23,1.03,1.03,1.05,1.03,2140000.0,-0.028300000000000002
1980-07-24,1.03,1.03,1.04,1.02,1570000.0,0.0
1980-07-25,1.03,1.03,1.03,1.02,873600.0,0.0
1980-07-28,1.04,1.04,1.04,1.02,928000.0,0.0097
1980-07-29,1.06,1.06,1.07,1.04,1560000.0,0.0192
1980-07-30,1.07,1.07,1.09,1.06,1680000.0,0.009399999999999999
1980-07-31,1.08,1.08,1.08,1.06,1650000.0,0.009300000000000001
1980-08-01,1.07,1.07,1.09,1.06,1910000.0,-0.009300000000000001
1980-08-04,1.06,1.06,1.06,1.05,1800000.0,-0.009300000000000001
1980-08-05,1.05,1.05,1.07,1.05,1460000.0,-0.009399999999999999
1980-08-06,1.06,1.06,1.06,1.04,937600.0,0.0095
1980-08-07,1.06,1.06,1.06,1.05,2480000.0,0.0
1980-08-08,1.07,1.07,1.08,1.07,3600000.0,0.009399999999999999
1980-08-11,1.11,1.11,1.12,1.06,3600000.0,0.0374
1980-08-12,1.06,1.06,1.11,1.05,2370000.0,-0.045
1980-08-13,1.06,1.06,1.08,1.05,3180000.0,0.0
1980-08-14,1.08,1.08,1.08,1.05,4000000.0,0.0189
1980-08-15,1.07,1.07,1.08,1.06,2089999.9999999998,-0.009300000000000001
1980-08-18,1.05,1.05,1.07,1.05,2610000.0,-0.0187
1980-08-19,1.05,1.05,1.06,1.04,2290000.0,0.0
1980-08-20,1.06,1.06,1.06,1.03,3820000.0,0.0095
1980-08-21,1.06,1.06,1.06,1.04,2230000.0,0.0
1980-08-22,1.04,1.04,1.06,1.04,3190000.0,-0.0189
1980-08-25,1.04,1.04,1.05,1.04,1420000.0,0.0
1980-08-26,1.05,1.05,1.06,1.05,1160000.0,0.0096
1980-08-27,1.02,1.02,1.05,1.02,1830000.0,-0.0286
1980-08-28,1.01,1.01,1.03,1.0,2190000.0,-0.0098
1980-08-29,1.01,1.01,1.01,1.0,1970000.0,0.0
1980-09-02,1.02,1.02,1.03,1.01,1680000.0,0.009899999999999999
1980-09-03,1.03,1.03,1.03,1.02,2340000.0,0.0098
1980-09-04,1.0,1.0,1.03,1.0,6940000.0,-0.0291
1980-09-05,1.0,1.0,1.01,0.99,3290000.0,0.0
1980-09-08,0.95,0.95,1.0,0.95,9440000.0,-0.05
1980-09-09,0.98,0.98,0.98,0.95,4690000.0,0.0316
1980-09-10,0.97,0.97,0.99,0.97,1940000.0,-0.0102
1980-09-11,0.97,0.97,0.99,0.97,2270000.0,0.0
1980-09-12,0.98,0.98,0.99,0.98,1610000.0,0.0103
1980-09-15,0.99,0.99,0.99,0.97,1940000.0,0.0102
1980-09-16,1.0,1.0,1.0,0.98,3340000.0,0.0101
1980-09-17,1.04,1.04,1.04,1.01,7310000.0,0.04
1980-09-18,1.03,1.03,1.06,1.03,3960000.0,-0.0096
1980-09-19,1.04,1.04,1.04,1.02,4200000.0,0.0097
1980-09-22,1.08,1.08,1.08,1.03,4220000.0,0.0385
1980-09-23,1.09,1.09,1.11,1.07,6680000.0,0.009300000000000001
1980-09-24,1.11,1.11,1.12,1.07,2790000.0,0.0183
1980-09-25,1.07,1.07,1.11,1.07,2140000.0,-0.036000000000000004
1980-09-26,1.04,1.04,1.06,1.03,3470000.0,-0.027999999999999997
1980-09-29,1.04,1.04,1.05,1.03,2360000.0,0.0
1980-09-30,1.06,1.06,1.07,1.05,3070000.0,0.0192
1980-10-01,1.08,1.08,1.08,1.05,2380000.0,0.0189
1980-10-02,1.09,1.09,1.09,1.07,2100000.0,0.009300000000000001
1980-10-03,1.12,1.12,1.13,1.1,1980000.0,0.0275
1980-10-06,1.15,1.15,1.15,1.11,1770000.0,0.0268
1980-10-07,1.14,1.14,1.15,1.13,2430000.0,-0.0087
1980-10-08,1.15,1.15,1.16,1.14,2870000.0,0.0088
1980-10-09,1.14,1.14,1.16,1.14,2060000.0,-0.0087
1980-10-10,1.13,1.13,1.14,1.12,1970000.0,-0.0088
1980-10-13,1.15,1.15,1.15,1.12,1110000.0,0.0177
1980-10-14,1.16,1.16,1.16,1.14,1880000.0,0.0087
1980-10-15,1.16,1.16,1.16,1.15,1250000.0,0.0
1980-10-16,1.12,1.12,1.17,1.12,2210000.0,-0.0345
1980-10-17,1.1,1.1,1.13,1.09,969600.0,-0.0179
1980-10-20,1.12,1.12,1.12,1.11,828800.0,0.0182
1980-10-21,1.11,1.11,1.13,1.1,1180000.0,-0.0089
1980-10-22,1.11,1.11,1.12,1.1,812800.0,0.0
1980-10-23,1.09,1.09,1.11,1.08,1020000.0,-0.018000000000000002
1980-10-24,1.08,1.08,1.09,1.07,1680000.0,-0.0092
1980-10-27,1.06,1.06,1.08,1.05,1310000.0,-0.018500000000000003
1980-10-28,1.07,1.07,1.07,1.05,1830000.0,0.009399999999999999
1980-10-29,1.07,1.07,1.09,1.07,1080000.0,0.0
1980-10-30,1.02,1.02,1.07,1.02,3060000.0,-0.0467
1980-10-31,1.04,1.04,1.05,1.02,6730000.0,0.0196
1980-11-03,1.08,1.08,1.09,1.05,1770000.0,0.0385
1980-11-05,1.14,1.14,1.19,1.14,8860000.0,0.0556
1980-11-06,1.12,1.12,1.14,1.11,1550000.0,-0.0175
1980-11-07,1.14,1.14,1.15,1.12,1820000.0,0.0179
1980-11-10,1.16,1.16,1.16,1.13,1500000.0,0.0175
1980-11-11,1.18,1.18,1.19,1.16,1420000.0,0.0172
1980-11-12,1.19,1.19,1.2,1.18,1720000.0,0.0085
1980-11-13,1.2,1.2,1.2,1.18,1930000.0,0.0084
1980-11-14,1.23,1.23,1.24,1.19,3130000.0,0.025
1980-11-17,1.33,1.33,1.33,1.22,1580000.0,0.08130000000000001
1980-11-18,1.35,1.35,1.38,1.32,5850000.0,0.015
1980-11-19,1.34,1.34,1.38,1.34,3080000.0,-0.0074
1980-11-20,1.35,1.35,1.36,1.34,3530000.0,0.0075
1980-11-21,1.32,1.32,1.34,1.31,2460000.0,-0.0222
1980-11-24,1.31,1.31,1.31,1.29,2680000.0,-0.0076
1980-11-25,1.31,1.31,1.32,1.3,3110000.0,0.0
1980-11-26,1.31,1.31,1.32,1.29,1520000.0,0.0
1980-11-28,1.28,1.28,1.31,1.28,1610000.0,-0.0229
1980-12-01,1.28,1.28,1.28,1.26,2110000.0,0.0
1980-12-02,1.3,1.3,1.3,1.27,2510000.0,0.015600000000000001
1980-12-03,1.3,1.3,1.31,1.28,1710000.0,0.0
1980-12-04,1.31,1.31,1.33,1.29,1310000.0,0.0077
1980-12-05,1.3,1.3,1.32,1.3,1350000.0,-0.0076
1980-12-08,1.27,1.27,1.31,1.27,2960000.0,-0.0231
1980-12-09,1.27,1.27,1.29,1.24,3410000.0,0.0
1980-12-10,1.24,1.24,1.28,1.23,1760000.0,-0.0236
1980-12-11,1.24,1.24,1.26,1.22,6780000.0,0.0
1980-12-12,1.26,1.26,1.26,1.24,1910000.0,0.0161
1980-12-15,1.27,1.27,1.28,1.26,723200.0,0.0079
1980-12-16,1.29,1.29,1.29,1.27,1850000.0,0.015700000000000002
1980-12-17,1.29,1.29,1.3,1.28,1690000.0,0.0
1980-12-18,1.29,1.29,1.31,1.29,1080000.0,0.0
1980-12-19,1.25,1.25,1.28,1.25,2280000.0,-0.031
1980-12-22,1.24,1.24,1.24,1.21,2370000.0,-0.008
1980-12-23,1.25,1.25,1.25,1.22,2000000.0,0.008100000000000001
1980-12-24,1.25,1.25,1.26,1.24,1360000.0,0.0
1980-12-26,1.25,1.25,1.25,1.25,467200.0,0.0
1980-12-29,1.24,1.24,1.26,1.24,768000.0,-0.008
1980-12-30,1.26,1.26,1.26,1.24,931200.0,0.0161
1980-12-31,1.27,1.27,1.27,1.26,1350000.0,0.0079
1981-01-02,1.25,1.25,1.27,1.25,1010000.0,-0.015700000000000002
1981-01-05,1.27,1.27,1.27,1.26,4120000.0,0.016
1981-01-06,1.27,1.27,1.28,1.25,2850000.0,0.0
1981-01-07,1.25,1.25,1.28,1.24,2470000.0,-0.015700000000000002
1981-01-08,1.22,1.22,1.26,1.21,2200000.0,-0.024
1981-01-09,1.22,1.22,1.23,1.21,1650000.0,0.0
1981-01-12,1.19,1.19,1.25,1.19,2120000.0,-0.0246
1981-01-13,1.18,1.18,1.19,1.18,3960000.0,-0.0084
1981-01-14,1.2,1.2,1.2,1.19,1340000.0,0.0169
1981-01-15,1.16,1.16,1.2,1.15,928000.0,-0.0333
1981-01-16,1.16,1.16,1.17,1.14,5830000.0,0.0
1981-01-19,1.16,1.16,1.17,1.15,4340000.0,0.0
1981-01-20,1.14,1.14,1.16,1.14,3520000.0,-0.0172
1981-01-21,1.12,1.12,1.14,1.11,1500000.0,-0.0175
1981-01-22,1.16,1.16,1.16,1.11,4630000.0,0.035699999999999996
1981-01-23,1.15,1.15,1.16,1.15,2800000.0,-0.0086
1981-01-26,1.15,1.15,1.16,1.14,2210000.0,0.0
1981-01-27,1.16,1.16,1.16,1.15,2780000.0,0.0087
1981-01-28,1.18,1.18,1.18,1.16,3240000.0,0.0172
1981-01-29,1.19,1.19,1.2,1.18,1990000.0,0.0085
1981-01-30,1.17,1.17,1.19,1.17,1150000.0,-0.0168
1981-02-02,1.14,1.14,1.17,1.13,2110000.0,-0.0256
1981-02-03,1.18,1.18,1.18,1.15,3300000.0,0.0351
1981-02-04,1.2,1.2,1.21,1.19,2560000.0,0.0169
1981-02-05,1.21,1.21,1.23,1.2,1970000.0,0.0083
1981-02-06,1.25,1.25,1.26,1.2,2690000.0,0.0331
1981-02-09,1.26,1.26,1.29,1.25,7810000.0,0.008
1981-02-10,1.24,1.24,1.26,1.24,3210000.0,-0.0159
1981-02-11,1.23,1.23,1.25,1.23,1920000.0,-0.008100000000000001
1981-02-12,1.22,1.22,1.23,1.21,1540000.0,-0.008100000000000001
1981-02-13,1.2,1.2,1.22,1.2,2760000.0,-0.016399999999999998
1981-02-17,1.2,1.2,1.21,1.19,3720000.0,0.0
1981-02-18,1.25,1.25,1.25,1.22,2950000.0,0.0417
1981-02-19,1.22,1.22,1.25,1.21,3400000.0,-0.024
1981-02-20,1.21,1.21,1.23,1.21,4160000.0,-0.008199999999999999
1981-02-23,1.23,1.23,1.24,1.22,1630000.0,0.0165
1981-02-24,1.23,1.23,1.24,1.22,1940000.0,0.0
