Date,Close,Open,High,Low,Volume,Change
2010-03-29,14.75,14.12,14.91,14.1,1160000.0,0.0596
2010-03-30,14.47,14.61,15.25,14.26,667310.0,-0.019
2010-03-31,14.98,14.63,15.1,14.33,558050.0,0.0352
2010-04-01,16.0,15.02,16.0,15.02,703390.0,0.0681
2010-04-05,17.12,16.56,18.58,16.07,851300.0,0.07
2010-04-06,16.89,17.26,17.71,16.1,378440.0,-0.0134
2010-04-07,16.75,17.03,17.32,16.4,213840.0,-0.0083
2010-04-08,16.19,16.58,16.66,16.05,127710.0,-0.0334
2010-04-09,16.24,16.5,16.75,15.39,311900.0,0.0031
2010-04-12,16.19,16.41,16.46,15.98,105650.0,-0.0031
2010-04-13,15.81,16.01,16.25,15.65,264360.0,-0.0235
2010-04-14,15.05,15.67,16.0,14.96,751340.0,-0.0481
2010-04-15,15.58,14.98,15.75,14.67,269270.0,0.0352
2010-04-16,15.4,15.5,15.5,15.2,47380.0,-0.0116
2010-04-19,16.45,15.3,16.48,15.25,396090.0,0.0682
2010-04-20,16.54,16.5,16.55,15.84,118730.0,0.0055000000000000005
2010-04-21,16.03,16.71,16.71,16.0,92480.0,-0.0308
2010-04-22,16.34,15.88,16.41,15.52,50820.0,0.019299999999999998
2010-04-23,16.56,16.34,16.56,16.04,47830.0,0.013500000000000002
2010-04-26,16.49,16.73,16.73,16.35,55970.0,-0.0042
2010-04-27,16.25,16.4,16.7,16.25,88530.0,-0.0146
2010-04-28,15.6,16.25,16.33,15.53,109970.0,-0.04
2010-04-29,15.13,15.57,15.58,15.0,115000.0,-0.0301
2010-04-30,15.09,15.1,15.45,14.93,110200.0,-0.0026
2010-05-03,15.1,15.02,15.17,14.95,39470.0,0.0007000000000000001
2010-05-04,14.54,15.05,15.06,14.5,102480.0,-0.0371
2010-05-05,14.1,14.5,14.52,13.95,262350.0,-0.030299999999999997
2010-05-06,13.96,13.94,14.19,13.81,368230.0,-0.009899999999999999
2010-05-07,14.28,14.0,14.39,13.98,60470.0,0.0229
2010-05-10,15.15,14.35,15.41,14.35,63870.0,0.060899999999999996
2010-05-11,14.78,15.0,15.08,14.75,201220.0,-0.024399999999999998
2010-05-12,14.67,14.79,15.0,14.52,43600.0,-0.0074
2010-05-13,14.69,14.7,14.93,14.52,29380.0,0.0014000000000000002
2010-05-14,14.67,14.89,14.89,14.53,65410.0,-0.0014000000000000002
2010-05-17,14.99,14.73,15.0,14.59,139510.0,0.0218
2010-05-18,15.05,15.16,15.25,14.63,69250.0,0.004
