Date,Close,Open,High,Low,Volume,Change
1992-04-01,4.33,4.44,4.67,3.78,789300.0,-0.060700000000000004
1992-04-02,3.89,4.33,4.33,3.89,361800.0,-0.1016
1992-04-03,4.78,4.11,4.78,4.0,317930.0,0.2288
1992-04-06,4.67,4.89,4.89,4.44,268880.0,-0.023
1992-04-07,4.22,4.67,4.67,4.22,87080.0,-0.0964
1992-04-08,4.44,4.33,4.44,4.0,108680.0,0.0521
1992-04-09,4.22,4.22,4.44,4.22,72680.0,-0.0495
1992-04-10,4.33,4.33,4.56,4.11,193500.0,0.026099999999999998
1992-04-13,4.22,4.33,4.39,4.11,39150.0,-0.0254
1992-04-14,4.33,4.22,4.44,4.22,121950.0,0.026099999999999998
1992-04-15,4.11,4.22,4.44,4.11,234900.0,-0.0508
1992-04-16,3.89,4.11,4.22,3.89,85500.0,-0.0535
1992-04-20,3.89,3.89,3.94,3.89,147380.0,0.0
1992-04-21,3.78,4.0,4.0,3.44,154800.0,-0.028300000000000002
1992-04-22,3.61,3.89,3.89,3.56,31500.0,-0.045
1992-04-23,3.67,3.78,3.78,3.44,99900.0,0.0166
1992-04-24,3.22,3.44,3.5,3.22,79430.0,-0.1226
1992-04-27,3.11,3.44,3.44,3.0,35780.0,-0.0342
1992-04-28,3.11,3.11,3.33,3.11,126900.0,0.0
1992-04-29,3.33,3.11,3.44,3.11,34430.0,0.0707
1992-04-30,3.44,3.44,3.67,3.44,35100.0,0.033
1992-05-01,3.44,3.67,3.67,3.44,2700.0,0.0
1992-05-04,3.44,3.61,3.67,3.44,10350.0,0.0
1992-05-05,3.56,3.67,3.67,3.56,14630.0,0.0349
1992-05-06,3.56,3.56,3.67,3.44,33080.0,0.0
1992-05-07,3.56,3.67,3.78,3.56,19130.0,0.0
1992-05-08,3.78,3.78,3.78,3.78,2930.0,0.061799999999999994
1992-05-11,3.56,3.56,3.78,3.56,20480.0,-0.0582
1992-05-12,3.56,3.67,3.67,3.56,30600.0,0.0
1992-05-13,3.56,3.67,3.67,3.44,13730.0,0.0
1992-05-14,3.44,3.33,3.44,3.33,7430.0,-0.0337
1992-05-15,3.89,3.56,4.22,3.56,140630.0,0.1308
1992-05-18,4.0,4.11,4.11,3.89,95630.0,0.028300000000000002
1992-05-19,4.0,4.0,4.0,3.78,82350.0,0.0
1992-05-20,3.78,3.89,4.0,3.78,9000.0,-0.055
1992-05-21,3.78,3.78,3.89,3.56,55350.0,0.0
1992-05-22,3.67,3.78,3.78,3.56,25430.0,-0.0291
1992-05-26,3.56,3.56,3.78,3.56,11030.0,-0.03
1992-05-27,3.78,3.56,3.78,3.56,18000.0,0.061799999999999994
1992-05-28,3.78,3.67,3.78,3.67,9680.0,0.0
1992-05-29,4.0,3.89,4.0,3.67,17100.0,0.0582
1992-06-01,4.0,3.78,4.11,3.78,22280.0,0.0
1992-06-02,4.11,4.11,4.11,3.89,40500.0,0.0275
