Date,Close,Open,High,Low,Volume,Change
1980-03-18,5.75,5.75,5.83,5.58,126600.0,0.0141
1980-03-19,5.92,5.92,5.96,5.75,112800.0,0.0296
1980-03-20,5.92,5.92,6.04,5.83,50700.0,0.0
1980-03-21,5.92,5.92,6.04,5.92,70200.0,0.0
1980-03-24,5.79,5.79,6.0,5.79,149400.0,-0.022000000000000002
1980-03-25,5.75,5.75,5.87,5.75,79800.0,-0.0069
1980-03-26,5.71,5.71,5.83,5.71,30300.0,-0.006999999999999999
1980-03-27,5.71,5.71,5.92,5.67,70500.0,0.0
1980-03-28,6.08,6.08,6.08,5.79,122100.0,0.06480000000000001
1980-03-31,6.33,6.33,6.33,6.08,34500.0,0.041100000000000005
1980-04-01,6.42,6.42,6.42,6.21,106500.0,0.014199999999999999
1980-04-02,6.46,6.46,6.5,6.37,51600.0,0.0062
1980-04-03,6.54,6.54,6.54,6.42,41100.0,0.0124
1980-04-07,6.33,6.33,6.5,6.33,50400.0,-0.0321
1980-04-08,6.37,6.37,6.46,6.33,17400.0,0.0063
1980-04-09,6.46,6.46,6.46,6.42,74700.0,0.0141
1980-04-10,6.42,6.42,6.54,6.42,35100.0,-0.0062
1980-04-11,6.33,6.33,6.5,6.33,40200.0,-0.013999999999999999
1980-04-14,6.46,6.46,6.46,6.33,26100.0,0.020499999999999997
1980-04-15,6.33,6.33,6.37,6.29,69300.0,-0.020099999999999996
1980-04-16,6.33,6.33,6.46,6.33,33300.0,0.0
1980-04-17,6.25,6.25,6.42,6.25,46800.0,-0.0126
1980-04-18,6.33,6.33,6.42,6.25,111600.0,0.0128
1980-04-21,6.29,6.29,6.37,6.29,73500.0,-0.0063
1980-04-22,6.46,6.46,6.62,6.33,75900.0,0.027000000000000003
1980-04-23,6.58,6.58,6.71,6.46,144600.0,0.018600000000000002
1980-04-24,6.58,6.58,6.71,6.58,64200.0,0.0
1980-04-25,6.5,6.5,6.5,6.42,36600.0,-0.012199999999999999
1980-04-28,6.54,6.54,6.67,6.54,40500.0,0.0062
1980-04-29,6.54,6.54,6.58,6.46,447300.0,0.0
1980-04-30,6.42,6.42,6.5,6.37,74700.0,-0.0183
1980-05-01,6.46,6.46,6.5,6.42,37500.0,0.0062
1980-05-02,6.5,6.5,6.5,6.42,73500.0,0.0062
1980-05-05,6.42,6.42,6.54,6.33,57300.0,-0.0123
1980-05-06,6.75,6.75,6.83,6.5,53400.0,0.051399999999999994
1980-05-07,6.92,6.92,6.96,6.71,132600.0,0.0252
1980-05-08,6.96,6.96,7.08,6.92,172200.0,0.0058
1980-05-09,7.29,7.29,7.29,6.96,410400.0,0.047400000000000005
1980-05-12,7.12,7.12,7.17,7.04,73800.0,-0.0233
1980-05-13,7.12,7.12,7.29,7.08,139200.0,0.0
1980-05-14,7.08,7.08,7.17,7.0,63900.0,-0.005600000000000001
1980-05-15,7.04,7.04,7.12,7.0,24000.0,-0.005600000000000001
1980-05-16,7.04,7.04,7.12,6.96,53700.0,0.0
1980-05-19,7.33,7.33,7.42,7.08,196800.0,0.0412
1980-05-20,7.25,7.25,7.33,7.12,133500.0,-0.0109
1980-05-21,7.33,7.33,7.37,7.25,385800.0,0.011000000000000001
