Date,Close,Open,High,Low,Volume,Change
1986-05-15,18.67,18.67,19.0,18.67,1800.0,0.0
1986-05-16,18.67,18.67,19.0,18.67,5850.0,0.0
1986-05-19,18.67,18.67,19.0,18.67,8250.0,0.0
1986-05-21,18.33,18.33,18.83,18.33,750.0,-0.0182
1986-05-22,18.0,18.0,18.67,18.0,11400.0,-0.018000000000000002
1986-05-27,18.17,18.17,18.67,18.17,300.0,0.009399999999999999
1986-05-28,18.17,18.17,18.67,18.17,450.0,0.0
1986-05-29,18.17,18.17,18.67,18.17,5250.0,0.0
1986-06-03,18.17,18.17,18.67,18.17,7650.0,0.0
1986-06-04,18.33,18.33,18.83,18.33,7500.0,0.0088
1986-06-05,18.33,18.33,18.83,18.33,2850.0,0.0
1986-06-06,18.33,18.33,18.83,18.33,1500.0,0.0
1986-06-09,18.0,18.0,18.5,18.0,1500.0,-0.018000000000000002
1986-06-10,18.0,18.0,18.67,18.0,300.0,0.0
1986-06-11,18.0,18.0,18.5,18.0,30.0,0.0
1986-06-16,18.0,18.0,18.5,18.0,300.0,0.0
1986-06-17,18.0,18.0,18.5,18.0,150.0,0.0
1986-06-18,18.17,18.17,18.67,18.17,4050.0,0.009399999999999999
1986-06-19,18.17,18.17,18.67,18.17,2850.0,0.0
1986-06-20,18.17,18.17,18.67,18.17,18000.0,0.0
1986-06-24,18.17,18.17,18.67,18.17,15600.0,0.0
1986-06-25,18.17,18.17,18.67,18.17,9000.0,0.0
1986-06-26,18.67,18.67,19.17,18.67,13200.0,0.0275
1986-06-27,18.83,18.83,19.17,18.83,4050.0,0.0086
1986-06-30,18.83,18.83,19.33,18.83,600.0,0.0
1986-07-01,18.83,18.83,19.33,18.83,450.0,0.0
1986-07-02,18.83,18.83,19.33,18.83,900.0,0.0
1986-07-07,18.67,18.67,19.17,18.67,50.0,-0.0085
1986-07-08,18.5,18.5,18.83,18.5,600.0,-0.0091
1986-07-11,18.5,18.5,18.83,18.5,600.0,0.0
1986-07-14,18.5,18.5,19.0,18.5,900.0,0.0
1986-07-15,18.5,18.5,19.0,18.5,150.0,0.0
1986-07-16,18.5,18.5,18.83,18.5,2700.0,0.0
1986-07-17,18.5,18.5,18.83,18.5,1350.0,0.0
1986-07-18,18.5,18.5,18.83,18.5,3750.0,0.0
1986-07-21,18.5,18.5,19.0,18.5,1950.0,0.0
1986-07-22,18.67,18.67,19.0,18.67,7500.0,0.0092
1986-07-23,18.5,18.5,19.0,18.5,7500.0,-0.0091
1986-07-25,18.5,18.5,19.0,18.5,150.0,0.0
1986-07-28,18.33,18.33,18.83,18.33,2550.0,-0.0092
1986-07-29,18.33,18.33,18.67,18.33,150.0,0.0
1986-07-30,18.0,18.0,18.33,18.0,2700.0,-0.018000000000000002
1986-08-01,17.67,17.67,18.17,17.67,1350.0,-0.0183
1986-08-04,17.67,17.67,18.17,17.67,150.0,0.0
1986-08-05,17.67,17.67,18.17,17.67,150.0,0.0
1986-08-06,17.67,17.67,18.17,17.67,1200.0,0.0
1986-08-13,17.67,17.67,18.17,17.67,450.0,0.0
1986-08-18,17.5,17.5,18.0,17.5,300.0,-0.0096
1986-08-20,17.5,17.5,18.0,17.5,4650.0,0.0
1986-08-21,17.5,17.5,18.0,17.5,1500.0,0.0
1986-08-22,17.5,17.5,18.0,17.5,10500.0,0.0
1986-08-25,17.5,17.5,18.0,17.5,5550.0,0.0
1986-08-26,17.5,17.5,18.0,17.5,10200.0,0.0
1986-08-27,17.83,17.83,18.17,17.83,4650.0,0.0189
1986-08-28,17.67,17.67,18.0,17.67,9150.0,-0.009000000000000001
1986-08-29,17.67,17.67,18.0,17.67,600.0,0.0
1986-09-03,17.5,17.5,18.0,17.5,750.0,-0.0096
1986-09-04,16.83,16.83,17.33,16.83,1950.0,-0.0383
1986-09-10,16.83,16.83,17.33,16.83,900.0,0.0
1986-09-11,16.5,16.5,17.0,16.5,1500.0,-0.0196
1986-09-12,16.5,16.5,16.83,16.5,300.0,0.0
1986-09-15,16.5,16.5,16.83,16.5,150.0,0.0
1986-09-16,16.5,16.5,16.83,16.5,600.0,0.0
1986-09-17,16.0,16.0,16.67,16.0,7200.0,-0.030299999999999997
1986-09-22,16.0,16.0,16.67,16.0,90.0,0.0
1986-09-23,16.17,16.17,16.5,16.17,750.0,0.0106
1986-09-24,16.17,16.17,16.5,16.17,20.0,0.0
1986-09-29,15.5,15.5,16.0,15.5,600.0,-0.0414
1986-10-01,14.83,14.83,15.33,14.83,1950.0,-0.0432
1986-10-02,14.83,14.83,15.33,14.83,7950.0,0.0
1986-10-03,14.67,14.67,15.33,14.67,3750.0,-0.0108
1986-10-06,14.67,14.67,15.33,14.67,50.0,0.0
1986-10-07,14.67,14.67,15.33,14.67,1800.0,0.0
1986-10-08,14.67,14.67,15.33,14.67,600.0,0.0
1986-10-09,14.67,14.67,15.33,14.67,3000.0,0.0
1986-10-10,14.67,14.67,15.33,14.67,3150.0,0.0
1986-10-13,14.67,14.67,15.17,14.67,150.0,0.0
1986-10-14,14.5,14.5,15.17,14.5,1200.0,-0.0116
1986-10-15,14.5,14.5,15.0,14.5,2550.0,0.0
