Date,Close,Open,High,Low,Volume,Change
2006-06-16,5.4,5.4,5.4,5.4,10000.0,0.0075
2006-06-22,5.35,5.35,5.35,5.35,858330.0,-0.009300000000000001
2006-06-30,5.35,5.35,5.35,5.35,5000.0,0.0
2006-07-14,5.4,5.4,5.4,5.4,384720.0,0.009300000000000001
2006-07-17,5.36,5.38,5.38,5.36,40000.0,-0.0074
2006-07-18,5.4,5.38,5.41,5.38,60000.0,0.0075
2006-07-20,5.39,5.39,5.39,5.39,2000.0,-0.0019
2006-07-24,5.39,5.39,5.39,5.39,1500.0,0.0
2006-07-25,5.38,5.38,5.38,5.38,319800.0,-0.0019
2006-07-26,5.4,5.39,5.4,5.39,2500.0,0.0037
2006-07-31,5.39,5.38,5.39,5.38,575000.0,-0.0019
2006-08-18,5.38,5.38,5.38,5.38,130000.0,-0.0019
2006-08-21,5.38,5.38,5.38,5.38,402000.0,0.0
2006-08-25,5.38,5.38,5.38,5.38,93760.0,0.0
2006-09-07,5.42,5.4,5.42,5.4,58000.0,0.0074
2006-09-08,5.47,5.47,5.47,5.47,5000.0,0.0092
2006-09-12,5.46,5.46,5.46,5.46,10000.0,-0.0018
2006-09-13,5.47,5.47,5.47,5.47,2500.0,0.0018
2006-09-14,5.5,5.48,5.5,5.48,210500.0,0.0055000000000000005
2006-09-15,5.5,5.5,5.5,5.5,200000.0,0.0
2006-09-18,5.5,5.5,5.5,5.5,152500.0,0.0
2006-09-19,5.44,5.5,5.5,5.44,1550000.0,-0.0109
2006-09-21,5.4,5.4,5.4,5.4,47150.0,-0.0074
2006-09-27,5.4,5.4,5.4,5.4,150000.0,0.0
2006-09-28,5.47,5.47,5.47,5.47,130690.0,0.013000000000000001
2006-10-02,5.5,5.7,5.7,5.5,10500.0,0.0055000000000000005
2006-10-05,5.55,5.55,5.55,5.55,50500.0,0.0091
2006-10-12,5.5,5.5,5.5,5.5,50000.0,-0.009000000000000001
2006-10-13,5.54,5.54,5.54,5.53,6500.0,0.0073
2006-10-25,5.5,5.5,5.5,5.5,1000.0,-0.0072
2006-10-26,5.5,5.5,5.5,5.5,500.0,0.0
2006-11-09,5.45,5.45,5.45,5.45,2000.0,-0.0091
2006-11-10,5.47,5.47,5.47,5.47,243100.0,0.0037
2006-11-16,5.49,5.49,5.49,5.49,2500.0,0.0037
2006-11-17,5.53,5.51,5.55,5.51,7680.0,0.0073
2006-11-22,5.54,5.6,5.6,5.54,400200.0,0.0018
2006-11-24,5.54,5.51,5.54,5.51,1000.0,0.0
2006-11-27,5.55,5.54,5.55,5.54,600.0,0.0018
