Date,Close,Open,High,Low,Volume,Change
2019-08-09,7.01,6.78,7.18,6.62,1450000.0,0.032400000000000005
2019-08-12,6.88,7.03,7.12,6.88,748310.0,-0.018500000000000003
2019-08-13,7.0,6.88,7.25,6.75,1270000.0,0.0174
2019-08-14,8.12,8.71,8.75,7.78,4430000.0,0.16
2019-08-15,9.12,8.54,9.36,8.54,3900000.0,0.1232
2019-08-16,9.95,9.31,10.0,8.91,2410000.0,0.091
2019-08-19,10.25,10.43,11.0,10.12,2560000.0,0.0302
2019-08-20,10.93,10.13,11.01,10.1,1290000.0,0.0663
2019-08-21,11.3,11.22,11.87,10.8,2290000.0,0.0339
2019-08-22,11.39,11.24,11.82,10.34,2160000.0,0.008
2019-08-23,10.3,11.2,11.36,10.28,1140000.0,-0.09570000000000001
2019-08-26,10.78,10.5,10.82,10.02,1060000.0,0.0466
2019-08-27,10.71,10.91,11.45,10.41,886350.0,-0.006500000000000001
2019-08-28,10.8,10.7,11.18,10.51,1560000.0,0.0084
2019-08-29,10.82,11.12,11.25,10.64,1250000.0,0.0019
2019-08-30,9.95,10.87,10.97,9.63,1730000.0,-0.08039999999999999
2019-09-03,11.2,10.12,11.29,10.12,2450000.0,0.12560000000000002
2019-09-04,12.63,11.51,12.93,11.51,5420000.0,0.1277
2019-09-05,13.36,13.34,13.72,12.77,3480000.0,0.057800000000000004
2019-09-06,12.07,13.22,13.27,12.06,2110000.0,-0.0966
2019-09-09,13.03,12.56,13.98,12.19,4970000.0,0.0795
2019-09-10,12.6,12.95,13.26,12.38,1690000.0,-0.033
2019-09-11,13.42,12.85,13.97,12.61,2110000.0,0.06509999999999999
2019-09-12,13.67,13.5,13.74,12.89,1560000.0,0.018600000000000002
2019-09-13,14.24,13.69,14.62,13.33,2920000.0,0.0417
2019-09-16,13.77,14.23,14.69,13.53,1800000.0,-0.033
2019-09-17,13.74,13.82,14.17,13.03,1110000.0,-0.0022
2019-09-18,13.88,13.67,14.13,13.61,1100000.0,0.0102
2019-09-19,13.64,14.01,14.05,13.27,752750.0,-0.0173
2019-09-20,13.04,13.64,13.75,12.25,1640000.0,-0.044000000000000004
2019-09-23,13.54,12.95,13.63,12.75,835960.0,0.0383
2019-09-24,13.37,13.6,13.97,13.05,1350000.0,-0.0126
2019-09-25,13.51,13.18,13.55,12.62,956890.0,0.0105
2019-09-26,13.24,13.62,13.87,13.05,1260000.0,-0.02
2019-09-27,11.12,13.11,13.31,10.62,4570000.0,-0.16010000000000002
2019-09-30,10.76,11.08,11.36,10.05,1950000.0,-0.032400000000000005
2019-10-01,11.26,10.71,11.4,10.51,1260000.0,0.04650000000000001
2019-10-02,11.01,11.21,11.29,10.6,1110000.0,-0.0222
2019-10-03,11.26,11.04,11.64,10.43,1350000.0,0.0227
2019-10-04,12.27,11.25,12.35,11.13,1230000.0,0.0897
2019-10-07,12.02,13.03,13.16,11.75,1660000.0,-0.0204
2019-10-08,11.5,11.84,11.89,11.43,690180.0,-0.0433
2019-10-09,11.85,11.68,12.21,11.47,838090.0,0.0304
2019-10-10,11.76,11.89,12.18,11.66,653650.0,-0.0076
2019-10-11,12.18,11.84,12.42,11.61,978030.0,0.035699999999999996
