Date,Close,Open,High,Low,Volume,Change
1991-05-20,9.0,9.0,10.25,9.0,251600.0,-0.1
1991-05-21,9.0,9.0,9.25,9.0,281700.0,0.0
1991-05-22,9.0,9.0,9.25,9.0,54800.0,0.0
1991-05-23,9.12,9.12,9.25,9.0,81100.0,0.013300000000000001
1991-05-24,9.12,9.12,9.25,9.0,22600.0,0.0
1991-05-28,9.25,9.25,9.25,9.12,18200.0,0.0143
1991-05-29,9.75,9.75,10.0,9.25,50700.0,0.0541
1991-05-30,9.75,9.75,10.0,9.75,15100.0,0.0
1991-05-31,9.5,9.5,10.0,9.5,24100.0,-0.0256
1991-06-03,9.25,9.25,10.0,9.0,61400.0,-0.0263
1991-06-04,9.25,9.25,9.5,9.25,21400.0,0.0
1991-06-05,9.25,9.25,9.5,9.25,7000.0,0.0
1991-06-06,9.25,9.25,9.5,9.25,7400.0,0.0
1991-06-07,9.5,9.5,9.5,9.25,27500.0,0.027000000000000003
1991-06-10,9.5,9.5,9.5,9.25,10100.0,0.0
1991-06-11,9.25,9.25,9.75,9.25,15900.0,-0.0263
1991-06-12,10.5,10.5,11.0,10.0,179900.0,0.1351
1991-06-13,10.0,10.0,10.5,10.0,67700.0,-0.047599999999999996
1991-06-14,10.75,10.75,10.75,10.0,106200.0,0.075
1991-06-17,10.25,10.25,10.75,10.25,25000.0,-0.04650000000000001
1991-06-18,10.25,10.25,10.5,9.75,65300.0,0.0
1991-06-19,10.25,10.25,10.25,9.75,50000.0,0.0
1991-06-20,10.25,10.25,10.25,9.75,17000.0,0.0
1991-06-21,10.12,10.12,10.25,9.75,42800.0,-0.0127
1991-06-24,9.75,9.75,10.25,9.75,4600.0,-0.0366
1991-06-25,10.25,10.25,10.25,9.75,23300.0,0.0513
1991-06-26,9.75,9.75,10.25,9.75,4900.0,-0.048799999999999996
1991-06-27,10.25,10.25,10.25,9.75,2500.0,0.0513
1991-06-28,10.25,10.25,10.25,9.75,56400.0,0.0
1991-07-01,10.25,10.25,10.5,10.0,17100.0,0.0
1991-07-02,10.25,10.25,10.25,9.5,15400.0,0.0
1991-07-03,9.75,9.75,10.25,9.75,7500.0,-0.048799999999999996
1991-07-05,9.75,9.75,10.25,9.75,1200.0,0.0
1991-07-08,9.5,9.5,10.0,8.75,101800.0,-0.0256
1991-07-09,9.75,9.75,9.75,9.25,13200.0,0.0263
1991-07-10,9.62,9.62,10.0,9.5,18900.0,-0.013300000000000001
1991-07-11,9.5,9.5,10.0,9.5,9400.0,-0.0125
1991-07-12,10.0,10.0,10.0,9.5,1900.0,0.0526
1991-07-15,9.25,9.25,10.0,9.25,30700.0,-0.075
1991-07-16,9.5,9.5,10.0,9.5,16000.0,0.027000000000000003
1991-07-17,10.0,10.0,10.0,10.0,3100.0,0.0526
1991-07-18,10.0,10.0,10.25,9.62,7000.0,0.0
1991-07-19,12.75,12.75,14.25,10.0,761200.0,0.275
1991-07-22,12.5,12.5,13.25,12.5,276000.0,-0.0196
1991-07-23,11.88,11.88,13.0,11.5,98300.0,-0.0496
1991-07-24,12.0,12.0,12.25,11.5,10700.0,0.0101
1991-07-25,12.0,12.0,12.75,11.5,129699.99999999999,0.0
1991-07-26,12.5,12.5,12.75,12.0,89600.0,0.0417
1991-07-29,12.75,12.75,13.5,12.25,95700.0,0.02
1991-07-30,13.75,13.75,13.75,12.75,184200.0,0.0784
1991-07-31,14.25,14.25,14.5,14.0,299900.0,0.0364
1991-08-01,14.25,14.25,15.0,14.25,86600.0,0.0
1991-08-02,14.5,14.5,14.5,14.25,76200.0,0.0175
1991-08-05,14.75,14.75,15.25,14.25,79400.0,0.0172
1991-08-06,14.75,14.75,15.0,14.5,95300.0,0.0
1991-08-07,15.0,15.0,15.25,14.75,73700.0,0.0169
1991-08-08,14.75,14.75,15.0,14.75,75600.0,-0.0167
1991-08-09,14.75,14.75,15.0,14.75,21700.0,0.0
1991-08-12,15.0,15.0,15.0,14.75,8100.0,0.0169
1991-08-13,14.5,14.5,15.0,14.25,57600.0,-0.0333
1991-08-14,14.5,14.5,14.75,14.5,28900.0,0.0
1991-08-15,15.0,15.0,15.0,14.5,72100.0,0.0345
1991-08-16,15.0,15.0,15.25,15.0,113100.0,0.0
1991-08-19,14.5,14.5,14.75,14.0,52800.0,-0.0333
1991-08-20,14.62,14.62,15.25,14.5,49400.0,0.0083
1991-08-21,15.25,15.25,15.25,14.75,42300.0,0.0431
1991-08-22,15.0,15.0,15.25,14.75,63700.0,-0.016399999999999998
1991-08-23,15.25,15.25,15.25,14.75,60900.0,0.0167
1991-08-26,15.25,15.25,15.5,15.0,81500.0,0.0
1991-08-27,16.75,16.75,17.25,15.5,148500.0,0.0984
1991-08-28,18.0,18.0,18.5,17.0,248400.0,0.0746
1991-08-29,18.25,18.25,18.25,17.0,71600.0,0.0139
1991-08-30,18.25,18.25,18.5,17.75,71200.0,0.0
1991-09-03,18.0,18.0,18.25,17.75,60000.0,-0.0137
1991-09-04,16.75,16.75,18.25,16.5,53700.0,-0.0694
1991-09-05,16.75,16.75,17.0,16.75,12500.0,0.0
1991-09-06,16.75,16.75,17.0,16.75,17400.0,0.0
1991-09-09,16.75,16.75,17.0,16.75,15900.0,0.0
1991-09-10,17.5,17.5,17.5,16.75,30400.0,0.044800000000000006
1991-09-11,17.88,17.88,17.88,17.25,52200.0,0.0217
1991-09-12,16.25,16.25,18.0,15.75,176400.0,-0.09119999999999999
1991-09-13,17.5,17.5,18.0,16.62,99300.0,0.07690000000000001
1991-09-16,17.75,17.75,17.75,17.25,45700.0,0.0143
1991-09-17,17.75,17.75,17.75,17.25,4400.0,0.0
1991-09-18,17.25,17.25,17.75,17.25,13200.0,-0.0282
1991-09-19,17.25,17.25,17.75,17.25,33000.0,0.0
1991-09-20,18.0,18.0,18.12,17.5,39200.0,0.0435
1991-09-23,16.0,16.0,17.5,16.0,186200.0,-0.11109999999999999
1991-09-24,16.75,16.75,16.75,16.25,2800.0,0.046900000000000004
1991-09-25,16.25,16.25,17.0,16.25,10200.0,-0.029900000000000003
1991-09-26,16.5,16.5,16.75,16.25,12700.0,0.0154
1991-09-27,16.75,16.75,16.75,16.25,100800.0,0.0152
1991-09-30,16.75,16.75,16.75,16.25,20100.0,0.0
1991-10-01,16.25,16.25,16.75,16.25,85200.0,-0.029900000000000003
1991-10-02,16.25,16.25,16.75,16.25,45300.0,0.0
1991-10-03,17.25,17.25,17.25,16.5,25900.0,0.061500000000000006
1991-10-04,17.0,17.0,17.25,16.5,7500.0,-0.014499999999999999
