Date,Close,Open,High,Low,Volume,Change
2010-05-26,125.0,125.0,125.0,125.0,10.0,22.999699999999997
2010-05-27,102.0,105.0,105.0,101.0,10.0,-0.184
2010-08-16,124.0,124.0,124.0,124.0,20.0,0.0
2010-08-20,123.0,123.0,123.0,123.0,10.0,-0.008100000000000001
2010-09-01,124.0,124.0,124.0,124.0,10.0,0.0
2010-09-02,124.0,124.0,124.0,124.0,10.0,0.0
2010-09-10,124.0,124.0,124.0,124.0,10.0,0.0
2010-09-24,111.0,106.0,111.0,106.0,10.0,0.0472
2010-10-11,106.0,106.0,106.0,106.0,10.0,-0.045
2010-10-13,105.0,105.0,105.0,105.0,330.0,-0.009399999999999999
2010-10-14,105.0,105.0,105.1,105.0,1300.0,0.0
2010-10-15,110.0,105.1,110.0,105.1,1030.0,0.047599999999999996
2010-10-19,101.0,108.0,108.0,101.0,80.0,-0.0818
2010-10-21,102.0,101.0,102.0,101.0,130.0,0.009899999999999999
2010-10-22,100.0,109.0,109.0,100.0,80.0,-0.0196
2010-10-28,105.0,103.0,105.0,103.0,80.0,0.05
2010-10-29,110.0,110.0,110.0,110.0,250.0,0.047599999999999996
2010-11-01,105.0,106.0,110.0,105.0,260.0,-0.0455
2010-11-05,110.0,108.0,110.0,108.0,40.0,0.047599999999999996
2010-11-11,105.0,105.0,105.0,105.0,40.0,-0.0455
2010-11-15,111.0,105.0,111.0,105.0,1750.0,0.0571
2010-11-16,110.0,110.0,110.0,110.0,550.0,-0.009000000000000001
2010-11-17,105.0,105.0,105.0,104.0,600.0,-0.0455
2010-11-18,105.0,105.0,105.0,105.0,300.0,0.0
2010-11-19,96.0,101.0,101.0,95.0,70.0,-0.0857
2010-11-29,103.0,110.0,110.0,103.0,130.0,0.0729
2010-12-01,119.0,119.0,119.0,119.0,10.0,0.1553
2010-12-06,116.0,116.0,116.0,116.0,10.0,-0.0252
2010-12-08,110.0,110.0,110.0,110.0,50.0,-0.051699999999999996
2010-12-13,118.0,123.0,123.0,118.0,10.0,0.0727
2010-12-14,120.0,118.0,120.0,118.0,10.0,0.0169
2010-12-31,125.0,125.0,125.0,125.0,50.0,0.0417
2011-01-06,125.0,125.0,125.0,125.0,30.0,0.0
2011-02-09,126.0,126.0,126.0,126.0,10.0,0.008
2011-02-24,126.0,126.0,126.0,126.0,40.0,0.0
2011-03-09,111.0,125.0,125.0,110.0,80.0,-0.11900000000000001
2011-03-14,110.0,110.0,110.0,110.0,1000.0,-0.009000000000000001
2011-03-25,115.0,125.0,125.0,103.0,120.0,0.0455
2011-03-28,110.0,110.0,110.0,110.0,3600.0,-0.0435
2011-03-30,110.0,110.0,112.0,110.0,4160.0,0.0
2011-03-31,120.0,115.0,123.0,110.0,4090.0,0.0909
2011-04-01,124.0,121.0,126.0,120.0,450.0,0.0333
2011-04-04,118.0,121.0,121.0,114.0,1080.0,-0.0484
2011-04-06,119.0,120.0,120.0,119.0,30.0,0.0085
2011-04-07,118.0,118.0,118.0,118.0,30.0,-0.0084
2011-04-08,118.0,118.0,118.0,118.0,130.0,0.0
2011-04-11,116.0,116.0,116.0,115.0,30.0,-0.0169
2011-04-12,118.0,124.0,124.0,117.0,1150.0,0.0172
2011-04-13,118.0,118.0,118.0,118.0,30.0,0.0
2011-04-14,118.0,125.0,125.0,108.0,690.0,0.0
2011-04-15,118.0,119.0,119.0,117.0,150.0,0.0
2011-04-18,115.0,117.0,117.0,115.0,490.0,-0.0254
2011-04-19,115.0,114.0,115.0,114.0,100.0,0.0
2011-04-20,116.0,116.0,118.0,116.0,30.0,0.0087
2011-04-21,114.0,115.0,115.0,114.0,1250.0,-0.0172
2011-04-25,117.0,117.0,117.0,117.0,30.0,0.0263
2011-04-26,115.0,115.0,115.0,115.0,20.0,-0.0171
2011-04-27,126.0,115.0,126.0,115.0,340.0,0.09570000000000001
2011-04-29,127.0,125.0,127.0,125.0,130.0,0.0079
2011-05-02,125.0,127.0,127.0,115.0,100.0,-0.015700000000000002
2011-05-03,119.0,118.0,121.0,118.0,200.0,-0.048
2011-05-04,121.0,120.0,121.0,120.0,80.0,0.0168
2011-05-05,125.0,124.0,126.0,124.0,510.0,0.0331
2011-05-06,123.0,123.0,123.0,123.0,500.0,-0.016
2011-05-10,125.0,125.0,125.0,125.0,430.0,0.0163
2011-05-11,125.0,125.0,126.0,125.0,190.0,0.0
2011-05-12,126.0,126.0,126.0,126.0,100.0,0.008
2011-05-13,126.0,126.0,126.0,126.0,50.0,0.0
2011-05-16,127.0,130.0,130.0,127.0,100.0,0.0079
2011-05-17,129.0,129.0,131.0,128.0,290.0,0.015700000000000002
2011-05-18,135.0,131.0,135.0,130.0,2980.0,0.04650000000000001
2011-05-19,132.0,137.0,138.0,125.0,3110.0,-0.0222
2011-05-20,136.0,133.0,139.0,133.0,2040.0,0.030299999999999997
2011-05-23,140.0,142.0,143.0,133.0,1300.0,0.0294
2011-05-24,140.0,143.0,143.0,133.0,2050.0,0.0
2011-05-25,143.0,144.0,145.0,141.0,1180.0,0.021400000000000002
2011-05-26,142.0,145.0,145.0,141.0,1360.0,-0.006999999999999999
2011-05-27,134.0,145.0,145.0,134.0,850.0,-0.056299999999999996
2011-05-31,133.0,140.0,140.0,133.0,1270.0,-0.0075
2011-06-01,143.0,138.0,149.0,135.0,1710.0,0.07519999999999999
2011-06-02,145.0,142.0,149.0,142.0,1920.0,0.013999999999999999
2011-06-03,150.0,149.0,151.0,146.0,1320.0,0.0345
2011-06-06,158.0,152.0,160.0,152.0,2050.0,0.0533
2011-06-07,159.0,163.0,165.0,156.0,2510.0,0.0063
2011-06-08,154.0,160.0,160.0,150.0,960.0,-0.031400000000000004
2011-06-09,150.0,155.0,156.0,145.0,1120.0,-0.026000000000000002
2011-06-10,143.0,160.0,160.0,140.0,930.0,-0.0467
2011-06-13,134.0,149.0,149.0,133.0,610.0,-0.0629
2011-06-14,143.0,139.0,146.0,139.0,1020.0,0.0672
2011-06-15,145.0,143.0,146.0,143.0,240.0,0.013999999999999999
2011-06-16,137.0,140.0,141.0,131.0,930.0,-0.0552
2011-06-17,125.0,131.0,131.0,121.0,1300.0,-0.0876
2011-06-20,115.0,120.0,124.0,113.0,720.0,-0.08
2011-06-21,111.0,112.0,116.0,90.0,1790.0,-0.0348
2011-06-22,140.0,106.0,144.0,101.0,510.0,0.2613
2011-06-23,140.0,137.0,144.0,137.0,260.0,0.0
2011-06-24,136.5,140.0,141.0,131.0,210.0,-0.025
2011-06-27,131.0,142.0,159.0,131.0,590.0,-0.0403
2011-06-28,140.0,154.0,154.0,140.0,150.0,0.0687
2011-06-29,144.0,140.0,144.0,135.0,290.0,0.0286
2011-06-30,145.0,136.0,150.0,136.0,310.0,0.0069
2011-07-01,130.0,148.0,148.0,130.0,240.0,-0.10339999999999999
2011-07-05,132.0,145.0,145.0,130.0,120.0,0.0154
2011-07-06,135.0,148.0,148.0,132.0,110.0,0.0227
2011-07-07,145.0,148.0,148.0,138.0,230.0,0.0741
2011-07-08,140.0,145.0,145.0,140.0,210.0,-0.0345
2011-07-11,140.0,143.0,143.0,135.0,300.0,0.0
2011-07-12,130.0,140.0,140.0,130.0,80.0,-0.07139999999999999
2011-07-13,127.0,133.0,133.0,127.0,80.0,-0.0231
2011-07-14,134.0,130.0,134.0,127.0,130.0,0.055099999999999996
2011-07-15,138.0,134.0,140.0,134.0,210.0,0.029900000000000003
2011-07-18,139.0,140.0,140.0,139.0,500.0,0.0072
2011-07-19,145.0,143.0,145.0,140.0,370.0,0.0432
2011-07-20,145.0,145.0,145.0,131.0,250.0,0.0
2011-07-21,150.0,133.0,150.0,133.0,420.0,0.0345
2011-07-22,150.0,150.0,153.0,145.0,390.0,0.0
2011-07-25,150.0,154.0,154.0,150.0,220.0,0.0
2011-07-26,145.0,150.0,150.0,145.0,230.0,-0.0333
2011-07-28,145.0,144.0,145.0,144.0,160.0,0.0
2011-07-29,140.0,141.0,141.0,135.0,440.0,-0.0345
2011-08-01,140.0,140.0,145.0,140.0,220.0,0.0
2011-08-02,135.0,145.0,145.0,133.0,150.0,-0.035699999999999996
2011-08-03,133.0,145.0,145.0,131.0,30.0,-0.0148
2011-08-04,108.0,131.0,131.0,108.0,570.0,-0.188
2011-08-05,110.0,110.0,121.0,110.0,240.0,0.018500000000000003
2011-08-08,118.0,101.0,118.0,95.0,680.0,0.0727
2011-08-09,115.0,110.0,120.0,105.0,90.0,-0.0254
2011-08-10,124.0,125.0,125.0,124.0,170.0,0.0783
2011-08-11,124.0,120.0,124.0,120.0,320.0,0.0
2011-08-12,128.0,124.0,128.0,124.0,100.0,0.0323
2011-08-15,125.0,122.0,127.0,122.0,40.0,-0.023399999999999997
2011-08-16,110.0,105.0,125.0,105.0,280.0,-0.12
2011-08-17,104.0,120.0,121.0,104.0,140.0,-0.0545
2011-08-18,103.0,105.0,108.0,103.0,310.0,-0.0096
2011-08-19,113.0,106.0,124.0,106.0,120.0,0.0971
2011-08-23,105.0,106.0,113.0,105.0,340.0,-0.0708
2011-08-24,105.0,102.0,105.0,78.0,430.0,0.0
2011-08-25,97.0,100.0,105.0,97.0,70.0,-0.0762
