Date,Close,Open,High,Low,Volume,Change
1980-03-18,2.91,2.91,2.93,2.87,882000.0,0.0139
1980-03-19,2.89,2.89,2.93,2.89,1090000.0,-0.0069
1980-03-20,2.82,2.82,2.87,2.82,387000.0,-0.0242
1980-03-21,2.76,2.76,2.81,2.76,391500.0,-0.0213
1980-03-24,2.66,2.66,2.75,2.66,370500.0,-0.0362
1980-03-25,2.62,2.62,2.65,2.61,423000.0,-0.015
1980-03-26,2.64,2.64,2.66,2.63,136500.0,0.0076
1980-03-27,2.58,2.58,2.65,2.55,361500.0,-0.0227
1980-03-28,2.77,2.77,2.77,2.61,814500.0,0.0736
1980-03-31,2.76,2.76,2.77,2.73,514500.0,-0.0036
1980-04-01,2.66,2.66,2.76,2.66,1120000.0,-0.0362
1980-04-02,2.71,2.71,2.71,2.69,195000.0,0.018799999999999997
1980-04-03,2.67,2.67,2.71,2.67,94500.0,-0.0148
1980-04-07,2.65,2.65,2.67,2.64,1070000.0,-0.0075
1980-04-08,2.66,2.66,2.69,2.65,186000.0,0.0038
1980-04-09,2.65,2.65,2.67,2.65,409500.0,-0.0038
1980-04-10,2.64,2.64,2.66,2.63,214500.0,-0.0038
1980-04-11,2.61,2.61,2.65,2.61,507000.0,-0.011399999999999999
1980-04-14,2.61,2.61,2.62,2.6,78000.0,0.0
1980-04-15,2.62,2.62,2.63,2.62,244500.0,0.0038
1980-04-16,2.62,2.62,2.66,2.61,675000.0,0.0
1980-04-17,2.62,2.62,2.63,2.59,204000.0,0.0
1980-04-18,2.61,2.61,2.63,2.61,553500.0,-0.0038
1980-04-21,2.59,2.59,2.63,2.58,103500.0,-0.0077
1980-04-22,2.56,2.56,2.62,2.56,651000.0,-0.0116
1980-04-23,2.54,2.54,2.57,2.54,673500.0,-0.0078000000000000005
1980-04-24,2.57,2.57,2.58,2.53,246000.0,0.0118
1980-04-25,2.53,2.53,2.56,2.53,160500.0,-0.015600000000000001
1980-04-28,2.52,2.52,2.56,2.52,451500.0,-0.004
1980-04-29,2.51,2.51,2.53,2.51,100500.0,-0.004
1980-04-30,2.5,2.5,2.52,2.49,228000.0,-0.004
1980-05-01,2.55,2.55,2.55,2.51,357000.0,0.02
1980-05-02,2.53,2.53,2.55,2.53,306000.0,-0.0078000000000000005
1980-05-05,2.49,2.49,2.52,2.49,108000.0,-0.0158
1980-05-06,2.5,2.5,2.52,2.49,253500.0,0.004
1980-05-07,2.57,2.57,2.57,2.49,630000.0,0.027999999999999997
1980-05-08,2.56,2.56,2.61,2.56,1430000.0,-0.0039000000000000003
1980-05-09,2.51,2.51,2.55,2.51,402000.0,-0.0195
1980-05-12,2.47,2.47,2.47,2.44,387000.0,-0.0159
1980-05-13,2.5,2.5,2.5,2.47,174000.0,0.0121
1980-05-14,2.53,2.53,2.55,2.51,252000.0,0.012
1980-05-15,2.58,2.58,2.59,2.53,175500.0,0.019799999999999998
1980-05-16,2.59,2.59,2.59,2.57,253500.0,0.0039000000000000003
1980-05-19,2.6,2.6,2.62,2.58,324000.0,0.0039000000000000003
1980-05-20,2.57,2.57,2.59,2.57,99000.0,-0.0115
1980-05-21,2.59,2.59,2.61,2.57,264000.0,0.0078000000000000005
1980-05-22,2.73,2.73,2.73,2.59,667500.0,0.0541
1980-05-23,2.88,2.88,2.92,2.74,775500.0,0.054900000000000004
1980-05-27,2.78,2.78,2.83,2.78,367500.0,-0.0347
1980-05-28,2.77,2.77,2.79,2.75,312000.0,-0.0036
1980-05-29,2.8,2.8,2.84,2.79,243000.0,0.0108
1980-05-30,2.85,2.85,2.86,2.78,177000.0,0.0179
1980-06-02,2.81,2.81,2.84,2.77,574500.0,-0.013999999999999999
1980-06-03,2.77,2.77,2.81,2.75,703500.0,-0.014199999999999999
1980-06-04,2.77,2.77,2.79,2.77,73500.0,0.0
1980-06-05,2.79,2.79,2.81,2.78,159000.0,0.0072
1980-06-06,2.8,2.8,2.83,2.8,66000.0,0.0036
1980-06-09,2.78,2.78,2.81,2.78,144000.0,-0.0070999999999999995
1980-06-10,2.83,2.83,2.84,2.8,172500.0,0.018000000000000002
1980-06-11,2.87,2.87,2.89,2.85,397500.0,0.0141
1980-06-12,2.87,2.87,2.89,2.86,258000.0,0.0
1980-06-13,2.86,2.86,2.9,2.86,96000.0,-0.0034999999999999996
1980-06-16,2.85,2.85,2.87,2.85,90000.0,-0.0034999999999999996
1980-06-17,2.87,2.87,2.87,2.85,93000.0,0.006999999999999999
1980-06-18,2.82,2.82,2.86,2.79,286500.0,-0.0174
1980-06-19,2.85,2.85,2.89,2.85,732000.0,0.0106
1980-06-20,2.84,2.84,2.85,2.84,78000.0,-0.0034999999999999996
1980-06-23,2.83,2.83,2.85,2.83,121500.0,-0.0034999999999999996
1980-06-24,2.9,2.9,2.9,2.84,156000.0,0.024700000000000003
1980-06-25,2.97,2.97,3.0,2.9,279000.0,0.0241
1980-06-26,3.07,3.07,3.1,2.97,382500.0,0.0337
1980-06-27,3.09,3.09,3.09,3.06,468000.0,0.006500000000000001
1980-06-30,3.06,3.06,3.1,3.05,370500.0,-0.0097
1980-07-01,3.05,3.05,3.06,3.03,210000.0,-0.0033
1980-07-02,3.05,3.05,3.05,3.04,96000.0,0.0
1980-07-03,3.03,3.03,3.05,3.01,604500.0,-0.0066
1980-07-07,3.02,3.02,3.04,3.01,823500.0,-0.0033
1980-07-08,3.01,3.01,3.01,2.99,229500.0,-0.0033
1980-07-09,3.03,3.03,3.03,2.99,135000.0,0.0066
1980-07-10,2.99,2.99,3.02,2.99,421500.0,-0.0132
1980-07-11,3.02,3.02,3.02,2.97,430500.0,0.01
1980-07-14,3.08,3.08,3.09,3.05,229500.0,0.0199
1980-07-15,3.1,3.1,3.11,3.08,1060000.0,0.006500000000000001
1980-07-16,3.09,3.09,3.13,3.09,250500.0,-0.0032
1980-07-17,3.11,3.11,3.12,3.08,211500.0,0.006500000000000001
1980-07-18,3.15,3.15,3.15,3.13,111000.0,0.0129
1980-07-21,3.11,3.11,3.17,3.11,127500.0,-0.0127
1980-07-22,3.13,3.13,3.19,3.13,358500.0,0.0064
1980-07-23,3.16,3.16,3.18,3.14,136500.0,0.0096
1980-07-24,3.14,3.14,3.17,3.14,382500.0,-0.0063
1980-07-25,3.15,3.15,3.15,3.14,370500.0,0.0032
1980-07-28,3.16,3.16,3.16,3.14,64500.0,0.0032
1980-07-29,3.24,3.24,3.25,3.15,259500.0,0.0253
1980-07-30,3.25,3.25,3.28,3.23,217500.0,0.0031
1980-07-31,3.27,3.27,3.27,3.25,357000.0,0.0062
1980-08-01,3.27,3.27,3.27,3.26,282000.0,0.0
1980-08-04,3.29,3.29,3.29,3.27,438000.0,0.0060999999999999995
1980-08-05,3.28,3.28,3.29,3.27,868500.0,-0.003
1980-08-06,3.27,3.27,3.29,3.27,796500.0,-0.003
1980-08-07,3.33,3.33,3.33,3.29,915000.0,0.0183
1980-08-08,3.4,3.4,3.45,3.39,639000.0,0.021
1980-08-11,3.33,3.33,3.35,3.32,609000.0,-0.0206
1980-08-12,3.3,3.3,3.33,3.3,201000.0,-0.009000000000000001
1980-08-13,3.31,3.31,3.32,3.29,220500.0,0.003
1980-08-14,3.31,3.31,3.31,3.3,361500.0,0.0
1980-08-15,3.3,3.3,3.31,3.3,378000.0,-0.003
1980-08-18,3.27,3.27,3.31,3.27,451500.0,-0.0091
1980-08-19,3.24,3.24,3.25,3.21,394500.0,-0.0092
1980-08-20,3.21,3.21,3.21,3.19,172500.0,-0.009300000000000001
1980-08-21,3.29,3.29,3.29,3.23,556500.0,0.024900000000000002
1980-08-22,3.3,3.3,3.31,3.29,277500.0,0.003
1980-08-25,3.25,3.25,3.29,3.24,331500.0,-0.0152
1980-08-26,3.24,3.24,3.27,3.24,387000.0,-0.0031
1980-08-27,3.23,3.23,3.24,3.23,279000.0,-0.0031
1980-08-28,3.22,3.22,3.24,3.22,397500.0,-0.0031
1980-08-29,3.24,3.24,3.24,3.22,150000.0,0.0062
1980-09-02,3.27,3.27,3.27,3.24,93000.0,0.009300000000000001
1980-09-03,3.24,3.24,3.26,3.24,216000.0,-0.0092
1980-09-04,3.23,3.23,3.26,3.23,375000.0,-0.0031
1980-09-05,3.18,3.18,3.21,3.17,657000.0,-0.0155
1980-09-08,3.11,3.11,3.17,3.11,79500.0,-0.022000000000000002
1980-09-09,3.1,3.1,3.1,3.02,571500.0,-0.0032
1980-09-10,3.11,3.11,3.13,3.09,225000.0,0.0032
1980-09-11,3.08,3.08,3.13,3.08,85500.0,-0.0096
1980-09-12,3.12,3.12,3.13,3.07,858000.0,0.013000000000000001
1980-09-15,3.14,3.14,3.14,3.11,631500.0,0.0064
1980-09-16,3.27,3.27,3.29,3.15,1490000.0,0.0414
1980-09-17,3.29,3.29,3.31,3.26,532500.0,0.0060999999999999995
1980-09-18,3.41,3.41,3.41,3.29,666000.0,0.0365
1980-09-19,3.53,3.53,3.54,3.41,396000.0,0.0352
1980-09-22,3.62,3.62,3.62,3.55,1070000.0,0.0255
1980-09-23,3.68,3.68,3.72,3.62,1590000.0,0.0166
1980-09-24,3.59,3.59,3.65,3.58,960000.0,-0.0245
1980-09-25,3.47,3.47,3.61,3.47,181500.0,-0.0334
1980-09-26,3.41,3.41,3.43,3.39,279000.0,-0.0173
1980-09-29,3.28,3.28,3.39,3.27,225000.0,-0.0381
