Date,Close,Open,High,Low,Volume,Change
2008-03-24,9.1,9.08,9.1,9.08,1510000.0,0.0022
2008-03-25,9.05,9.08,9.08,9.05,1580000.0,-0.0055000000000000005
2008-03-26,9.08,9.08,9.08,9.05,273500.0,0.0033
2008-03-31,9.1,9.08,9.1,9.08,1220000.0,0.0022
2008-04-01,9.08,9.05,9.08,9.02,530700.0,-0.0022
2008-04-02,9.05,9.05,9.05,9.05,51000.0,-0.0033
2008-04-03,9.05,9.06,9.06,9.05,2200.0,0.0
2008-04-08,9.07,9.08,9.08,9.07,13300.0,0.0022
2008-04-10,9.08,9.09,9.09,9.08,55800.0,0.0011
2008-04-11,9.09,9.08,9.1,9.08,27300.0,0.0011
2008-04-14,9.08,9.08,9.08,9.08,200000.0,-0.0011
2008-04-15,9.15,9.08,9.15,9.08,101900.0,0.0077
2008-04-23,9.1,9.1,9.1,9.1,500.0,-0.0055000000000000005
2008-04-24,9.1,9.11,9.15,9.1,9000.0,0.0
2008-04-29,9.12,9.12,9.12,9.12,1700.0,0.0022
2008-05-01,9.1,9.12,9.12,9.1,117200.0,-0.0022
2008-05-02,9.11,9.11,9.11,9.11,150000.0,0.0011
2008-05-09,9.17,9.15,9.17,9.15,122000.0,0.0066
2008-05-12,9.16,9.13,9.16,9.13,1000.0,-0.0011
2008-05-13,9.17,9.17,9.17,9.17,100.0,0.0011
2008-05-14,9.13,9.15,9.15,9.13,50100.0,-0.0044
2008-05-15,9.16,9.16,9.16,9.16,200000.0,0.0033
2008-05-16,9.15,9.14,9.15,9.14,700.0,-0.0011
2008-05-19,9.15,9.15,9.15,9.15,102700.0,0.0
2008-05-20,9.15,9.19,9.2,9.15,1000.0,0.0
2008-05-21,9.15,9.14,9.15,9.14,500.0,0.0
2008-05-22,9.17,9.15,9.17,9.15,50500.0,0.0022
2008-05-27,9.2,9.17,9.2,9.17,500.0,0.0033
2008-05-29,9.15,9.15,9.15,9.15,200000.0,-0.0054
2008-05-30,9.17,9.14,9.17,9.14,726500.0,0.0022
2008-06-02,9.2,9.19,9.2,9.19,52500.0,0.0033
2008-06-03,9.2,9.2,9.22,9.19,1200000.0,0.0
2008-06-04,9.24,9.2,9.24,9.2,3100.0,0.0043
2008-06-05,9.22,9.23,9.23,9.22,13700.0,-0.0022
2008-06-06,9.23,9.22,9.23,9.22,2000.0,0.0011
2008-06-09,9.22,9.21,9.22,9.21,210700.0,-0.0011
2008-06-10,9.21,9.21,9.21,9.21,40100.0,-0.0011
2008-06-11,9.2,9.22,9.22,9.2,263400.0,-0.0011
2008-06-12,9.22,9.2,9.22,9.2,911700.0,0.0022
2008-06-13,9.22,9.22,9.22,9.22,11500.0,0.0
2008-06-16,9.25,9.2,9.25,9.2,1330.0,0.0033
2008-06-19,9.25,9.25,9.25,9.25,1000.0,0.0
2008-06-20,9.3,9.29,9.3,9.29,2100.0,0.0054
2008-06-27,9.35,9.35,9.35,9.35,800.0,0.0054
2008-06-30,9.3,9.3,9.3,9.3,41980.0,-0.0053
2008-07-01,9.3,9.31,9.31,9.3,900.0,0.0
2008-07-09,9.26,9.3,9.3,9.26,112400.0,-0.0043
2008-07-14,9.15,9.25,9.25,9.15,3800.0,-0.011899999999999999
2008-07-15,9.21,9.2,9.3,9.2,50200.0,0.0066
2008-07-16,9.22,9.22,9.23,9.21,7500.0,0.0011
2008-07-17,9.25,9.22,9.25,9.22,26700.0,0.0033
2008-07-18,9.26,9.25,9.26,9.25,101700.0,0.0011
2008-07-21,9.28,9.25,9.28,9.25,6600.0,0.0022
2008-07-22,9.28,9.27,9.29,9.26,68080.0,0.0
2008-07-24,9.26,9.26,9.26,9.26,3300.0,-0.0022
2008-07-25,9.28,9.28,9.28,9.28,4600.0,0.0022
2008-07-28,9.28,9.3,9.3,9.28,3200.0,0.0
2008-07-29,9.28,9.28,9.28,9.28,1500.0,0.0
2008-07-30,9.28,9.29,9.29,9.28,1500.0,0.0
2008-07-31,9.29,9.33,9.33,9.29,1500.0,0.0011
2008-08-01,9.29,9.29,9.29,9.29,1600.0,0.0
2008-08-04,9.32,9.32,9.32,9.32,500.0,0.0032
2008-08-05,9.32,9.32,9.32,9.32,186600.0,0.0
2008-08-07,9.32,9.32,9.32,9.32,500.0,0.0
2008-08-13,9.31,9.31,9.31,9.31,440100.0,-0.0011
2008-08-14,9.35,9.35,9.35,9.35,50000.0,0.0043
2008-08-15,9.34,9.31,9.34,9.31,10000.0,-0.0011
2008-08-18,9.36,9.36,9.36,9.36,2000.0,0.0021
2008-08-20,9.32,9.38,9.38,9.3,49180.0,-0.0043
2008-08-25,9.35,9.34,9.35,9.34,225200.0,0.0032
2008-08-26,9.4,9.4,9.4,9.4,50000.0,0.0053
2008-08-28,9.4,9.4,9.41,9.4,9560.0,0.0
2008-09-02,9.4,9.4,9.4,9.4,1450.0,0.0
2008-09-04,9.41,9.4,9.41,9.4,310.0,0.0011
2008-09-09,9.4,9.41,9.41,9.4,3610.0,-0.0011
2008-09-10,9.39,9.43,9.43,9.39,103100.0,-0.0011
2008-09-12,9.32,9.4,9.41,9.32,230530.0,-0.0075
2008-09-17,9.15,9.3,9.3,9.15,236050.0,-0.0182
2008-09-22,9.23,9.2,9.23,9.2,56180.0,0.0087
2008-09-23,9.39,9.38,9.64,9.3,307450.0,0.0173
2008-09-24,9.4,9.47,9.47,9.25,29860.0,0.0011
2008-09-25,9.3,9.36,9.38,9.25,96300.0,-0.0106
2008-09-26,9.3,9.3,9.38,9.24,69500.0,0.0
2008-09-29,9.19,9.22,9.29,9.0,25900.0,-0.0118
2008-09-30,9.2,9.19,9.2,9.18,91600.0,0.0011
2008-10-01,9.19,9.19,9.2,9.19,70000.0,-0.0011
2008-10-02,9.0,9.1,9.1,9.0,700.0,-0.0207
2008-10-03,8.9,8.99,9.0,8.8,2550.0,-0.0111
2008-10-06,8.85,8.89,9.0,8.6,7800.0,-0.005600000000000001
2008-10-07,8.6,8.8,8.9,8.6,483300.0,-0.0282
2008-10-08,8.7,8.6,8.7,8.58,575380.0,0.0116
2008-10-09,8.75,8.8,8.8,8.75,6900.0,0.005699999999999999
2008-10-10,8.65,8.65,8.65,8.5,3800.0,-0.011399999999999999
2008-10-13,8.75,8.75,8.75,8.75,100.0,0.0116
2008-10-14,8.65,8.6,8.65,8.6,61800.0,-0.011399999999999999
2008-10-15,8.75,8.6,8.75,8.6,200.0,0.0116
2008-10-16,8.7,8.77,8.8,8.7,346400.0,-0.005699999999999999
2008-10-17,8.65,8.65,8.65,8.65,500.0,-0.005699999999999999
2008-10-20,8.79,8.75,8.8,8.75,258500.0,0.016200000000000003
2008-10-21,8.8,8.76,8.8,8.75,190940.0,0.0011
2008-10-22,8.75,8.75,8.8,8.74,225000.0,-0.005699999999999999
2008-10-23,8.79,8.75,8.79,8.75,56900.0,0.0046
2008-10-24,8.8,8.71,8.81,8.71,377400.0,0.0011
2008-10-27,8.8,8.71,8.8,8.71,56500.0,0.0
2008-10-28,8.8,8.7,8.8,8.7,20000.0,0.0
2008-10-29,8.7,8.7,8.75,8.68,207600.0,-0.011399999999999999
2008-10-30,8.8,8.7,8.8,8.7,538800.0,0.0115
2008-11-03,8.84,8.72,8.84,8.71,17200.0,0.0045000000000000005
2008-11-04,8.81,8.9,8.9,8.8,163300.0,-0.0034000000000000002
2008-11-05,8.75,8.8,8.8,8.75,108400.0,-0.0068000000000000005
2008-11-06,9.0,8.76,9.0,8.75,2440000.0,0.0286
2008-11-07,8.95,9.05,9.07,8.95,11000.0,-0.005600000000000001
2008-11-10,8.95,8.95,9.0,8.8,33270.0,0.0
2008-11-11,8.95,8.95,8.95,8.95,56800.0,0.0
2008-11-12,8.95,8.95,8.95,8.9,16100.000000000002,0.0
2008-11-13,8.91,8.9,8.94,8.8,136880.0,-0.0045000000000000005
2008-11-14,8.92,8.94,8.95,8.92,24800.0,0.0011
2008-11-17,8.9,8.92,8.92,8.87,42450.0,-0.0022
2008-11-18,8.89,8.9,8.95,8.85,167700.0,-0.0011
2008-11-19,8.95,8.95,8.98,8.95,21000.0,0.0067
2008-11-20,8.9,8.87,8.98,8.85,65800.0,-0.005600000000000001
2008-11-21,8.9,8.9,8.9,8.9,2500.0,0.0
2008-11-24,8.9,8.9,8.91,8.82,24600.0,0.0
2008-11-25,8.84,8.98,9.0,8.84,535440.0,-0.0067
2008-12-03,8.85,8.9,8.94,8.85,13130.0,0.0011
2008-12-04,8.9,8.9,8.9,8.9,1320.0,0.005600000000000001
2008-12-05,8.85,8.85,8.9,8.85,630500.0,-0.005600000000000001
2008-12-08,8.9,8.89,8.9,8.89,2100.0,0.005600000000000001
2008-12-09,8.91,8.91,8.91,8.91,8000.0,0.0011
2008-12-10,8.94,8.95,8.95,8.94,240.0,0.0034000000000000002
2008-12-12,8.93,8.93,8.93,8.93,47800.0,-0.0011
2008-12-15,8.93,8.93,8.93,8.92,216200.0,0.0
2008-12-16,8.93,8.93,8.93,8.93,200000.0,0.0
2008-12-17,8.9,8.9,8.9,8.9,344300.0,-0.0034000000000000002
2008-12-18,8.88,8.88,8.93,8.87,64000.0,-0.0022
2008-12-19,8.88,8.88,8.9,8.88,160300.0,0.0
2008-12-22,8.87,8.87,8.87,8.87,26200.0,-0.0011
2008-12-23,8.9,8.9,8.9,8.9,48900.0,0.0034000000000000002
2008-12-26,8.93,8.93,8.93,8.93,100.0,0.0034000000000000002
2008-12-29,8.96,8.95,9.0,8.93,11500.0,0.0034000000000000002
2008-12-30,8.96,9.0,9.0,8.96,41000.0,0.0
2008-12-31,9.0,9.0,9.0,9.0,73000.0,0.0045000000000000005
2009-01-02,9.1,9.05,9.1,9.03,58330.0,0.0111
2009-01-05,9.12,9.18,9.2,9.12,40410.0,0.0022
2009-01-06,9.15,9.15,9.18,9.15,295400.0,0.0033
2009-01-07,9.15,9.15,9.17,9.15,40600.0,0.0
2009-01-08,9.16,9.16,9.18,9.16,80100.0,0.0011
2009-01-09,9.18,9.18,9.18,9.16,352000.0,0.0022
2009-01-12,9.2,9.19,9.2,9.17,11700.0,0.0022
2009-01-13,9.2,9.2,9.2,9.18,14500.0,0.0
2009-01-14,9.16,9.2,9.2,9.16,76900.0,-0.0043
2009-01-15,9.2,9.2,9.2,9.19,21300.0,0.0044
2009-01-16,9.32,9.2,9.42,9.2,406100.0,0.013000000000000001
2009-01-20,9.2,9.21,9.21,9.2,2100.0,-0.0129
2009-01-21,9.25,9.2,9.25,9.2,162000.0,0.0054
2009-01-22,9.25,9.26,9.26,9.25,274900.0,0.0
2009-01-23,9.25,9.25,9.25,9.25,199600.0,0.0
2009-01-26,9.28,9.25,9.28,9.25,119950.0,0.0032
2009-01-28,9.28,9.28,9.28,9.25,22000.0,0.0
2009-01-29,9.21,9.28,9.28,9.21,20300.0,-0.0075
2009-02-02,9.28,9.27,9.28,9.25,2600.0,0.0076
2009-02-03,9.28,9.29,9.29,9.28,3600.0,0.0
2009-02-04,9.26,9.28,9.28,9.26,210400.0,-0.0022
2009-02-05,9.36,9.3,9.36,9.3,129600.0,0.0108
2009-02-06,9.36,9.35,9.36,9.35,2600.0,0.0
2009-02-10,9.31,9.35,9.35,9.28,50700.0,-0.0053
2009-02-11,9.28,9.33,9.33,9.28,1100.0,-0.0032
2009-02-12,9.34,9.3,9.34,9.28,1250000.0,0.006500000000000001
2009-02-13,9.33,9.3,9.34,9.3,354600.0,-0.0011
2009-02-17,9.3,9.32,9.33,9.3,34200.0,-0.0032
2009-02-18,9.35,9.33,9.35,9.3,277900.0,0.0054
2009-02-19,9.39,9.39,9.39,9.34,9400.0,0.0043
2009-02-20,9.39,9.39,9.39,9.37,40690.0,0.0
2009-02-23,9.38,9.38,9.39,9.35,900.0,-0.0011
2009-02-24,9.38,9.35,9.4,9.35,60600.0,0.0
2009-02-25,9.39,9.38,9.4,9.36,23200.0,0.0011
2009-02-26,9.37,9.39,9.4,9.34,61270.0,-0.0021
2009-02-27,9.37,9.35,9.37,9.35,12000.0,0.0
2009-03-02,9.38,9.37,9.39,9.37,114380.0,0.0011
2009-03-03,9.4,9.38,9.4,9.36,28950.0,0.0021
2009-03-04,9.4,9.4,9.4,9.38,194450.0,0.0
2009-03-05,9.4,9.38,9.4,9.38,106200.0,0.0
2009-03-06,9.39,9.4,9.4,9.39,30400.0,-0.0011
2009-03-09,9.4,9.4,9.4,9.38,59200.0,0.0011
2009-03-10,9.4,9.35,9.4,9.35,78100.0,0.0
2009-03-11,9.42,9.39,9.42,9.39,51300.0,0.0021
2009-03-12,9.42,9.42,9.42,9.4,8840.0,0.0
2009-03-13,9.42,9.4,9.42,9.4,7630.0,0.0
2009-03-16,9.42,9.45,9.45,9.41,57900.0,0.0
2009-03-17,9.39,9.4,9.42,9.38,2270000.0,-0.0032
2009-03-18,9.37,9.39,9.41,9.36,378900.0,-0.0021
2009-03-19,9.37,9.37,9.4,9.35,68400.0,0.0
2009-03-20,9.36,9.36,9.38,9.36,10530.0,-0.0011
2009-03-23,9.38,9.4,9.4,9.37,42000.0,0.0021
2009-03-24,9.25,9.38,9.44,9.25,362940.0,-0.0139
2009-03-25,9.38,9.28,9.39,9.28,121300.0,0.0141
2009-03-26,9.36,9.43,9.43,9.35,734210.0,-0.0021
2009-03-27,9.36,9.35,9.36,9.35,600.0,0.0
2009-03-30,9.37,9.37,9.37,9.34,184750.0,0.0011
2009-03-31,9.37,9.38,9.38,9.37,81600.0,0.0
2009-04-01,9.38,9.37,9.39,9.37,150800.0,0.0011
2009-04-02,9.39,9.38,9.39,9.37,606760.0,0.0011
2009-04-03,9.44,9.4,9.44,9.39,1080000.0,0.0053
2009-04-06,9.48,9.48,9.48,9.46,23870.0,0.0042
2009-04-07,9.48,9.47,9.48,9.47,110530.0,0.0
2009-04-08,9.47,9.47,9.47,9.42,53800.0,-0.0011
2009-04-09,9.41,9.53,9.53,9.41,3500.0,-0.0063
2009-04-14,9.47,9.44,9.5,9.44,13140.0,0.0064
2009-04-15,9.48,9.47,9.54,9.47,226500.0,0.0011
2009-04-16,9.5,9.49,9.5,9.49,700.0,0.0021
2009-04-17,9.47,9.47,9.47,9.47,5100.0,-0.0032
2009-04-20,9.47,9.47,9.49,9.47,651050.0,0.0
2009-04-21,9.49,9.48,9.49,9.47,171700.0,0.0021
2009-04-22,9.48,9.49,9.5,9.48,23400.0,-0.0011
2009-04-23,9.52,9.48,9.54,9.48,476800.0,0.0042
2009-04-24,9.51,9.51,9.51,9.51,250000.0,-0.0011
2009-04-27,9.5,9.5,9.5,9.5,5000.0,-0.0011
2009-04-28,9.49,9.5,9.5,9.49,58000.0,-0.0011
2009-04-29,9.54,9.5,9.54,9.5,18850.0,0.0053
2009-04-30,9.53,9.55,9.55,9.53,200100.0,-0.001
2009-05-04,9.57,9.55,9.57,9.55,2950.0,0.0042
2009-05-05,9.57,9.57,9.57,9.55,47100.0,0.0
2009-05-06,9.56,9.58,9.58,9.55,157220.0,-0.001
2009-05-07,9.6,9.59,9.62,9.59,89800.0,0.0042
2009-05-08,9.6,9.6,9.6,9.6,900.0,0.0
2009-05-11,9.56,9.57,9.57,9.56,96200.0,-0.0042
2009-05-13,9.56,9.57,9.57,9.52,699600.0,0.0
2009-05-14,9.55,9.56,9.57,9.55,47250.0,-0.001
2009-05-15,9.57,9.57,9.57,9.57,50200.0,0.0021
2009-05-18,9.6,9.59,9.6,9.59,52200.0,0.0031
2009-05-19,9.75,9.62,9.87,9.62,221200.0,0.015600000000000001
2009-05-20,9.72,9.7,9.74,9.65,8100.0,-0.0031
2009-05-21,9.74,9.67,9.74,9.66,1800.0,0.0021
2009-05-22,9.69,9.71,9.71,9.69,2100.0,-0.0051
2009-05-26,9.7,9.73,9.73,9.7,2050.0,0.001
2009-05-27,9.69,9.7,9.7,9.69,200.0,-0.001
2009-05-28,9.73,9.73,9.73,9.73,4200.0,0.0040999999999999995
2009-06-01,9.72,9.71,9.72,9.71,1100.0,-0.001
2009-06-02,9.69,9.68,9.69,9.68,900.0,-0.0031
2009-06-04,9.74,9.64,9.76,9.64,128840.0,0.0052
2009-06-05,9.75,9.75,9.8,9.75,28980.0,0.001
2009-06-08,9.79,9.85,9.85,9.33,15110.0,0.0040999999999999995
2009-06-09,9.75,9.77,9.77,9.75,21410.0,-0.0040999999999999995
2009-06-10,9.75,9.75,9.75,9.7,489370.0,0.0
2009-06-11,9.73,9.71,9.75,9.7,131100.0,-0.0021
2009-06-12,9.75,9.7,9.75,9.7,315960.0,0.0021
2009-06-15,9.73,9.73,9.73,9.73,600.0,-0.0021
2009-06-16,9.75,9.7,9.78,9.7,158700.0,0.0021
2009-06-17,9.75,9.78,9.78,9.75,31700.0,0.0
2009-06-18,9.79,9.77,9.79,9.77,38600.0,0.0040999999999999995
2009-06-19,9.79,9.78,9.79,9.75,6680.0,0.0
2009-06-22,9.8,9.79,9.8,9.7,56380.0,0.001
2009-06-23,9.78,9.8,9.8,9.78,45800.0,-0.002
