Date,Close,Open,High,Low,Volume,Change
2007-06-04,17.55,17.5,17.94,17.5,88510.0,-0.0102
2007-06-05,17.59,17.56,17.7,17.5,107330.0,0.0023
2007-06-06,17.47,17.5,17.59,16.25,179300.0,-0.0068000000000000005
2007-06-07,17.21,17.67,17.67,16.69,100780.0,-0.0149
2007-06-08,17.25,17.23,17.55,17.2,82600.0,0.0023
2007-06-11,17.24,17.22,17.45,17.13,140830.0,-0.0006
2007-06-12,17.0,17.24,17.24,17.0,150830.0,-0.0139
2007-06-13,17.0,17.0,17.5,17.0,180900.0,0.0
2007-06-14,17.0,17.0,17.09,16.66,227270.0,0.0
2007-06-15,17.58,16.51,17.8,16.51,125870.0,0.0341
2007-06-18,16.97,17.17,17.21,16.96,49390.0,-0.0347
2007-06-19,16.99,16.96,17.2,16.9,32950.0,0.0012
2007-06-20,17.0,16.94,17.03,16.64,32900.0,0.0006
2007-06-21,16.95,16.63,16.95,16.63,9110.0,-0.0029
2007-06-22,16.64,16.62,16.95,16.61,32820.0,-0.0183
2007-06-25,16.02,16.44,16.95,15.75,95410.0,-0.0373
2007-06-26,15.71,16.0,16.3,15.5,97670.0,-0.0194
2007-06-27,15.77,15.51,15.87,15.51,14730.0,0.0038
2007-06-28,15.82,15.59,15.95,15.59,51360.0,0.0032
2007-06-29,16.0,15.54,16.0,15.54,20120.0,0.011399999999999999
2007-07-02,16.5,16.0,17.11,15.99,53780.0,0.0313
2007-07-03,16.09,16.32,16.32,15.88,127790.0,-0.0248
2007-07-05,16.18,15.93,16.43,15.91,132880.0,0.005600000000000001
2007-07-06,15.91,15.65,16.15,15.63,13970.0,-0.0167
2007-07-09,15.98,16.23,16.23,15.9,47350.0,0.0044
2007-07-10,16.0,15.75,16.0,15.68,9970.0,0.0013
2007-07-11,15.77,16.29,17.0,15.77,175200.0,-0.0144
2007-07-12,15.34,16.11,16.95,15.2,111040.0,-0.0273
2007-07-13,14.73,15.5,15.5,14.48,177850.0,-0.0398
2007-07-16,14.76,15.0,15.25,14.25,67080.0,0.002
2007-07-17,14.51,15.12,15.12,14.47,184260.0,-0.0169
2007-07-18,14.2,14.26,14.83,14.2,107260.0,-0.021400000000000002
2007-07-19,14.26,14.28,14.52,14.2,47170.0,0.0042
2007-07-20,14.3,14.4,14.47,14.02,55520.0,0.0028000000000000004
2007-07-23,14.5,14.5,14.5,14.3,24150.0,0.013999999999999999
2007-07-24,14.5,14.35,14.86,14.03,40500.0,0.0
2007-07-25,14.46,14.5,14.89,14.41,19970.0,-0.0028000000000000004
2007-07-26,14.24,14.79,14.8,14.15,30230.0,-0.0152
2007-07-27,13.85,14.6,14.62,13.5,59620.0,-0.0274
2007-07-30,14.95,15.14,15.19,14.24,22060.0,0.0794
2007-07-31,14.19,15.13,15.13,14.08,79110.0,-0.0508
2007-08-01,13.65,14.35,14.35,13.5,43570.0,-0.0381
2007-08-02,13.49,13.89,14.25,13.38,131420.0,-0.011699999999999999
2007-08-03,13.58,13.38,14.59,13.33,40300.0,0.0067
2007-08-06,13.51,13.78,13.85,13.12,308220.0,-0.0052
2007-08-07,13.26,13.07,14.38,13.05,102210.0,-0.018500000000000003
2007-08-08,13.17,13.05,13.91,12.98,48040.0,-0.0068000000000000005
2007-08-09,12.1,12.97,12.97,11.78,49130.0,-0.0812
2007-08-10,12.93,11.81,13.46,11.81,132720.0,0.06860000000000001
2007-08-13,13.25,13.26,13.26,12.51,19980.0,0.024700000000000003
2007-08-14,13.09,13.25,13.37,12.84,24960.0,-0.0121
2007-08-15,12.75,13.06,13.06,12.46,6060.0,-0.026000000000000002
2007-08-16,12.83,12.66,12.83,11.51,17160.0,0.0063
2007-08-17,13.18,12.84,13.18,12.44,18140.0,0.0273
2007-08-20,13.0,12.98,13.33,11.5,13700.0,-0.0137
2007-08-21,12.55,12.15,13.3,12.15,14500.0,-0.0346
2007-08-22,13.37,12.25,13.45,12.25,21100.0,0.0653
2007-08-23,13.25,13.37,13.37,12.49,13110.0,-0.009000000000000001
2007-08-24,13.29,13.25,13.38,12.87,8520.0,0.003
2007-08-27,13.4,13.0,13.4,13.0,11530.0,0.0083
2007-08-28,12.77,13.44,13.8,12.4,35340.0,-0.047
2007-08-29,13.1,12.84,13.1,12.42,11860.0,0.0258
2007-08-30,13.07,13.34,13.81,12.0,27450.0,-0.0023
2007-08-31,13.44,13.81,13.81,13.22,24350.0,0.028300000000000002
2007-09-04,13.85,13.57,13.95,13.57,13450.0,0.0305
2007-09-05,13.15,13.79,13.93,12.75,17750.0,-0.050499999999999996
2007-09-06,13.03,12.89,13.14,12.38,35950.0,-0.0091
2007-09-07,13.49,13.4,13.49,12.35,22940.0,0.0353
2007-09-10,12.99,13.03,13.59,12.77,17590.0,-0.0371
2007-09-11,13.02,13.38,13.38,12.78,11700.0,0.0023
2007-09-12,13.14,13.54,13.54,13.0,6000.0,0.0092
2007-09-13,13.0,13.8,13.81,12.98,4110.0,-0.010700000000000001
2007-09-14,13.12,12.88,13.28,12.86,7010.0,0.0092
2007-09-17,12.92,13.09,13.09,12.89,65500.0,-0.0152
