Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,1.9375,1.84375,1.84375,0.9928128719329834,37600
1980-03-18,0.0,2.0,1.90625,1.90625,1.0264676809310913,100800
1980-03-19,0.0,2.0625,1.96875,1.96875,1.0601222515106201,30400
1980-03-20,0.0,2.0625,1.96875,1.96875,1.0601222515106201,27200
1980-03-21,0.0,2.0625,1.96875,1.96875,1.0601222515106201,7200
1980-03-24,0.0,2.03125,1.9375,1.9375,1.0432946681976318,50400
1980-03-25,0.0,2.03125,1.9375,1.9375,1.0432946681976318,26400
1980-03-26,0.0,2.03125,1.9375,1.9375,1.0432946681976318,80800
1980-03-27,0.0,2.0,1.90625,1.90625,1.0264676809310913,70400
1980-03-28,0.0,2.0625,1.96875,1.96875,1.0601222515106201,63200
1980-03-31,0.0,2.0625,1.96875,1.96875,1.0601222515106201,4800
1980-04-01,0.0,2.125,2.03125,2.03125,1.0937767028808594,27200
1980-04-02,0.0,2.21875,2.125,2.125,1.1442592144012451,38400
1980-04-03,0.0,2.21875,2.125,2.125,1.1442592144012451,7200
1980-04-07,0.0,2.21875,2.125,2.125,1.1442592144012451,9600
1980-04-08,0.0,2.21875,2.125,2.125,1.1442592144012451,27200
1980-04-09,0.0,2.375,2.28125,2.28125,1.228395938873291,48000
1980-04-10,0.0,2.375,2.28125,2.28125,1.228395938873291,23200
1980-04-11,0.0,2.40625,2.3125,2.3125,1.245223045349121,54400
1980-04-14,0.0,2.40625,2.3125,2.3125,1.245223045349121,32800
1980-04-15,0.0,2.4375,2.34375,2.34375,1.2620506286621094,44000
1980-04-16,0.0,2.40625,2.3125,2.3125,1.245223045349121,76000
1980-04-17,0.0,2.28125,2.1875,2.1875,1.1779131889343262,247200
1980-04-18,0.0,2.28125,2.1875,2.1875,1.1779131889343262,8000
1980-04-21,0.0,2.3125,2.21875,2.21875,1.1947404146194458,38400
1980-04-22,0.0,2.34375,2.25,2.25,1.2115681171417236,188800
1980-04-23,0.0,2.3125,2.21875,2.21875,1.1947404146194458,68800
1980-04-24,0.0,2.3125,2.21875,2.21875,1.1947404146194458,71200
1980-04-25,0.0,2.3125,2.21875,2.21875,1.1947404146194458,18400
1980-04-28,0.0,2.3125,2.21875,2.21875,1.1947404146194458,39200
1980-04-29,0.0,2.3125,2.21875,2.21875,1.1947404146194458,4000
1980-04-30,0.0,2.3125,2.21875,2.21875,1.1947404146194458,23200
1980-05-01,0.0,2.34375,2.25,2.25,1.2115681171417236,21600
1980-05-02,0.0,2.3125,2.21875,2.21875,1.1947404146194458,30400
1980-05-05,0.0,2.3125,2.21875,2.21875,1.1947404146194458,8800
1980-05-06,0.0,2.3125,2.21875,2.21875,1.1947404146194458,3200
1980-05-08,0.0,2.28125,2.1875,2.1875,1.1779131889343262,25600
1980-05-09,0.0,2.28125,2.1875,2.1875,1.1779131889343262,24800
1980-05-12,0.0,2.28125,2.1875,2.1875,1.1779131889343262,47200
1980-05-13,0.0,2.34375,2.25,2.25,1.2115681171417236,236800
1980-05-14,0.0,2.34375,2.25,2.25,1.2115681171417236,48800
1980-05-15,0.0,2.375,2.28125,2.28125,1.228395938873291,61600
1980-05-16,0.0,2.40625,2.3125,2.3125,1.245223045349121,16000
1980-05-19,0.0,2.4375,2.34375,2.34375,1.2620506286621094,35200
1980-05-20,0.0,2.375,2.28125,2.28125,1.228395938873291,120800
1980-05-21,0.0,2.34375,2.25,2.25,1.2115681171417236,22400
1980-05-22,0.0,2.34375,2.25,2.25,1.2115681171417236,18400
1980-05-23,0.0,2.34375,2.25,2.25,1.2115681171417236,28800
