Date,Close,Open,High,Low,Volume,Change
2018-10-05,10.43,10.35,10.79,10.1,192290.0,0.026600000000000002
2018-10-08,10.02,10.5,10.5,9.25,117960.0,-0.0393
2018-10-09,9.9,9.9,9.99,9.61,44280.0,-0.012
2018-10-10,9.7,9.96,10.0,9.65,79970.0,-0.0202
2018-10-11,9.9,9.95,9.99,9.66,30690.0,0.0206
2018-10-12,10.05,10.1,10.1,9.9,52100.0,0.0152
2018-10-15,9.98,10.05,10.05,9.9,28180.0,-0.006999999999999999
2018-10-16,9.97,10.2,10.2,9.9,34370.0,-0.001
2018-10-17,9.89,9.85,9.95,9.81,22330.0,-0.008
2018-10-18,9.74,9.84,9.93,9.5,118870.0,-0.0152
2018-10-19,9.7,9.85,9.94,9.28,50500.0,-0.0040999999999999995
2018-10-22,9.88,9.76,10.13,9.6,75520.0,0.018600000000000002
2018-10-23,9.61,9.75,9.99,9.5,42630.0,-0.0273
2018-10-24,9.27,9.64,9.95,9.25,134390.0,-0.0354
2018-10-25,9.56,9.25,9.94,9.25,42870.0,0.0313
2018-10-26,9.98,9.59,10.13,9.46,37470.0,0.043899999999999995
2018-10-29,9.75,9.99,10.2,9.33,93880.0,-0.023
2018-10-30,9.88,9.73,9.99,9.32,146830.0,0.013300000000000001
2018-10-31,9.91,9.94,9.99,9.75,152750.0,0.003
2018-11-01,9.99,9.9,10.13,9.71,172190.0,0.008100000000000001
2018-11-02,9.79,10.0,10.07,9.56,45060.0,-0.02
2018-11-05,9.39,9.82,10.03,9.39,59950.0,-0.0409
2018-11-06,9.13,9.3,9.86,8.98,54300.0,-0.0277
2018-11-07,8.82,8.96,9.11,8.14,88740.0,-0.034
2018-11-08,8.85,8.71,8.99,8.7,32970.0,0.0034000000000000002
2018-11-09,8.64,8.36,9.0,8.36,68070.0,-0.023700000000000002
2018-11-12,8.0,8.64,8.64,7.82,53390.0,-0.0741
2018-11-13,8.15,8.0,8.27,8.0,50960.0,0.0187
2018-11-14,8.64,8.17,9.4,8.17,90720.0,0.0601
2018-11-15,8.7,8.59,9.28,8.59,37870.0,0.0069
2018-11-16,9.56,8.54,9.69,8.26,74960.0,0.0989
2018-11-19,8.79,9.6,9.6,8.72,57350.0,-0.0805
2018-11-20,7.77,8.04,8.94,7.76,113180.0,-0.11599999999999999
2018-11-21,9.77,7.8,9.77,7.8,39210.0,0.25739999999999996
2018-11-23,9.5,9.7,9.7,9.05,7970.0,-0.0276
2018-11-26,9.28,9.12,9.4,9.0,90820.0,-0.0232
2018-11-27,9.38,9.32,9.56,9.04,27460.0,0.0108
2018-11-28,9.22,9.35,9.4,8.74,32450.000000000004,-0.0171
2018-11-29,9.01,9.23,9.23,8.89,45460.0,-0.022799999999999997
2018-11-30,9.25,9.07,9.45,8.65,37240.0,0.026600000000000002
2018-12-03,7.95,9.37,9.68,7.95,106530.0,-0.1405
2018-12-04,7.6,7.93,8.28,7.38,61670.0,-0.044000000000000004
2018-12-06,9.3,7.54,9.31,7.25,87360.0,0.2237
2018-12-07,10.0,9.33,10.5,8.22,142860.0,0.0753
2018-12-10,8.45,10.0,10.0,8.36,35730.0,-0.155
2018-12-11,8.66,8.46,8.75,8.21,29660.0,0.024900000000000002
2018-12-12,8.23,8.56,8.56,7.78,38430.0,-0.049699999999999994
2018-12-13,7.71,8.07,8.26,7.51,30290.0,-0.0632
2018-12-14,7.01,7.65,7.65,6.74,51940.0,-0.0908
2018-12-17,6.66,7.1,7.3,6.5,53310.0,-0.0499
2018-12-18,6.82,6.75,8.01,6.75,100500.0,0.024
2018-12-19,6.68,6.76,6.93,6.55,106150.0,-0.020499999999999997
2018-12-20,6.52,6.51,6.87,5.95,164460.0,-0.024
2018-12-21,6.11,6.55,6.55,5.65,930910.0,-0.0629
2018-12-24,7.34,6.41,7.67,6.15,60620.0,0.20129999999999998
2018-12-26,8.22,7.42,9.34,6.64,126480.0,0.1199
2018-12-27,7.25,8.06,8.19,7.04,93180.0,-0.11800000000000001
2018-12-28,6.62,7.23,7.25,6.5,157710.0,-0.08689999999999999
2018-12-31,7.1,6.65,7.32,6.5,62540.0,0.0725
2019-01-02,7.34,7.06,7.86,6.55,66550.0,0.0338
2019-01-03,7.93,7.32,7.95,6.84,66730.0,0.08039999999999999
2019-01-04,7.55,8.07,8.07,7.08,73590.0,-0.0479
2019-01-07,8.16,7.61,8.25,7.56,24920.0,0.0808
2019-01-08,8.93,8.24,8.95,7.72,56920.0,0.0944
2019-01-09,9.44,8.91,9.7,8.78,50280.0,0.0571
2019-01-10,9.08,9.37,10.0,8.7,18540.0,-0.0381
2019-01-11,9.0,9.05,9.36,8.51,28080.0,-0.0088
2019-01-14,8.6,8.89,8.89,8.28,29170.0,-0.0444
2019-01-15,8.39,8.62,8.62,8.15,34240.0,-0.024399999999999998
2019-01-16,8.61,8.4,8.77,8.34,100450.0,0.0262
2019-01-17,8.39,8.57,8.62,8.11,12120.0,-0.0256
2019-01-18,8.5,8.43,8.88,8.37,65590.0,0.0131
2019-01-22,8.19,8.47,8.83,8.13,53740.0,-0.0365
2019-01-23,7.92,8.15,8.59,7.74,15930.0,-0.033
2019-01-24,7.86,7.9,8.48,7.6,26480.0,-0.0076
2019-01-25,8.0,8.14,8.54,7.8,13120.0,0.0178
2019-01-28,8.13,8.0,8.5,8.0,10690.0,0.0163
2019-01-29,7.99,8.15,8.21,7.94,18910.0,-0.0172
2019-01-30,7.99,7.91,8.12,7.91,12770.0,0.0
2019-01-31,7.68,8.0,8.14,7.5,19480.0,-0.0388
2019-02-01,7.86,7.34,8.03,7.34,20860.0,0.023399999999999997
2019-02-04,7.5,7.59,7.99,7.32,36310.0,-0.0458
2019-02-05,7.5,7.32,7.85,7.2,22570.0,0.0
2019-02-06,7.5,7.5,8.22,7.47,79330.0,0.0
2019-02-07,7.15,7.5,8.14,7.13,19050.0,-0.0467
2019-02-08,7.0,7.14,7.44,6.86,24100.0,-0.021
2019-02-11,6.75,7.05,7.19,6.52,37320.0,-0.035699999999999996
2019-02-12,7.0,6.98,7.28,6.8,61620.0,0.037000000000000005
2019-02-13,6.9,6.99,8.0,6.75,31430.0,-0.0143
2019-02-14,6.76,6.91,7.05,6.74,56040.0,-0.0203
2019-02-15,6.85,6.9,7.05,6.85,114280.0,0.013300000000000001
2019-02-19,6.83,6.95,7.68,6.77,84320.0,-0.0029
2019-02-20,7.0,7.13,8.27,6.9,117970.0,0.024900000000000002
2019-02-21,6.76,7.08,7.1,6.75,45180.0,-0.034300000000000004
2019-02-22,7.0,6.9,7.27,6.9,53660.0,0.0355
2019-02-25,6.89,7.05,7.4,6.83,69630.0,-0.015700000000000002
2019-02-26,6.98,6.93,7.12,6.88,59140.0,0.0131
2019-02-27,6.99,6.91,7.24,6.9,218180.0,0.0014000000000000002
2019-02-28,7.0,7.0,7.31,6.94,187490.0,0.0014000000000000002
2019-03-01,7.07,7.15,7.32,6.91,198650.0,0.01
2019-03-04,6.99,7.07,7.17,6.9,141160.0,-0.0113
2019-03-05,6.96,7.0,7.09,6.9,43190.0,-0.0043
2019-03-06,6.99,6.94,7.07,6.81,62140.0,0.0043
2019-03-07,6.47,6.98,7.02,6.24,108940.0,-0.07440000000000001
2019-03-08,6.51,6.46,6.8,6.35,62360.0,0.0062
2019-03-11,6.78,6.65,6.93,6.47,94230.0,0.0415
2019-03-12,6.66,6.87,7.09,6.45,44380.0,-0.0177
2019-03-13,6.95,6.81,7.15,6.72,136580.0,0.0435
2019-03-14,7.0,7.01,7.05,6.79,88530.0,0.0072
2019-03-15,6.97,7.01,7.18,6.86,102600.0,-0.0043
2019-03-18,6.99,6.97,7.09,6.8,66180.0,0.0029
2019-03-19,7.02,7.0,7.15,6.95,90070.0,0.0043
2019-03-20,6.99,7.05,7.23,6.99,144440.0,-0.0043
2019-03-21,6.83,7.0,7.11,6.82,36990.0,-0.0229
2019-03-22,6.6,6.75,6.97,6.39,55070.0,-0.0337
2019-03-25,6.43,6.61,6.7,6.26,48740.0,-0.0258
2019-03-26,7.0,6.43,7.05,6.41,62650.0,0.0886
2019-03-27,6.67,6.99,7.01,6.54,46400.0,-0.0471
2019-03-28,6.62,6.55,7.23,6.47,32140.0,-0.0075
2019-03-29,6.53,6.75,6.75,6.47,33460.0,-0.013600000000000001
2019-04-01,6.45,6.53,6.68,6.38,82090.0,-0.0123
