Date,Close,Open,High,Low,Volume,Change
2015-04-06,13.53,13.75,14.25,13.35,238940.0,-0.0336
2015-04-07,13.84,13.28,13.89,13.03,113580.0,0.0229
2015-04-08,13.56,13.99,14.0,13.42,73960.0,-0.0202
2015-04-09,13.54,13.58,13.8,13.5,45670.0,-0.0015
2015-04-10,14.44,13.53,14.92,13.53,104960.0,0.0665
2015-04-13,14.36,14.4,15.58,14.26,146980.0,-0.0055000000000000005
2015-04-14,14.86,14.5,14.91,14.04,115240.0,0.0348
2015-04-15,15.5,15.38,15.91,15.16,125520.0,0.0431
2015-04-16,15.7,15.95,15.96,15.54,70570.0,0.0129
2015-04-17,14.41,15.7,15.7,14.22,153700.0,-0.08220000000000001
2015-04-20,14.69,14.57,15.61,14.57,205590.0,0.0194
2015-04-21,14.99,14.59,15.21,14.59,41890.0,0.0204
2015-04-22,14.99,14.88,15.31,14.8,30130.0,0.0
2015-04-23,14.82,15.0,15.35,14.69,31910.0,-0.0113
2015-04-24,14.9,14.79,15.2,14.76,64220.0,0.0054
2015-04-27,14.77,14.9,15.25,13.97,135340.0,-0.0087
2015-04-28,14.59,14.9,14.9,14.37,41290.0,-0.012199999999999999
2015-04-29,14.4,14.42,14.71,13.97,61490.0,-0.013000000000000001
2015-04-30,14.9,14.39,15.04,14.39,78880.0,0.0347
2015-05-01,14.56,15.0,15.08,14.5,99270.0,-0.022799999999999997
2015-05-04,13.76,14.65,14.65,13.21,138600.0,-0.054900000000000004
2015-05-05,13.49,13.65,13.75,13.25,112620.0,-0.0196
2015-05-06,13.55,13.55,14.13,13.49,161400.0,0.0044
2015-05-07,14.42,13.63,14.5,13.3,85140.0,0.0642
2015-05-08,14.94,14.5,15.02,14.36,36390.0,0.0361
2015-05-11,14.99,15.0,15.01,14.9,86860.0,0.0033
2015-05-12,14.46,14.98,14.98,14.02,17620.0,-0.0354
2015-05-13,14.77,14.76,14.77,14.52,14110.0,0.021400000000000002
2015-05-14,15.29,14.68,15.36,14.64,236820.0,0.0352
2015-05-15,15.6,15.35,15.95,15.2,40140.0,0.0203
2015-05-18,16.64,15.8,17.2,15.8,76530.0,0.0667
2015-05-19,16.12,17.0,17.5,15.39,102750.0,-0.031200000000000002
2015-05-20,16.48,16.5,16.75,16.02,23290.0,0.0223
2015-05-21,16.55,16.32,17.0,16.0,117940.0,0.0042
2015-05-22,16.14,16.27,16.56,16.02,17360.0,-0.0248
2015-05-26,15.3,16.14,16.14,15.3,78500.0,-0.052000000000000005
2015-05-27,14.6,15.26,15.42,14.0,80120.0,-0.0458
