Date,Close,Open,High,Low,Volume,Change
2020-08-24,28.44,32.92,34.15,27.84,576090.0,-0.1449
2020-08-25,31.25,27.72,31.25,27.03,416440.0,0.09880000000000001
2020-08-26,30.28,31.32,31.34,30.1,234060.0,-0.031
2020-08-27,33.27,30.0,34.36,29.65,999570.0,0.0987
2020-08-28,33.28,33.27,34.43,30.75,290940.0,0.0003
2020-08-31,31.9,32.78,33.99,31.9,113650.0,-0.0415
2020-09-01,31.16,31.27,32.79,30.01,89360.0,-0.0232
2020-09-02,31.15,31.08,32.61,30.8,126570.0,-0.0003
2020-09-03,30.29,31.6,31.95,29.57,128490.00000000001,-0.0276
2020-09-04,29.55,30.27,30.35,29.32,85050.0,-0.024399999999999998
2020-09-08,27.28,29.36,31.27,26.87,251030.0,-0.0768
2020-09-09,26.1,27.99,28.32,25.43,136660.0,-0.0433
2020-09-10,29.23,26.06,30.1,25.56,215600.0,0.1199
2020-09-11,31.19,29.08,32.3,28.53,181020.0,0.06709999999999999
2020-09-14,32.78,31.19,32.9,30.5,87030.0,0.051
2020-09-15,30.51,31.65,32.0,30.22,169630.0,-0.0692
2020-09-16,29.92,30.08,31.44,29.0,139750.0,-0.019299999999999998
2020-09-17,29.02,29.58,29.8,28.62,322850.0,-0.0301
2020-09-18,30.64,29.09,30.96,28.8,118580.0,0.0558
2020-09-21,29.22,30.16,31.14,28.61,255600.0,-0.0463
2020-09-22,29.65,29.37,30.15,29.24,96290.0,0.0147
2020-09-23,29.98,29.84,30.43,28.95,97810.0,0.0111
2020-09-24,29.91,30.02,31.03,29.67,346100.0,-0.0023
2020-09-25,30.84,29.98,32.73,29.62,139310.0,0.0311
2020-09-28,30.79,30.83,31.89,30.51,159180.0,-0.0016
2020-09-29,31.54,30.82,32.47,30.82,67080.0,0.024399999999999998
2020-09-30,32.31,31.56,33.0,30.56,84460.0,0.024399999999999998
2020-10-01,29.08,32.57,32.94,28.52,329620.0,-0.1
2020-10-02,29.31,28.42,30.6,27.65,100500.0,0.0079
2020-10-05,28.07,29.6,30.36,28.0,111140.0,-0.042300000000000004
2020-10-06,28.92,28.22,30.13,28.22,68360.0,0.030299999999999997
2020-10-07,31.75,29.08,32.29,29.0,43670.0,0.09789999999999999
2020-10-08,33.5,31.7,35.12,31.6,140820.0,0.055099999999999996
2020-10-09,36.89,33.48,38.0,33.45,157270.0,0.1012
2020-10-12,37.25,37.26,39.17,36.14,194240.0,0.0098
2020-10-13,38.5,37.35,39.89,37.35,96760.0,0.0336
2020-10-14,36.76,38.85,39.5,35.61,122650.0,-0.0452
2020-10-15,38.8,36.09,39.6,36.09,80310.0,0.0555
2020-10-16,38.38,38.35,38.87,37.51,53830.0,-0.0108
2020-10-19,39.24,38.41,41.71,37.2,65300.0,0.022400000000000003
2020-10-20,38.07,39.24,39.96,38.06,34870.0,-0.0298
2020-10-21,34.57,38.59,38.6,34.13,112490.0,-0.0919
2020-10-22,35.01,34.73,37.89,33.02,74440.0,0.0127
2020-10-23,37.5,35.03,39.99,35.03,57600.0,0.0711
2020-10-26,36.5,37.6,38.67,35.46,92830.0,-0.026699999999999998
2020-10-27,37.75,36.05,38.65,36.05,123360.0,0.0342
2020-10-28,36.07,37.25,37.6,36.07,33900.0,-0.044500000000000005
2020-10-29,36.45,36.26,37.0,35.64,36730.0,0.0105
2020-10-30,35.99,36.55,37.15,34.5,50710.0,-0.0126
2020-11-02,36.18,36.67,37.14,36.1,55870.0,0.0053
2020-11-03,36.84,36.38,37.55,35.87,45240.0,0.0182
2020-11-04,40.44,37.08,40.92,37.05,127290.0,0.0977
2020-11-05,43.71,40.99,45.34,40.99,111320.0,0.0809
2020-11-06,43.95,44.13,44.7,42.81,120300.0,0.0055000000000000005
2020-11-09,44.8,45.21,47.27,43.35,72210.0,0.019299999999999998
2020-11-10,46.34,44.8,48.2,43.89,107660.0,0.0344
2020-11-11,46.96,46.79,49.66,46.59,108880.0,0.0134
2020-11-12,45.06,46.26,48.24,44.53,154880.0,-0.0405
2020-11-13,46.13,45.79,46.72,44.96,132050.0,0.023700000000000002
2020-11-16,46.6,46.68,47.08,44.9,108780.0,0.0102
2020-11-17,51.36,46.45,52.08,46.03,97540.0,0.10210000000000001
2020-11-18,51.2,52.2,53.49,50.39,84540.0,-0.0031
2020-11-19,50.12,51.67,52.15,49.76,86640.0,-0.021099999999999997
2020-11-20,49.86,50.65,50.65,48.4,60100.0,-0.0052
2020-11-23,47.84,50.0,50.0,46.02,82840.0,-0.0405
2020-11-24,45.81,49.0,49.93,44.76,101910.0,-0.0424
2020-11-25,47.2,47.17,48.06,45.68,86650.0,0.030299999999999997
2020-11-27,48.03,47.86,49.0,46.79,72690.0,0.0176
2020-11-30,46.64,48.27,49.11,46.02,248220.0,-0.028900000000000002
2020-12-01,47.04,46.47,51.22,46.47,257190.0,0.0086
2020-12-02,51.9,47.18,55.0,46.14,208040.0,0.1033
2020-12-03,50.56,52.53,53.65,50.11,168420.0,-0.0258
2020-12-04,53.47,54.0,55.34,51.5,74510.0,0.0576
2020-12-07,49.7,54.17,55.24,49.42,121460.0,-0.0705
2020-12-08,55.88,51.42,56.37,49.72,209530.0,0.1243
2020-12-09,55.66,56.74,59.89,54.72,184290.0,-0.0039000000000000003
2020-12-10,60.83,55.03,63.71,54.82,132980.0,0.0929
2020-12-11,61.97,60.14,65.35,58.97,179200.0,0.0187
2020-12-14,67.13,64.01,69.74,64.01,274100.0,0.0833
2020-12-15,62.97,68.76,69.5,62.04,209220.0,-0.062
2020-12-16,63.61,64.19,68.33,62.83,171920.0,0.0102
2020-12-17,66.48,64.99,69.0,63.33,311510.0,0.0451
2020-12-18,71.51,67.34,75.24,65.72,1730000.0,0.0757
2020-12-21,74.48,68.0,74.52,64.0,243780.0,0.0415
2020-12-22,77.1,74.48,79.32,72.99,238630.0,0.0352
2020-12-23,80.58,77.49,81.4,75.96,106810.0,0.0451
2020-12-24,86.1,80.7,87.08,79.36,86550.0,0.06849999999999999
2020-12-28,87.83,88.02,91.92,83.17,206400.0,0.020099999999999996
2020-12-29,74.0,87.54,87.77,73.54,211160.0,-0.1575
2020-12-30,71.85,74.43,77.88,68.01,155070.0,-0.0291
2020-12-31,62.0,70.91,70.91,60.0,288380.0,-0.1371
2021-01-04,61.63,62.48,62.78,59.45,200780.0,-0.006
2021-01-05,62.49,61.99,64.34,59.52,188260.0,0.013999999999999999
2021-01-06,66.43,62.96,66.97,61.96,123910.0,0.06309999999999999
2021-01-07,73.31,67.58,73.9,66.04,201850.0,0.1036
2021-01-08,77.15,74.63,83.03,72.26,311030.0,0.0524
2021-01-11,76.52,76.74,81.09,75.0,167620.0,-0.008199999999999999
2021-01-12,77.03,76.24,77.52,71.68,114810.0,0.0067
2021-01-13,79.6,76.55,84.66,76.55,159700.0,0.0334
2021-01-14,81.3,79.58,87.85,79.58,157560.0,0.021400000000000002
2021-01-15,77.51,80.99,84.57,76.4,79230.0,-0.0466
2021-01-19,85.46,79.67,87.13,77.17,134810.0,0.1026
