Date,Close,Open,High,Low,Volume,Change
2013-11-08,13.04,12.67,13.47,12.49,208600.0,0.0109
2013-11-11,13.26,13.0,13.63,12.95,67800.0,0.0169
2013-11-12,12.72,13.29,13.4,12.65,266560.0,-0.0407
2013-11-13,13.05,13.19,13.79,12.28,132250.0,0.0259
2013-11-14,13.42,13.74,13.74,13.12,159320.0,0.028399999999999998
2013-11-15,13.56,13.7,13.7,13.43,17780.0,0.0104
2013-11-18,13.54,13.6,13.66,13.27,91780.0,-0.0015
2013-11-19,13.52,13.5,13.6,13.23,49480.0,-0.0015
2013-11-20,13.64,13.4,13.64,13.4,14340.0,0.0089
2013-11-21,14.15,13.67,14.46,13.66,155100.0,0.0374
2013-11-22,13.91,14.2,14.2,13.59,19570.0,-0.017
2013-11-25,14.04,13.8,14.24,13.72,30900.0,0.009300000000000001
2013-11-26,14.72,14.04,15.03,13.99,95240.0,0.0484
2013-11-27,15.49,15.31,16.03,14.81,265060.0,0.052300000000000006
2013-11-29,15.4,15.88,15.98,15.01,35250.0,-0.0058
2013-12-02,15.18,15.43,15.97,14.67,125580.0,-0.0143
2013-12-03,15.36,15.25,16.21,14.94,100400.0,0.011899999999999999
2013-12-04,15.8,15.36,16.0,15.36,182400.0,0.0286
2013-12-05,16.38,15.93,16.78,15.16,265710.0,0.036699999999999997
2013-12-06,16.95,16.4,17.5,16.2,138990.0,0.0348
2013-12-09,17.23,17.34,17.58,16.65,110620.0,0.0165
2013-12-10,17.17,17.48,17.48,16.74,77140.0,-0.0034999999999999996
2013-12-11,16.48,17.24,17.24,16.37,79000.0,-0.04019999999999999
2013-12-12,16.5,16.56,16.92,16.35,54240.0,0.0012
2013-12-13,16.61,16.57,17.31,16.57,111540.0,0.0067
2013-12-16,17.08,16.9,17.3,16.36,83350.0,0.028300000000000002
2013-12-17,17.18,17.3,17.3,16.73,99920.0,0.0059
2013-12-18,17.3,17.31,17.53,16.55,292460.0,0.006999999999999999
2013-12-19,17.98,17.57,18.4,17.5,198610.0,0.0393
2013-12-20,18.23,18.39,18.45,17.75,1620000.0,0.0139
2013-12-23,18.08,18.52,18.85,17.85,111220.0,-0.008199999999999999
2013-12-24,18.09,18.43,18.43,17.81,27940.0,0.0006
2013-12-26,18.14,18.15,18.27,18.0,41390.0,0.0028000000000000004
2013-12-27,18.1,18.11,18.43,18.0,30250.0,-0.0022
2013-12-30,17.68,18.16,18.16,17.6,130240.00000000001,-0.0232
2013-12-31,17.79,17.6,17.86,17.6,66060.0,0.0062
2014-01-02,17.6,18.06,18.06,17.31,56030.0,-0.010700000000000001
2014-01-03,17.91,18.0,18.05,17.6,105210.0,0.0176
2014-01-06,17.52,18.04,18.1,17.41,57210.0,-0.0218
2014-01-07,17.53,17.62,17.81,17.41,46990.0,0.0006
2014-01-08,17.72,17.5,17.92,17.5,106080.0,0.0108
2014-01-09,17.68,17.74,17.84,17.5,74950.0,-0.0023
2014-01-10,17.81,17.69,17.95,17.69,62820.0,0.0074
2014-01-13,17.83,17.8,17.89,17.7,115940.0,0.0011
2014-01-14,17.67,17.8,17.88,17.59,76590.0,-0.009000000000000001
2014-01-15,17.79,17.68,17.95,17.59,33000.0,0.0068000000000000005
2014-01-16,17.79,17.75,17.88,17.53,32340.000000000004,0.0
2014-01-17,18.91,17.71,19.27,17.71,159270.0,0.063
2014-01-21,18.01,19.5,20.75,17.76,208060.0,-0.047599999999999996
2014-01-22,18.2,17.88,18.63,17.8,60490.0,0.0105
2014-01-23,18.11,18.03,18.3,17.82,41060.0,-0.0049
2014-01-24,17.45,18.0,18.42,17.25,78980.0,-0.0364
2014-01-27,17.02,17.42,17.44,16.48,85760.0,-0.0246
2014-01-28,17.12,17.02,17.5,16.94,46400.0,0.0059
2014-01-29,16.95,16.87,17.33,16.87,50050.0,-0.009899999999999999
2014-01-30,17.12,17.04,17.91,17.0,38360.0,0.01
2014-01-31,17.42,16.89,17.7,16.5,132120.0,0.0175
2014-02-03,17.09,17.43,18.15,16.35,92480.0,-0.0189
2014-02-04,17.0,17.15,17.59,16.77,50580.0,-0.0053
2014-02-05,16.68,16.96,17.28,16.56,36590.0,-0.018799999999999997
2014-02-06,16.46,16.62,16.71,16.38,35180.0,-0.0132
2014-02-07,16.52,16.5,16.83,16.21,59220.0,0.0036
2014-02-10,16.17,16.42,16.49,15.76,55470.0,-0.0212
2014-02-11,16.77,16.18,17.2,16.18,66550.0,0.0371
2014-02-12,16.43,16.84,16.9,16.29,16620.0,-0.0203
2014-02-13,17.0,16.38,17.12,16.27,23480.0,0.0347
2014-02-14,16.58,17.01,17.02,16.58,12940.0,-0.024700000000000003
2014-02-18,15.9,16.77,16.89,15.79,62430.0,-0.040999999999999995
2014-02-19,15.97,15.79,16.1,15.76,31220.0,0.0044
2014-02-20,16.77,15.91,16.97,15.87,32930.0,0.0501
2014-02-21,16.16,16.86,16.89,16.04,30790.0,-0.0364
2014-02-24,16.13,16.16,16.32,15.82,21800.0,-0.0019
2014-02-25,16.14,16.17,16.3,16.01,44070.0,0.0006
2014-02-26,16.5,16.17,16.98,16.17,90820.0,0.0223
2014-02-27,16.69,16.5,17.06,16.5,204580.0,0.0115
2014-02-28,17.0,16.74,17.2,16.69,56840.0,0.018600000000000002
2014-03-03,16.75,16.89,17.09,16.51,35490.0,-0.0147
2014-03-04,16.91,16.94,17.19,16.76,81420.0,0.0096
2014-03-05,16.61,17.0,17.07,16.58,53850.0,-0.0177
2014-03-06,16.56,16.6,16.99,16.33,51150.0,-0.003
2014-03-07,16.46,16.7,16.7,16.0,237860.0,-0.006
2014-03-10,16.66,16.41,16.86,16.32,177000.0,0.012199999999999999
2014-03-11,16.74,16.73,17.31,16.26,189560.0,0.0048
2014-03-12,16.65,16.72,16.74,16.22,113360.0,-0.0054
2014-03-13,16.76,16.77,16.96,16.45,94510.0,0.0066
2014-03-14,16.41,16.63,17.15,16.21,163200.0,-0.0209
2014-03-17,17.29,16.45,17.5,16.26,90830.0,0.0536
2014-03-18,17.38,17.37,17.6,16.96,59190.0,0.0052
2014-03-19,17.95,17.31,18.25,17.31,186570.0,0.032799999999999996
2014-03-20,17.96,18.05,18.19,17.82,61820.0,0.0006
2014-03-21,17.84,18.04,18.2,17.77,190230.0,-0.0067
2014-03-24,17.49,17.85,17.85,17.09,35520.0,-0.0196
2014-03-25,17.15,17.6,17.79,16.97,65980.0,-0.0194
2014-03-26,16.73,17.21,17.49,16.61,116670.0,-0.0245
2014-03-27,17.2,16.64,17.44,16.57,96850.0,0.0281
2014-03-28,18.09,17.35,18.15,16.84,78260.0,0.051699999999999996
2014-03-31,17.25,18.12,18.12,17.0,165200.0,-0.0464
2014-04-01,16.73,17.29,17.61,16.37,185280.0,-0.0301
2014-04-02,17.49,16.69,17.86,16.35,79680.0,0.0454
2014-04-03,16.86,17.8,17.81,16.42,108330.0,-0.036000000000000004
2014-04-04,17.19,16.9,17.33,16.76,147020.0,0.0196
2014-04-07,16.85,17.24,17.3,16.8,66780.0,-0.019799999999999998
2014-04-08,16.98,16.91,17.44,16.85,55160.0,0.0077
2014-04-09,17.15,17.09,17.37,16.5,65740.0,0.01
2014-04-10,16.73,17.16,17.16,16.41,67460.0,-0.0245
2014-04-11,16.5,16.69,17.09,16.47,78960.0,-0.0137
2014-04-14,16.53,16.61,16.87,16.21,93020.0,0.0018
2014-04-15,16.39,16.66,16.78,16.32,40100.0,-0.0085
2014-04-16,16.1,16.54,16.73,15.92,58310.0,-0.0177
