Date,Close,Open,High,Low,Volume,Change
2020-07-31,16.0,16.67,17.17,15.99,19530000.0,-0.0279
2020-08-03,16.36,16.26,17.0,15.77,11740000.0,0.0225
2020-08-04,16.69,16.55,16.84,15.95,7780000.0,0.0202
2020-08-05,16.75,16.65,17.0,16.41,4000000.0,0.0036
2020-08-06,18.5,16.76,19.88,16.63,14140000.0,0.1045
2020-08-07,16.89,17.75,19.33,16.6,7460000.0,-0.087
2020-08-10,16.42,17.41,17.75,16.13,7910000.0,-0.0278
2020-08-11,16.0,16.96,16.96,15.83,7340000.0,-0.0256
2020-08-12,15.66,16.24,16.24,15.15,5610000.0,-0.0213
2020-08-13,15.16,15.64,15.64,15.0,5380000.0,-0.0319
2020-08-14,14.6,15.35,15.36,14.31,5070000.0,-0.0369
2020-08-17,15.42,14.68,15.59,14.68,5300000.0,0.0562
2020-08-18,15.96,15.65,16.74,15.5,7160000.0,0.035
2020-08-19,15.04,15.98,16.07,15.02,3290000.0,-0.0576
2020-08-20,14.75,15.25,15.25,14.62,3140000.0,-0.019299999999999998
2020-08-21,15.02,14.94,15.5,14.76,4220000.0,0.0183
2020-08-24,17.09,16.45,17.2,15.89,19360000.0,0.1378
2020-08-25,18.23,17.74,18.84,17.68,22090000.0,0.0667
2020-08-26,23.38,19.09,24.44,19.09,31560000.0,0.2825
2020-08-27,19.38,22.0,22.12,19.3,29320000.0,-0.1711
2020-08-28,17.6,20.21,20.5,17.6,14730000.0,-0.09179999999999999
2020-08-31,16.3,17.92,18.78,16.21,18320000.0,-0.0739
2020-09-01,18.29,17.1,18.44,16.73,18140000.0,0.12210000000000001
2020-09-02,17.87,19.41,19.67,17.21,18420000.0,-0.023
2020-09-03,16.91,17.2,17.59,16.26,10210000.0,-0.0537
2020-09-04,16.83,17.08,17.9,16.04,11650000.0,-0.004699999999999999
2020-09-08,15.79,15.98,16.35,15.26,11070000.0,-0.061799999999999994
2020-09-09,15.8,16.49,16.92,15.79,9120000.0,0.0006
2020-09-10,16.05,16.17,16.72,15.88,5890000.0,0.0158
2020-09-11,16.21,16.19,16.7,16.05,3910000.0,0.01
2020-09-14,17.47,16.6,17.7,16.34,6430000.0,0.07769999999999999
2020-09-15,18.19,17.75,18.75,17.65,9380000.0,0.0412
2020-09-16,17.52,18.2,18.4,17.45,5740000.0,-0.0368
2020-09-17,17.26,16.76,17.61,16.7,3140000.0,-0.0148
2020-09-18,17.03,17.57,17.68,16.57,3820000.0,-0.013300000000000001
2020-09-21,16.43,16.5,16.85,16.0,4290000.0,-0.0352
2020-09-22,16.74,16.64,17.15,16.45,3040000.0,0.0189
2020-09-23,15.68,16.72,16.72,15.62,6600000.0,-0.0633
2020-09-24,15.09,15.57,15.96,15.04,6850000.0,-0.037599999999999995
2020-09-25,15.8,15.35,16.07,15.23,3640000.0,0.0471
2020-09-28,16.08,16.19,16.2,15.75,4720000.0,0.0177
2020-09-29,17.03,16.0,17.15,16.0,6060000.0,0.0591
2020-09-30,17.39,17.62,18.23,17.1,7620000.0,0.021099999999999997
2020-10-01,16.8,17.67,17.67,16.55,5430000.0,-0.0339
2020-10-02,16.92,16.25,18.0,16.2,8400000.0,0.0070999999999999995
2020-10-05,17.52,17.42,18.13,17.15,8140000.000000001,0.0355
2020-10-06,17.35,17.82,18.22,17.26,5660000.0,-0.0097
2020-10-07,17.77,17.6,18.05,17.44,3100000.0,0.0242
2020-10-08,17.93,17.98,18.28,17.74,3230000.0,0.009000000000000001
2020-10-09,17.6,18.03,18.36,17.5,3830000.0,-0.0184
2020-10-12,19.16,18.09,19.33,17.61,14000000.0,0.0886
2020-10-13,19.43,18.71,19.7,18.54,7890000.0,0.0141
2020-10-14,20.78,20.16,21.85,20.16,16810000.0,0.0695
2020-10-15,20.5,20.29,21.41,19.8,11750000.0,-0.013500000000000002
2020-10-16,19.77,20.86,21.12,19.64,7460000.0,-0.0356
2020-10-19,19.18,20.27,20.35,18.97,6440000.0,-0.0298
2020-10-20,20.49,19.22,20.76,19.09,7620000.0,0.0683
2020-10-21,19.39,20.28,21.1,19.36,8400000.0,-0.0537
2020-10-22,18.98,20.0,20.01,18.72,6340000.0,-0.021099999999999997
2020-10-23,18.4,18.9,18.99,18.31,3620000.0,-0.030600000000000002
2020-10-26,19.08,18.4,19.26,18.4,5670000.0,0.037000000000000005
2020-10-27,19.21,18.9,19.6,18.63,4300000.0,0.0068000000000000005
2020-10-28,18.69,18.68,19.08,17.93,6230000.0,-0.0271
2020-10-29,20.62,19.31,21.4,19.17,14660000.0,0.1033
2020-10-30,20.17,20.49,21.72,20.07,11960000.0,-0.0218
2020-11-02,22.88,21.76,23.29,21.37,24940000.0,0.1344
2020-11-03,24.05,23.4,24.17,22.07,15560000.0,0.051100000000000007
2020-11-04,25.31,25.69,27.65,24.07,28970000.0,0.0524
2020-11-05,28.09,27.17,28.46,26.0,32299999.999999996,0.10980000000000001
2020-11-06,26.46,27.59,28.32,25.3,32689999.999999996,-0.057999999999999996
2020-11-09,26.3,26.2,26.47,25.3,14750000.0,-0.006
2020-11-10,25.24,25.85,26.46,23.19,16860000.0,-0.0403
2020-11-11,24.97,24.1,25.24,23.11,11900000.0,-0.010700000000000001
2020-11-12,31.78,27.13,32.72,26.42,86210000.0,0.2727
2020-11-13,31.2,38.76,40.81,30.11,170280000.0,-0.0183
2020-11-16,35.55,31.4,36.97,31.2,85860000.0,0.1394
2020-11-17,35.05,37.89,37.89,34.5,45850000.0,-0.0141
2020-11-18,35.49,35.08,36.65,33.5,28210000.0,0.0126
2020-11-19,36.74,35.64,37.29,34.91,27080000.0,0.0352
2020-11-20,38.12,37.03,39.87,36.3,41860000.0,0.037599999999999995
2020-11-23,43.64,41.5,44.1,40.92,63690000.0,0.1448
2020-11-24,43.96,47.56,47.68,41.5,64680000.00000001,0.0073
2020-11-25,40.72,39.46,41.83,38.75,40990000.0,-0.0737
2020-11-27,39.48,40.28,42.15,38.28,26500000.0,-0.0305
2020-11-30,35.99,38.52,38.52,35.0,29780000.0,-0.08839999999999999
2020-12-01,34.86,39.19,39.35,34.23,41770000.0,-0.031400000000000004
2020-12-02,34.75,31.99,35.7,31.0,43740000.0,-0.0032
2020-12-03,32.31,35.55,36.5,32.18,32570000.0,-0.0702
2020-12-04,30.53,30.97,32.04,30.5,51990000.0,-0.055099999999999996
2020-12-07,31.49,30.15,32.77,29.74,34830000.0,0.031400000000000004
2020-12-08,33.31,33.94,34.73,32.82,33170000.0,0.057800000000000004
2020-12-09,32.03,34.15,34.59,31.29,23730000.0,-0.0384
2020-12-10,32.49,31.28,33.07,30.95,16469999.999999998,0.0144
2020-12-11,31.36,32.2,32.99,31.06,13630000.0,-0.0348
2020-12-14,31.33,31.72,32.08,30.43,15150000.0,-0.001
2020-12-15,32.15,31.95,33.07,31.3,18070000.0,0.0262
2020-12-16,31.36,32.43,32.47,31.02,11780000.0,-0.0246
2020-12-17,30.69,31.45,31.68,30.25,15190000.0,-0.021400000000000002
2020-12-18,31.77,31.01,32.25,30.72,22150000.0,0.0352
2020-12-21,32.86,31.31,33.7,31.19,20320000.0,0.034300000000000004
2020-12-22,31.29,33.5,33.56,30.65,17060000.0,-0.0478
2020-12-23,30.56,31.29,31.42,29.49,14670000.0,-0.0233
2020-12-24,29.32,30.29,30.38,29.14,13410000.0,-0.0406
2020-12-28,27.01,29.71,29.71,26.9,22950000.0,-0.0788
2020-12-29,28.67,27.26,28.98,26.54,18390000.0,0.061500000000000006
2020-12-30,29.06,29.25,29.41,28.6,17020000.0,0.013600000000000001
2020-12-31,28.83,29.33,30.15,28.76,15560000.0,-0.0079
2021-01-04,32.46,30.24,33.0,29.65,46630000.0,0.1259
2021-01-05,30.99,32.4,32.69,30.5,24020000.0,-0.0453
2021-01-06,31.76,31.29,33.48,30.8,30000000.0,0.0248
2021-01-07,35.09,33.13,35.26,32.88,26230000.0,0.1048
2021-01-08,34.3,37.1,37.19,33.19,30250000.0,-0.0225
2021-01-11,32.79,34.32,35.04,32.36,24670000.0,-0.044000000000000004
2021-01-12,36.75,32.35,37.18,32.35,34310000.0,0.1208
2021-01-13,35.55,36.12,36.64,34.54,18760000.0,-0.0327
2021-01-14,34.7,35.45,36.23,34.53,14690000.0,-0.0239
2021-01-15,32.6,34.26,34.76,32.35,16620000.000000002,-0.0605
2021-01-19,35.44,33.9,35.98,33.54,28460000.0,0.08710000000000001
2021-01-20,35.6,36.78,37.65,33.9,26120000.0,0.0045000000000000005
2021-01-21,35.37,35.5,36.16,34.06,14520000.0,-0.006500000000000001
2021-01-22,34.44,34.8,35.32,33.96,20410000.0,-0.0263
2021-01-25,31.99,35.08,35.1,31.8,37030000.0,-0.0711
2021-01-26,32.5,33.1,33.84,32.1,33540000.0,0.0159
2021-01-27,31.56,31.9,32.48,31.09,23230000.0,-0.028900000000000002
2021-01-28,32.21,31.17,32.38,30.65,17980000.0,0.0206
2021-01-29,32.25,32.41,33.28,31.58,12490000.0,0.0012
2021-02-01,32.04,32.87,32.88,31.12,12270000.0,-0.006500000000000001
2021-02-02,30.2,31.15,31.79,29.56,28700000.0,-0.0574
2021-02-03,30.73,30.08,31.08,29.58,15960000.0,0.0175
2021-02-04,30.84,30.85,31.39,30.61,10590000.0,0.0036
2021-02-05,30.4,30.94,30.97,30.09,12200000.0,-0.0143
2021-02-08,30.36,30.3,30.52,29.79,12370000.0,-0.0013
2021-02-09,31.87,30.26,32.27,29.86,21650000.0,0.049699999999999994
2021-02-10,31.5,31.94,33.3,31.31,23780000.0,-0.0116
2021-02-11,31.99,31.76,32.65,31.4,14920000.0,0.015600000000000001
2021-02-12,31.85,31.59,32.43,31.2,8160000.0,-0.0044
