Date,Close,Open,High,Low,Volume,Change
2020-11-24,10.6,11.47,11.602,10.55,452740.0,0.005699999999999999
2020-11-25,10.65,10.84,10.95,10.55,564540.0,0.004699999999999999
2020-11-27,11.0,11.2,11.4,10.8,881430.0,0.0329
2020-11-30,11.31,11.59,12.0,10.7,2240000.0,0.0282
2020-12-01,11.0,11.3,11.35,10.8,747620.0,-0.0274
2020-12-02,10.97,10.55,11.02,10.55,768900.0,-0.0027
2020-12-03,10.89,10.91,11.05,10.81,524740.0,-0.0073
2020-12-04,11.08,10.79,11.18,10.69,1260000.0,0.0174
2020-12-07,11.52,11.48,11.63,11.11,1590000.0,0.0397
2020-12-08,11.2,11.63,11.8,11.15,1110000.0,-0.0278
2020-12-09,11.47,11.25,12.02,11.2,2060000.0,0.0241
2020-12-10,11.4,11.6,11.75,11.3,893220.0,-0.0060999999999999995
2020-12-11,12.93,12.7,14.0,11.91,4940000.0,0.13419999999999999
2020-12-14,12.62,13.44,13.68,12.4,2180000.0,-0.024
2020-12-15,11.8,12.325,12.325,11.46,2140000.0,-0.065
2020-12-16,11.95,11.78,12.05,11.54,1100000.0,0.0127
2020-12-17,11.92,11.8,12.15,11.75,581390.0,-0.0025
2020-12-18,12.23,11.8,12.542,11.8,789940.0,0.026000000000000002
2020-12-21,12.45,12.2,12.45,11.87,894970.0,0.018000000000000002
2020-12-22,12.48,12.7,12.81,12.3,1070000.0,0.0024
2020-12-23,12.88,12.5,12.89,12.5,1330000.0,0.0321
2020-12-24,13.15,12.99,13.69,12.9,1360000.0,0.021
2020-12-28,13.05,13.5,13.82,12.85,1660000.0,-0.0076
2020-12-29,12.38,12.54,12.839,11.9,1240000.0,-0.0513
2020-12-30,12.42,12.5,12.7,12.318,540960.0,0.0032
2020-12-31,12.29,12.31,12.372,11.97,933130.0,-0.0105
2021-01-04,12.49,12.67,12.75,12.19,1330000.0,0.0163
2021-01-05,12.77,12.04,12.877,12.04,908510.0,0.022400000000000003
2021-01-06,12.5,12.5,12.722000000000001,12.3,1170000.0,-0.021099999999999997
2021-01-07,12.69,12.48,12.75,12.21,737180.0,0.0152
2021-01-08,12.66,12.34,12.68,12.32,2049999.9999999998,-0.0024
2021-01-11,12.3,12.45,12.53,12.1,1230000.0,-0.028399999999999998
2021-01-12,12.19,11.36,12.2,11.33,4520000.0,-0.0089
2021-01-13,13.1,11.77,13.9,11.7,5410000.0,0.0747
2021-01-14,13.81,13.0,13.81,12.75,1630000.0,0.0542
2021-01-15,13.36,13.65,13.96,12.93,1070000.0,-0.0326
2021-01-19,14.19,13.35,15.07,12.98,3160000.0,0.0621
2021-01-20,13.83,14.19,14.21,13.66,1030000.0,-0.0254
2021-01-21,14.35,13.8,14.4,13.5,787400.0,0.037599999999999995
2021-01-22,14.27,14.25,14.34,13.565,1180000.0,-0.005600000000000001
2021-01-25,13.66,14.44,14.475,13.3,1040000.0,-0.042699999999999995
2021-01-26,13.64,13.5,14.1,13.154000000000002,1050000.0,-0.0015
2021-01-27,12.25,13.01,13.095,12.14,1890000.0,-0.10189999999999999
2021-01-28,12.73,12.4,12.88,12.06,1440000.0,0.0392
2021-01-29,12.66,12.42,12.73,11.89,1630000.0,-0.0055000000000000005
2021-02-01,13.25,12.87,13.25,12.5,1130000.0,0.0466
2021-02-02,14.15,13.3,14.8,12.94,1210000.0,0.0679
2021-02-03,13.43,13.5,14.0,13.28,634180.0,-0.0509
2021-02-04,13.17,13.35,13.6,13.07,622520.0,-0.0194
2021-02-05,13.97,13.5,14.14,13.03,1490000.0,0.060700000000000004
2021-02-08,14.27,14.1,15.53,14.01,1570000.0,0.0215
2021-02-09,13.79,14.15,14.15,13.583,560450.0,-0.0336
2021-02-10,13.61,13.71,13.77,13.21,626940.0,-0.0131
2021-02-11,13.62,13.65,13.79,13.04,574560.0,0.0007000000000000001
2021-02-12,13.41,13.72,13.76,13.27,630190.0,-0.0154
2021-02-16,13.2,13.84,14.09,13.06,993140.0,-0.015700000000000002
