Date,Close,Open,High,Low,Volume,Change
1992-06-18,7.81,7.94,7.94,7.5,421400.0,-0.016399999999999998
1992-06-19,7.88,7.88,7.94,7.75,453400.0,0.009000000000000001
1992-06-22,7.62,7.88,7.88,7.56,597200.0,-0.033
1992-06-23,7.69,7.62,7.75,7.62,853800.0,0.0092
1992-06-24,7.56,7.69,7.75,7.5,357600.0,-0.0169
1992-06-25,7.69,7.69,7.81,7.69,785000.0,0.0172
1992-06-26,7.75,7.69,7.75,7.62,435000.0,0.0078000000000000005
1992-06-29,7.81,7.69,7.81,7.62,386600.0,0.0077
1992-06-30,8.06,7.81,8.06,7.81,884400.0,0.032
1992-07-01,7.88,7.88,7.94,7.81,552600.0,-0.0223
1992-07-02,8.06,7.94,8.06,7.69,1790000.0,0.022799999999999997
1992-07-06,7.75,7.94,7.94,7.69,580400.0,-0.0385
1992-07-07,7.31,7.81,7.81,7.19,1150000.0,-0.056799999999999996
1992-07-08,6.94,7.38,7.38,6.81,1190000.0,-0.0506
1992-07-09,7.31,6.94,7.31,6.94,2140000.0,0.0533
1992-07-10,7.12,7.19,7.25,7.06,866200.0,-0.026000000000000002
1992-07-13,7.19,7.12,7.25,7.12,846600.0,0.0098
1992-07-14,7.25,7.12,7.25,7.12,990000.0,0.0083
1992-07-15,7.31,7.25,7.38,7.25,1080000.0,0.0083
1992-07-16,7.19,7.25,7.31,7.12,2690000.0,-0.016399999999999998
1992-07-17,7.31,7.06,7.31,7.06,840400.0,0.0167
1992-07-20,7.12,6.94,7.19,6.88,1230000.0,-0.026000000000000002
1992-07-21,7.12,7.0,7.25,7.0,1280000.0,0.0
1992-07-22,7.38,6.94,7.56,6.94,2740000.0,0.0365
1992-07-23,7.31,7.31,7.5,7.31,2200000.0,-0.0095
1992-07-24,7.44,7.25,7.5,7.25,1400000.0,0.0178
1992-07-27,7.5,7.44,7.56,7.31,1310000.0,0.008100000000000001
1992-07-28,7.5,7.44,7.56,7.38,1130000.0,0.0
1992-07-29,7.38,7.5,7.56,7.25,1700000.0,-0.016
1992-07-30,7.5,7.44,7.5,7.25,912800.0,0.0163
1992-07-31,7.56,7.44,7.56,7.44,1310000.0,0.008
1992-08-03,7.69,7.5,7.69,7.44,1620000.0,0.0172
1992-08-04,7.75,7.69,7.81,7.69,1460000.0,0.0078000000000000005
1992-08-05,7.75,7.75,7.81,7.75,492000.0,0.0
1992-08-06,7.62,7.69,7.75,7.5,1280000.0,-0.0168
1992-08-07,7.5,7.44,7.56,7.44,306200.0,-0.015700000000000002
1992-08-10,7.44,7.31,7.5,7.25,593000.0,-0.008
1992-08-11,7.25,7.44,7.44,7.25,1800000.0,-0.0255
1992-08-12,7.25,7.44,7.5,7.12,1590000.0,0.0
1992-08-13,7.5,7.31,7.56,7.31,1100000.0,0.0345
1992-08-14,7.88,7.5,7.94,7.5,1480000.0,0.0507
1992-08-17,7.94,7.75,8.0,7.75,1460000.0,0.0076
1992-08-18,8.0,8.0,8.19,7.94,1660000.0,0.0076
1992-08-19,7.94,8.0,8.12,7.88,928000.0,-0.0075
1992-08-20,8.06,8.0,8.06,8.0,370400.0,0.0151
1992-08-21,8.25,8.0,8.31,8.0,3770000.0,0.0236
1992-08-24,8.06,7.94,8.19,7.94,2089999.9999999998,-0.023
1992-08-25,8.12,8.12,8.19,7.94,1170000.0,0.0074
1992-08-26,8.19,8.06,8.19,8.0,1350000.0,0.0086
1992-08-27,8.12,8.19,8.25,8.12,764400.0,-0.0085
1992-08-28,8.06,8.06,8.12,8.0,516799.99999999994,-0.0074
1992-08-31,8.06,8.12,8.12,8.06,304000.0,0.0
1992-09-01,8.0,8.0,8.12,7.94,1070000.0,-0.0074
1992-09-02,7.88,7.94,8.0,7.81,1150000.0,-0.015
1992-09-03,7.81,7.88,7.94,7.81,474800.0,-0.0089
1992-09-04,7.69,7.88,7.88,7.69,461600.0,-0.0154
1992-09-08,7.69,7.75,7.81,7.69,693800.0,0.0
1992-09-09,7.94,7.75,7.94,7.75,474200.0,0.0325
1992-09-10,7.94,8.0,8.06,7.88,867200.0,0.0
1992-09-11,7.94,8.0,8.06,7.88,856600.0,0.0
1992-09-14,8.25,8.06,8.25,8.06,1090000.0,0.039
1992-09-15,8.06,8.06,8.19,8.06,1040000.0,-0.023
1992-09-16,8.12,8.0,8.12,7.88,864000.0,0.0074
1992-09-17,8.12,8.12,8.12,8.0,660000.0,0.0
1992-09-18,8.19,8.12,8.19,8.06,1350000.0,0.0086
1992-09-21,8.12,8.12,8.19,8.06,491200.0,-0.0085
1992-09-22,8.06,8.12,8.19,8.06,1030000.0,-0.0074
1992-09-23,7.94,8.0,8.06,7.81,714800.0,-0.0149
1992-09-24,8.12,7.94,8.19,7.94,639400.0,0.0227
1992-09-25,8.12,8.12,8.12,8.0,438800.0,0.0
1992-09-28,8.19,8.06,8.19,8.06,217600.0,0.0086
1992-09-29,8.06,8.19,8.19,8.06,313000.0,-0.0159
1992-09-30,8.0,8.12,8.12,7.94,675200.0,-0.0074
1992-10-01,7.88,7.94,8.0,7.75,727800.0,-0.015
1992-10-02,7.88,7.88,8.0,7.75,376000.0,0.0
1992-10-05,7.81,7.81,7.88,7.44,815800.0,-0.0089
1992-10-06,7.75,7.75,7.81,7.5,600800.0,-0.0077
1992-10-07,7.94,7.81,8.0,7.75,491400.0,0.0245
1992-10-08,8.0,7.94,8.06,7.94,327400.0,0.0076
1992-10-09,7.62,7.94,7.94,7.62,628200.0,-0.0475
1992-10-12,7.56,7.69,7.75,7.5,629600.0,-0.0079
1992-10-13,7.69,7.56,7.75,7.56,1430000.0,0.0172
1992-10-14,7.69,7.62,7.81,7.56,941200.0,0.0
1992-10-15,7.56,7.62,7.75,7.56,944000.0,-0.0169
1992-10-16,7.62,7.56,7.62,7.56,404800.0,0.0079
1992-10-19,7.88,7.62,7.88,7.62,336200.0,0.0341
1992-10-20,7.88,7.94,8.06,7.81,1020000.0,0.0
1992-10-21,7.88,7.88,7.88,7.81,297000.0,0.0
1992-10-22,7.75,7.88,7.94,7.62,648800.0,-0.0165
1992-10-23,7.75,7.62,7.75,7.62,455400.0,0.0
1992-10-26,7.81,7.75,7.88,7.75,757600.0,0.0077
1992-10-27,7.94,7.88,8.0,7.81,611600.0,0.0166
1992-10-28,8.0,7.94,8.0,7.88,1490000.0,0.0076
1992-10-29,7.81,7.94,7.94,7.81,442000.0,-0.023799999999999998
1992-10-30,7.88,7.88,7.94,7.81,786200.0,0.009000000000000001
1992-11-02,7.94,7.94,8.0,7.88,529000.0,0.0076
1992-11-03,7.94,7.94,8.06,7.94,1010000.0,0.0
1992-11-04,7.94,7.94,7.94,7.88,338000.0,0.0
1992-11-05,8.06,7.88,8.06,7.88,1020000.0,0.0151
1992-11-06,8.12,7.94,8.25,7.94,1850000.0,0.0074
1992-11-09,8.25,8.06,8.44,8.06,1270000.0,0.016
1992-11-10,8.38,8.25,8.56,8.25,2570000.0,0.0158
1992-11-11,8.5,8.44,8.5,8.38,974400.0,0.0143
1992-11-12,8.31,8.44,8.44,8.25,1500000.0,-0.022400000000000003
1992-11-13,8.38,8.25,8.38,8.19,654600.0,0.0084
1992-11-16,8.12,8.38,8.38,8.06,2220000.0,-0.031
1992-11-17,8.06,8.12,8.19,8.0,2029999.9999999998,-0.0074
1992-11-18,8.25,8.06,8.31,8.06,807200.0,0.0236
1992-11-19,8.25,8.19,8.31,8.12,1040000.0,0.0
1992-11-20,8.25,8.31,8.31,8.12,1950000.0,0.0
1992-11-23,8.0,8.19,8.25,8.0,1570000.0,-0.030299999999999997
1992-11-24,8.12,8.06,8.25,8.06,470400.0,0.015
1992-11-25,8.31,8.25,8.38,8.19,1020000.0,0.023399999999999997
1992-11-27,8.38,8.31,8.38,8.31,747800.0,0.0084
1992-11-30,8.25,8.38,8.44,8.25,998000.0,-0.0155
1992-12-01,8.19,8.25,8.38,8.12,2410000.0,-0.0073
1992-12-02,8.31,8.19,8.38,8.12,1940000.0,0.0147
1992-12-03,8.25,8.31,8.44,8.25,1450000.0,-0.0072
1992-12-04,8.38,8.38,8.44,8.31,1610000.0,0.0158
1992-12-07,8.38,8.31,8.44,8.25,884800.0,0.0
1992-12-08,8.31,8.25,8.31,8.25,1180000.0,-0.0084
1992-12-09,8.25,8.31,8.38,8.25,815000.0,-0.0072
1992-12-10,8.44,8.25,8.5,8.25,1170000.0,0.023
1992-12-11,8.31,8.31,8.38,8.25,461600.0,-0.0154
1992-12-14,8.12,8.31,8.38,8.12,967400.0,-0.0229
1992-12-15,8.0,7.88,8.0,7.81,2200000.0,-0.0148
1992-12-16,8.12,8.0,8.19,8.0,834600.0,0.015
1992-12-17,8.38,8.06,8.44,8.06,1130000.0,0.032
1992-12-18,8.31,8.38,8.38,8.19,1560000.0,-0.0084
1992-12-21,8.25,8.38,8.38,8.25,901000.0,-0.0072
1992-12-22,8.25,8.31,8.44,8.19,1960000.0,0.0
1992-12-23,8.25,8.31,8.38,8.25,474600.0,0.0
1992-12-24,8.25,8.25,8.31,8.19,447800.0,0.0
1992-12-28,8.12,8.12,8.19,7.94,1950000.0,-0.0158
1992-12-29,8.12,8.12,8.25,8.12,482400.0,0.0
1992-12-30,8.25,8.12,8.25,8.12,591000.0,0.016
1992-12-31,8.38,8.19,8.38,8.19,1020000.0,0.0158
1993-01-04,8.19,8.31,8.38,8.19,1190000.0,-0.0227
1993-01-05,8.25,8.19,8.38,8.12,878600.0,0.0073
1993-01-06,8.44,8.31,8.5,8.25,564400.0,0.023
1993-01-07,8.56,8.44,8.75,8.44,3070000.0,0.014199999999999999
1993-01-08,8.44,8.5,8.69,8.38,1080000.0,-0.013999999999999999
1993-01-11,8.62,8.38,8.62,8.31,1450000.0,0.0213
1993-01-12,8.56,8.56,8.56,8.44,1040000.0,-0.006999999999999999
1993-01-13,8.5,8.56,8.62,8.5,905800.0,-0.006999999999999999
1993-01-14,8.56,8.5,8.62,8.5,704800.0,0.0070999999999999995
1993-01-15,8.38,8.56,8.56,8.31,1570000.0,-0.021
1993-01-18,8.38,8.38,8.44,8.38,521600.0,0.0
1993-01-19,8.62,8.38,8.62,8.38,1420000.0,0.0286
1993-01-20,8.62,8.5,8.69,8.38,1810000.0,0.0
1993-01-21,8.62,8.62,8.69,8.5,2220000.0,0.0
1993-01-22,8.38,8.56,8.62,8.38,2590000.0,-0.0278
1993-01-25,8.56,8.44,8.62,8.38,2630000.0,0.0215
1993-01-26,8.56,8.62,8.75,8.5,1380000.0,0.0
1993-01-27,8.44,8.5,8.56,8.31,3020000.0,-0.013999999999999999
1993-01-28,8.38,8.31,8.44,8.25,1310000.0,-0.0070999999999999995
1993-01-29,8.31,8.38,8.44,8.19,1790000.0,-0.0084
1993-02-01,8.44,8.38,8.44,8.31,490600.0,0.015600000000000001
1993-02-02,8.5,8.44,8.56,8.38,1110000.0,0.0070999999999999995
1993-02-03,8.5,8.5,8.62,8.5,1260000.0,0.0
1993-02-04,8.56,8.56,8.62,8.44,1060000.0,0.0070999999999999995
1993-02-05,8.56,8.62,8.81,8.56,1070000.0,0.0
1993-02-08,8.88,8.69,8.88,8.69,2290000.0,0.0374
1993-02-09,8.75,8.75,8.81,8.62,1720000.0,-0.0146
1993-02-10,8.94,8.75,9.0,8.75,1820000.0,0.0217
1993-02-11,8.81,8.94,9.0,8.81,596200.0,-0.014499999999999999
1993-02-12,8.88,8.88,8.94,8.88,425200.0,0.0079
1993-02-16,8.56,8.88,8.94,8.56,1180000.0,-0.036000000000000004
1993-02-17,8.44,8.62,8.62,8.38,1200000.0,-0.013999999999999999
1993-02-18,8.25,8.75,8.75,8.25,2240000.0,-0.0225
1993-02-19,8.44,8.38,8.56,8.31,732000.0,0.023
1993-02-22,8.38,8.56,8.56,8.38,697200.0,-0.0070999999999999995
1993-02-23,8.38,8.38,8.5,8.38,556400.0,0.0
1993-02-24,8.38,8.38,8.5,8.31,1200000.0,0.0
1993-02-25,8.44,8.38,8.44,8.31,763600.0,0.0072
1993-02-26,8.56,8.44,8.56,8.31,810000.0,0.014199999999999999
1993-03-01,8.38,8.44,8.56,8.31,545200.0,-0.021
1993-03-02,8.5,8.38,8.5,8.31,595600.0,0.0143
1993-03-03,8.44,8.38,8.5,8.38,727000.0,-0.0070999999999999995
1993-03-04,8.5,8.44,8.5,8.38,946400.0,0.0070999999999999995
1993-03-05,8.5,8.5,8.62,8.44,992200.0,0.0
1993-03-08,8.81,8.56,8.94,8.5,635600.0,0.0365
1993-03-09,8.56,8.75,8.75,8.56,416600.0,-0.028399999999999998
1993-03-10,8.69,8.56,8.75,8.5,644200.0,0.0152
1993-03-11,8.62,8.69,8.69,8.62,411000.0,-0.008100000000000001
1993-03-12,8.5,8.62,8.62,8.44,554000.0,-0.0139
1993-03-15,8.62,8.62,8.69,8.5,682600.0,0.0141
1993-03-16,8.5,8.62,8.62,8.5,471800.0,-0.0139
1993-03-17,8.75,8.56,8.81,8.5,860400.0,0.0294
1993-03-18,8.69,8.75,8.81,8.62,417200.0,-0.0069
1993-03-19,8.69,8.75,8.75,8.69,451400.0,0.0
1993-03-22,8.75,8.62,8.75,8.5,550800.0,0.0069
1993-03-23,8.94,8.75,9.0,8.75,717200.0,0.0217
1993-03-24,8.81,9.0,9.0,8.75,740400.0,-0.014499999999999999
1993-03-25,8.81,8.81,8.94,8.69,714200.0,0.0
1993-03-26,8.94,8.88,9.0,8.81,646200.0,0.0148
1993-03-29,9.06,8.94,9.12,8.94,582000.0,0.0134
1993-03-30,9.0,9.0,9.06,8.94,544600.0,-0.0066
1993-03-31,8.81,9.0,9.06,8.38,505400.0,-0.021099999999999997
1993-04-01,8.56,8.81,8.88,8.5,478600.0,-0.028399999999999998
1993-04-02,8.38,8.5,8.56,8.38,565600.0,-0.021
1993-04-05,8.5,8.38,8.56,8.38,528400.0,0.0143
1993-04-06,8.31,8.5,8.56,8.31,713400.0,-0.022400000000000003
1993-04-07,8.38,8.44,8.5,8.38,615400.0,0.0084
