Date,Close,Open,High,Low,Volume,Change
2015-10-20,64.15,70.3,70.95,63.75,1100000.0,-0.0827
2015-10-21,64.04,65.15,66.81,64.02,561450.0,-0.0017000000000000001
2015-10-22,61.92,64.26,64.54,61.06,499140.0,-0.0331
2015-10-23,64.98,63.47,65.4,62.76,565820.0,0.049400000000000006
2015-10-26,65.24,64.59,65.38,63.28,411520.0,0.004
2015-10-27,65.54,65.2,65.6,64.59,363580.0,0.0046
2015-10-28,67.8,65.45,67.83,65.01,640130.0,0.0345
2015-10-29,65.55,67.76,68.5,65.5,372270.0,-0.0332
2015-10-30,66.28,65.45,66.52,64.81,312870.0,0.0111
2015-11-02,66.83,66.27,66.86,65.27,406240.0,0.0083
2015-11-03,66.91,67.0,67.7,66.05,253570.0,0.0012
2015-11-04,65.75,67.09,67.78,65.22,351250.0,-0.0173
2015-11-05,65.21,65.98,65.98,64.26,136800.0,-0.008199999999999999
2015-11-06,65.49,64.62,65.68,63.63,369360.0,0.0043
2015-11-09,64.24,65.32,65.34,63.75,403360.0,-0.0191
2015-11-10,63.29,64.12,64.23,62.5,620380.0,-0.0148
2015-11-11,63.19,63.83,63.98,62.59,293850.0,-0.0016
2015-11-12,57.56,61.5,61.5,56.79,1280000.0,-0.0891
2015-11-13,56.52,58.49,58.82,56.24,539460.0,-0.0181
2015-11-16,56.26,56.73,56.99,55.53,438770.0,-0.0046
2015-11-17,56.26,56.68,56.68,55.02,380230.0,0.0
2015-11-18,56.07,56.0,56.69,55.54,450370.0,-0.0034000000000000002
2015-11-19,56.15,56.0,56.57,55.42,459120.0,0.0014000000000000002
2015-11-20,57.37,56.25,57.7,55.71,328050.0,0.0217
2015-11-23,58.23,57.6,58.53,57.01,284790.0,0.015
2015-11-24,60.19,57.82,60.71,57.05,399010.0,0.0337
2015-11-25,60.93,60.0,61.39,59.69,230490.0,0.0123
2015-11-27,61.91,61.15,62.08,60.62,225710.0,0.0161
2015-11-30,59.85,61.3,61.62,59.54,694940.0,-0.0333
2015-12-01,59.22,60.3,60.95,59.16,356730.0,-0.0105
2015-12-02,60.26,58.9,60.44,58.65,359350.0,0.0176
2015-12-03,60.36,60.26,60.94,58.78,400780.0,0.0017000000000000001
2015-12-04,62.38,60.43,62.55,59.67,357240.0,0.0335
2015-12-07,58.83,61.75,62.25,58.06,843220.0,-0.056900000000000006
2015-12-08,56.92,58.75,59.55,56.52,1400000.0,-0.0325
2015-12-09,56.36,56.82,56.95,55.94,653700.0,-0.0098
2015-12-10,56.51,56.39,56.92,54.92,369630.0,0.0027
2015-12-11,54.06,55.36,56.25,53.92,517350.0,-0.0434
2015-12-14,54.46,54.26,54.89,53.13,373200.0,0.0074
2015-12-15,54.06,55.01,56.37,53.48,297610.0,-0.0073
2015-12-16,55.19,54.42,55.56,53.95,374830.0,0.0209
2015-12-17,55.85,55.57,56.4,55.01,407000.0,0.012
2015-12-18,58.24,55.54,58.44,55.25,1840000.0,0.042800000000000005
2015-12-21,58.86,58.54,59.69,58.01,299160.0,0.0106
2015-12-22,60.09,59.27,60.09,58.8,209430.0,0.0209
2015-12-23,60.55,60.36,61.0,59.89,195140.0,0.0077
2015-12-24,60.58,60.78,60.98,60.16,64700.0,0.0005
2015-12-28,60.25,60.23,60.54,59.38,152130.0,-0.0054
2015-12-29,59.73,60.52,60.7,59.3,156570.0,-0.0086
2015-12-30,59.97,59.77,60.56,59.08,200920.0,0.004
2015-12-31,59.37,59.91,60.53,59.36,200680.0,-0.01
2016-01-04,56.34,58.44,58.44,56.07,269890.0,-0.051
2016-01-05,55.97,56.62,57.35,53.59,808310.0,-0.0066
2016-01-06,55.62,55.05,56.1,55.05,161900.0,-0.0063
2016-01-07,54.21,54.74,55.24,53.62,210800.0,-0.0254
2016-01-08,52.74,54.44,54.8,52.66,184500.0,-0.0271
2016-01-11,55.47,53.4,55.57,53.29,548300.0,0.0518
2016-01-12,54.26,55.82,56.0,54.01,301830.0,-0.0218
2016-01-13,53.13,54.5,54.64,52.67,238080.0,-0.0208
2016-01-14,53.05,53.1,54.1,52.01,240970.0,-0.0015
2016-01-15,53.34,51.81,53.42,51.75,287730.0,0.0055000000000000005
2016-01-19,52.76,53.81,54.79,52.33,306730.0,-0.0109
2016-01-20,53.48,52.0,54.25,51.5,399080.0,0.013600000000000001
2016-01-21,52.11,53.65,53.8,51.28,456610.0,-0.0256
2016-01-22,53.23,52.78,53.38,52.42,221420.0,0.0215
2016-01-25,53.79,53.21,54.56,52.97,157930.0,0.0105
2016-01-26,54.19,53.93,54.85,53.2,199350.0,0.0074
2016-01-27,52.64,53.73,54.1,52.46,153050.0,-0.0286
2016-01-28,51.76,53.11,54.45,51.33,152990.0,-0.0167
2016-01-29,55.98,51.84,56.02,51.59,461490.0,0.0815
2016-02-01,57.62,55.37,58.4,54.96,391410.0,0.029300000000000003
2016-02-02,55.28,56.93,57.63,55.1,284250.0,-0.0406
2016-02-03,57.61,55.86,57.68,54.23,287810.0,0.0421
2016-02-04,57.2,57.21,58.98,57.01,278730.0,-0.0070999999999999995
2016-02-05,55.28,56.9,56.9,54.25,424530.0,-0.0336
2016-02-08,55.03,54.75,55.4,54.01,488260.0,-0.0045000000000000005
2016-02-09,54.37,54.29,54.97,53.76,385740.0,-0.012
2016-02-10,54.68,54.59,55.83,54.22,389250.0,0.005699999999999999
2016-02-11,55.02,53.68,55.52,53.52,213980.0,0.0062
2016-02-12,55.8,55.79,56.36,54.52,197200.0,0.014199999999999999
2016-02-16,57.06,56.24,57.42,55.91,283090.0,0.0226
2016-02-17,59.4,57.36,59.6,57.36,216470.0,0.040999999999999995
2016-02-18,58.71,59.29,60.24,58.6,270890.0,-0.0116
2016-02-19,59.02,58.57,59.45,58.12,166080.0,0.0053
2016-02-22,59.59,59.21,60.49,59.21,237260.0,0.0097
2016-02-23,58.62,59.16,59.93,58.17,473540.0,-0.0163
2016-02-24,59.16,58.12,60.3,57.3,717950.0,0.0092
2016-02-25,58.0,58.98,59.2,57.36,482060.0,-0.0196
2016-02-26,57.09,58.22,58.22,56.63,305840.0,-0.015700000000000002
2016-02-27,57.02,57.03,57.03,57.02,267110.0,-0.0012
2016-02-29,56.44,56.63,57.99,56.41,289260.0,-0.0102
2016-03-01,55.95,56.75,57.5,55.69,310030.0,-0.0087
2016-03-02,57.5,55.66,58.5,55.66,683690.0,0.0277
2016-03-03,57.75,57.6,58.18,57.3,298680.0,0.0043
2016-03-04,57.94,57.88,58.47,57.18,271230.0,0.0033
2016-03-07,57.73,57.67,57.91,57.04,197390.0,-0.0036
