Date,Close,Open,High,Low,Volume,Change
2015-07-24,19.26,18.9,20.35,18.82,386700.0,0.01
2015-07-27,19.5,19.32,19.9,19.25,240730.0,0.0125
2015-07-28,19.8,20.0,20.26,19.59,90180.0,0.0154
2015-07-29,20.54,20.05,21.25,20.05,173320.0,0.0374
2015-07-30,20.15,20.5,20.55,20.05,114050.0,-0.019
2015-07-31,20.16,20.14,20.5,20.06,147580.0,0.0005
2015-08-03,20.17,20.39,20.5,20.04,158420.0,0.0005
2015-08-04,20.36,20.0,20.39,19.68,166410.0,0.009399999999999999
2015-08-05,20.65,20.35,20.99,20.06,133590.0,0.014199999999999999
2015-08-06,20.61,20.5,20.75,20.5,22510.0,-0.0019
2015-08-07,20.21,20.6,20.6,20.08,19550.0,-0.0194
2015-08-10,19.99,20.44,20.5,19.59,267160.0,-0.0109
2015-08-11,20.14,19.79,20.47,19.74,68800.0,0.0075
2015-08-12,20.09,20.0,20.45,19.79,42200.0,-0.0025
2015-08-13,19.92,19.66,20.4,19.66,26200.0,-0.0085
2015-08-14,19.22,20.25,20.25,18.81,101860.0,-0.0351
2015-08-17,19.52,19.15,20.05,18.86,107580.0,0.015600000000000001
2015-08-18,19.82,19.6,20.18,19.55,52080.0,0.0154
2015-08-19,19.85,19.85,20.0,19.75,96170.0,0.0015
2015-08-20,19.52,19.91,20.0,19.44,125060.0,-0.0166
2015-08-21,19.11,19.5,19.76,19.02,91940.0,-0.021
2015-08-24,18.62,18.33,19.1,18.0,71500.0,-0.0256
2015-08-25,19.15,19.28,19.46,18.88,38910.0,0.0285
2015-08-26,19.68,19.46,19.7,19.0,64489.99999999999,0.0277
2015-08-27,19.5,19.5,20.21,19.14,40510.0,-0.0091
2015-08-28,19.36,19.5,19.58,18.94,61960.0,-0.0072
2015-08-31,19.27,19.36,19.5,19.14,86190.0,-0.0046
2015-09-01,19.27,19.1,19.5,19.1,106800.0,0.0
2015-09-02,19.25,19.44,19.45,19.02,126970.0,-0.001
2015-09-03,19.36,19.33,19.5,19.13,59910.0,0.005699999999999999
2015-09-04,18.78,19.31,19.33,18.3,319350.0,-0.03
2015-09-08,19.46,19.15,19.5,18.95,62320.0,0.0362
2015-09-09,18.9,19.46,19.46,18.66,74720.0,-0.0288
2015-09-10,19.08,19.01,19.45,18.45,59740.0,0.0095
2015-09-11,19.14,19.13,19.17,18.57,63180.0,0.0031
2015-09-14,19.42,19.07,19.56,18.94,120230.0,0.0146
2015-09-15,19.7,19.48,19.7,19.32,65150.00000000001,0.0144
2015-09-16,19.71,19.72,20.04,19.67,69480.0,0.0005
2015-09-17,19.7,19.81,19.9,19.63,67390.0,-0.0005
2015-09-18,19.51,19.7,19.8,19.25,328410.0,-0.0096
2015-09-21,19.77,19.78,19.86,19.7,50040.0,0.013300000000000001
2015-09-22,19.92,19.7,19.95,19.61,38570.0,0.0076
2015-09-23,19.89,19.97,20.15,19.42,34880.0,-0.0015
2015-09-24,20.09,19.78,20.15,19.54,40800.0,0.0101
2015-09-25,19.8,20.24,20.24,19.52,57160.0,-0.0144
2015-09-28,19.97,19.66,20.14,19.66,116900.0,0.0086
2015-09-29,20.01,20.0,20.14,19.88,87690.0,0.002
2015-09-30,19.64,20.0,20.12,19.5,835930.0,-0.018500000000000003
2015-10-01,19.34,19.71,19.9,19.08,176480.0,-0.015300000000000001
2015-10-02,18.86,19.22,19.22,18.68,71680.0,-0.0248
2015-10-05,19.0,18.96,19.08,18.8,47110.0,0.0074
2015-10-06,18.55,19.11,19.11,18.49,41410.0,-0.023700000000000002
2015-10-07,18.58,18.6,18.73,18.31,110400.0,0.0016
2015-10-08,18.48,18.51,18.57,18.16,78170.0,-0.0054
2015-10-09,19.3,18.56,19.5,18.56,134550.0,0.0444
2015-10-12,19.11,19.3,19.43,18.99,32240.000000000004,-0.0098
2015-10-13,18.74,19.03,19.21,18.7,33450.0,-0.0194
2015-10-14,18.59,18.81,18.83,18.36,50560.0,-0.008
2015-10-15,18.55,18.63,18.88,18.44,75210.0,-0.0022
2015-10-16,18.08,18.63,18.65,18.02,56670.0,-0.0253
2015-10-19,17.48,18.04,18.15,17.44,130039.99999999999,-0.0332
2015-10-20,17.55,17.32,18.1,17.26,184910.0,0.004
2015-10-21,16.91,17.55,17.7,16.73,268420.0,-0.0365
2015-10-22,16.01,17.0,17.09,15.7,643950.0,-0.053200000000000004
2015-10-23,16.42,16.25,16.5,15.86,74160.0,0.0256
2015-10-26,16.36,16.25,16.48,16.08,185000.0,-0.0037
2015-10-27,15.48,16.3,16.38,15.35,291320.0,-0.0538
2015-10-28,15.51,15.67,16.14,15.22,180410.0,0.0019
