Date,Close,Open,High,Low,Volume,Change
2017-10-06,13800,14200,14200,13600,1200000.0,-0.0282
2017-10-09,13900,13800,14000,13700,1020000.0,0.0072
2017-10-10,13700,13900,14000,13600,1370000.0,-0.0144
2017-10-11,13100,13800,13800,12900,1930000.0,-0.0438
2017-10-12,12700,13100,13100,12500,1500000.0,-0.0305
2017-10-13,12200,12500,12800,12100,2000000.0,-0.0394
2017-10-16,12600,12100,13200,12000,2080000.0,0.032799999999999996
2017-10-17,13400,12700,13400,12700,2350000.0,0.0635
2017-10-18,13300,13300,13700,13300,1920000.0,-0.0075
2017-10-19,13000,13300,13300,12900,1670000.0,-0.0226
2017-10-20,13000,13100,13100,12800,716310.0,0.0
2017-10-23,12600,13000,13000,12600,989690.0,-0.0308
2017-10-24,13000,12600,13200,12500,2300000.0,0.0317
2017-10-25,13600,13000,13700,13000,4450000.0,0.0462
2017-10-26,13600,13500,13700,13400,4780000.0,0.0
2017-10-27,13500,13500,13600,13400,917450.0,-0.0074
2017-10-30,13300,13500,13500,13200,1160000.0,-0.0148
2017-10-31,13000,13200,13200,13000,998100.0,-0.0226
2017-11-01,13100,13100,13100,12900,1830000.0,0.0077
2017-11-02,13000,13100,13100,12900,1440000.0,-0.0076
2017-11-03,12800,13000,13000,12700,1310000.0,-0.0154
2017-11-06,12700,12600,12900,12500,1720000.0,-0.0078000000000000005
2017-11-07,12500,12800,12800,12400,3470000.0,-0.015700000000000002
2017-11-08,12900,12600,13000,12500,3420000.0,0.032
2017-11-09,13200,12900,13400,12900,2029999.9999999998,0.0233
2017-11-10,12164,12257,12444,12164,2310000.0,-0.0785
2017-11-13,12164,12257,12257,11977,1770000.0,0.0
2017-11-14,12600,12700,12900,12300,1420000.0,0.0358
2017-11-15,12800,12300,12800,12300,1200000.0,0.0159
2017-11-16,13300,12700,13500,12700,3650000.0,0.0391
2017-11-17,13000,13300,13400,12900,1430000.0,-0.0226
2017-11-20,12900,13100,13100,12800,1380000.0,-0.0077
2017-11-21,13000,13000,13100,12800,1440000.0,0.0078000000000000005
2017-11-22,13100,12700,13200,12700,2570000.0,0.0077
2017-11-23,13200,13300,13400,13100,2180000.0,0.0076
2017-11-24,13300,13200,13300,13000,2080000.0,0.0076
2017-11-27,13900,13300,14000,13200,5380000.0,0.0451
2017-11-28,13600,13800,14100,13600,7630000.0,-0.0216
2017-11-29,13300,13700,13700,13300,1840000.0,-0.022099999999999998
2017-11-30,13400,13400,13600,13300,1150000.0,0.0075
2017-12-01,13000,13400,13400,12900,2500000.0,-0.029900000000000003
2017-12-04,13100,13000,13300,13000,1390000.0,0.0077
2017-12-05,13000,13200,13200,13000,897600.0,-0.0076
2017-12-06,12900,13000,13100,12900,1710000.0,-0.0077
2017-12-07,12900,13000,13000,12800,1190000.0,0.0
2017-12-08,13100,13000,13200,12900,1690000.0,0.0155
2017-12-11,13400,13200,13600,13100,2580000.0,0.0229
2017-12-12,13300,13500,13500,12900,1310000.0,-0.0075
