Date,Close,Open,High,Low,Volume,Change
2000-04-10,9.12,10.38,10.69,9.0,805800.0,-0.04
2000-04-11,8.25,8.69,8.88,8.0,382500.0,-0.09539999999999998
2000-04-12,8.06,8.5,8.62,7.88,141800.0,-0.023
2000-04-13,8.0,8.0,8.25,8.0,107300.0,-0.0074
2000-04-14,8.02,8.0,8.19,8.0,267300.0,0.0025
2000-04-17,8.0,8.0,8.03,7.88,243700.0,-0.0025
2000-04-18,8.06,8.0,8.12,8.0,187200.0,0.0075
2000-04-19,8.12,8.0,8.25,8.0,96400.0,0.0074
2000-04-20,8.12,8.25,8.25,8.0,49400.0,0.0
2000-04-24,8.02,8.0,8.12,7.94,58400.0,-0.0123
2000-04-25,8.0,8.25,8.25,7.88,28400.0,-0.0025
2000-04-26,6.0,8.0,8.12,5.38,78800.0,-0.25
2000-04-27,6.12,6.12,6.5,5.88,74100.0,0.02
2000-04-28,6.25,6.5,6.62,5.5,593900.0,0.0212
2000-05-01,6.25,6.5,6.88,6.25,176300.0,0.0
2000-05-02,6.88,6.28,6.88,6.12,128800.00000000001,0.1008
2000-05-03,7.75,7.44,8.12,7.44,289400.0,0.1265
2000-05-04,8.12,7.75,8.25,7.5,108200.0,0.04769999999999999
2000-05-05,7.75,8.12,8.12,7.75,116300.0,-0.045599999999999995
2000-05-08,7.75,8.0,8.0,7.5,14300.0,0.0
2000-05-09,7.94,7.84,8.06,7.62,17700.0,0.0245
2000-05-10,7.38,8.06,8.06,7.38,39500.0,-0.0705
2000-05-11,7.56,7.5,7.75,7.5,30100.0,0.024399999999999998
2000-05-12,7.25,7.62,7.75,6.88,13300.0,-0.040999999999999995
2000-05-15,6.88,7.0,7.5,6.0,72700.0,-0.051
2000-05-16,8.0,7.5,8.06,6.88,106000.0,0.1628
2000-05-17,8.0,8.0,8.12,7.81,404800.0,0.0
2000-05-18,7.5,8.06,8.12,7.0,17400.0,-0.0625
2000-05-19,8.0,7.56,8.0,7.38,10200.0,0.0667
2000-05-22,7.75,7.91,8.0,7.69,14300.0,-0.0313
2000-05-23,7.5,7.81,7.88,7.0,15600.0,-0.0323
2000-05-24,6.98,7.0,7.5,6.88,43800.0,-0.0693
2000-05-25,7.25,6.81,7.5,6.81,46400.0,0.0387
2000-05-26,7.62,7.22,7.75,7.22,8000.0,0.051
2000-05-30,7.88,7.69,7.88,7.62,14000.0,0.0341
2000-05-31,7.62,7.75,7.91,7.62,53500.0,-0.033
2000-06-01,7.75,7.94,7.94,7.44,213500.0,0.0171
