Date,Close,Open,High,Low,Volume,Change
2021-06-18,16.2,16.55,16.57,15.99,448020.0,-0.0409
2021-06-21,16.66,16.1,16.88,15.12,698380.0,0.028399999999999998
2021-06-22,16.6,16.74,16.87,16.0,486050.0,-0.0036
2021-06-23,16.55,16.36,16.85,16.0,2360000.0,-0.003
2021-06-24,16.0,16.58,16.64,15.5,383370.0,-0.0332
2021-06-25,15.99,15.9,16.15,15.8,126360.0,-0.0006
2021-06-28,16.56,15.91,16.94,15.82,217650.0,0.0356
2021-06-29,16.32,16.47,16.73,16.01,643380.0,-0.014499999999999999
2021-06-30,16.24,16.2,16.4,16.0,461890.0,-0.0049
2021-07-01,16.01,16.1,16.37,15.73,747380.0,-0.014199999999999999
2021-07-02,16.03,15.95,16.17,15.11,330640.0,0.0012
2021-07-06,15.51,16.03,16.03,15.2,701590.0,-0.032400000000000005
2021-07-07,15.38,15.46,15.59,15.0,332010.0,-0.0084
2021-07-08,15.25,15.11,16.0,14.98,521820.00000000006,-0.0085
2021-07-09,15.88,15.21,16.29,15.02,442640.0,0.041299999999999996
2021-07-12,16.27,16.0,16.92,15.7,695920.0,0.0246
2021-07-13,16.22,16.01,16.8,15.86,439680.0,-0.0031
2021-07-14,16.67,16.48,16.75,16.29,384980.0,0.0277
2021-07-15,16.07,16.64,16.99,15.83,714280.0,-0.036000000000000004
2021-07-16,16.91,16.12,17.35,15.99,760400.0,0.052300000000000006
2021-07-19,16.45,16.71,17.25,16.41,123500.0,-0.027200000000000002
2021-07-20,16.7,16.53,17.15,16.53,102960.0,0.0152
2021-07-21,15.7,16.83,16.93,15.36,331150.0,-0.0599
2021-07-22,15.57,15.77,16.1,15.17,221160.0,-0.0083
2021-07-23,14.43,15.57,16.05,14.3,241810.0,-0.0732
2021-07-26,14.55,14.5,15.16,14.11,297660.0,0.0083
2021-07-27,14.41,14.66,14.98,14.0,250790.0,-0.0096
2021-07-28,13.51,14.46,14.61,13.11,289710.0,-0.0625
2021-07-29,13.97,13.62,14.32,13.46,290840.0,0.034
2021-07-30,14.5,13.93,14.73,13.75,207730.0,0.0379
2021-08-02,14.72,15.77,15.77,14.28,266210.0,0.0152
2021-08-03,15.55,14.79,15.73,14.43,97380.0,0.0564
2021-08-04,15.72,15.55,16.23,15.45,158970.0,0.0109
2021-08-05,16.29,15.74,16.7,15.64,189820.0,0.0363
2021-08-06,15.64,16.27,16.33,15.5,393490.0,-0.039900000000000005
2021-08-09,15.03,15.51,15.51,14.85,441950.0,-0.039
2021-08-10,14.82,14.91,15.15,14.53,139800.0,-0.013999999999999999
2021-08-11,14.41,14.89,14.91,14.41,175770.0,-0.0277
2021-08-12,14.28,14.5,14.9,14.0,134440.0,-0.009000000000000001
2021-08-13,14.81,14.34,15.0,14.28,141700.0,0.0371
2021-08-16,14.08,14.83,14.83,13.75,154110.0,-0.0493
2021-08-17,14.73,14.06,14.86,13.76,100970.0,0.0462
2021-08-18,14.87,14.66,15.18,14.29,136180.0,0.0095
2021-08-19,14.54,14.84,15.18,14.01,226940.0,-0.0222
2021-08-20,15.14,14.51,15.4,14.4,200360.0,0.041299999999999996
2021-08-23,15.61,15.28,16.2,15.24,165620.0,0.031
2021-08-24,15.48,15.65,15.7,15.28,57300.0,-0.0083
2021-08-25,15.5,15.47,15.86,15.18,61030.0,0.0013
2021-08-26,15.29,15.51,16.28,14.98,268510.0,-0.013500000000000002
2021-08-27,16.23,15.33,16.9,15.05,207380.0,0.061500000000000006
2021-08-30,15.78,16.33,17.0,15.74,209940.0,-0.0277
2021-08-31,15.79,15.87,16.32,15.66,124010.0,0.0006
2021-09-01,16.1,15.78,16.83,15.32,209340.0,0.0196
2021-09-02,16.7,16.19,16.86,15.97,146690.0,0.0373
2021-09-03,16.48,16.7,16.7,16.25,299350.0,-0.0132
2021-09-07,17.0,16.71,19.84,16.7,3030000.0,0.0316
2021-09-08,17.05,16.96,17.35,15.98,732700.0,0.0029
2021-09-09,16.86,16.85,17.54,16.77,458860.0,-0.0111
2021-09-10,17.95,17.06,18.16,15.06,758730.0,0.0647
2021-09-13,16.05,17.75,17.75,13.25,2110000.0,-0.1058
2021-09-14,14.51,15.88,16.04,14.08,403760.0,-0.096
2021-09-15,13.18,14.51,14.51,13.18,695560.0,-0.0917
2021-09-16,11.66,13.41,13.85,11.61,1090000.0,-0.1153
2021-09-17,11.81,12.0,12.61,11.37,4090000.0,0.0129
2021-09-20,11.03,11.52,11.65,10.62,1010000.0,-0.066
2021-09-21,11.0,11.11,11.41,10.88,394160.0,-0.0027
2021-09-22,11.29,11.0,11.45,10.86,332210.0,0.0264
2021-09-23,11.23,11.28,11.4,10.98,349780.0,-0.0053
2021-09-24,12.28,11.3,12.4,11.12,258329.99999999997,0.0935
2021-09-27,12.84,11.99,13.16,11.88,461220.0,0.045599999999999995
2021-09-28,14.12,12.84,14.35,12.35,1080000.0,0.09970000000000001
2021-09-29,14.56,13.92,14.58,13.71,322300.0,0.031200000000000002
2021-09-30,14.8,14.56,15.01,14.11,575800.0,0.0165
2021-10-01,13.29,14.5,14.5,12.69,649110.0,-0.102
