Date,Close,Open,High,Low,Volume,Change
2021-07-01,38.5,36.7,39.9,36.0,3200000.0,0.0172
2021-07-02,38.94,38.49,40.94,38.08,1160000.0,0.011399999999999999
2021-07-06,38.07,39.29,40.0,38.04,739150.0,-0.0223
2021-07-07,36.75,38.22,39.79,36.72,1200000.0,-0.0347
2021-07-08,36.92,35.01,37.65,35.01,876710.0,0.0046
2021-07-09,36.38,37.36,37.85,36.0,234480.0,-0.0146
2021-07-12,36.53,36.82,37.67,36.41,202790.0,0.0040999999999999995
2021-07-13,37.89,36.83,38.15,36.44,172320.0,0.037200000000000004
2021-07-14,36.97,37.89,38.26,36.74,304560.0,-0.024300000000000002
2021-07-15,36.0,36.96,37.3,35.15,413960.0,-0.0262
2021-07-16,36.45,36.36,36.77,34.87,254600.0,0.0125
2021-07-19,35.34,36.37,36.39,35.08,167590.0,-0.0305
2021-07-20,38.18,35.3,38.99,34.51,545860.0,0.08039999999999999
2021-07-21,38.0,38.11,38.89,37.35,230000.0,-0.004699999999999999
2021-07-22,39.07,38.02,39.31,37.22,205760.0,0.0282
2021-07-23,37.9,40.01,40.3,37.59,436100.0,-0.029900000000000003
2021-07-26,36.0,38.88,39.7,36.0,273070.0,-0.0501
2021-07-27,35.01,35.85,36.95,34.75,309290.0,-0.0275
2021-07-28,35.39,35.12,37.07,34.9,232260.0,0.0109
2021-07-29,36.41,35.92,36.89,35.9,211060.0,0.0288
2021-07-30,36.78,36.27,36.95,35.33,158720.0,0.0102
2021-08-02,37.43,36.98,38.32,36.53,349130.0,0.0177
2021-08-03,37.56,37.72,38.3,36.18,425370.0,0.0034999999999999996
2021-08-04,38.99,37.32,39.14,37.14,223970.0,0.0381
2021-08-05,39.0,39.07,39.4,38.35,183540.0,0.0003
2021-08-06,39.0,39.12,39.38,38.51,269590.0,0.0
2021-08-09,38.96,39.01,39.4,38.67,254070.0,-0.001
2021-08-10,39.85,39.08,40.71,38.32,562770.0,0.022799999999999997
2021-08-11,36.34,39.75,39.75,36.1,576750.0,-0.08810000000000001
2021-08-12,35.0,36.42,37.38,34.93,536970.0,-0.0369
2021-08-13,34.84,35.0,36.43,34.72,1300000.0,-0.0046
2021-08-16,34.05,34.93,35.2,33.61,858860.0,-0.0227
2021-08-17,34.35,34.05,34.7,33.09,999640.0,0.0088
2021-08-18,33.72,34.2,34.2,33.25,524130.0,-0.0183
2021-08-19,33.84,33.4,34.41,32.51,584430.0,0.0036
2021-08-20,36.39,33.8,36.82,33.26,480360.0,0.0754
2021-08-23,34.81,36.04,36.58,34.31,281250.0,-0.0434
2021-08-24,36.18,34.81,36.43,34.71,141210.0,0.0394
2021-08-25,36.85,36.22,37.06,35.7,350900.0,0.018500000000000003
2021-08-26,34.84,36.8,36.94,34.63,211240.0,-0.0545
2021-08-27,35.1,34.9,35.2,34.1,211070.0,0.0075
2021-08-30,34.47,35.24,35.4,34.36,420290.0,-0.0179
2021-08-31,34.23,34.37,34.92,34.0,356350.0,-0.006999999999999999
2021-09-01,34.41,34.23,34.85,34.17,375780.0,0.0053
2021-09-02,36.19,34.86,36.38,34.77,476340.0,0.051699999999999996
2021-09-03,35.91,36.47,36.47,35.21,175490.0,-0.0077
2021-09-07,34.4,35.98,36.15,34.03,453730.0,-0.042
2021-09-08,34.46,34.4,35.21,33.75,427070.0,0.0017000000000000001
2021-09-09,35.16,34.44,35.35,34.12,308840.0,0.0203
2021-09-10,35.02,35.42,35.82,34.48,309800.0,-0.004
2021-09-13,34.55,35.18,35.18,33.82,499130.0,-0.0134
2021-09-14,34.31,34.42,35.37,34.26,234960.0,-0.0069
2021-09-15,36.13,34.37,36.31,34.17,568530.0,0.053
2021-09-16,36.21,36.13,36.6,35.6,248200.0,0.0022
2021-09-17,35.26,36.0,36.43,34.7,2570000.0,-0.0262
2021-09-20,32.75,34.5,34.8,32.01,1130000.0,-0.0712
2021-09-21,30.78,32.93,33.35,30.42,756180.0,-0.0602
2021-09-22,29.73,30.73,30.91,29.34,930720.0,-0.0341
2021-09-23,28.45,29.8,30.28,28.28,688920.0,-0.0431
2021-09-24,26.25,28.35,28.35,26.21,1320000.0,-0.07730000000000001
2021-09-27,27.25,26.18,27.4,24.83,1200000.0,0.0381
2021-09-28,26.21,27.0,27.0,25.7,673810.0,-0.0382
2021-09-29,26.72,26.4,26.97,26.24,597310.0,0.0195
2021-09-30,26.4,26.95,27.07,26.22,608440.0,-0.012
2021-10-01,25.73,26.22,26.5,24.96,1610000.0,-0.0254
