Date,Close,Open,High,Low,Volume,Change
1998-04-24,6.14,6.0,6.41,5.59,4250000.0,0.1225
1998-04-27,5.67,6.09,6.12,5.38,3010000.0,-0.0765
1998-04-28,5.59,6.12,6.22,5.59,1850000.0,-0.0141
1998-04-29,5.66,5.75,5.81,5.41,1180000.0,0.0125
1998-04-30,5.66,5.75,5.88,5.56,830800.0,0.0
1998-05-01,5.56,5.72,5.75,5.5,330000.0,-0.0177
1998-05-04,5.59,5.59,5.66,5.5,534400.0,0.0054
1998-05-05,5.56,5.62,5.62,5.56,373600.0,-0.0054
1998-05-06,5.5,5.56,5.62,5.38,291200.0,-0.0108
1998-05-07,4.91,5.44,5.44,4.88,1060000.0,-0.1073
1998-05-08,5.41,5.03,5.5,4.97,763200.0,0.1018
1998-05-11,5.09,5.38,5.42,5.06,279200.0,-0.0591
1998-05-12,4.91,5.12,5.12,4.7,1970000.0,-0.0354
1998-05-13,4.95,4.81,5.12,4.75,585600.0,0.008100000000000001
1998-05-14,4.7,4.94,4.94,4.69,427200.0,-0.050499999999999996
1998-05-15,4.56,4.66,4.67,4.44,1170000.0,-0.0298
1998-05-18,4.47,4.53,4.66,4.38,688800.0,-0.0197
1998-05-19,5.25,4.62,5.38,4.62,2300000.0,0.1745
1998-05-20,5.09,5.34,5.34,5.09,556400.0,-0.0305
1998-05-21,4.94,5.16,5.16,4.91,551200.0,-0.029500000000000002
1998-05-22,5.16,4.97,5.16,4.91,249200.0,0.044500000000000005
1998-05-26,4.88,5.16,5.16,4.84,142400.0,-0.054299999999999994
1998-05-27,4.91,4.88,4.94,4.78,930400.0,0.0060999999999999995
1998-05-28,4.88,5.0,5.09,4.88,208000.0,-0.0060999999999999995
1998-05-29,5.0,4.88,5.09,4.84,485600.0,0.0246
1998-06-01,5.14,4.91,5.25,4.91,199600.0,0.027999999999999997
1998-06-02,5.25,5.22,5.25,5.19,178000.0,0.021400000000000002
1998-06-03,5.38,5.27,5.59,5.2,196400.0,0.0248
1998-06-04,5.22,5.47,5.62,5.09,272000.0,-0.0297
1998-06-05,5.22,5.28,5.28,5.16,158800.0,0.0
1998-06-08,5.03,5.22,5.28,4.91,172400.0,-0.0364
1998-06-09,4.98,5.0,5.09,4.95,103200.0,-0.009899999999999999
1998-06-10,4.94,5.09,5.09,4.91,20400.0,-0.008
1998-06-11,5.0,5.0,5.16,4.94,94000.0,0.0121
1998-06-12,5.0,4.94,5.0,4.88,162400.0,0.0
1998-06-15,5.06,5.0,5.19,4.97,88800.0,0.012
1998-06-16,5.31,5.19,5.34,5.06,327200.0,0.049400000000000006
1998-06-17,5.34,5.31,5.38,5.28,471600.0,0.005600000000000001
1998-06-18,5.31,5.38,5.38,5.31,142000.0,-0.005600000000000001
1998-06-19,5.31,5.31,5.36,5.31,122400.0,0.0
1998-06-22,5.28,5.31,5.47,5.25,305600.0,-0.005600000000000001
1998-06-23,5.19,5.25,5.3,5.19,252000.0,-0.017
1998-06-24,5.19,5.19,5.25,5.12,388000.0,0.0
1998-06-25,5.12,5.19,5.25,5.12,260000.0,-0.013500000000000002
1998-06-26,4.97,5.16,5.19,4.94,334000.0,-0.029300000000000003
1998-06-29,5.19,4.94,5.25,4.91,109600.0,0.0443
1998-06-30,5.2,5.25,5.25,5.16,475600.0,0.0019
1998-07-01,6.0,5.25,6.0,5.19,405600.0,0.15380000000000002
1998-07-02,5.86,5.94,5.94,5.75,216400.0,-0.0233
1998-07-06,5.88,5.84,6.28,5.84,376800.0,0.0034000000000000002
1998-07-07,6.03,5.75,6.03,5.66,170800.0,0.0255
1998-07-08,6.38,6.03,6.41,5.88,354400.0,0.057999999999999996
1998-07-09,6.38,6.28,6.69,6.28,346400.0,0.0
1998-07-10,6.75,6.59,7.03,6.44,262800.0,0.057999999999999996
1998-07-13,6.31,6.66,6.84,6.25,182000.0,-0.0652
1998-07-14,5.55,6.25,6.25,5.52,385200.0,-0.1204
1998-07-15,5.88,5.53,5.91,5.53,233200.0,0.059500000000000004
1998-07-16,6.0,5.88,6.03,5.88,77200.0,0.0204
1998-07-17,5.88,6.06,6.06,5.84,95600.0,-0.02
