Date,Close,Open,High,Low,Volume,Change
2020-10-23,18.79,18.68,19.78,18.5,4830000.0,0.0048
2020-10-26,18.7,18.79,18.99,18.37,2550000.0,-0.0048
2020-10-27,18.68,18.67,18.89,18.49,2520000.0,-0.0011
2020-10-28,17.15,18.39,18.4,16.92,5130000.0,-0.0819
2020-10-29,16.65,17.15,17.5,15.42,5060000.0,-0.0292
2020-10-30,16.76,16.61,16.87,15.95,1560000.0,0.0066
2020-11-02,16.46,16.9,17.11,16.22,1050000.0,-0.0179
2020-11-03,16.09,16.47,16.63,15.96,747980.0,-0.0225
2020-11-04,15.86,16.15,16.41,15.68,1090000.0,-0.0143
2020-11-05,17.0,15.85,17.01,15.85,1870000.0,0.0719
2020-11-06,16.8,16.89,17.29,16.71,1250000.0,-0.0118
2020-11-09,16.44,17.15,17.16,16.39,508290.0,-0.021400000000000002
2020-11-10,16.47,16.39,16.66,16.25,262780.0,0.0018
2020-11-11,16.4,16.42,16.63,16.3,306400.0,-0.0043
2020-11-12,16.38,16.61,16.64,16.19,959840.0,-0.0012
2020-11-13,17.16,16.5,17.25,16.45,560210.0,0.047599999999999996
2020-11-16,17.42,17.52,17.95,17.16,1500000.0,0.0152
2020-11-17,17.0,17.79,17.79,16.82,1090000.0,-0.0241
2020-11-18,16.6,17.16,17.25,16.4,1030000.0,-0.0235
2020-11-19,16.4,16.6,16.68,16.36,1520000.0,-0.012
2020-11-20,15.85,16.44,16.69,15.15,3390000.0,-0.0335
2020-11-23,15.5,16.02,16.02,15.46,1450000.0,-0.022099999999999998
2020-11-24,15.82,15.65,15.97,15.49,891070.0,0.0206
2020-11-25,16.33,15.72,16.39,15.69,570220.0,0.0322
2020-11-27,16.88,17.2,17.39,16.5,992050.0,0.0337
2020-11-30,16.05,17.0,17.0,15.7,1050000.0,-0.0492
2020-12-01,15.98,16.1,16.2,15.79,875890.0,-0.0044
2020-12-02,15.83,15.8,15.96,15.74,416080.0,-0.009399999999999999
2020-12-03,15.67,16.0,16.09,15.59,535620.0,-0.0101
2020-12-04,15.48,15.75,15.79,15.28,1270000.0,-0.0121
2020-12-07,15.09,15.35,15.55,15.02,929720.0,-0.0252
2020-12-08,15.48,15.2,15.58,14.8,1300000.0,0.0258
2020-12-09,15.8,15.53,15.94,15.44,1220000.0,0.0207
2020-12-10,15.95,15.67,15.96,15.51,1010000.0,0.0095
2020-12-11,15.8,15.76,16.02,15.52,1030000.0,-0.009399999999999999
2020-12-14,15.4,15.8,16.1,15.26,999840.0,-0.0253
2020-12-15,15.48,15.42,15.55,15.12,980570.0,0.0052
2020-12-16,15.33,15.63,15.68,15.06,1510000.0,-0.0097
2020-12-17,16.01,15.54,16.25,15.5,2180000.0,0.0444
2020-12-18,17.17,16.17,17.68,15.82,10360000.0,0.0725
2020-12-21,16.72,16.82,17.15,16.23,2550000.0,-0.0262
2020-12-22,17.37,16.84,17.56,16.74,1600000.0,0.038900000000000004
2020-12-23,17.97,17.54,18.45,17.02,1300000.0,0.0345
2020-12-24,17.76,18.0,18.09,17.33,481340.0,-0.011699999999999999
2020-12-28,16.24,17.7,17.7,16.21,697690.0,-0.08560000000000001
2020-12-29,16.34,16.3,16.38,15.9,683620.0,0.0062
2020-12-30,16.62,16.28,16.87,16.05,983980.0,0.0171
2020-12-31,16.69,16.64,16.81,15.9,1330000.0,0.0042
2021-01-04,17.18,16.69,17.42,16.49,1020000.0,0.0294
2021-01-05,17.28,17.15,17.64,16.95,678860.0,0.0058
2021-01-06,16.88,16.84,17.16,16.75,774220.0,-0.0231
2021-01-07,17.0,17.19,17.63,16.83,1570000.0,0.0070999999999999995
2021-01-08,17.41,17.15,17.44,16.88,757020.0,0.0241
2021-01-11,18.3,17.11,18.33,17.11,1350000.0,0.051100000000000007
2021-01-12,19.49,18.64,19.5,18.33,1260000.0,0.065
2021-01-13,18.83,19.55,19.78,18.74,665110.0,-0.0339
2021-01-14,18.64,19.0,19.46,18.45,388870.0,-0.0101
2021-01-15,18.51,18.59,18.78,18.2,348020.0,-0.006999999999999999
2021-01-19,19.2,18.81,19.69,18.79,505790.0,0.0373
2021-01-20,18.8,19.4,19.45,18.67,212590.0,-0.0208
2021-01-21,19.32,18.96,19.39,18.4,370860.0,0.0277
2021-01-22,19.19,19.39,20.82,19.11,1950000.0,-0.0067
2021-01-25,19.29,19.51,20.47,18.5,1230000.0,0.0052
2021-01-26,20.78,19.39,20.82,19.39,697320.0,0.07719999999999999
2021-01-27,21.0,21.13,22.14,20.55,1950000.0,0.0106
2021-01-28,20.14,20.56,20.9,19.74,521740.0,-0.040999999999999995
2021-01-29,18.85,20.14,20.29,18.83,1090000.0,-0.0641
