Date,Close,Open,High,Low,Volume,Change
1992-05-20,10.12,10.5,10.5,10.12,34200.0,-0.025
1992-05-21,10.25,10.12,10.25,10.12,11200.0,0.0128
1992-05-22,10.5,10.25,10.5,10.12,37400.0,0.024399999999999998
1992-05-26,10.25,10.38,10.5,10.12,58500.0,-0.023799999999999998
1992-05-28,10.12,10.25,10.25,10.12,2600.0,-0.0127
1992-05-29,10.25,10.25,10.25,10.25,19300.0,0.0128
1992-06-01,10.12,10.25,10.38,10.12,15500.0,-0.0127
1992-06-02,9.75,10.0,10.12,9.62,146900.0,-0.0366
1992-06-03,9.62,9.62,9.62,9.62,5000.0,-0.013300000000000001
1992-06-04,9.75,9.75,9.88,9.5,116100.0,0.013500000000000002
1992-06-05,9.75,9.75,9.88,9.62,41500.0,0.0
1992-06-08,9.75,9.75,9.75,9.5,15200.0,0.0
1992-06-09,9.62,9.75,9.75,9.5,23600.0,-0.013300000000000001
1992-06-10,9.12,9.62,9.62,9.12,59800.0,-0.052000000000000005
1992-06-11,9.0,9.25,9.25,9.0,52400.0,-0.0132
1992-06-12,9.0,9.12,9.12,9.0,14000.0,0.0
1992-06-15,9.25,9.25,9.25,9.0,16800.0,0.0278
1992-06-16,8.38,9.0,9.12,8.38,49000.0,-0.0941
1992-06-17,7.88,8.5,8.5,7.88,56500.0,-0.059699999999999996
1992-06-18,7.88,7.88,7.88,7.62,345200.0,0.0
1992-06-19,8.25,8.0,8.25,7.88,376900.0,0.047
1992-06-22,8.12,8.12,8.25,7.88,181700.0,-0.0158
1992-06-23,8.25,8.12,8.25,8.0,149900.0,0.016
1992-06-24,8.12,8.12,8.12,8.0,97600.0,-0.0158
1992-06-25,8.12,8.25,8.25,8.12,1600.0,0.0
1992-06-26,8.25,8.12,8.25,8.0,51700.0,0.016
1992-06-29,8.25,8.25,8.25,8.12,5200.0,0.0
1992-06-30,8.25,8.12,8.25,8.0,32400.0,0.0
1992-07-01,8.25,8.25,8.25,8.25,1400.0,0.0
1992-07-02,8.25,8.25,8.25,7.75,374100.0,0.0
1992-07-06,8.0,8.12,8.12,8.0,7400.0,-0.030299999999999997
1992-07-07,8.25,8.25,8.25,8.0,8800.0,0.0313
1992-07-08,8.0,8.12,8.12,8.0,9700.0,-0.030299999999999997
1992-07-09,8.0,8.12,8.12,8.0,600.0,0.0
1992-07-10,7.75,8.0,8.0,7.75,21200.0,-0.0313
1992-07-13,8.0,8.0,8.0,8.0,900.0,0.0323
1992-07-14,7.75,7.75,7.75,7.75,1100.0,-0.0313
1992-07-15,8.12,8.0,8.12,7.75,83400.0,0.04769999999999999
1992-07-16,8.25,8.25,8.25,8.12,51100.0,0.016
1992-07-17,8.25,8.12,8.25,8.12,6200.0,0.0
1992-07-20,8.12,8.62,8.62,8.0,282200.0,-0.0158
1992-07-21,7.75,8.12,8.12,7.75,193500.0,-0.045599999999999995
1992-07-22,7.62,8.0,8.0,7.38,347600.0,-0.0168
1992-07-23,7.38,7.75,7.75,7.12,68500.0,-0.0315
1992-07-24,7.38,7.25,7.5,7.12,29500.0,0.0
1992-07-27,7.25,7.38,7.38,7.12,245300.0,-0.0176
1992-07-28,7.62,7.38,7.62,7.38,17100.0,0.051
1992-07-29,7.62,7.62,7.62,7.38,34800.0,0.0
1992-07-30,7.5,7.62,7.62,7.38,71300.0,-0.015700000000000002
1992-07-31,7.38,7.38,7.62,7.38,26700.0,-0.016
1992-08-03,7.38,7.62,7.62,7.38,6000.0,0.0
1992-08-04,7.38,7.62,7.62,7.38,29300.0,0.0
1992-08-05,7.38,7.62,7.62,7.38,45500.0,0.0
1992-08-06,7.25,7.62,7.62,7.25,28000.0,-0.0176
1992-08-07,7.25,7.5,7.5,7.25,17300.0,0.0
1992-08-10,6.75,7.12,7.12,6.5,79600.0,-0.069
1992-08-11,6.5,6.75,6.75,6.38,96900.0,-0.037000000000000005
1992-08-12,7.12,6.5,7.12,6.38,81500.0,0.09539999999999998
1992-08-13,7.25,7.12,7.38,7.0,52300.0,0.0183
1992-08-14,7.12,7.0,7.38,7.0,89600.0,-0.0179
1992-08-17,7.25,7.38,7.38,7.12,68400.0,0.0183
1992-08-18,7.5,7.25,7.62,7.25,121400.0,0.0345
1992-08-19,7.5,7.75,7.88,7.38,174400.0,0.0
1992-08-20,7.75,7.75,7.75,7.5,11600.0,0.0333
1992-08-21,7.38,7.75,7.75,7.25,269000.0,-0.04769999999999999
1992-08-24,6.88,7.12,7.25,6.75,60900.0,-0.0678
1992-08-25,7.0,6.75,7.0,6.75,32600.0,0.0174
1992-08-26,7.25,7.0,7.38,7.0,189300.0,0.035699999999999996
1992-08-27,7.5,7.38,7.62,7.38,63400.0,0.0345
1992-08-28,7.5,7.62,7.62,7.38,19300.0,0.0
1992-08-31,7.5,7.38,7.62,7.38,71500.0,0.0
1992-09-01,7.62,7.62,7.62,7.62,21400.0,0.016
1992-09-02,7.62,7.62,7.62,7.5,186900.0,0.0
1992-09-03,7.62,7.5,7.62,7.38,262500.0,0.0
1992-09-04,7.62,7.62,7.62,7.62,8100.0,0.0
1992-09-08,7.62,7.62,7.62,7.5,5600.0,0.0
1992-09-09,7.62,7.5,7.75,7.5,51500.0,0.0
1992-09-10,7.75,7.62,7.75,7.62,11600.0,0.0171
1992-09-11,7.62,7.75,7.75,7.5,65500.0,-0.0168
1992-09-14,7.75,7.75,7.75,7.62,130400.0,0.0171
1992-09-15,7.88,7.88,7.88,7.75,49500.0,0.0168
1992-09-16,7.88,7.88,7.88,7.75,36400.0,0.0
1992-09-17,7.88,7.88,7.88,7.75,64700.0,0.0
1992-09-18,7.88,7.75,7.88,7.75,56100.0,0.0
1992-09-21,7.75,7.88,7.88,7.75,18300.0,-0.0165
1992-09-22,7.75,7.75,7.75,7.5,21300.0,0.0
1992-09-23,7.75,7.62,7.75,7.5,7100.0,0.0
1992-09-24,7.75,7.62,7.75,7.5,11600.0,0.0
1992-09-25,7.75,7.75,7.75,7.5,43900.0,0.0
1992-09-28,7.5,7.75,7.75,7.5,14900.0,-0.0323
1992-09-29,7.5,7.5,7.75,7.5,50600.0,0.0
1992-09-30,7.5,7.75,7.75,7.5,11400.0,0.0
1992-10-01,7.75,7.5,7.75,7.5,37900.0,0.0333
1992-10-02,7.12,7.5,7.75,7.0,58400.0,-0.08130000000000001
1992-10-05,7.12,6.88,7.12,6.75,43800.0,0.0
1992-10-06,6.88,7.25,7.25,6.88,800.0,-0.0337
1992-10-07,6.75,6.88,6.88,6.75,152100.0,-0.0189
1992-10-08,6.88,6.75,6.88,6.75,48400.0,0.019299999999999998
1992-10-09,6.88,6.75,7.0,6.75,30200.0,0.0
1992-10-12,6.62,6.62,6.62,6.62,1000.0,-0.0378
1992-10-13,6.62,6.88,6.88,6.62,41100.0,0.0
1992-10-14,6.62,6.62,6.75,6.62,27300.0,0.0
1992-10-15,6.62,6.75,6.75,6.5,58900.0,0.0
1992-10-16,6.62,6.88,6.88,6.62,18000.0,0.0
1992-10-19,6.88,6.5,6.88,6.5,2500.0,0.0393
1992-10-20,7.12,6.88,7.12,6.88,12200.0,0.0349
1992-10-21,6.88,7.12,7.12,6.88,39800.0,-0.0337
1992-10-22,7.0,7.12,7.25,7.0,16300.0,0.0174
1992-10-23,7.25,7.12,7.5,7.0,88900.0,0.035699999999999996
1992-10-26,7.25,7.12,7.38,7.0,7900.0,0.0
1992-10-27,7.38,7.25,7.5,7.25,7700.0,0.0179
1992-10-28,7.5,7.38,7.5,7.38,7500.0,0.0163
1992-10-29,7.62,7.5,7.62,7.25,42800.0,0.016
1992-10-30,7.75,7.62,7.88,7.38,42500.0,0.0171
1992-11-02,7.88,7.75,8.0,7.62,50300.0,0.0168
1992-11-03,7.88,8.0,8.25,7.88,40800.0,0.0
1992-11-04,8.12,8.12,8.12,7.88,36100.0,0.0305
1992-11-05,7.88,7.88,8.0,7.5,17500.0,-0.0296
1992-11-06,7.88,7.5,7.88,7.5,34700.0,0.0
1992-11-09,7.38,7.5,7.62,7.38,8300.0,-0.0635
1992-11-10,7.38,7.38,7.62,7.38,21500.0,0.0
1992-11-11,7.62,7.38,7.62,7.38,9800.0,0.0325
1992-11-12,7.62,7.38,7.62,7.38,12300.0,0.0
1992-11-13,7.62,7.62,7.62,7.5,4800.0,0.0
1992-11-16,7.38,7.62,7.62,7.25,10500.0,-0.0315
1992-11-17,7.25,7.25,7.38,7.25,2200.0,-0.0176
1992-11-18,7.5,7.25,7.5,7.25,12000.0,0.0345
1992-11-19,7.25,7.25,7.25,7.25,100.0,-0.0333
1992-11-20,7.25,7.12,7.38,7.12,23000.0,0.0
1992-11-23,7.25,7.25,7.25,7.25,16500.0,0.0
1992-11-24,8.0,7.25,8.0,7.12,108000.0,0.10339999999999999
1992-11-25,7.88,7.62,8.0,7.62,127900.0,-0.015
1992-11-27,7.62,8.0,8.0,7.62,16100.000000000002,-0.033
1992-11-30,7.88,7.75,7.88,7.75,21200.0,0.0341
1992-12-01,7.62,7.62,7.88,7.62,8700.0,-0.033
1992-12-02,7.5,7.62,7.88,7.5,19200.0,-0.015700000000000002
1992-12-03,7.75,7.5,7.88,7.5,11800.0,0.0333
1992-12-04,7.62,7.62,7.88,7.62,62700.0,-0.0168
1992-12-07,7.62,7.62,7.75,7.62,124400.0,0.0
1992-12-08,7.62,7.62,7.88,7.62,42200.0,0.0
1992-12-09,7.62,7.62,7.88,7.62,6800.0,0.0
1992-12-10,7.88,7.62,7.88,7.62,6400.0,0.0341
1992-12-11,7.62,7.62,7.62,7.62,3400.0,-0.033
1992-12-14,7.88,7.62,7.88,7.62,900.0,0.0341
1992-12-15,7.62,7.62,7.88,7.5,17700.0,-0.033
1992-12-16,7.62,7.5,7.88,7.5,9600.0,0.0
1992-12-17,7.5,7.5,7.5,7.5,1200.0,-0.015700000000000002
1992-12-18,7.75,7.38,7.75,7.38,2700.0,0.0333
1992-12-21,7.38,7.38,7.38,7.38,100.0,-0.04769999999999999
1992-12-22,7.88,7.5,7.88,7.5,30400.0,0.0678
1992-12-23,7.88,7.62,7.88,7.62,2500.0,0.0
1992-12-24,7.88,7.62,7.88,7.62,40500.0,0.0
1992-12-28,7.62,7.62,7.62,7.62,100.0,-0.033
1992-12-29,7.62,7.62,7.62,7.62,67700.0,0.0
1992-12-30,7.5,7.62,7.62,7.5,75200.0,-0.015700000000000002
1992-12-31,7.25,7.5,7.62,7.25,98600.0,-0.0333
1993-01-04,7.25,7.25,7.5,7.25,3200.0,0.0
1993-01-05,7.5,7.25,7.5,7.25,18200.0,0.0345
1993-01-06,7.5,7.25,7.5,7.25,59400.0,0.0
1993-01-07,7.62,7.38,7.62,7.38,9100.0,0.016
1993-01-08,7.62,7.38,7.62,7.38,15800.0,0.0
