Date,Close,Open,High,Low,Volume,Change
2004-01-07,27.05,27.0,28.2,26.75,956380.0,0.0019
2004-01-08,27.4,27.1,28.05,26.95,530790.0,0.0129
2004-01-09,28.26,27.17,28.5,27.1,1380000.0,0.031400000000000004
2004-01-12,29.0,28.15,29.66,28.15,914010.0,0.0262
2004-01-13,28.7,29.0,29.0,27.7,639410.0,-0.0103
2004-01-14,28.4,28.9,29.05,28.4,338380.0,-0.0105
2004-01-15,29.01,28.45,29.1,28.0,387450.0,0.0215
2004-01-16,28.66,29.25,29.25,28.66,130440.0,-0.0121
2004-01-20,28.01,28.75,29.0,28.0,227070.0,-0.0227
2004-01-21,27.9,28.01,28.25,27.24,279730.0,-0.0039000000000000003
2004-01-22,27.78,28.0,28.2,27.75,412450.0,-0.0043
2004-01-23,27.4,28.0,28.0,26.9,164860.0,-0.0137
2004-01-26,27.47,27.4,27.72,27.27,210760.0,0.0026
2004-01-27,27.32,27.49,27.49,27.25,60030.0,-0.0055000000000000005
2004-01-28,26.55,27.3,27.4,26.43,330990.0,-0.0282
2004-01-29,26.5,26.5,26.5,25.8,250000.0,-0.0019
2004-01-30,27.3,26.38,27.47,26.16,427900.0,0.0302
2004-02-02,26.7,27.44,27.44,26.42,238070.0,-0.022000000000000002
2004-02-03,26.9,26.7,27.1,26.7,371360.0,0.0075
2004-02-04,26.8,26.8,27.0,26.65,311100.0,-0.0037
2004-02-05,26.6,26.8,26.8,26.43,383740.0,-0.0075
2004-02-06,26.49,26.7,26.7,26.4,354430.0,-0.0040999999999999995
2004-02-09,26.4,26.48,26.5,26.29,45430.0,-0.0034000000000000002
2004-02-10,26.25,26.28,26.43,25.9,333700.0,-0.005699999999999999
2004-02-11,26.25,26.24,26.43,26.11,325330.0,0.0
2004-02-12,26.62,26.25,27.3,26.2,220920.0,0.0141
2004-02-13,27.0,26.75,27.01,26.35,271990.0,0.0143
2004-02-17,27.4,26.95,27.5,26.95,376330.0,0.0148
2004-02-18,27.43,27.35,27.5,27.21,37500.0,0.0011
2004-02-19,27.45,27.5,27.84,27.36,166990.0,0.0007000000000000001
2004-02-20,27.38,27.4,27.46,27.08,33770.0,-0.0026
2004-02-23,26.84,27.06,27.43,26.73,40160.0,-0.0197
2004-02-24,27.0,26.96,27.0,26.9,56700.0,0.006
2004-02-25,26.89,27.0,27.02,26.46,174520.0,-0.0040999999999999995
2004-02-26,26.73,26.71,26.84,26.55,83090.0,-0.006
2004-02-27,27.0,26.8,27.34,26.37,78410.0,0.0101
2004-03-01,27.45,27.25,27.75,27.19,326380.0,0.0167
2004-03-02,27.76,27.35,28.2,27.32,177280.0,0.0113
2004-03-03,27.65,27.8,28.0,27.5,63160.0,-0.004
2004-03-04,27.4,27.78,27.88,27.4,59400.0,-0.009000000000000001
2004-03-05,27.7,27.7,27.77,27.62,230560.0,0.0109
2004-03-08,27.65,27.7,27.75,27.65,100220.0,-0.0018
2004-03-09,27.53,27.68,27.7,27.0,41970.0,-0.0043
2004-03-10,26.65,26.89,27.05,26.51,175310.0,-0.032
2004-03-11,26.4,26.99,27.03,26.35,280550.0,-0.009399999999999999
2004-03-12,26.6,26.5,26.72,26.26,97670.0,0.0076
2004-03-15,26.61,26.6,26.8,26.0,18030.0,0.0004
2004-03-16,27.0,26.75,27.1,26.7,137300.0,0.0147
2004-03-17,27.23,27.0,27.3,27.0,77580.0,0.0085
2004-03-18,27.6,27.35,27.6,27.2,76980.0,0.013600000000000001
2004-03-19,27.78,27.5,28.2,27.5,259350.00000000003,0.006500000000000001
2004-03-22,27.74,27.65,27.78,26.68,27900.0,-0.0014000000000000002
2004-03-23,27.7,27.8,27.9,27.55,20330.0,-0.0014000000000000002
2004-03-24,27.29,27.7,27.7,27.29,40680.0,-0.0148
2004-03-25,27.68,27.29,28.0,27.29,153490.0,0.0143
2004-03-26,27.65,27.7,27.72,27.55,193340.0,-0.0011
2004-03-29,27.7,27.7,27.99,26.61,92450.0,0.0018
2004-03-30,28.09,28.0,28.12,27.25,1830000.0,0.0141
2004-03-31,28.1,28.1,28.72,27.01,503480.0,0.0004
2004-04-01,27.65,28.2,28.2,27.28,126170.0,-0.016
2004-04-02,28.1,27.52,28.1,27.5,272180.0,0.0163
2004-04-05,28.68,28.1,28.75,28.0,231320.0,0.0206
2004-04-06,30.15,28.8,30.25,28.6,407750.0,0.0513
2004-04-07,30.0,29.99,30.2,29.3,131860.0,-0.005
2004-04-08,30.5,30.0,30.75,29.8,263570.0,0.0167
2004-04-12,30.91,30.6,31.0,30.6,111790.0,0.0134
2004-04-13,30.35,30.95,30.95,30.31,231610.0,-0.0181
2004-04-14,31.25,30.5,31.5,30.43,1060000.0,0.0297
2004-04-15,32.43,31.49,32.49,31.27,875740.0,0.0378
2004-04-16,32.97,32.1,32.99,32.0,274860.0,0.0167
2004-04-19,33.25,32.99,33.48,32.5,394970.0,0.0085
2004-04-20,33.45,33.4,33.81,33.05,104930.0,0.006
2004-04-21,33.6,33.05,33.89,33.05,242090.0,0.0045000000000000005
2004-04-22,33.72,33.75,34.0,33.45,223470.0,0.0036
2004-04-23,33.88,33.9,34.25,33.5,156590.0,0.004699999999999999
2004-04-26,33.89,33.95,34.01,33.67,100460.0,0.0003
2004-04-27,33.44,33.95,34.0,33.0,118510.0,-0.013300000000000001
2004-04-28,33.72,33.44,33.8,33.25,240940.0,0.0084
2004-04-29,32.72,33.29,33.55,32.7,194810.0,-0.0297
2004-04-30,32.0,32.61,32.75,31.59,294960.0,-0.022000000000000002
2004-05-03,32.42,32.25,32.66,32.0,119760.0,0.0131
2004-05-04,32.69,32.6,33.02,32.5,216640.0,0.0083
2004-05-05,32.7,32.8,32.8,32.23,32689.999999999996,0.0003
2004-05-06,32.0,32.01,32.6,31.77,71070.0,-0.021400000000000002
2004-05-07,31.7,32.0,32.03,31.25,23890.0,-0.009399999999999999
2004-05-10,30.45,31.13,31.25,30.08,185780.0,-0.0394
2004-05-11,29.95,30.3,30.5,29.45,213810.0,-0.016399999999999998
2004-05-12,30.13,29.8,30.3,28.85,72990.0,0.006
2004-05-13,30.09,29.43,30.15,29.28,53380.0,-0.0013
2004-05-14,30.34,30.1,30.4,29.95,40890.0,0.0083
2004-05-17,30.52,29.99,30.52,29.92,41440.0,0.0059
2004-05-18,30.97,30.55,30.97,30.1,57540.0,0.0147
2004-05-19,31.26,31.02,31.5,30.9,156190.0,0.009399999999999999
2004-05-20,30.9,31.27,31.45,30.82,182630.0,-0.0115
2004-05-21,30.99,31.1,31.1,30.5,27280.0,0.0029
2004-05-24,30.73,31.1,31.32,30.67,79490.0,-0.0084
2004-05-25,29.95,31.0,31.0,29.85,340930.0,-0.0254
2004-05-26,29.98,29.95,30.02,29.55,209640.0,0.001
2004-05-27,30.0,29.95,30.2,29.95,467700.0,0.0007000000000000001
2004-05-28,31.26,29.99,31.44,29.95,234670.0,0.042
2004-06-01,32.15,31.26,32.18,31.25,407060.0,0.0285
2004-06-02,32.2,32.2,32.24,31.77,335180.0,0.0016
2004-06-03,32.0,32.3,32.39,31.75,200460.0,-0.0062
2004-06-04,31.7,32.0,32.0,31.45,86940.0,-0.009399999999999999
2004-06-07,31.67,31.42,31.8,30.83,110620.0,-0.0009
2004-06-08,31.45,31.69,31.69,31.12,84160.0,-0.0069
2004-06-09,30.55,31.49,31.49,30.31,128789.99999999999,-0.0286
2004-06-10,30.81,30.21,31.08,30.21,58950.0,0.0085
2004-06-14,31.04,30.82,31.75,30.6,238390.0,0.0075
2004-06-15,31.97,31.25,32.0,30.98,122300.0,0.03
2004-06-16,32.0,32.02,32.14,31.68,551870.0,0.0009
2004-06-17,33.27,32.0,33.61,31.8,339900.0,0.0397
2004-06-18,33.95,33.0,34.24,32.75,469330.0,0.0204
2004-06-21,33.74,34.31,34.63,33.1,225500.0,-0.0062
2004-06-22,33.99,33.6,34.02,33.41,219660.0,0.0074
2004-06-23,33.99,34.03,34.1,33.61,326350.0,0.0
2004-06-24,33.22,34.1,34.1,32.86,85090.0,-0.0227
2004-06-25,32.9,33.4,33.45,32.75,1960000.0,-0.0096
2004-06-28,33.69,33.99,33.99,33.38,114560.0,0.024
2004-06-29,33.99,33.99,33.99,33.45,96540.0,0.0089
2004-06-30,33.45,34.08,34.3,32.91,400760.0,-0.0159
2004-07-01,32.9,33.4,33.45,32.75,107140.0,-0.016399999999999998
2004-07-02,32.8,32.75,33.0,32.75,46220.0,-0.003
2004-07-06,32.78,32.5,33.0,32.5,106340.0,-0.0006
2004-07-07,31.77,32.75,32.9,30.69,978830.0,-0.0308
2004-07-08,31.18,31.66,31.9,30.95,79760.0,-0.018600000000000002
2004-07-09,31.28,31.15,31.56,31.1,70120.0,0.0032
2004-07-12,31.41,31.44,31.61,30.85,71360.0,0.0042
2004-07-13,31.22,31.35,31.75,31.04,56750.0,-0.006
2004-07-14,31.55,31.3,31.69,31.05,130949.99999999999,0.0106
2004-07-15,31.78,31.15,31.8,31.15,60970.0,0.0073
2004-07-16,31.25,31.9,31.93,31.17,126560.0,-0.0167
2004-07-19,31.49,31.3,31.49,31.04,323430.0,0.0077
2004-07-20,31.31,31.49,31.67,30.84,68990.0,-0.005699999999999999
2004-07-21,31.15,31.35,31.58,31.0,312150.0,-0.0051
2004-07-22,30.51,31.1,31.1,29.8,336600.0,-0.020499999999999997
2004-07-23,30.36,30.5,30.69,30.27,42850.0,-0.0049
2004-07-26,29.61,30.45,30.67,29.24,184850.0,-0.024700000000000003
2004-07-27,30.05,29.5,30.07,29.5,117830.0,0.0149
2004-07-28,29.22,29.51,29.85,28.89,229300.0,-0.0276
2004-07-29,33.64,33.8,34.8,33.25,1620000.0,0.15130000000000002
2004-07-30,34.03,33.78,34.03,32.89,306600.0,0.0116
2004-08-02,34.1,33.73,34.14,33.7,277410.0,0.0021
2004-08-03,34.62,35.6,35.64,34.4,577900.0,0.0152
2004-08-04,33.73,34.71,34.75,33.73,197290.0,-0.025699999999999997
2004-08-05,33.75,33.73,33.88,33.37,159170.0,0.0006
2004-08-06,33.57,33.5,33.69,33.01,98000.0,-0.0053
2004-08-09,33.6,33.53,33.91,33.47,67430.0,0.0009
2004-08-10,34.02,33.65,34.27,33.55,93710.0,0.0125
2004-08-11,34.93,34.12,34.93,33.76,73110.0,0.026699999999999998
2004-08-12,34.74,34.59,35.3,34.43,205130.0,-0.0054
2004-08-13,34.52,35.0,35.0,34.46,54380.0,-0.0063
2004-08-16,34.0,34.83,34.83,33.96,298760.0,-0.0151
2004-08-17,33.99,34.25,34.32,33.92,146920.0,-0.0003
2004-08-18,34.06,33.89,34.06,33.58,89800.0,0.0021
2004-08-19,33.76,34.07,34.07,33.45,36760.0,-0.0088
2004-08-20,34.69,33.88,34.69,33.5,302700.0,0.0275
2004-08-23,33.96,34.7,35.5,33.47,370260.0,-0.021
2004-08-24,34.29,34.29,34.37,34.01,60460.0,0.0097
2004-08-25,33.93,34.16,34.31,33.82,182920.0,-0.0105
2004-08-26,34.07,34.0,34.27,33.21,426540.0,0.0040999999999999995
2004-08-27,34.07,34.02,34.21,33.79,89200.0,0.0
2004-08-30,34.04,34.0,34.12,33.76,88140.0,-0.0009
2004-08-31,35.07,34.14,35.1,33.97,313010.0,0.030299999999999997
2004-09-01,35.42,35.08,35.6,35.0,266780.0,0.01
2004-09-02,36.45,35.53,36.51,35.36,451600.0,0.0291
2004-09-03,36.9,36.49,36.97,36.25,172170.0,0.0123
2004-09-07,37.41,37.01,37.41,36.8,209640.0,0.0138
2004-09-08,38.59,37.6,38.98,37.31,668010.0,0.0315
2004-09-09,38.8,38.99,39.0,38.1,259149.99999999997,0.0054
2004-09-10,39.25,38.89,39.35,38.17,248610.0,0.0116
2004-09-13,38.75,39.24,39.55,38.4,380070.0,-0.0127
2004-09-14,37.5,37.63,37.77,36.5,621640.0,-0.0323
2004-09-15,38.07,37.7,38.2,37.5,218400.0,0.0152
2004-09-16,39.06,37.96,39.1,37.96,230740.0,0.026000000000000002
2004-09-17,39.06,39.4,40.01,38.92,288480.0,0.0
2004-09-20,39.29,39.2,39.71,38.85,147690.0,0.0059
2004-09-21,39.1,39.21,39.39,38.97,82510.0,-0.0048
2004-09-22,37.7,39.15,39.15,37.7,164130.0,-0.0358
2004-09-23,37.68,37.94,38.5,37.66,171270.0,-0.0005
2004-09-24,37.65,38.0,38.05,37.64,114860.0,-0.0008
2004-09-27,37.59,37.58,37.9,37.56,107380.0,-0.0016
2004-09-28,37.35,37.69,37.69,37.03,78660.0,-0.0064
2004-09-29,37.12,37.32,37.32,36.87,64489.99999999999,-0.0062
2004-09-30,36.56,37.15,37.15,36.46,270080.0,-0.0151
2004-10-01,36.87,36.83,37.05,36.19,210060.0,0.0085
2004-10-04,37.24,37.19,37.63,36.98,601070.0,0.01
2004-10-05,37.76,37.32,37.79,37.03,349050.0,0.013999999999999999
2004-10-06,37.86,37.8,38.22,37.7,367930.0,0.0026
2004-10-07,37.5,38.25,38.25,37.3,89480.0,-0.0095
2004-10-08,37.36,37.24,37.79,37.1,120150.0,-0.0037
2004-10-11,37.98,37.54,38.64,37.47,346700.0,0.0166
2004-10-12,37.55,37.67,38.0,37.23,160480.0,-0.0113
2004-10-13,37.42,37.83,37.89,37.35,118940.0,-0.0034999999999999996
2004-10-14,37.22,37.4,37.4,37.05,65180.00000000001,-0.0053
2004-10-15,37.55,37.34,37.6,36.4,253920.0,0.0089
2004-10-18,38.46,37.7,38.98,37.22,268300.0,0.0242
2004-10-19,36.18,38.38,38.57,35.39,1300000.0,-0.0593
2004-10-20,36.3,36.0,36.89,35.54,237620.0,0.0033
2004-10-21,36.34,36.4,36.4,35.95,166350.0,0.0011
2004-10-22,36.0,36.19,36.29,35.83,344340.0,-0.009399999999999999
2004-10-25,36.04,35.75,36.25,35.67,219210.0,0.0011
2004-10-26,36.21,36.17,36.43,35.81,273480.0,0.004699999999999999
2004-10-27,36.18,36.26,36.35,35.69,360250.0,-0.0008
2004-10-28,36.82,36.35,37.15,36.29,680290.0,0.0177
2004-10-29,37.4,36.45,37.4,33.43,775620.0,0.0158
2004-11-01,37.11,37.01,37.51,36.7,137370.0,-0.0078000000000000005
2004-11-02,36.32,36.97,37.24,36.17,118480.0,-0.0213
2004-11-03,36.68,36.93,37.27,36.18,148330.0,0.009899999999999999
2004-11-04,37.0,36.19,37.17,35.84,171720.0,0.0087
2004-11-05,37.01,36.75,37.45,36.36,69580.0,0.0003
2004-11-08,35.65,37.23,37.27,35.47,348590.0,-0.036699999999999997
2004-11-09,35.84,35.79,36.14,35.55,142790.0,0.0053
2004-11-10,34.56,35.89,36.09,33.6,855380.0,-0.035699999999999996
2004-11-11,33.7,34.7,35.52,33.2,978920.0,-0.024900000000000002
2004-11-12,33.71,33.49,34.34,33.39,746520.0,0.0003
2004-11-15,35.37,33.91,35.38,33.75,422800.0,0.0492
2004-11-16,35.21,35.5,35.99,34.75,170250.0,-0.0045000000000000005
2004-11-17,34.28,35.4,35.9,33.91,313900.0,-0.0264
2004-11-18,34.13,34.8,34.86,34.0,226150.0,-0.0044
2004-11-19,34.34,33.95,34.38,33.93,258980.00000000003,0.0062
2004-11-22,34.67,34.5,34.69,34.17,286320.0,0.0096
2004-11-23,35.13,34.69,35.13,34.22,225150.0,0.013300000000000001
2004-11-24,35.37,34.77,35.71,34.77,159420.0,0.0068000000000000005
2004-11-26,35.01,35.5,35.5,34.9,27420.0,-0.0102
2004-11-29,35.66,35.33,35.69,34.63,363770.0,0.018600000000000002
2004-11-30,35.65,35.75,35.95,35.51,640130.0,-0.0003
2004-12-01,34.74,35.64,35.65,34.74,176960.0,-0.0255
2004-12-02,34.56,33.75,34.75,33.32,643120.0,-0.0052
2004-12-03,33.28,34.41,34.58,32.51,1700000.0,-0.037000000000000005
2004-12-06,32.93,32.9,33.4,32.83,184240.0,-0.0105
2004-12-07,32.93,32.83,33.91,32.83,311300.0,0.0
2004-12-08,32.64,30.02,32.64,29.9,2360000.0,-0.0088
2004-12-09,31.48,32.12,32.22,31.13,670000.0,-0.0355
2004-12-10,31.39,31.28,31.57,31.05,236650.0,-0.0029
2004-12-13,32.04,31.58,32.04,31.35,175800.0,0.0207
2004-12-14,32.34,32.17,32.41,31.92,527360.0,0.009399999999999999
2004-12-15,32.89,32.08,32.91,32.08,120760.0,0.017
2004-12-16,33.21,32.74,33.54,32.71,743640.0,0.0097
2004-12-17,32.66,32.98,33.14,32.5,316570.0,-0.0166
2004-12-20,33.13,32.54,33.27,32.5,653370.0,0.0144
2004-12-21,35.56,31.96,35.89,31.26,659170.0,0.0733
2004-12-22,34.17,35.48,35.5,33.96,528680.0,-0.0391
2004-12-23,34.66,33.88,35.0,33.88,142780.0,0.0143
2004-12-27,34.12,34.7,34.81,33.86,178590.0,-0.015600000000000001
2004-12-28,34.13,34.15,34.31,33.55,375540.0,0.0003
2004-12-29,34.02,34.02,34.55,33.67,321510.0,-0.0032
2004-12-30,34.5,33.91,34.69,33.91,189270.0,0.0141
2004-12-31,34.16,34.42,34.48,33.83,101680.0,-0.009899999999999999
2005-01-03,34.52,34.18,34.52,33.82,261570.0,0.0105
2005-01-04,33.46,34.46,34.63,33.21,195310.0,-0.030699999999999998
2005-01-05,33.41,33.22,33.97,33.21,118220.0,-0.0015
2005-01-06,34.06,33.4,34.17,33.02,97570.0,0.0195
2005-01-07,33.91,34.0,34.84,33.91,181220.0,-0.0044
2005-01-10,33.56,33.99,34.15,32.9,562310.0,-0.0103
2005-01-11,33.71,33.4,33.83,33.16,219170.0,0.0045000000000000005
2005-01-12,34.92,33.9,35.02,33.65,281320.0,0.0359
2005-01-13,34.97,35.04,35.13,34.44,405980.0,0.0014000000000000002
2005-01-14,36.21,35.15,36.49,35.08,388140.0,0.0355
2005-01-18,35.6,36.0,36.0,35.32,302580.0,-0.0168
2005-01-19,35.87,35.5,36.11,35.24,205510.0,0.0076
2005-01-20,35.39,35.69,35.77,34.84,275970.0,-0.0134
2005-01-21,36.39,35.57,37.05,35.1,301500.0,0.028300000000000002
2005-01-24,36.16,36.67,36.82,36.0,149460.0,-0.0063
2005-01-25,36.56,36.08,36.6,35.89,158970.0,0.0111
2005-01-26,36.56,36.68,37.0,36.13,146050.0,0.0
2005-01-27,36.27,36.6,37.17,35.88,180450.0,-0.0079
2005-01-28,36.97,36.55,37.27,36.12,282660.0,0.019299999999999998
2005-01-31,37.14,37.0,37.14,36.39,378240.0,0.0046
2005-02-01,37.0,36.81,37.15,36.42,111980.0,-0.0038
2005-02-02,36.8,36.75,37.0,36.55,97060.0,-0.0054
2005-02-03,36.48,36.51,36.78,36.39,136180.0,-0.0087
2005-02-04,37.0,36.49,37.29,36.42,91560.0,0.0143
2005-02-07,37.0,36.9,37.38,36.52,158260.0,0.0
2005-02-08,36.1,36.85,37.4,35.68,164640.0,-0.024300000000000002
2005-02-09,34.88,36.22,36.22,34.88,98440.0,-0.0338
2005-02-10,35.12,34.83,35.46,34.5,232160.0,0.0069
2005-02-11,33.81,34.9,35.01,33.6,554810.0,-0.0373
2005-02-14,33.59,33.8,33.97,33.22,292840.0,-0.006500000000000001
2005-02-15,33.39,33.48,33.91,33.3,177540.0,-0.006
2005-02-16,33.26,33.22,33.4,32.67,375750.0,-0.0039000000000000003
2005-02-17,33.0,33.25,33.49,32.9,207240.0,-0.0078000000000000005
2005-02-18,33.03,33.16,33.21,32.84,108550.0,0.0009
2005-02-22,33.24,33.01,33.78,33.01,136410.0,0.0064
2005-02-23,33.06,33.46,33.46,33.01,98080.0,-0.0054
2005-02-24,33.84,33.41,33.9,33.0,127510.0,0.0236
2005-02-25,34.43,33.8,34.64,33.8,116830.0,0.0174
2005-02-28,34.18,34.43,34.43,33.66,207810.0,-0.0073
2005-03-01,34.72,34.4,34.93,34.3,128490.00000000001,0.0158
2005-03-02,34.21,34.9,35.3,34.01,122720.0,-0.0147
2005-03-03,34.87,34.21,35.45,34.19,402390.0,0.019299999999999998
2005-03-04,34.92,35.0,35.34,34.62,178360.0,0.0014000000000000002
2005-03-07,35.11,34.79,35.46,34.77,353830.0,0.0054
2005-03-08,33.89,35.08,35.08,33.86,87460.0,-0.0347
2005-03-09,33.86,33.8,34.13,33.3,155270.0,-0.0009
2005-03-10,35.08,34.06,35.5,33.73,209080.0,0.036000000000000004
2005-03-11,34.74,35.2,35.3,34.48,81160.0,-0.0097
2005-03-14,34.43,34.5,34.81,33.9,192820.0,-0.0089
2005-03-15,35.45,34.64,36.14,34.64,254070.0,0.0296
2005-03-16,34.85,35.5,35.84,34.56,128039.99999999999,-0.0169
2005-03-17,34.97,35.05,35.49,34.75,129800.00000000001,0.0034000000000000002
2005-03-18,34.85,34.93,35.09,34.29,247870.0,-0.0034000000000000002
2005-03-21,34.99,34.79,35.47,34.57,392410.0,0.004
2005-03-22,35.1,34.89,35.3,34.21,303060.0,0.0031
2005-03-23,35.0,34.87,35.48,34.6,205530.0,-0.0028000000000000004
2005-03-24,35.15,35.24,35.75,34.94,247160.0,0.0043
2005-03-28,35.05,35.04,35.33,34.95,305530.0,-0.0028000000000000004
2005-03-29,34.0,35.15,35.15,33.93,449630.0,-0.03
2005-03-30,33.7,34.04,34.59,33.11,736620.0,-0.0088
2005-03-31,34.05,33.5,34.2,33.5,275490.0,0.0104
2005-04-01,34.14,34.29,34.83,33.84,252110.0,0.0026
2005-04-04,34.37,34.02,34.68,34.0,216120.0,0.0067
2005-04-05,34.49,34.44,34.9,34.26,123060.0,0.0034999999999999996
2005-04-06,34.71,34.54,35.04,34.39,70400.0,0.0064
2005-04-07,34.41,34.74,34.74,34.27,76970.0,-0.0086
2005-04-08,34.0,34.2,34.42,33.89,80610.0,-0.011899999999999999
2005-04-11,33.68,33.91,34.51,33.64,77580.0,-0.009399999999999999
2005-04-12,34.41,33.59,34.57,33.57,114000.0,0.0217
2005-04-13,33.55,34.59,34.59,33.55,183750.0,-0.025
2005-04-14,32.9,33.54,33.78,32.77,216930.0,-0.0194
