Date,Close,Open,High,Low,Volume,Change
2020-11-20,9.86,10.03,10.03,9.85,2430.0,0.001
2020-11-23,10.01,10.12,10.12,10.01,380.0,0.0154
2020-11-24,9.94,9.9,9.94,9.9,3490.0,-0.0072
2020-11-25,9.85,9.96,9.99,9.85,44800.0,-0.0091
2020-11-27,9.9,9.9,9.9,9.9,420.0,0.0046
2020-11-30,9.92,10.15,10.15,9.9,193610.0,0.0025
2020-12-01,9.99,10.0,10.0,9.99,570.0,0.0068000000000000005
2020-12-02,9.98,9.92,10.05,9.92,52160.0,-0.0008
2020-12-03,9.91,10.02,10.05,9.91,16870.0,-0.006999999999999999
2020-12-04,9.95,10.05,10.1,9.9,216200.0,0.004
2020-12-07,9.97,10.0,10.17,9.95,317580.0,0.002
2020-12-08,9.97,10.07,10.07,9.9,130199.99999999999,0.0
2020-12-09,10.06,10.18,10.18,9.97,46780.0,0.009000000000000001
2020-12-10,10.01,10.0,10.05,9.99,285190.0,-0.005
2020-12-11,10.02,10.01,10.1,10.01,25710.0,0.001
2020-12-14,10.05,10.52,10.52,10.03,39770.0,0.003
2020-12-15,10.04,10.02,10.04,10.02,1840.0,-0.001
2020-12-16,10.08,10.08,10.08,10.08,290.0,0.0037
2020-12-17,10.02,10.06,10.17,9.99,65120.00000000001,-0.005699999999999999
2020-12-18,10.05,10.01,10.1,10.01,12700.0,0.003
2020-12-21,10.02,10.05,10.07,10.01,12750.0,-0.003
2020-12-22,10.04,10.08,10.1,10.01,40110.0,0.002
2020-12-23,10.13,10.07,10.13,10.01,17180.0,0.009000000000000001
2020-12-24,10.1,10.94,10.94,10.01,118740.0,-0.003
2020-12-28,10.1,10.1,10.19,10.06,67750.0,0.0
2020-12-29,10.08,10.12,10.13,10.07,3460.0,-0.002
2020-12-30,10.13,10.09,10.14,10.05,15080.0,0.005
2020-12-31,10.03,10.13,10.14,10.03,63900.0,-0.009899999999999999
2021-01-04,10.13,10.05,10.17,10.05,24060.0,0.0095
2021-01-05,10.08,10.07,10.1,10.0,26750.0,-0.0044
