Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.77,0.77,0.79,0.77,6130000.0,-0.0375
1980-03-19,0.77,0.77,0.8,0.77,2300000.0,0.0
1980-03-20,0.75,0.75,0.78,0.75,1830000.0,-0.026000000000000002
1980-03-21,0.75,0.75,0.77,0.75,1700000.0,0.0
1980-03-24,0.67,0.67,0.69,0.67,1820000.0,-0.1067
1980-03-25,0.67,0.67,0.7,0.67,1690000.0,0.0
1980-03-26,0.66,0.66,0.68,0.66,816000.0,-0.0149
1980-03-27,0.53,0.53,0.55,0.53,2620000.0,-0.19699999999999998
1980-03-28,0.59,0.59,0.61,0.59,6540000.0,0.11320000000000001
1980-03-31,0.61,0.61,0.63,0.61,3320000.0,0.0339
1980-04-01,0.69,0.69,0.71,0.69,4360000.0,0.1311
1980-04-02,0.74,0.74,0.77,0.74,4070000.0000000005,0.0725
1980-04-03,0.74,0.74,0.77,0.74,1530000.0,0.0
1980-04-07,0.71,0.71,0.73,0.71,1890000.0,-0.0405
1980-04-08,0.73,0.73,0.76,0.73,1790000.0,0.0282
1980-04-09,0.75,0.75,0.77,0.75,2860000.0,0.0274
1980-04-10,0.75,0.75,0.77,0.75,1690000.0,0.0
1980-04-11,0.74,0.74,0.76,0.74,2200000.0,-0.013300000000000001
1980-04-14,0.71,0.71,0.73,0.71,1340000.0,-0.0405
1980-04-15,0.7,0.7,0.72,0.7,1310000.0,-0.0141
1980-04-16,0.67,0.67,0.69,0.67,1870000.0,-0.0429
1980-04-17,0.8,0.8,0.83,0.8,7640000.0,0.19399999999999998
1980-04-18,0.81,0.81,0.83,0.81,5680000.0,0.0125
1980-04-21,0.78,0.78,0.8,0.78,3270000.0,-0.037000000000000005
1980-04-22,0.81,0.81,0.83,0.81,3610000.0,0.0385
1980-04-23,0.79,0.79,0.8,0.79,2520000.0,-0.024700000000000003
1980-04-24,0.82,0.82,0.84,0.82,3160000.0,0.038
1980-04-25,0.8,0.8,0.82,0.8,1860000.0,-0.024399999999999998
1980-04-28,0.8,0.8,0.81,0.8,1940000.0,0.0
1980-04-29,0.8,0.8,0.82,0.8,1450000.0,0.0
1980-04-30,0.8,0.8,0.82,0.8,2360000.0,0.0
1980-05-01,0.83,0.83,0.85,0.83,4280000.0,0.0375
1980-05-02,0.92,0.92,0.93,0.92,8400000.0,0.1084
1980-05-05,0.86,0.86,0.88,0.86,4760000.0,-0.0652
1980-05-06,0.84,0.84,0.85,0.84,2140000.0,-0.0233
1980-05-07,0.84,0.84,0.85,0.84,1550000.0,0.0
1980-05-08,0.82,0.82,0.84,0.82,1920000.0,-0.023799999999999998
1980-05-09,0.8,0.8,0.82,0.8,1620000.0,-0.024399999999999998
1980-05-12,0.78,0.78,0.8,0.78,2490000.0,-0.025
1980-05-13,0.81,0.81,0.83,0.81,4580000.0,0.0385
1980-05-14,0.79,0.79,0.8,0.79,934400.0,-0.024700000000000003
1980-05-15,0.8,0.8,0.81,0.8,1370000.0,0.0127
1980-05-16,0.8,0.8,0.82,0.8,1150000.0,0.0
1980-05-19,0.8,0.8,0.81,0.8,899200.0,0.0
1980-05-20,0.8,0.8,0.81,0.8,976000.0,0.0
1980-05-21,0.78,0.78,0.8,0.78,806400.0,-0.025
1980-05-22,0.78,0.78,0.8,0.78,1910000.0,0.0
1980-05-23,0.83,0.83,0.85,0.83,3300000.0,0.0641
1980-05-27,0.8,0.8,0.82,0.8,2080000.0,-0.0361
1980-05-28,0.8,0.8,0.81,0.8,1740000.0,0.0
1980-05-29,0.78,0.78,0.79,0.78,1560000.0,-0.025
1980-05-30,0.79,0.79,0.8,0.79,1570000.0,0.0128
1980-06-02,0.8,0.8,0.82,0.8,2790000.0,0.0127
1980-06-03,0.8,0.8,0.81,0.8,1190000.0,0.0
1980-06-04,0.8,0.8,0.82,0.8,2570000.0,0.0
1980-06-05,0.85,0.85,0.87,0.85,4360000.0,0.0625
1980-06-06,0.88,0.88,0.89,0.88,3670000.0,0.0353
1980-06-09,0.83,0.83,0.84,0.83,2600000.0,-0.056799999999999996
1980-06-10,0.84,0.84,0.86,0.84,2290000.0,0.012
1980-06-11,0.83,0.83,0.84,0.83,1170000.0,-0.011899999999999999
1980-06-12,0.83,0.83,0.84,0.83,1120000.0,0.0
1980-06-13,0.84,0.84,0.86,0.84,1080000.0,0.012
1980-06-16,0.82,0.82,0.84,0.82,499200.0,-0.023799999999999998
1980-06-17,0.82,0.82,0.84,0.82,1380000.0,0.0
1980-06-18,0.83,0.83,0.85,0.83,1230000.0,0.012199999999999999
1980-06-19,0.82,0.82,0.84,0.82,1800000.0,-0.012
1980-06-20,0.81,0.81,0.83,0.81,1080000.0,-0.012199999999999999
1980-06-23,0.82,0.82,0.83,0.82,416000.0,0.0123
1980-06-24,0.82,0.82,0.83,0.82,822400.0,0.0
1980-06-25,0.82,0.82,0.83,0.82,800000.0,0.0
1980-06-26,0.78,0.78,0.8,0.78,857600.0,-0.048799999999999996
1980-06-27,0.8,0.8,0.81,0.8,1270000.0,0.0256
1980-06-30,0.77,0.77,0.79,0.77,1370000.0,-0.0375
1980-07-01,0.76,0.76,0.77,0.76,1570000.0,-0.013000000000000001
1980-07-02,0.78,0.78,0.8,0.78,1160000.0,0.0263
1980-07-03,0.79,0.79,0.8,0.79,736000.0,0.0128
1980-07-07,0.8,0.8,0.8,0.8,1070000.0,0.0127
1980-07-08,0.79,0.79,0.8,0.79,1090000.0,-0.0125
1980-07-09,0.78,0.78,0.79,0.78,1220000.0,-0.0127
1980-07-10,0.77,0.77,0.78,0.77,521600.0,-0.0128
1980-07-11,0.77,0.77,0.77,0.77,934400.0,0.0
1980-07-14,0.77,0.77,0.78,0.77,524800.0,0.0
1980-07-15,0.77,0.77,0.78,0.77,675200.0,0.0
1980-07-16,0.79,0.79,0.8,0.79,1610000.0,0.026000000000000002
1980-07-17,0.81,0.81,0.82,0.81,2430000.0,0.0253
1980-07-18,0.82,0.82,0.82,0.82,2180000.0,0.0123
1980-07-21,0.81,0.81,0.82,0.81,390400.0,-0.012199999999999999
1980-07-22,0.82,0.82,0.82,0.82,761600.0,0.0123
1980-07-23,0.82,0.82,0.83,0.82,1300000.0,0.0
1980-07-24,0.82,0.82,0.82,0.82,758400.0,0.0
1980-07-25,0.81,0.81,0.82,0.81,684800.0,-0.012199999999999999
1980-07-28,0.82,0.82,0.82,0.82,1260000.0,0.0123
1980-07-29,0.83,0.83,0.84,0.83,1110000.0,0.012199999999999999
1980-07-30,0.82,0.82,0.83,0.82,880000.0,-0.012
1980-07-31,0.81,0.81,0.82,0.81,716800.0,-0.012199999999999999
1980-08-01,0.79,0.79,0.8,0.79,960000.0,-0.024700000000000003
1980-08-04,0.77,0.77,0.77,0.77,892800.0,-0.0253
1980-08-05,0.77,0.77,0.78,0.77,1080000.0,0.0
1980-08-06,0.78,0.78,0.78,0.78,374400.0,0.013000000000000001
1980-08-07,0.84,0.84,0.84,0.84,1880000.0,0.07690000000000001
1980-08-08,0.84,0.84,0.84,0.84,2270000.0,0.0
1980-08-11,0.84,0.84,0.85,0.84,1060000.0,0.0
1980-08-12,0.84,0.84,0.84,0.84,1160000.0,0.0
1980-08-13,0.83,0.83,0.84,0.83,518400.0,-0.011899999999999999
1980-08-14,0.82,0.82,0.83,0.82,243200.0,-0.012
1980-08-15,0.82,0.82,0.82,0.82,832000.0,0.0
1980-08-18,0.82,0.82,0.82,0.82,771200.0,0.0
1980-08-19,0.82,0.82,0.82,0.82,828800.0,0.0
