Date,Close,Open,High,Low,Volume,Change
2020-09-15,10.0,10.1,10.4,9.89,173860.0,0.013300000000000001
2020-09-16,10.11,10.0,10.11,9.93,101070.0,0.011000000000000001
2020-09-17,10.01,10.08,10.08,10.0,4770.0,-0.009899999999999999
2020-09-18,10.05,10.0,10.13,9.855,104400.0,0.004
2020-09-21,9.97,10.0,10.0,9.96,91290.0,-0.008
2020-09-22,9.94,10.1,10.1,9.89,30760.0,-0.003
2020-09-23,9.89,9.91,9.92,9.86,46480.0,-0.005
2020-09-24,9.9,9.85,9.91,9.85,64510.00000000001,0.001
2020-09-25,9.91,9.91,9.91,9.83,2380.0,0.001
2020-09-28,9.96,9.96,9.976,9.91,263480.0,0.005
2020-09-29,9.95,9.98,9.98,9.9,42150.0,-0.001
2020-09-30,9.94,9.91,9.99,9.9,72280.0,-0.001
2020-10-01,9.95,9.94,10.06,9.92,138540.0,0.001
2020-10-02,9.93,9.948,9.99,9.9,19780.0,-0.002
2020-10-05,9.94,9.882,9.95,9.85,112290.0,0.001
2020-10-06,9.94,9.986,10.02,9.94,14400.0,0.0
2020-10-07,9.865,9.95,9.95,9.85,571340.0,-0.0075
2020-10-08,9.875,9.895,9.91,9.87,6780.0,0.001
2020-10-09,9.85,9.91,9.91,9.82,313370.0,-0.0025
2020-10-12,9.8,9.85,9.93,9.8,101940.0,-0.0051
2020-10-13,9.826,9.86,9.88,9.826,34220.0,0.0027
2020-10-14,9.77,9.84,9.855,9.77,12210.0,-0.005699999999999999
2020-10-15,9.85,9.86,9.91,9.78,459650.0,0.008199999999999999
2020-10-16,9.96,9.9,9.96,9.8,63270.0,0.011200000000000002
2020-10-19,9.87,9.99,9.99,9.76,35620.0,-0.009000000000000001
2020-10-20,9.825,9.83,9.87,9.8,505950.0,-0.0046
2020-10-21,9.8,9.93,9.93,9.78,55810.0,-0.0025
2020-10-22,9.75,9.76,9.8,9.75,24240.0,-0.0051
2020-10-23,9.75,9.74,9.775,9.74,126190.0,0.0
2020-10-26,9.75,9.79,9.82,9.75,38130.0,0.0
2020-10-27,9.77,9.75,9.8,9.75,4160.0,0.0021
2020-10-28,9.72,9.77,9.77,9.72,9310.0,-0.0051
2020-10-29,9.75,9.82,9.82,9.715,125540.0,0.0031
2020-10-30,9.78,9.57,9.79,9.57,24400.0,0.0031
2020-11-02,9.78,9.78,9.78,9.67,33990.0,0.0
2020-11-03,9.776,9.75,9.776,9.69,5650.0,-0.0004
2020-11-04,9.75,9.77,9.77,9.75,11560.0,-0.0027
2020-11-05,9.799,9.77,9.83,9.77,6190.0,0.0051
2020-11-06,9.77,9.75,9.775,9.72,103070.0,-0.003
2020-11-09,9.74,9.85,9.85,9.736,4130.0,-0.0031
2020-11-10,9.74,9.79,9.79,9.6,50400.0,0.0
2020-11-11,9.75,9.7,9.75,9.7,3290.0,0.001
2020-11-12,9.75,9.73,9.755,9.73,2870.0,0.0
2020-11-16,9.82,9.78,9.84,9.72,84190.0,0.0072
2020-11-17,9.85,9.85,9.87,9.812999999999999,5210.0,0.0031
2020-11-18,9.77,9.76,9.85,9.76,12830.0,-0.008100000000000001
2020-11-19,9.8,9.95,9.95,9.76,19500.0,0.0031
2020-11-20,9.85,9.76,9.87,9.76,16700.0,0.0051
2020-11-23,9.85,9.89,9.89,9.76,63930.0,0.0
2020-11-24,9.86,9.85,9.869,9.84,320970.0,0.001
2020-11-25,9.86,9.85,9.88,9.85,184380.0,0.0
2020-11-27,9.87,9.87,9.95,9.85,23770.0,0.001
2020-11-30,9.95,9.97,9.97,9.924,59490.0,0.008100000000000001
