Date,Close,Open,High,Low,Volume,Change
1990-05-16,0.84,0.84,0.91,0.84,5210.0,0.0
1990-05-18,0.84,0.84,0.91,0.84,5210.0,0.0
1990-05-21,0.84,0.84,0.91,0.84,7810.0,0.0
1990-05-23,0.84,0.84,0.91,0.84,11980.0,0.0
1990-05-31,0.82,0.82,0.89,0.82,17190.0,-0.023799999999999998
1990-06-06,0.84,0.84,0.89,0.84,1040.0,0.024399999999999998
1990-06-11,0.84,0.84,0.91,0.84,6250.0,0.0
1990-06-13,0.86,0.86,0.94,0.86,17710.0,0.023799999999999998
1990-06-15,0.86,0.86,0.94,0.86,8850.0,0.0
1990-06-18,0.89,0.89,0.96,0.89,43750.0,0.0349
1990-06-19,0.89,0.89,0.96,0.89,140.0,0.0
1990-06-20,0.89,0.89,0.96,0.89,1040.0,0.0
1990-06-21,0.91,0.91,0.96,0.91,22920.0,0.0225
1990-06-26,0.89,0.89,0.98,0.89,6770.0,-0.022000000000000002
1990-06-27,0.91,0.91,0.98,0.91,11460.0,0.0225
1990-06-28,1.03,1.03,1.1,1.03,43750.0,0.1319
1990-06-29,1.08,1.08,1.15,1.08,21350.0,0.048499999999999995
1990-07-02,1.2,1.2,1.25,1.2,47920.0,0.11109999999999999
1990-07-03,1.2,1.2,1.27,1.2,64060.0,0.0
1990-07-05,1.2,1.2,1.27,1.2,11980.0,0.0
1990-07-06,1.2,1.2,1.25,1.2,15630.0,0.0
1990-07-09,1.25,1.25,1.34,1.25,30730.0,0.0417
1990-07-10,1.22,1.22,1.3,1.22,26560.0,-0.024
1990-07-11,1.25,1.25,1.32,1.25,31250.0,0.0246
1990-07-12,1.27,1.27,1.34,1.27,8850.0,0.016
1990-07-13,1.27,1.27,1.34,1.27,3130.0,0.0
1990-07-16,1.27,1.27,1.34,1.27,7810.0,0.0
1990-07-17,1.25,1.25,1.32,1.25,47400.0,-0.015700000000000002
1990-07-18,1.22,1.22,1.3,1.22,10940.0,-0.024
1990-07-19,1.13,1.13,1.2,1.13,33850.0,-0.0738
1990-07-20,1.18,1.18,1.22,1.18,39580.0,0.044199999999999996
1990-07-23,1.03,1.03,1.06,1.03,88540.0,-0.12710000000000002
1990-07-24,1.03,1.03,1.1,1.03,16670.0,0.0
1990-07-26,1.1,1.1,1.2,1.1,11980.0,0.068
1990-07-27,1.15,1.15,1.22,1.15,12500.0,0.0455
1990-07-30,1.1,1.1,1.2,1.1,11460.0,-0.0435
1990-08-01,1.15,1.15,1.25,1.15,20830.0,0.0455
1990-08-03,1.1,1.1,1.2,1.1,44790.0,-0.0435
1990-08-06,1.1,1.1,1.2,1.1,16670.0,0.0
1990-08-07,1.1,1.1,1.2,1.1,2600.0,0.0
1990-08-09,1.1,1.1,1.22,1.1,1040.0,0.0
1990-08-13,1.1,1.1,1.2,1.1,1040.0,0.0
1990-08-14,1.15,1.15,1.25,1.15,37500.0,0.0455
1990-08-15,1.18,1.18,1.25,1.18,24480.0,0.026099999999999998
1990-08-16,1.2,1.2,1.3,1.2,20830.0,0.0169
1990-08-17,1.2,1.2,1.27,1.2,5210.0,0.0
1990-08-20,1.2,1.2,1.27,1.2,42190.0,0.0
1990-08-21,1.13,1.13,1.2,1.13,2600.0,-0.0583
