Date,Close,Open,High,Low,Volume,Change
1980-03-18,0.29,0.29,0.3,0.29,6220000.0,0.0
1980-03-19,0.3,0.3,0.3,0.29,4290000.0,0.0345
1980-03-20,0.3,0.3,0.3,0.29,2820000.0,0.0
1980-03-21,0.3,0.3,0.3,0.3,3550000.0,0.0
1980-03-24,0.3,0.3,0.3,0.3,2000000.0,0.0
1980-03-25,0.31,0.31,0.31,0.3,2480000.0,0.0333
1980-03-26,0.32,0.32,0.32,0.31,3430000.0,0.0323
1980-03-27,0.32,0.32,0.32,0.31,4310000.0,0.0
1980-03-28,0.33,0.33,0.34,0.31,7040000.0,0.0313
1980-03-31,0.33,0.33,0.33,0.33,3720000.0,0.0
1980-04-01,0.33,0.33,0.33,0.32,3350000.0,0.0
1980-04-02,0.33,0.33,0.34,0.33,6320000.0,0.0
1980-04-03,0.33,0.33,0.34,0.33,2740000.0,0.0
1980-04-07,0.33,0.33,0.33,0.32,5310000.0,0.0
1980-04-08,0.33,0.33,0.33,0.32,4099999.9999999995,0.0
1980-04-09,0.34,0.34,0.34,0.33,3040000.0,0.030299999999999997
1980-04-10,0.34,0.34,0.34,0.33,3440000.0,0.0
1980-04-11,0.33,0.33,0.34,0.33,2060000.0,-0.0294
1980-04-14,0.34,0.34,0.34,0.33,1010000.0,0.030299999999999997
1980-04-15,0.34,0.34,0.34,0.33,2710000.0,0.0
1980-04-16,0.33,0.33,0.35,0.33,5090000.0,-0.0294
1980-04-17,0.35,0.35,0.35,0.34,2490000.0,0.060599999999999994
1980-04-18,0.34,0.34,0.35,0.34,3300000.0,-0.0286
1980-04-21,0.34,0.34,0.34,0.34,931200.0,0.0
1980-04-22,0.35,0.35,0.35,0.35,2540000.0,0.0294
1980-04-23,0.35,0.35,0.37,0.35,6910000.0,0.0
1980-04-24,0.36,0.36,0.36,0.35,3220000.0,0.0286
1980-04-25,0.36,0.36,0.36,0.35,3130000.0,0.0
1980-04-28,0.37,0.37,0.37,0.36,2860000.0,0.0278
1980-04-29,0.36,0.36,0.37,0.36,2000000.0,-0.027000000000000003
1980-04-30,0.37,0.37,0.37,0.36,2360000.0,0.0278
1980-05-01,0.37,0.37,0.37,0.36,4550000.0,0.0
1980-05-02,0.37,0.37,0.37,0.36,1820000.0,0.0
1980-05-05,0.37,0.37,0.37,0.37,2750000.0,0.0
1980-05-06,0.38,0.38,0.38,0.37,5340000.0,0.027000000000000003
1980-05-07,0.37,0.37,0.38,0.37,3600000.0,-0.0263
1980-05-08,0.37,0.37,0.37,0.37,1980000.0,0.0
1980-05-09,0.37,0.37,0.37,0.36,2970000.0,0.0
1980-05-12,0.37,0.37,0.37,0.36,2520000.0,0.0
1980-05-13,0.38,0.38,0.38,0.37,4450000.0,0.027000000000000003
1980-05-14,0.39,0.39,0.39,0.38,5500000.0,0.0263
1980-05-15,0.38,0.38,0.39,0.38,3790000.0,-0.0256
1980-05-16,0.38,0.38,0.38,0.37,2330000.0,0.0
1980-05-19,0.38,0.38,0.39,0.38,2500000.0,0.0
1980-05-20,0.38,0.38,0.38,0.38,2089999.9999999998,0.0
1980-05-21,0.38,0.38,0.38,0.38,9250000.0,0.0
1980-05-22,0.37,0.37,0.38,0.37,13610000.0,-0.0263
1980-05-23,0.37,0.37,0.37,0.36,11820000.0,0.0
1980-05-27,0.37,0.37,0.37,0.36,10220000.0,0.0
1980-05-28,0.37,0.37,0.37,0.36,5480000.0,0.0
1980-05-29,0.37,0.37,0.37,0.36,2720000.0,0.0
1980-05-30,0.37,0.37,0.37,0.36,2610000.0,0.0
1980-06-02,0.36,0.36,0.37,0.36,2880000.0,-0.027000000000000003
1980-06-03,0.37,0.37,0.37,0.36,2520000.0,0.0278
1980-06-04,0.38,0.38,0.38,0.36,2510000.0,0.027000000000000003
1980-06-05,0.38,0.38,0.38,0.37,3150000.0,0.0
1980-06-06,0.38,0.38,0.38,0.37,2780000.0,0.0
1980-06-09,0.38,0.38,0.38,0.38,2120000.0,0.0
1980-06-10,0.38,0.38,0.38,0.38,2530000.0,0.0
1980-06-11,0.39,0.39,0.39,0.38,4950000.0,0.0263
1980-06-12,0.39,0.39,0.39,0.39,5750000.0,0.0
1980-06-13,0.39,0.39,0.39,0.39,2360000.0,0.0
1980-06-16,0.39,0.39,0.4,0.39,3250000.0,0.0
1980-06-17,0.39,0.39,0.39,0.39,4030000.0000000005,0.0
1980-06-18,0.39,0.39,0.39,0.39,5120000.0,0.0
1980-06-19,0.38,0.38,0.39,0.38,2980000.0,-0.0256
1980-06-20,0.38,0.38,0.38,0.38,1640000.0,0.0
1980-06-23,0.38,0.38,0.39,0.38,3110000.0,0.0
1980-06-24,0.39,0.39,0.39,0.38,3870000.0,0.0263
1980-06-25,0.4,0.4,0.4,0.39,4400000.0,0.0256
1980-06-26,0.39,0.39,0.4,0.39,2760000.0,-0.025
1980-06-27,0.39,0.39,0.39,0.39,2290000.0,0.0
1980-06-30,0.39,0.39,0.4,0.39,2040000.0,0.0
1980-07-01,0.39,0.39,0.39,0.39,3020000.0,0.0
1980-07-02,0.39,0.39,0.39,0.39,2590000.0,0.0
1980-07-03,0.4,0.4,0.4,0.39,3480000.0,0.0256
1980-07-07,0.41,0.41,0.41,0.4,2860000.0,0.025
1980-07-08,0.4,0.4,0.41,0.4,4070000.0000000005,-0.024399999999999998
1980-07-09,0.4,0.4,0.4,0.4,4110000.0000000005,0.0
1980-07-10,0.39,0.39,0.4,0.39,2170000.0,-0.025
1980-07-11,0.38,0.38,0.39,0.38,4250000.0,-0.0256
1980-07-14,0.39,0.39,0.39,0.38,1990000.0,0.0263
1980-07-15,0.39,0.39,0.4,0.39,4810000.0,0.0
1980-07-16,0.39,0.39,0.4,0.39,3710000.0,0.0
1980-07-17,0.41,0.41,0.41,0.39,4590000.0,0.0513
1980-07-18,0.41,0.41,0.41,0.41,3790000.0,0.0
1980-07-21,0.41,0.41,0.41,0.4,2080000.0,0.0
1980-07-22,0.41,0.41,0.42,0.4,4420000.0,0.0
1980-07-23,0.41,0.41,0.42,0.41,2140000.0,0.0
1980-07-24,0.41,0.41,0.41,0.41,2210000.0,0.0
1980-07-25,0.41,0.41,0.41,0.41,2900000.0,0.0
1980-07-28,0.41,0.41,0.41,0.41,1640000.0,0.0
1980-07-29,0.42,0.42,0.42,0.41,2080000.0,0.024399999999999998
1980-07-30,0.43,0.43,0.43,0.41,3640000.0,0.023799999999999998
1980-07-31,0.44,0.44,0.44,0.42,5500000.0,0.0233
1980-08-01,0.44,0.44,0.44,0.43,5780000.0,0.0
1980-08-04,0.43,0.43,0.44,0.43,4000000.0,-0.0227
1980-08-05,0.44,0.44,0.44,0.43,2640000.0,0.0233
1980-08-06,0.44,0.44,0.44,0.43,2710000.0,0.0
1980-08-07,0.44,0.44,0.44,0.44,1930000.0,0.0
1980-08-08,0.44,0.44,0.44,0.44,2680000.0,0.0
1980-08-11,0.45,0.45,0.45,0.44,1940000.0,0.0227
1980-08-12,0.44,0.44,0.45,0.44,2240000.0,-0.0222
1980-08-13,0.44,0.44,0.44,0.44,2200000.0,0.0
1980-08-14,0.45,0.45,0.45,0.44,2960000.0,0.0227
1980-08-15,0.46,0.46,0.47,0.45,4390000.0,0.0222
1980-08-18,0.44,0.44,0.46,0.44,7490000.0,-0.0435
1980-08-19,0.44,0.44,0.45,0.43,5270000.0,0.0
1980-08-20,0.44,0.44,0.45,0.44,3040000.0,0.0
1980-08-21,0.47,0.47,0.47,0.44,6160000.0,0.0682
1980-08-22,0.46,0.46,0.47,0.45,3080000.0,-0.0213
1980-08-25,0.45,0.45,0.46,0.45,2330000.0,-0.0217
1980-08-26,0.45,0.45,0.46,0.45,3130000.0,0.0
1980-08-27,0.44,0.44,0.44,0.44,4580000.0,-0.0222
1980-08-28,0.42,0.42,0.43,0.42,4750000.0,-0.0455
1980-08-29,0.43,0.43,0.43,0.42,2220000.0,0.023799999999999998
1980-09-02,0.43,0.43,0.44,0.43,2630000.0,0.0
1980-09-03,0.44,0.44,0.44,0.44,3310000.0,0.0233
1980-09-04,0.44,0.44,0.44,0.44,3890000.0,0.0
1980-09-05,0.43,0.43,0.44,0.43,3170000.0,-0.0227
1980-09-08,0.42,0.42,0.43,0.41,14570000.0,-0.0233
1980-09-09,0.42,0.42,0.42,0.41,4019999.9999999995,0.0
1980-09-10,0.42,0.42,0.43,0.42,2610000.0,0.0
1980-09-11,0.41,0.41,0.42,0.41,2710000.0,-0.023799999999999998
1980-09-12,0.41,0.41,0.41,0.41,3290000.0,0.0
1980-09-15,0.41,0.41,0.41,0.41,4330000.0,0.0
1980-09-16,0.42,0.42,0.43,0.41,7380000.0,0.024399999999999998
1980-09-17,0.42,0.42,0.43,0.41,7180000.0,0.0
1980-09-18,0.41,0.41,0.43,0.41,6240000.0,-0.023799999999999998
1980-09-19,0.42,0.42,0.42,0.41,5250000.0,0.024399999999999998
1980-09-22,0.42,0.42,0.42,0.41,4560000.0,0.0
1980-09-23,0.4,0.4,0.41,0.4,6470000.0,-0.047599999999999996
1980-09-24,0.41,0.41,0.41,0.4,3810000.0,0.025
1980-09-25,0.41,0.41,0.41,0.41,2049999.9999999998,0.0
1980-09-26,0.41,0.41,0.41,0.41,1700000.0,0.0
1980-09-29,0.39,0.39,0.4,0.39,8440000.0,-0.048799999999999996
1980-09-30,0.41,0.41,0.41,0.39,2880000.0,0.0513
1980-10-01,0.41,0.41,0.42,0.41,3450000.0,0.0
1980-10-02,0.41,0.41,0.41,0.4,2800000.0,0.0
1980-10-03,0.41,0.41,0.41,0.41,3310000.0,0.0
1980-10-06,0.42,0.42,0.42,0.41,4620000.0,0.024399999999999998
1980-10-07,0.42,0.42,0.42,0.41,4740000.0,0.0
