Date,Close,Open,High,Low,Volume,Change
2003-08-20,13.8,13.66,14.64,13.6,359560.0,-0.0143
2003-08-21,13.29,13.97,13.97,13.25,278170.0,-0.037000000000000005
2003-08-22,13.85,13.25,13.85,13.25,227760.0,0.0421
2003-08-25,13.63,13.85,13.97,13.35,51960.0,-0.0159
2003-08-26,13.5,13.57,13.64,13.4,65400.00000000001,-0.0095
2003-08-27,13.4,13.5,13.59,13.24,100200.0,-0.0074
2003-08-28,13.39,13.4,13.5,13.25,57100.0,-0.0007000000000000001
2003-08-29,13.6,13.25,13.7,13.25,37300.0,0.015700000000000002
2003-09-02,13.0,13.6,13.6,12.8,219300.0,-0.0441
2003-09-03,13.05,12.95,13.39,12.85,183300.0,0.0038
2003-09-04,13.25,13.05,13.3,13.0,32400.0,0.015300000000000001
2003-09-05,13.38,13.3,13.38,13.2,72700.0,0.0098
2003-09-08,13.45,13.35,13.55,13.35,62300.0,0.0052
2003-09-09,13.44,13.4,13.49,13.4,32500.0,-0.0007000000000000001
2003-09-10,13.48,13.45,13.49,13.4,25600.0,0.003
2003-09-11,13.55,13.4,13.61,13.4,78600.0,0.0052
2003-09-12,13.4,13.63,13.69,13.4,23900.0,-0.0111
2003-09-15,13.63,13.35,13.64,13.3,32900.0,0.0172
2003-09-16,14.06,13.6,14.06,13.5,90100.0,0.0315
2003-09-17,14.94,13.9,15.25,13.9,60600.0,0.0626
2003-09-18,14.79,14.94,15.0,14.49,45000.0,-0.01
2003-09-19,14.88,14.65,14.89,13.75,19400.0,0.0060999999999999995
2003-09-22,15.06,14.89,15.12,14.52,38600.0,0.0121
2003-09-23,15.9,15.09,16.3,15.0,15160.0,0.0558
2003-09-24,15.0,16.05,16.05,14.85,27100.0,-0.056600000000000004
2003-09-25,15.75,15.47,15.75,15.47,2800.0,0.05
2003-09-26,15.94,15.75,16.1,15.75,59400.0,0.0121
2003-09-29,15.8,16.0,16.05,15.49,85000.0,-0.0088
2003-09-30,15.8,15.8,16.0,15.44,10700.0,0.0
2003-10-01,15.3,15.7,15.9,15.3,59900.0,-0.0316
2003-10-02,15.3,15.75,15.75,15.3,8200.0,0.0
2003-10-03,15.2,15.75,15.9,15.2,34600.0,-0.006500000000000001
2003-10-06,15.25,15.43,15.75,15.25,25200.0,0.0033
2003-10-07,14.72,15.6,15.6,14.72,15270.0,-0.0348
2003-10-08,14.25,15.44,15.44,14.25,28500.0,-0.0319
2003-10-09,15.12,14.99,15.4,14.5,141800.0,0.0611
2003-10-10,15.01,15.4,15.4,15.0,2200.0,-0.0073
2003-10-13,15.17,15.4,15.4,15.13,10000.0,0.010700000000000001
2003-10-14,15.26,15.36,15.5,15.14,7200.0,0.0059
2003-10-15,15.26,15.55,15.6,15.26,32180.0,0.0
2003-10-16,15.0,15.34,15.34,15.0,4100.0,-0.017
2003-10-17,15.0,15.07,15.5,15.0,2700.0,0.0
2003-10-20,15.13,15.13,15.13,15.05,1400.0,0.0087
2003-10-21,14.8,15.08,15.08,14.8,5200.0,-0.0218
2003-10-22,15.25,14.76,15.39,14.75,79800.0,0.0304
2003-10-23,14.85,15.1,15.25,14.85,3100.0,-0.0262
2003-10-24,15.2,15.2,15.2,15.2,100.0,0.0236
2003-10-27,15.05,15.3,15.3,14.9,34900.0,-0.009899999999999999
2003-10-28,14.97,14.95,14.97,14.95,500.0,-0.0053
2003-10-29,16.15,15.05,16.2,14.97,72550.0,0.0788
2003-10-30,16.1,16.1,16.6,16.0,20300.0,-0.0031
2003-10-31,16.0,16.5,16.5,15.95,38900.0,-0.0062
2003-11-03,15.65,16.5,16.5,15.65,22950.0,-0.0219
2003-11-04,16.4,16.4,16.4,16.0,44860.0,0.0479
2003-11-05,16.2,16.25,16.5,16.2,75920.0,-0.012199999999999999
2003-11-06,15.84,16.0,16.1,15.25,5530.0,-0.0222
2003-11-07,15.95,16.0,16.49,15.85,16980.0,0.0069
2003-11-10,15.9,15.85,15.96,15.8,3200.0,-0.0031
2003-11-11,15.05,15.9,15.9,15.05,6500.0,-0.0535
2003-11-12,15.15,15.62,15.9,14.95,127650.0,0.0066
2003-11-13,15.39,15.0,15.39,15.0,69150.0,0.0158
2003-11-14,15.8,15.5,16.0,15.0,26310.0,0.026600000000000002
2003-11-17,16.0,15.3,16.0,15.3,1500.0,0.0127
2003-11-18,16.1,16.0,16.9,15.84,64019.99999999999,0.0063
2003-11-19,16.3,16.3,16.3,16.0,6950.0,0.0124
2003-11-20,16.3,16.3,16.3,16.3,100.0,0.0
2003-11-21,16.2,16.2,16.2,16.2,1300.0,-0.0060999999999999995
2003-11-24,15.35,15.97,16.2,15.35,15870.0,-0.0525
2003-11-25,16.4,15.75,16.4,15.75,71100.0,0.0684
2003-11-26,16.4,16.4,16.4,16.01,3480.0,0.0
2003-11-28,17.0,16.2,17.0,16.2,39970.0,0.0366
2003-12-01,17.0,17.0,17.0,16.27,22500.0,0.0
2003-12-02,17.6,17.02,17.99,16.94,80640.0,0.0353
2003-12-03,17.5,17.6,17.79,17.5,54990.0,-0.005699999999999999
2003-12-04,17.49,17.44,17.5,17.43,24340.0,-0.0006
2003-12-05,17.58,17.49,18.04,17.24,10650.0,0.0051
2003-12-08,17.15,17.67,17.67,17.15,3500.0,-0.0245
2003-12-09,17.25,17.15,17.25,17.15,5070.0,0.0058
2003-12-10,16.9,17.93,17.95,16.85,7400.0,-0.0203
2003-12-11,17.0,17.12,17.12,17.0,2900.0,0.0059
2003-12-12,16.2,16.8,16.8,15.69,20490.0,-0.0471
2003-12-15,15.6,15.71,16.2,15.43,7320.0,-0.037000000000000005
2003-12-16,16.0,15.4,16.0,15.4,14850.0,0.0256
2003-12-17,15.88,16.39,16.39,15.88,7820.0,-0.0075
2003-12-18,16.3,16.2,16.88,15.89,10800.0,0.0264
2003-12-19,16.12,16.75,16.98,16.12,3670.0,-0.011000000000000001
2003-12-22,16.71,16.36,16.86,15.72,14800.0,0.0366
2003-12-23,16.35,16.24,16.72,15.55,45200.0,-0.0215
2003-12-24,16.48,16.66,16.66,16.48,1240.0,0.008
2003-12-29,16.25,16.55,16.55,16.07,8500.0,-0.013999999999999999
2003-12-30,16.1,16.25,16.25,16.05,4910.0,-0.0092
2003-12-31,16.33,16.43,16.43,16.18,27100.0,0.0143
2004-01-02,16.1,16.35,16.89,16.1,16680.0,-0.0141
2004-01-05,16.5,16.0,16.79,15.77,30810.0,0.0248
2004-01-06,16.5,16.01,16.5,15.93,125810.0,0.0
2004-01-07,17.0,16.11,17.27,16.11,297420.0,0.030299999999999997
2004-01-08,17.13,17.25,17.31,16.85,65410.0,0.0076
2004-01-09,17.08,17.18,17.19,17.0,46110.0,-0.0029
2004-01-12,17.1,17.05,17.1,16.56,128580.00000000001,0.0012
2004-01-13,17.2,16.7,17.2,16.7,4400.0,0.0058
2004-01-14,17.1,17.2,17.2,17.0,92570.0,-0.0058
2004-01-15,16.98,17.07,17.07,16.6,9600.0,-0.006999999999999999
2004-01-16,17.04,16.9,17.05,16.9,24590.0,0.0034999999999999996
2004-01-20,17.07,17.02,17.13,16.95,24320.0,0.0018
2004-01-21,17.1,17.17,17.34,16.96,24950.0,0.0018
2004-01-22,17.13,17.14,17.15,16.95,74290.0,0.0018
2004-01-23,17.0,17.1,17.3,16.94,26580.0,-0.0076
2004-01-26,16.75,16.89,17.1,16.61,12230.0,-0.0147
2004-01-27,17.1,16.53,17.5,16.53,54800.0,0.0209
2004-01-28,16.81,17.3,17.3,16.81,10000.0,-0.017
2004-01-29,16.95,16.91,17.1,16.91,5890.0,0.0083
2004-01-30,16.98,17.11,17.16,16.94,89400.0,0.0018
2004-02-02,17.0,17.0,17.05,16.9,7660.0,0.0012
2004-02-03,17.1,17.2,17.2,16.91,10980.0,0.0059
2004-02-04,16.76,17.03,17.05,16.76,9800.0,-0.0199
2004-02-05,17.33,16.55,17.33,16.26,21650.0,0.034
2004-02-06,17.09,16.9,17.69,16.9,26310.0,-0.0138
2004-02-09,16.88,17.01,17.09,16.59,4320.0,-0.0123
2004-02-10,16.73,17.11,17.11,16.5,113340.0,-0.0089
2004-02-11,16.5,16.6,16.7,16.25,53500.0,-0.0137
2004-02-12,16.41,16.47,16.49,16.41,10800.0,-0.0055000000000000005
2004-02-13,16.44,16.41,16.5,16.4,44810.0,0.0018
2004-02-17,16.0,16.44,16.44,15.52,112550.0,-0.0268
