Date,Close,Open,High,Low,Volume,Change
2005-05-04,21.6,20.97,22.0,20.25,1260000.0,0.07730000000000001
2005-05-05,22.64,23.45,23.45,22.09,865120.0,0.0481
2005-05-06,21.6,23.06,23.25,21.55,460340.0,-0.045899999999999996
2005-05-09,20.77,21.7,21.7,20.5,220940.0,-0.0384
2005-05-10,21.2,20.5,21.81,20.2,244200.0,0.0207
2005-05-11,21.85,21.38,22.35,21.06,169220.0,0.030699999999999998
2005-05-12,21.9,22.0,22.4,21.75,124910.0,0.0023
2005-05-13,21.96,22.35,22.35,21.65,96010.0,0.0027
2005-05-16,21.98,22.24,22.24,21.63,73760.0,0.0009
2005-05-17,21.3,21.87,22.0,21.01,227010.0,-0.030899999999999997
2005-05-18,22.07,20.91,22.3,20.73,271950.0,0.0362
2005-05-19,22.65,21.07,22.94,21.07,230510.0,0.0263
2005-05-20,23.1,22.54,23.44,22.45,379150.0,0.0199
2005-05-23,23.33,23.45,23.45,22.8,122350.0,0.01
2005-05-24,23.06,23.65,23.8,22.5,168830.0,-0.0116
2005-05-25,22.16,21.76,22.5,21.2,240610.0,-0.039
2005-05-26,22.51,22.0,22.93,21.4,102350.0,0.0158
2005-05-27,22.03,22.84,22.84,21.77,25500.0,-0.0213
2005-05-31,21.95,21.68,22.08,21.0,108430.0,-0.0036
2005-06-01,23.19,21.73,23.19,21.73,123920.0,0.0565
2005-06-02,24.49,22.67,24.97,22.65,190920.0,0.056100000000000004
2005-06-03,25.79,24.61,25.95,23.97,166130.0,0.053099999999999994
2005-06-06,26.24,25.72,26.49,25.38,123250.0,0.0174
2005-06-07,27.88,26.37,28.24,26.0,276860.0,0.0625
2005-06-08,27.75,28.04,28.14,27.31,426850.0,-0.004699999999999999
2005-06-09,27.38,27.4,27.79,26.67,111990.0,-0.013300000000000001
2005-06-10,26.9,27.4,27.77,26.55,88350.0,-0.0175
2005-06-13,26.87,27.2,27.53,26.61,87290.0,-0.0011
2005-06-14,27.5,27.25,27.5,26.9,37410.0,0.023399999999999997
2005-06-15,28.19,27.09,28.74,27.09,212990.0,0.025099999999999997
2005-06-16,28.6,28.36,28.8,27.6,59270.0,0.014499999999999999
2005-06-17,28.7,28.86,29.59,28.61,154450.0,0.0034999999999999996
2005-06-20,28.01,28.75,28.89,27.84,58480.0,-0.024
2005-06-21,27.75,28.28,28.29,27.1,154700.0,-0.009300000000000001
2005-06-22,26.99,27.3,27.38,26.55,86200.0,-0.0274
2005-06-23,27.65,26.69,28.18,26.55,40550.0,0.0245
2005-06-24,26.87,27.35,27.94,26.74,573170.0,-0.0282
2005-06-27,27.1,26.66,27.43,25.27,100970.0,0.0086
2005-06-28,28.07,27.0,28.1,26.73,41480.0,0.0358
2005-06-29,27.45,28.07,28.6,27.44,64000.0,-0.022099999999999998
2005-06-30,28.15,27.72,28.5,27.72,39120.0,0.0255
2005-07-01,27.8,28.29,28.29,27.36,31310.0,-0.0124
2005-07-05,28.6,27.59,28.63,27.58,64530.0,0.0288
2005-07-06,28.42,28.44,29.0,28.02,33270.0,-0.0063
2005-07-07,28.4,27.95,29.1,27.85,21260.0,-0.0007000000000000001
2005-07-08,28.79,28.44,28.95,28.01,49120.0,0.0137
2005-07-11,28.46,28.91,29.0,28.04,61620.0,-0.0115
2005-07-12,28.26,28.29,28.44,27.15,40830.0,-0.006999999999999999
2005-07-13,28.47,28.18,28.49,28.0,16850.0,0.0074
2005-07-14,28.1,28.19,28.42,27.82,65280.0,-0.013000000000000001
2005-07-15,28.1,27.89,28.19,27.86,66610.0,0.0
2005-07-18,28.02,28.2,28.2,27.77,43240.0,-0.0028000000000000004
2005-07-19,27.79,28.17,28.2,26.65,70710.0,-0.008199999999999999
2005-07-20,27.19,27.5,27.65,26.79,32850.0,-0.0216
2005-07-21,26.23,27.28,27.28,26.21,25290.0,-0.0353
2005-07-22,26.97,26.11,26.99,26.01,79960.0,0.0282
2005-07-25,27.01,27.07,27.24,26.35,38090.0,0.0015
2005-07-26,27.54,27.24,27.6,26.91,37510.0,0.0196
2005-07-27,26.96,27.34,27.55,26.35,50300.0,-0.021099999999999997
2005-07-28,27.38,26.79,27.38,26.6,32320.0,0.015600000000000001
2005-07-29,27.13,27.2,27.54,26.88,22300.0,-0.0091
2005-08-01,27.4,27.04,28.1,27.0,99350.0,0.01
2005-08-02,27.68,27.61,28.0,27.6,42350.0,0.0102
2005-08-03,27.3,27.78,27.78,27.08,32800.0,-0.0137
2005-08-04,27.3,27.17,27.74,27.17,15630.0,0.0
2005-08-05,27.08,27.42,27.42,27.08,14990.0,-0.008100000000000001
2005-08-08,27.31,27.01,27.51,26.82,21210.0,0.0085
2005-08-09,27.22,27.17,27.31,26.81,33880.0,-0.0033
2005-08-10,31.55,27.63,32.0,27.62,628750.0,0.1591
2005-08-11,33.2,31.32,34.1,31.32,312830.0,0.052300000000000006
2005-08-12,32.97,32.9,33.1,32.15,127430.0,-0.0069
2005-08-15,32.75,32.71,33.45,32.12,83500.0,-0.0067
2005-08-16,32.55,32.59,33.2,32.46,74040.0,-0.0060999999999999995
2005-08-17,32.51,32.55,32.96,31.65,76440.0,-0.0012
2005-08-18,32.5,32.35,32.94,31.99,117590.0,-0.0003
2005-08-19,32.91,32.48,33.44,32.27,96020.0,0.0126
2005-08-22,33.02,33.15,33.2,32.47,36070.0,0.0033
2005-08-23,32.09,33.05,33.05,31.75,188770.0,-0.0282
2005-08-24,32.01,31.64,32.2,31.64,74250.0,-0.0025
2005-08-25,30.85,31.83,32.1,30.41,111960.0,-0.0362
2005-08-26,29.41,30.62,30.62,28.55,154070.0,-0.0467
2005-08-29,29.33,29.21,29.4,28.57,32420.0,-0.0027
2005-08-30,29.22,29.18,29.25,28.91,15560.0,-0.0038
2005-08-31,30.42,29.31,30.42,29.01,43380.0,0.041100000000000005
2005-09-01,30.07,30.19,30.71,29.56,28790.0,-0.0115
2005-09-02,28.8,30.0,30.03,28.63,21110.0,-0.042199999999999994
2005-09-06,28.93,28.52,29.09,28.31,44330.0,0.0045000000000000005
2005-09-07,28.68,28.94,28.94,28.5,36640.0,-0.0086
2005-09-08,27.61,28.39,28.6,26.71,170920.0,-0.0373
2005-09-09,27.65,27.52,27.81,26.96,33320.0,0.0014000000000000002
2005-09-12,28.28,27.74,28.45,27.61,32680.0,0.022799999999999997
2005-09-13,28.7,28.28,28.83,27.79,45990.0,0.0149
