Date,Close,Open,High,Low,Volume,Change
1980-03-18,4.49,4.49,4.55,4.43,131800.0,0.0
1980-03-19,4.49,4.49,4.55,4.49,65060.0,0.0
1980-03-20,4.52,4.52,4.55,4.49,122430.0,0.0067
1980-03-21,4.49,4.49,4.58,4.46,118110.0,-0.0066
1980-03-24,4.36,4.36,4.52,4.36,180530.0,-0.028999999999999998
1980-03-25,4.36,4.36,4.43,4.33,138760.0,0.0
1980-03-26,4.43,4.43,4.46,4.36,155560.0,0.0161
1980-03-27,4.11,4.11,4.33,4.11,437640.0,-0.0722
1980-03-28,4.36,4.36,4.43,4.24,200940.0,0.0608
1980-03-31,4.43,4.43,4.49,4.33,141400.0,0.0161
1980-04-01,4.33,4.33,4.43,4.33,150520.0,-0.0226
1980-04-02,4.33,4.33,4.36,4.27,87860.0,0.0
1980-04-03,4.33,4.33,4.36,4.3,68660.0,0.0
1980-04-07,4.36,4.36,4.36,4.3,151240.0,0.0069
1980-04-08,4.36,4.36,4.39,4.3,156520.0,0.0
1980-04-09,4.43,4.43,4.46,4.36,111630.0,0.0161
1980-04-10,4.46,4.46,4.49,4.43,119310.0,0.0068000000000000005
1980-04-11,4.49,4.49,4.52,4.43,161330.0,0.0067
1980-04-14,4.39,4.39,4.49,4.36,87140.0,-0.0223
1980-04-15,4.39,4.39,4.46,4.36,114510.0,0.0
1980-04-16,4.33,4.33,4.49,4.33,144520.0,-0.0137
1980-04-17,4.24,4.24,4.36,4.24,150760.0,-0.0208
1980-04-18,4.3,4.3,4.33,4.27,221340.0,0.014199999999999999
1980-04-21,4.24,4.24,4.3,4.2,195890.0,-0.013999999999999999
1980-04-22,4.3,4.3,4.33,4.27,138520.0,0.014199999999999999
1980-04-23,4.27,4.27,4.33,4.27,168290.0,-0.006999999999999999
1980-04-24,4.2,4.2,4.3,4.17,110190.0,-0.016399999999999998
1980-04-25,4.2,4.2,4.24,4.17,95310.0,0.0
1980-04-28,4.49,4.49,4.49,4.2,170930.0,0.069
1980-04-29,4.71,4.71,4.71,4.43,370180.0,0.049
1980-04-30,4.8,4.8,4.8,4.65,252550.0,0.0191
1980-05-01,4.68,4.68,4.77,4.61,99630.0,-0.025
1980-05-02,4.71,4.71,4.77,4.65,157000.0,0.0064
1980-05-05,4.58,4.58,4.61,4.52,86900.0,-0.0276
1980-05-06,4.68,4.68,4.68,4.55,112590.0,0.0218
1980-05-07,4.58,4.58,4.71,4.58,86660.0,-0.021400000000000002
1980-05-08,4.52,4.52,4.68,4.52,133960.0,-0.0131
1980-05-09,4.49,4.49,4.55,4.49,54260.0,-0.0066
1980-05-12,4.49,4.49,4.52,4.46,67460.0,0.0
1980-05-13,4.61,4.61,4.61,4.43,87380.0,0.026699999999999998
1980-05-14,4.52,4.52,4.65,4.52,82820.0,-0.0195
1980-05-15,4.49,4.49,4.52,4.43,266710.0,-0.0066
1980-05-16,4.52,4.52,4.52,4.43,126520.0,0.0067
1980-05-19,4.65,4.65,4.65,4.49,286880.0,0.0288
1980-05-20,4.87,4.87,4.87,4.58,459010.0,0.0473
1980-05-21,4.8,4.8,4.84,4.74,273920.0,-0.0144
1980-05-22,4.8,4.8,4.84,4.74,237670.0,0.0
1980-05-23,4.8,4.8,4.84,4.74,203340.0,0.0
1980-05-27,4.84,4.84,4.9,4.8,139960.0,0.0083
1980-05-28,4.74,4.74,4.84,4.74,169730.0,-0.0207
1980-05-29,4.71,4.71,4.77,4.71,94590.0,-0.0063
1980-05-30,4.71,4.71,4.71,4.55,177650.0,0.0
1980-06-02,4.65,4.65,4.71,4.61,90750.0,-0.0127
1980-06-03,4.55,4.55,4.65,4.52,158440.0,-0.0215
1980-06-04,4.65,4.65,4.65,4.49,176450.0,0.022000000000000002
1980-06-05,4.71,4.71,4.71,4.61,189650.0,0.0129
1980-06-06,4.68,4.68,4.71,4.55,174290.0,-0.0064
1980-06-09,4.71,4.71,4.71,4.65,96270.0,0.0064
1980-06-10,4.68,4.68,4.71,4.61,75860.0,-0.0064
1980-06-11,4.65,4.65,4.71,4.61,105150.0,-0.0064
1980-06-12,4.68,4.68,4.71,4.65,113310.0,0.006500000000000001
1980-06-13,4.84,4.84,4.87,4.65,457090.0,0.0342
1980-06-16,4.8,4.8,4.87,4.77,334410.0,-0.0083
1980-06-17,4.71,4.71,4.77,4.71,161570.0,-0.018799999999999997
1980-06-18,4.77,4.77,4.77,4.71,105390.0,0.0127
1980-06-19,4.71,4.71,4.77,4.71,170930.0,-0.0126
1980-06-20,4.8,4.8,4.84,4.68,280880.0,0.0191
1980-06-23,4.9,4.9,4.9,4.77,339700.0,0.0208
1980-06-24,4.93,4.93,4.93,4.77,253270.0,0.0060999999999999995
1980-06-25,4.96,4.96,4.99,4.93,359380.0,0.0060999999999999995
1980-06-26,4.87,4.87,4.99,4.84,187010.0,-0.0181
1980-06-27,4.87,4.87,4.93,4.84,67940.0,0.0
1980-06-30,4.77,4.77,4.84,4.74,126760.0,-0.020499999999999997
1980-07-01,4.8,4.8,4.84,4.74,149320.0,0.0063
1980-07-02,4.84,4.84,4.84,4.77,120270.0,0.0083
1980-07-03,4.96,4.96,4.96,4.8,315210.0,0.0248
1980-07-07,5.06,5.06,5.06,4.93,434520.0,0.0202
1980-07-08,5.28,5.28,5.31,5.03,1130000.0,0.0435
1980-07-09,5.25,5.25,5.34,5.22,812390.0,-0.005699999999999999
1980-07-10,5.22,5.22,5.28,5.22,275600.0,-0.005699999999999999
1980-07-11,5.25,5.25,5.28,5.22,137560.0,0.005699999999999999
1980-07-14,5.37,5.37,5.41,5.22,245830.0,0.0229
1980-07-15,5.31,5.31,5.41,5.31,234790.0,-0.011200000000000002
1980-07-16,5.31,5.31,5.37,5.31,254710.0,0.0
1980-07-17,5.47,5.47,5.5,5.31,314010.0,0.0301
1980-07-18,5.69,5.69,5.75,5.44,966750.0,0.04019999999999999
1980-07-21,5.66,5.66,5.72,5.56,365140.0,-0.0053
