Date,Close,Open,High,Low,Volume,Change
2021-02-03,10.83,11.39,11.44,10.63,32330.0,0.0064
2021-02-04,10.75,10.85,11.0,10.63,37820.0,-0.0074
2021-02-05,12.26,11.26,12.7,10.57,1950000.0,0.1405
2021-02-08,13.48,13.25,13.5,12.38,10670000.0,0.09949999999999999
2021-02-09,16.69,13.83,17.57,13.75,8279999.999999999,0.23809999999999998
2021-02-10,17.33,18.83,19.11,15.92,7840000.0,0.0383
2021-02-11,16.61,17.58,17.59,16.1,2020000.0,-0.0415
2021-02-12,16.4,18.75,18.75,16.08,2940000.0,-0.0126
2021-02-16,17.6,18.82,19.2,17.16,5230000.0,0.0732
2021-02-17,20.1,18.16,20.8,16.86,8790000.0,0.142
2021-02-18,19.97,19.47,21.1,19.0,2960000.0,-0.006500000000000001
2021-02-19,24.46,19.57,25.02,18.31,17000000.0,0.2248
2021-02-22,21.95,23.83,28.0,21.61,9190000.0,-0.1026
2021-02-23,19.6,19.45,20.01,15.8,7630000.0,-0.10710000000000001
2021-02-24,18.55,19.64,20.9,18.05,3290000.0,-0.0536
2021-02-25,16.86,19.4,19.98,16.51,4720000.0,-0.0911
2021-02-26,17.76,17.19,18.28,16.0,3630000.0,0.053399999999999996
2021-03-01,18.11,19.0,19.43,16.9,2970000.0,0.0197
2021-03-02,17.25,17.57,17.85,16.9,3240000.0,-0.0475
2021-03-03,14.86,16.96,17.42,14.7,4340000.0,-0.1386
2021-03-04,13.22,14.95,15.1,12.55,5830000.0,-0.1104
2021-03-05,13.87,13.59,14.2,11.39,6060000.0,0.0492
2021-03-08,14.66,14.22,16.22,13.7,3280000.0,0.057
2021-03-09,15.94,15.04,15.99,14.75,1950000.0,0.0873
2021-03-10,16.95,16.6,17.86,15.86,2000000.0,0.0634
2021-03-11,17.0,17.05,17.22,16.21,1870000.0,0.0029
2021-03-12,16.65,16.04,16.85,15.3,1370000.0,-0.0206
2021-03-15,16.74,16.78,17.0,16.33,1180000.0,0.0054
2021-03-16,15.22,16.37,16.75,15.03,1620000.0,-0.0908
2021-03-17,15.78,14.5,16.02,14.15,1510000.0,0.0368
2021-03-18,15.19,15.32,16.43,14.88,1030000.0,-0.0374
2021-03-19,15.99,14.67,16.04,14.32,1080000.0,0.0527
2021-03-22,15.78,15.45,15.99,15.28,1050000.0,-0.0131
