Date,Close,Open,High,Low,Volume,Change
1995-10-09,5.1,5.07,5.19,5.01,1100000.0,-0.0058
1995-10-10,5.07,5.13,5.16,4.95,788800.0,-0.0059
1995-10-11,5.27,5.07,5.3,5.07,707600.0,0.0394
1995-10-12,5.6,5.27,5.6,5.25,916400.0,0.0626
1995-10-13,5.6,5.42,5.6,5.42,132400.0,0.0
1995-10-16,5.48,5.48,5.6,5.48,131200.0,-0.021400000000000002
1995-10-17,5.9,5.48,5.9,5.48,215600.0,0.0766
1995-10-18,6.14,5.9,6.14,5.84,272000.0,0.0407
1995-10-19,6.14,6.14,6.14,6.02,136400.0,0.0
1995-10-20,6.44,6.14,6.44,6.02,540400.0,0.0489
1995-10-23,6.5,6.26,6.85,6.26,769200.0,0.009300000000000001
1995-10-24,6.74,6.56,6.74,6.44,457200.0,0.0369
1995-10-25,6.56,6.74,6.74,6.56,275200.0,-0.026699999999999998
1995-10-26,6.5,6.62,6.62,6.38,495600.0,-0.0091
1995-10-27,6.38,6.38,6.44,6.02,486800.0,-0.018500000000000003
1995-10-30,6.5,6.44,6.56,6.41,234000.0,0.018799999999999997
1995-10-31,6.44,6.62,6.79,6.44,340400.0,-0.0092
1995-11-01,6.38,6.32,6.5,6.08,329600.0,-0.009300000000000001
1995-11-02,6.53,6.38,6.68,6.26,141200.0,0.0235
1995-11-03,7.87,6.68,7.93,6.68,1930000.0,0.2052
1995-11-06,8.46,8.4,8.73,8.05,791600.0,0.075
1995-11-07,8.7,8.05,8.76,7.99,903200.0,0.028399999999999998
1995-11-08,8.7,9.3,9.3,8.52,934400.0,0.0
1995-11-09,8.88,8.82,9.06,8.64,765600.0,0.0207
1995-11-10,8.94,8.88,9.12,8.88,468000.0,0.0068000000000000005
1995-11-13,8.79,8.94,9.12,8.76,230000.0,-0.0168
1995-11-14,8.58,8.7,8.7,8.52,69200.0,-0.0239
1995-11-15,8.82,8.82,8.82,8.64,188000.0,0.027999999999999997
1995-11-16,8.76,8.76,8.88,8.76,176000.0,-0.0068000000000000005
1995-11-17,8.23,8.76,8.76,8.23,249200.0,-0.0605
1995-11-20,7.87,7.81,8.11,7.81,234000.0,-0.0437
1995-11-21,7.03,7.39,7.63,6.97,394000.0,-0.1067
1995-11-22,6.91,7.09,7.27,6.68,374800.0,-0.0171
1995-11-24,7.09,6.97,7.09,6.97,130000.0,0.026000000000000002
1995-11-27,7.21,7.27,7.45,7.03,245600.0,0.0169
1995-11-28,7.03,7.03,7.21,7.03,41200.0,-0.025
1995-11-29,7.33,7.21,7.33,7.03,64000.0,0.042699999999999995
1995-11-30,7.51,7.33,7.51,7.21,110400.0,0.0246
1995-12-01,7.69,7.51,7.87,7.45,154800.0,0.024
1995-12-04,7.93,7.81,7.93,7.63,80000.0,0.031200000000000002
1995-12-05,8.23,7.93,8.34,7.81,193200.0,0.0378
1995-12-06,8.05,8.23,8.23,8.05,23600.0,-0.0219
1995-12-07,7.87,8.17,8.17,7.87,82400.0,-0.022400000000000003
1995-12-08,7.69,7.81,7.87,7.69,34400.0,-0.0229
1995-12-11,7.57,7.69,7.87,7.57,26400.0,-0.015600000000000001
1995-12-12,7.45,7.57,7.57,7.45,65200.0,-0.0159
1995-12-13,7.63,7.57,7.63,7.45,46800.0,0.0242
1995-12-14,7.63,7.63,7.63,7.45,1600.0,0.0
1995-12-15,7.03,7.63,7.63,7.03,102400.0,-0.0786
1995-12-18,6.32,7.09,7.2,6.26,136800.0,-0.10099999999999999
1995-12-19,6.68,6.5,6.91,6.5,144400.0,0.057
1995-12-20,6.97,6.79,6.97,6.68,140000.0,0.0434
1995-12-21,7.87,6.97,7.87,6.91,537600.0,0.1291
1995-12-22,7.93,7.93,7.93,7.75,354800.0,0.0076
1995-12-26,7.93,7.93,7.93,7.75,107600.0,0.0
1995-12-27,7.75,7.93,7.93,7.63,86400.0,-0.0227
1995-12-28,7.81,7.87,7.87,7.63,106400.0,0.0077
1995-12-29,7.78,7.87,7.87,7.72,20000.0,-0.0038
1996-01-02,7.03,7.63,7.75,7.03,67200.0,-0.0964
