Date,Close,Open,High,Low,Volume,Change
2020-05-26,45.1,44.79,47.45,43.22,948550.0,0.060899999999999996
2020-05-27,43.0,45.1,45.24,39.6,655700.0,-0.0466
2020-05-28,42.75,43.45,46.4,42.51,497440.0,-0.0058
2020-05-29,44.0,42.75,45.36,42.49,788550.0,0.0292
2020-06-01,47.75,44.9,50.33,44.9,1210000.0,0.0852
2020-06-02,47.26,48.0,48.97,44.0,479570.0,-0.0103
2020-06-03,52.46,48.08,53.0,47.82,531020.0,0.11
2020-06-04,52.0,52.11,53.43,50.05,312560.0,-0.0088
2020-06-05,50.15,53.67,53.9,49.15,309840.0,-0.0356
2020-06-08,51.41,51.56,51.75,48.22,303880.0,0.025099999999999997
2020-06-09,51.11,50.43,54.86,50.24,308960.0,-0.0058
2020-06-10,50.4,51.1,51.15,49.0,266690.0,-0.0139
2020-06-11,47.23,49.35,50.0,45.88,337470.0,-0.0629
2020-06-12,49.19,47.7,49.91,47.43,171780.0,0.0415
2020-06-15,48.52,48.74,49.61,47.5,209230.0,-0.013600000000000001
2020-06-16,47.99,48.0,49.49,46.48,290090.0,-0.0109
2020-06-17,48.81,48.41,50.88,47.55,343720.0,0.0171
2020-06-18,48.5,48.95,50.73,48.02,200990.0,-0.0064
2020-06-19,48.17,48.55,49.92,47.05,300820.0,-0.0068000000000000005
2020-06-22,47.0,47.98,48.48,45.0,213530.0,-0.024300000000000002
2020-06-23,46.49,47.45,47.74,46.2,277190.0,-0.0109
2020-06-24,46.92,46.2,47.69,44.59,220710.0,0.0092
2020-06-25,46.99,46.59,47.1,45.69,177090.0,0.0015
2020-06-26,47.16,47.02,47.56,45.31,207570.0,0.0036
2020-06-29,48.02,47.56,51.42,47.38,502660.0,0.0182
2020-06-30,48.44,48.47,49.42,47.02,200250.0,0.0087
2020-07-01,48.18,48.12,49.21,46.16,510170.0,-0.0054
2020-07-02,48.24,48.63,48.75,47.2,461040.0,0.0012
2020-07-06,48.09,48.87,49.69,47.5,256920.00000000003,-0.0031
2020-07-07,47.55,47.55,48.9,47.08,245860.0,-0.011200000000000002
2020-07-08,47.53,47.89,47.93,46.25,233370.0,-0.0004
2020-07-09,50.94,47.74,52.78,47.74,448800.0,0.0717
2020-07-10,53.2,50.8,54.49,49.46,356480.0,0.0444
2020-07-13,50.71,55.0,61.49,50.12,985450.0,-0.046799999999999994
2020-07-14,51.41,51.2,54.25,48.21,415540.0,0.0138
2020-07-15,54.17,53.0,58.78,52.03,608700.0,0.0537
2020-07-16,50.53,53.99,54.04,50.0,281410.0,-0.0672
2020-07-17,53.37,50.9,53.98,50.4,141390.0,0.0562
2020-07-20,57.47,53.75,57.55,53.5,251790.0,0.0768
2020-07-21,56.04,58.06,58.82,55.42,232590.0,-0.024900000000000002
2020-07-22,53.72,56.25,56.31,51.8,194920.0,-0.0414
2020-07-23,55.11,53.69,55.57,53.03,203060.0,0.0259
2020-07-24,54.81,54.64,55.72,52.62,165270.0,-0.0054
2020-07-27,57.8,55.94,59.97,55.94,297860.0,0.0546
2020-07-28,57.42,58.21,58.34,56.28,148630.0,-0.0066
2020-07-29,57.62,57.9,59.0,56.42,105510.0,0.0034999999999999996
