Date,Close,Open,High,Low,Volume,Change
1995-03-15,3.9,4.0,4.1,3.8,2430000.0,-0.0127
1995-03-16,4.02,3.9,4.1,3.9,2270000.0,0.0308
1995-03-17,4.02,4.1,4.1,3.95,872770.0,0.0
1995-03-20,4.0,4.05,4.05,3.9,1450000.0,-0.005
1995-03-21,4.0,3.95,4.2,3.95,1810000.0,0.0
1995-03-22,4.05,4.0,4.1,3.95,1860000.0,0.0125
1995-03-23,4.05,4.05,4.05,3.9,194400.0,0.0
1995-03-24,3.9,4.05,4.05,3.9,1290000.0,-0.037000000000000005
1995-03-27,3.85,4.05,4.05,3.85,448540.0,-0.0128
1995-03-28,3.75,3.85,4.0,3.75,637870.0,-0.026000000000000002
1995-03-29,3.7,3.75,3.9,3.7,520929.99999999994,-0.013300000000000001
1995-03-30,3.51,3.7,3.8,3.46,1210000.0,-0.051399999999999994
1995-03-31,3.56,3.46,3.56,3.41,691030.0,0.014199999999999999
1995-04-03,3.65,3.56,3.65,3.41,186810.0,0.0253
1995-04-04,3.78,3.7,3.9,3.56,367540.0,0.0356
1995-04-05,3.85,3.9,3.9,3.7,150360.0,0.018500000000000003
1995-04-06,3.85,3.9,3.9,3.75,485490.0,0.0
1995-04-07,3.8,3.85,3.85,3.7,26330.0,-0.013000000000000001
1995-04-10,3.75,3.8,3.8,3.65,24810.0,-0.0132
1995-04-11,3.68,3.65,3.8,3.65,292610.0,-0.0187
1995-04-12,3.85,3.7,3.85,3.65,98210.0,0.0462
1995-04-13,3.7,3.7,3.85,3.7,464230.0,-0.039
1995-04-17,3.7,3.7,3.85,3.7,69360.0,0.0
1995-04-18,3.6,3.65,3.75,3.56,963390.0,-0.027000000000000003
1995-04-19,3.56,3.6,3.6,3.56,101250.0,-0.0111
1995-04-20,3.58,3.6,3.6,3.56,345260.0,0.005600000000000001
1995-04-21,3.56,3.6,3.6,3.56,78470.0,-0.005600000000000001
1995-04-24,3.56,3.6,3.6,3.56,30380.0,0.0
1995-04-25,3.6,3.6,3.75,3.56,272360.0,0.011200000000000002
1995-04-26,3.68,3.6,3.75,3.6,742160.0,0.0222
1995-04-27,3.68,3.65,3.75,3.56,70880.0,0.0
1995-04-28,3.7,3.75,3.75,3.56,89100.0,0.0054
1995-05-01,3.36,3.56,3.7,3.31,992760.0,-0.0919
1995-05-02,3.75,3.46,3.75,3.41,481950.0,0.1161
1995-05-03,3.65,3.75,3.75,3.65,19240.0,-0.026699999999999998
1995-05-04,3.6,3.75,3.75,3.6,139730.0,-0.0137
1995-05-05,3.6,3.56,3.65,3.56,267300.0,0.0
1995-05-08,3.73,3.65,3.75,3.56,98210.0,0.0361
1995-05-09,3.63,3.75,3.75,3.6,163010.0,-0.0268
1995-05-10,3.51,3.56,3.56,3.51,74930.0,-0.0331
1995-05-11,3.51,3.65,3.7,3.51,47590.0,0.0
1995-05-12,3.58,3.7,3.7,3.51,713310.0,0.0199
1995-05-15,3.51,3.51,3.7,3.46,146810.0,-0.0196
1995-05-16,3.51,3.41,3.51,3.41,143780.0,0.0
1995-05-17,3.51,3.51,3.51,3.41,20250.0,0.0
1995-05-18,3.51,3.51,3.65,3.41,56190.0,0.0
1995-05-19,3.65,3.46,3.65,3.46,77960.0,0.039900000000000005
1995-05-22,3.8,3.65,3.95,3.46,284010.0,0.041100000000000005
