Date,Close,Open,High,Low,Volume,Change
2014-04-21,16.82,16.97,17.37,16.33,444210.0,-0.01
2014-04-22,16.8,16.63,17.0,16.63,576710.0,-0.0012
2014-04-23,16.78,16.81,16.85,16.71,1610000.0,-0.0012
2014-04-24,16.63,16.85,16.86,16.45,368890.0,-0.0089
2014-04-25,16.89,16.9,16.92,16.32,1090000.0,0.015600000000000001
2014-04-28,16.67,16.93,16.93,16.38,1190000.0,-0.013000000000000001
2014-04-29,16.68,16.62,16.88,16.45,648520.0,0.0006
2014-04-30,16.55,16.7,16.7,16.36,26750000.0,-0.0078000000000000005
2014-05-01,17.0,16.12,17.36,16.12,3650000.0,0.027200000000000002
2014-05-02,16.95,17.01,17.3,16.87,3000000.0,-0.0029
2014-05-05,16.81,16.93,17.26,16.53,3980000.0,-0.0083
2014-05-06,16.34,16.69,16.8,16.25,14310000.0,-0.027999999999999997
2014-05-07,16.6,16.36,16.61,16.26,5690000.0,0.0159
2014-05-08,16.45,16.5,16.64,16.35,5670000.0,-0.009000000000000001
2014-05-09,16.28,16.3,16.51,16.03,2800000.0,-0.0103
2014-05-12,15.95,16.28,16.55,15.78,6980000.0,-0.0203
2014-05-13,15.85,15.78,16.13,15.78,8289999.999999999,-0.0063
2014-05-14,15.74,15.77,16.04,15.5,4580000.0,-0.0069
2014-05-15,15.74,15.66,16.0,15.59,4920000.0,0.0
2014-05-16,15.86,15.66,15.95,15.66,2790000.0,0.0076
2014-05-19,16.02,15.76,16.04,15.66,4530000.0,0.0101
2014-05-20,15.94,16.1,16.16,15.82,9750000.0,-0.005
2014-05-21,15.93,15.93,16.13,15.82,1740000.0,-0.0006
2014-05-22,15.97,15.84,16.04,15.8,2130000.0,0.0025
2014-05-23,16.07,16.0,16.13,15.97,2830000.0,0.0063
2014-05-27,15.98,16.09,16.34,15.79,1730000.0,-0.005600000000000001
2014-05-28,15.68,16.02,16.05,15.66,4220000.0,-0.018799999999999997
2014-05-29,15.68,15.73,15.82,15.53,3460000.0,0.0
2014-05-30,15.8,15.63,15.91,15.63,5260000.0,0.0077
2014-06-02,15.81,15.84,15.94,15.79,2990000.0,0.0006
2014-06-03,15.83,16.6,16.6,15.74,3480000.0,0.0013
2014-06-04,15.89,15.6,15.96,15.58,3230000.0,0.0038
2014-06-05,16.67,16.03,16.68,15.9,4580000.0,0.049100000000000005
2014-06-06,16.67,16.76,16.95,16.61,1620000.0,0.0
