Date,Close,Open,High,Low,Volume,Change
1996-05-24,11.75,12.25,13.0,11.75,623500.0,-0.06
1996-05-28,10.88,11.75,12.12,10.75,592500.0,-0.07400000000000001
1996-05-29,10.88,10.75,11.12,10.75,225500.0,0.0
1996-05-30,10.75,10.75,11.0,10.5,157400.0,-0.011899999999999999
1996-05-31,11.0,10.88,11.5,10.62,410600.0,0.0233
1996-06-03,10.75,11.0,11.25,10.5,129199.99999999999,-0.0227
1996-06-04,11.0,10.62,11.25,10.5,33500.0,0.0233
1996-06-05,11.25,10.94,11.25,10.62,31800.0,0.0227
1996-06-06,10.5,11.0,11.25,10.5,125700.0,-0.0667
1996-06-07,10.5,10.5,10.88,10.5,104200.0,0.0
1996-06-10,10.62,10.69,10.88,10.5,80900.0,0.011399999999999999
1996-06-11,10.5,11.0,11.0,10.5,14600.0,-0.0113
1996-06-12,10.62,10.94,11.0,10.5,67200.0,0.011399999999999999
1996-06-13,10.5,10.5,11.0,10.5,26000.0,-0.0113
1996-06-14,11.0,10.75,11.25,10.75,37000.0,0.047599999999999996
1996-06-17,11.12,11.25,11.25,10.75,131600.0,0.0109
1996-06-18,11.62,11.88,12.0,11.25,213400.0,0.045
1996-06-19,10.5,11.75,11.75,10.5,200600.0,-0.0964
1996-06-20,10.0,10.75,10.75,9.5,307500.0,-0.047599999999999996
1996-06-21,10.0,10.0,10.0,9.5,74200.0,0.0
1996-06-24,9.5,9.5,9.75,9.0,70800.0,-0.05
1996-06-25,9.38,9.5,10.0,9.0,113000.0,-0.0126
1996-06-26,9.0,9.5,9.75,9.0,84800.0,-0.0405
1996-06-27,8.25,9.5,9.5,8.25,91800.0,-0.0833
1996-06-28,8.88,8.88,8.88,8.12,89200.0,0.0764
1996-07-01,8.69,8.5,8.75,8.0,89800.0,-0.021400000000000002
1996-07-02,8.0,8.75,8.75,8.0,71500.0,-0.0794
1996-07-03,7.88,8.0,8.5,7.75,160000.0,-0.015
1996-07-05,8.0,8.0,8.06,8.0,3300.0,0.0152
1996-07-08,8.25,8.0,8.25,7.75,21200.0,0.0313
1996-07-09,8.25,7.75,8.25,7.75,4700.0,0.0
1996-07-10,8.25,7.88,8.25,7.75,115100.0,0.0
1996-07-11,8.0,8.0,8.25,7.75,37800.0,-0.030299999999999997
1996-07-12,7.25,8.25,8.25,7.0,53000.0,-0.09380000000000001
1996-07-15,7.0,7.5,7.5,6.75,42300.0,-0.0345
1996-07-16,7.0,6.5,7.0,6.5,91600.0,0.0
1996-07-17,7.88,7.25,7.88,7.0,311800.0,0.1257
1996-07-18,7.62,7.38,7.88,7.38,290900.0,-0.033
1996-07-19,8.88,7.56,9.25,7.56,88900.0,0.1654
1996-07-22,9.0,8.75,9.5,8.75,78500.0,0.013500000000000002
1996-07-23,8.75,8.75,9.5,8.75,33000.0,-0.0278
1996-07-24,8.75,8.5,9.0,8.5,9000.0,0.0
1996-07-25,8.5,8.75,9.0,8.25,145100.0,-0.0286
1996-07-26,8.0,8.25,8.25,7.75,35100.0,-0.0588
1996-07-29,7.75,8.25,8.25,7.75,11900.0,-0.0313
1996-07-30,7.75,8.25,8.25,7.75,47000.0,0.0
1996-07-31,8.0,8.25,8.25,8.0,33900.0,0.0323
1996-08-01,8.0,8.25,8.25,8.0,48100.0,0.0
1996-08-02,8.12,8.25,8.5,8.0,48700.0,0.015
1996-08-05,8.38,8.38,8.38,8.0,43800.0,0.032
1996-08-06,8.12,8.38,8.38,8.0,32299.999999999996,-0.031
1996-08-07,8.0,8.62,8.62,8.0,43500.0,-0.0148
1996-08-08,8.5,8.5,8.5,8.0,17800.0,0.0625
1996-08-09,8.5,8.0,8.5,8.0,28900.0,0.0
1996-08-12,8.5,8.5,8.5,8.25,14300.0,0.0
1996-08-13,8.38,8.5,8.5,8.25,35800.0,-0.0141
1996-08-14,8.25,8.5,8.5,8.25,14600.0,-0.0155
1996-08-15,8.5,8.38,8.5,8.38,4900.0,0.030299999999999997
1996-08-16,9.0,8.5,9.0,8.25,46300.0,0.0588
1996-08-19,8.88,9.25,9.25,8.88,10300.0,-0.013300000000000001
1996-08-20,8.94,9.25,9.25,8.75,44800.0,0.0068000000000000005
1996-08-21,8.88,9.12,9.12,8.62,33900.0,-0.0067
1996-08-22,8.75,8.88,9.12,8.62,15800.0,-0.0146
1996-08-23,9.0,9.12,9.12,8.5,24200.0,0.0286
1996-08-26,8.75,9.0,9.0,8.5,43500.0,-0.0278
1996-08-27,8.62,8.88,8.88,8.5,58600.0,-0.0149
1996-08-28,8.38,8.88,8.88,8.38,19400.0,-0.0278
1996-08-29,8.62,8.88,8.88,8.38,11700.0,0.0286
1996-08-30,8.5,8.38,8.88,8.38,5900.0,-0.0139
1996-09-03,8.5,8.88,8.88,8.38,37200.0,0.0
1996-09-04,8.38,8.88,8.88,8.38,8000.0,-0.0141
1996-09-05,8.44,8.75,8.75,8.38,11600.0,0.0072
1996-09-06,8.38,8.38,8.75,8.38,4500.0,-0.0070999999999999995
1996-09-09,8.75,8.5,8.75,8.38,10600.0,0.044199999999999996
1996-09-10,8.38,8.75,8.75,8.25,39300.0,-0.042300000000000004
1996-09-11,8.5,8.62,8.62,8.12,48100.0,0.0143
1996-09-12,8.62,8.62,9.12,8.5,175200.0,0.0141
1996-09-13,8.69,9.0,9.0,8.5,148000.0,0.008100000000000001
1996-09-16,8.75,8.75,8.88,8.5,372200.0,0.0069
1996-09-17,9.25,9.0,9.38,8.88,457200.0,0.0571
1996-09-18,10.38,9.25,10.38,9.12,332400.0,0.1222
1996-09-19,10.75,10.5,11.25,10.5,356500.0,0.0356
1996-09-20,10.94,11.0,11.75,10.62,212000.0,0.0177
1996-09-23,10.88,11.0,11.38,10.62,57500.0,-0.0055000000000000005
1996-09-24,10.62,11.0,11.25,10.62,103400.0,-0.0239
1996-09-25,10.62,10.38,10.75,10.12,40600.0,0.0
1996-09-26,10.62,10.62,10.62,10.12,117400.0,0.0
1996-09-27,11.0,10.38,11.25,10.38,29100.0,0.0358
1996-09-30,11.38,10.75,12.38,10.75,145200.0,0.0345
1996-10-01,11.38,11.38,11.38,10.88,77700.0,0.0
1996-10-02,11.5,11.38,12.0,11.0,102500.0,0.0105
1996-10-03,12.0,11.5,12.0,11.0,105300.0,0.0435
1996-10-04,12.44,11.75,12.5,11.75,137200.0,0.036699999999999997
1996-10-07,13.0,12.75,13.0,12.5,159600.0,0.045
1996-10-08,12.38,13.0,13.0,12.0,116700.0,-0.04769999999999999
1996-10-09,11.0,12.0,12.0,10.5,137100.0,-0.1115
1996-10-10,11.88,10.88,12.25,10.88,195600.0,0.08
1996-10-11,11.5,12.0,12.0,11.0,31400.0,-0.032
1996-10-14,11.25,11.5,11.5,11.0,14300.0,-0.0217
1996-10-15,11.12,11.25,11.62,11.0,23800.0,-0.0116
1996-10-16,10.75,11.38,11.38,10.75,23800.0,-0.0333
1996-10-17,10.94,10.88,11.12,10.62,73900.0,0.0177
1996-10-18,10.75,11.12,11.12,10.62,102700.0,-0.0174
1996-10-21,11.12,11.38,12.62,11.12,300200.0,0.0344
1996-10-22,10.88,11.38,11.62,10.75,269200.0,-0.0216
1996-10-23,11.12,11.25,11.25,10.62,142100.0,0.022099999999999998
1996-10-24,11.12,11.38,11.38,10.88,155100.0,0.0
1996-10-25,11.12,10.88,11.38,10.88,11300.0,0.0
1996-10-28,10.94,11.12,11.12,10.62,65700.0,-0.016200000000000003
1996-10-29,10.25,10.62,11.0,10.12,36600.0,-0.06309999999999999
1996-10-30,10.38,10.12,10.5,10.12,9500.0,0.0127
1996-10-31,11.0,10.5,11.0,10.25,47900.0,0.059699999999999996
1996-11-01,10.75,11.0,11.0,10.62,75600.0,-0.0227
1996-11-04,10.88,10.62,11.0,10.62,125600.0,0.0121
1996-11-05,10.75,11.0,11.0,10.62,15600.0,-0.011899999999999999
1996-11-06,11.0,10.88,11.25,10.75,121900.0,0.0233
1996-11-07,11.12,11.0,11.5,11.0,84100.0,0.0109
1996-11-08,11.38,11.0,11.38,11.0,27700.0,0.023399999999999997
1996-11-11,11.12,11.38,11.5,11.0,40800.0,-0.022799999999999997
1996-11-12,11.06,11.12,11.25,11.0,107400.0,-0.0054
1996-11-13,10.38,11.25,11.25,10.38,74600.0,-0.061500000000000006
1996-11-14,10.12,10.38,10.75,10.0,27800.0,-0.025
