Date,Close,Open,High,Low,Volume,Change
1980-12-02,0.18,0.18,0.18,0.18,100710000.0,-0.9979
1980-12-03,0.18,0.18,0.18,0.18,25180000.0,0.0
1980-12-04,0.18,0.18,0.18,0.18,22690000.0,0.0
1980-12-05,0.17,0.17,0.18,0.17,7590000.0,-0.0556
1980-12-08,0.16,0.16,0.16,0.16,5410000.0,-0.0588
1980-12-09,0.16,0.16,0.16,0.16,5820000.0,0.0
1980-12-10,0.15,0.15,0.15,0.15,5880000.0,-0.0625
1980-12-11,0.14,0.14,0.14,0.14,5440000.0,-0.0667
1980-12-12,0.15,0.15,0.15,0.15,8150000.0,0.07139999999999999
1980-12-15,0.15,0.15,0.15,0.15,6640000.0,0.0
1980-12-16,0.15,0.15,0.15,0.15,6630000.0,0.0
1980-12-17,0.14,0.14,0.15,0.14,4670000.0,-0.0667
1980-12-18,0.15,0.15,0.15,0.15,11250000.0,0.07139999999999999
1980-12-19,0.15,0.15,0.15,0.15,10040000.0,0.0
1980-12-22,0.15,0.15,0.16,0.15,1860000.0,0.0
1980-12-23,0.16,0.16,0.16,0.16,5700000.0,0.0667
1980-12-24,0.16,0.16,0.17,0.16,2440000.0,0.0
1980-12-26,0.16,0.16,0.17,0.16,1460000.0,0.0
1980-12-29,0.16,0.16,0.17,0.16,1740000.0,0.0
1980-12-30,0.17,0.17,0.17,0.17,4360000.0,0.0625
1980-12-31,0.16,0.16,0.17,0.16,2920000.0,-0.0588
1981-01-02,0.17,0.17,0.17,0.17,1570000.0,0.0625
1981-01-05,0.17,0.17,0.18,0.17,5820000.0,0.0
1981-01-06,0.18,0.18,0.18,0.18,6950000.0,0.0588
1981-01-07,0.17,0.17,0.17,0.17,8810000.0,-0.0556
1981-01-08,0.16,0.16,0.16,0.16,3300000.0,-0.0588
1981-01-09,0.16,0.16,0.16,0.16,2470000.0,0.0
1981-01-12,0.16,0.16,0.17,0.16,3350000.0,0.0
1981-01-13,0.17,0.17,0.17,0.17,4470000.0,0.0625
1981-01-14,0.17,0.17,0.18,0.17,7920000.0,0.0
1981-01-15,0.17,0.17,0.17,0.17,2520000.0,0.0
1981-01-16,0.17,0.17,0.18,0.17,3330000.0,0.0
1981-01-19,0.17,0.17,0.17,0.17,4030000.0000000005,0.0
1981-01-20,0.17,0.17,0.17,0.17,3510000.0,0.0
1981-01-21,0.16,0.16,0.17,0.16,985600.0,-0.0588
1981-01-22,0.16,0.16,0.16,0.16,1320000.0,0.0
1981-01-23,0.16,0.16,0.16,0.16,1380000.0,0.0
1981-01-26,0.16,0.16,0.16,0.16,1130000.0,0.0
1981-01-27,0.16,0.16,0.16,0.16,857600.0,0.0
1981-01-28,0.16,0.16,0.16,0.16,1160000.0,0.0
1981-01-29,0.16,0.16,0.16,0.16,2520000.0,0.0
1981-01-30,0.15,0.15,0.15,0.15,832000.0,-0.0625
1981-02-02,0.15,0.15,0.15,0.15,2060000.0,0.0
1981-02-03,0.15,0.15,0.15,0.15,1140000.0,0.0
1981-02-04,0.15,0.15,0.15,0.15,2060000.0,0.0
1981-02-05,0.15,0.15,0.15,0.15,3880000.0,0.0
1981-02-06,0.15,0.15,0.15,0.15,1220000.0,0.0
1981-02-09,0.15,0.15,0.15,0.15,1140000.0,0.0
1981-02-10,0.15,0.15,0.15,0.15,2180000.0,0.0
1981-02-11,0.14,0.14,0.15,0.14,1250000.0,-0.0667
1981-02-12,0.14,0.14,0.15,0.14,217600.0,0.0
1981-02-13,0.14,0.14,0.15,0.14,921600.0,0.0
1981-02-17,0.14,0.14,0.14,0.14,806400.0,0.0
1981-02-18,0.14,0.14,0.15,0.14,2200000.0,0.0
1981-02-19,0.15,0.15,0.15,0.15,1880000.0,0.07139999999999999
1981-02-20,0.15,0.15,0.15,0.15,1540000.0,0.0
1981-02-23,0.15,0.15,0.15,0.15,537600.0,0.0
1981-02-24,0.15,0.15,0.15,0.15,2009999.9999999998,0.0
1981-02-25,0.15,0.15,0.15,0.15,537600.0,0.0
1981-02-26,0.15,0.15,0.15,0.15,844800.0,0.0
1981-02-27,0.15,0.15,0.16,0.15,755200.0,0.0
1981-03-02,0.15,0.15,0.16,0.15,896000.0,0.0
1981-03-03,0.15,0.15,0.16,0.15,3800000.0,0.0
1981-03-04,0.15,0.15,0.16,0.15,2510000.0,0.0
1981-03-05,0.15,0.15,0.16,0.15,691200.0,0.0
1981-03-06,0.15,0.15,0.15,0.15,1640000.0,0.0
1981-03-09,0.15,0.15,0.15,0.15,972800.0,0.0
1981-03-10,0.14,0.14,0.14,0.14,1430000.0,-0.0667
1981-03-11,0.14,0.14,0.14,0.14,1830000.0,0.0
1981-03-12,0.14,0.14,0.14,0.14,3900000.0,0.0
1981-03-13,0.14,0.14,0.15,0.14,729600.0,0.0
1981-03-16,0.14,0.14,0.14,0.14,921600.0,0.0
1981-03-17,0.14,0.14,0.14,0.14,832000.0,0.0
1981-03-18,0.14,0.14,0.14,0.14,2020000.0,0.0
1981-03-19,0.13,0.13,0.14,0.13,3560000.0,-0.07139999999999999
1981-03-20,0.14,0.14,0.14,0.14,1730000.0,0.07690000000000001
1981-03-23,0.14,0.14,0.14,0.14,2690000.0,0.0
1981-03-24,0.14,0.14,0.14,0.14,3260000.0,0.0
1981-03-25,0.14,0.14,0.14,0.14,1240000.0,0.0
1981-03-26,0.14,0.14,0.14,0.14,3380000.0,0.0
1981-03-27,0.14,0.14,0.14,0.14,1400000.0,0.0
1981-03-30,0.14,0.14,0.15,0.14,3140000.0,0.0
1981-03-31,0.15,0.15,0.15,0.15,3960000.0,0.07139999999999999
1981-04-01,0.16,0.16,0.16,0.16,3050000.0,0.0667
1981-04-02,0.16,0.16,0.16,0.16,4920000.0,0.0
1981-04-03,0.16,0.16,0.16,0.16,1370000.0,0.0
1981-04-06,0.16,0.16,0.16,0.16,2750000.0,0.0
1981-04-07,0.16,0.16,0.16,0.16,1430000.0,0.0
1981-04-08,0.16,0.16,0.16,0.16,1610000.0,0.0
1981-04-09,0.17,0.17,0.17,0.17,5660000.0,0.0625
1981-04-10,0.17,0.17,0.17,0.17,4860000.0,0.0
1981-04-13,0.16,0.16,0.17,0.16,8230000.0,-0.0588
1981-04-14,0.16,0.16,0.16,0.16,3230000.0,0.0
1981-04-15,0.17,0.17,0.17,0.17,3280000.0,0.0625
1981-04-16,0.17,0.17,0.18,0.17,10440000.0,0.0
1981-04-20,0.17,0.17,0.18,0.17,8180000.0,0.0
1981-04-21,0.17,0.17,0.18,0.17,2420000.0,0.0
1981-04-22,0.18,0.18,0.18,0.18,4450000.0,0.0588
1981-04-23,0.18,0.18,0.18,0.18,5730000.0,0.0
1981-04-24,0.17,0.17,0.17,0.17,2500000.0,-0.0556
1981-04-27,0.17,0.17,0.17,0.17,2110000.0,0.0
1981-04-28,0.17,0.17,0.17,0.17,1520000.0,0.0
1981-04-29,0.16,0.16,0.17,0.16,1280000.0,-0.0588
